Trope	Inverted?/Defied?	Averted/Subverted?	Rough Occurence in movie	Background?	Setups?	Start Time	End Time	Total Time
Action Survivor	No	No	Part of the genre of the movie	Yes	No	0	7014	7014
Admiring The Abomination	No	No	"The perfect organism"	No	No	5162	5162	7014
AI Is A Crapshoot	No	No	Ripley discovers Ash's intentions	No	No	5130	5130	7014
Air-Vent Passageway	No	No	Xenomorph on ship	No	No	4107	4108	7014
Alien Blood	No	No	Trying to remove fachugger from Kane	No	No	2373	2462	7014
Alien Sky	No	No	Shot of the night sky (soon after/before landing?)	No	No	1434	1440	7014
All For Nothing	No	No	Towards the end 	No	No	6408	6408	7014
All Lowercase letters	No	No	Nostromo introductory text	No	No	126	137	7014
Ancient Astronauts	No	No	Finding the Space Jockey	No	No	1715	1715	7014
Anyone Can Die	No	No	No characer too important to die	Yes	No	0	7014	7014
Appetite Equals Health	No	No	Kane sitting down to eat a big meal before dying	No	No	3278	3278	7014
Arbitrary Skepticism	No	No	Ash snarks at Ripley after she says to get rid off the carcass	No	No	2966	2966	7014
Artificial Gravity	No	No	Before taking off, the gravity is turned on	No	No	3097	3097	7014
Artistic License	No	No	Text crawl describing the Nostromo - ships are not actually designated like that	No	No	126	137	7014
Artistic License - Biology	No	No	Xenomorph grows bigger than biologically possible	Yes	No	0	7014	7014
As You Know	No	No	A lot of things are told to the audience when they wind up to be important	Yes	No	0	7014	7014
Ask A Stupid Question	No	No	Kane waking up after facehugger removed	No	No	3218	3228	7014
Audience Surrogate	No	No	Lambert is supposed to be the relatable one to audience members	Yes	No	0	7014	7014
Bait And Switch	No	No	Ripley wants to follow quarantine, and is initially set up to be unlikeable	No	No	2143	2173	7014
Big Bad Ensemble	No	No	Several main antagonists 	Yes	No	0	7014	7014
Bittersweet Ending	No	No	Self-explanatory	No	No	6836	6836	7014
Black Dude Dies First	Yes	No	Inverted with Parker's death, as he is not the first to die	No	No	5624	5624	7014
Blood from the Mouth	No	No	Shown with Parker's death	No	No	5624	5624	7014
Book Ends	No	No	Beginning and ending are of a sleeper ship floating in space	No	No	0	7014	7014
Breast Attack	No	No	Ash grabs Parker's chest while suffocating Ripley	No	No	4972	4972	7014
Broken Faceplate	No	No	Facehugger breaks Kane's helmet	No	No	2069	2069	7014
Captain Obvious	No	No	"That's not our system!"	No	No	577	577	7014
Captains Log	No	No	Ripley's final report	No	No	6762	6802	7014
Cassette Futurism	No	No	Visuals of the movie fit a 70s theme	Yes	No	0	7014	7014
Cat Scare	No	No	Cat scare scene	No	No	3776	3776	7014
Cat Scare	No	No	Cat scare scene	No	No	3892	3892	7014
Cat Scare	No	No	Cat scare scene	No	No	5513	5513	7014
Character Catchphrase	No	No	Brett says right 	No	No	427	427	7014
Character Catchphrase	No	No	Brett says right 	No	No	725	725	7014
Character Catchphrase	No	No	Brett says right 	No	No	3143	3143	7014
Character Catchphrase	No	No	Brett says right 	No	No	3165	3165	7014
Character Catchphrase	No	No	Brett says right 	No	No	3171	3171	7014
Character Catchphrase	No	No	Brett says right 	No	No	3180	3180	7014
Character Catchphrase	No	No	Brett says right 	No	No	3201	3201	7014
Character Catchphrase	No	No	Brett says right 	No	No	3213	3213	7014
Chekhov's Gun	Yes	No	Alot of things in the movie are not relevant to the plot	Yes	No	0	7014	7014
Chest Burster	No	No	Kane's death	No	No	3385	3385	7014
Closed Circle	No	No	Entire plot takes place on Nostromo and planet	Yes	No	0	7014	7014
Clothing Damage	No	No	Facehugger breaks Kane's helmet	No	No	2069	2183	7014
Clothing Damage	No	No	Chestburster breaks Kane's shirt and gets blood on everyone, especially Lambert	No	No	3385	3385	7014
Conflict Killer	No	No	After the chestburster scene, all plotlines collapse to "stuck on ship with alien"	No	No	3385	3385	7014
Continuous Decompression	No	No	Final Battle, Alien launched out of airlock	No	No	6711	6711	7014
Cosmic Horror Story	No	No	Space + Horror	Yes	No	0	7014	7014
Cover's Always Lie	No	No	Egg opens in a way that is not shown in promo poster	No	No	2049	2052	7014
Cranial Processing Unit	No	No	Ash gets his head plugged in and is still operable	No	No	5105	5105	7014
Curiosity Killed the Cast	No	No	Self explanatory	Yes	No	0	7014	7014
The Dead Have Names	No	No	Ripley lists names of everyone who has died in the final log	No	No	6770	6778	7014
Deadpan Snarker	No	No	Scene with Brett and Parker	No	No	427	427	7014
Deadpan Snarker	No	No	Scene with Brett and Parker	No	No	643	658	7014
Deadpan Snarker	No	No	Scene with Brett and Parker	No	No	765	765	7014
Deadpan Snarker	No	No	Scene with Brett and Parker	No	No	1073	1110	7014
Deadpan Snarker	No	No	Scene with Brett and Parker	No	No	1312	1362	7014
Deadpan Snarker	No	No	Scene with Brett and Parker	No	No	2493	2526	7014
Deadpan Snarker	No	No	Scene with Brett and Parker	No	No	3082	3085	7014
Deadpan Snarker	No	No	Scene with Brett and Parker	No	No	3138	3180	7014
Deadpan Snarker	No	No	Scene with Brett and Parker	No	No	3627	3647	7014
Deadpan Snarker	No	No	Scene with Brett and Parker	No	No	3780	3801	7014
Death By Transceiver	No	No	Kane on radio during first facehugger scene	No	No	2069	2069	7014
Death By Transceiver	No	No	Captain Dallas dies on the radio in the airducts	No	No	4481	4481	7014
Death By Transceiver	No	No	Lambert's death can be heard on radio by Ripley	No	No	5649	5649	7014
Death By Transceiver	No	No	Parker's death can be heard on radio by Ripley	No	No	5624	5624	7014
Deathly Dies Irae	No	No	Song often used for horror/thrillers (when thing lands)	No	No	825	960	7014
Decoy Protagonist	No	No	It is assumed that Dallas is the main character until he dies	Yes	No	0	4481	7014
Death World	No	No	Reading off the atmospheric conditions of the planet	No	No	1170	1199	7014
Deer In The Headlights	No	No	Lambert is frozen in fear until she dies	No	No	5548	5649	7014
"Die Hard" On An X	Yes	No	If you were a xenomorph, this movie is Die Hard 	No	No	3385	3385	7014
Dilating Door	No	No	Every door in the airducts	No	No	4276	4276	7014
Dilating Door	No	No	Every door in the airducts	No	No	4309	4309	7014
Dilating Door	No	No	Every door in the airducts	No	No	4352	4352	7014
Dilating Door	No	No	Every door in the airducts	No	No	4380	4380	7014
Distress Call	No	No	Transmission is received	No	No	696	696	7014
Double Entendre	No	No	Parker makes an innuendo	No	No	3307	3314	7014
Double Take	No	No	Lambert sees shadow of xenomorph while loading oxygen	No	No	5546	5546	7014
Dramatic Space Drifting	No	No	Kane's body funeral/Alien being launched	No	No	3480	3485	7014
Drone Of Dread	No	No	Soundtrack	Yes	No	0	7014	7014
Dwindling Party	No	No	Crew are picked off one by one	Yes	No	0	7014	7014
Dying Smirk	No	No	Ash smiles before being unplugged	No	No	5218	5218	7014
Early Installment Weirdness	No	No	Some key differences in this universe compared to sequels	Yes	No	0	7014	7014
Early Amnesia	No	No	After Kane wakes up he doesn't remember anything	No	No	3236	3259	7014
Enemy Rising Behind	No	No	Brett looking for the cat and xenomorph stands behind him	No	No	4052	4052	7014
Epileptic Flashing Lights	No	No	Self explanatory	No	No	5809	6118	7014
Everybodys Dead Dave	No	No	Ripley lists names of everyone who has died in the final log	No	No	6770	6778	7014
Evil All Along	No	No	Ash revealed to be working for company	No	No	5130	5130	7014
Evil Detecting Dog	No	No	Jones hisses seemingly at random, but is in reality responding to the xenomorph	No	No	4052	4052	7014
Evil Plan	No	No	Ash revealed to be working for company	No	No	5130	5130	7014
Excessive Steam Syndrome	No	No	Steam burst annoying Ripley	No	No	1312	1358	7014
Excessive Steam Syndrome	No	No	After ripley sets the self destruct mechanism, steam is everywhere	No	No	5889	6118	7014
Explosive Decompression	No	Yes	Alien survives in vaccuum of space	No	No	6711	6711	7014
Explosive Instrumentation	No	No	Everything explodes after landing on the planet	No	No	1020	1035	7014
Expositron 9000	No	No	Mother tells ripley the real goal of the mission	No	No	4804	4804	7014
Expospeak Gag	No	No	Gadget made by Ash detects "micro changes in air density", making it a microphone	No	No	3548	3551	7014
Face Full Of Alien WingWong	No	No	Kane being impregnated by facehugger	No	No	2314	2314	7014
