types,counts,probs,total_unique
matt damon,270,2.4954866351440493e-05,2732944
damon knocks,1,9.242543093126108e-08,2732944
knocks it,19,1.7560831876939604e-06,2732944
it out,752,6.950392406030834e-05,2732944
out of,6924,0.0006399536837680517,2732944
of the,56396,0.0052124246027994,2732944
the park,93,8.59556507660728e-06,2732944
park it's,7,6.469780165188276e-07,2732944
it's better,97,8.965266800332325e-06,2732944
better than,3171,0.00029308104148302887,2732944
than anomalisa,1,9.242543093126108e-08,2732944
anomalisa chris,1,9.242543093126108e-08,2732944
chris warned,1,9.242543093126108e-08,2732944
warned us,6,5.545525855875665e-07,2732944
us about,18,1.6636577567626995e-06,2732944
about cats,1,9.242543093126108e-08,2732944
cats but,2,1.8485086186252215e-07,2732944
but we,291,2.6895800400996975e-05,2732944
we didn't,80,7.394034474500886e-06,2732944
didn't listen,10,9.242543093126108e-07,2732944
listen i,52,4.806122408425576e-06,2732944
i choose,41,3.7894426681817045e-06,2732944
choose to,115,1.0628924557095024e-05,2732944
to view,58,5.3606749940131425e-06,2732944
view this,30,2.7727629279378326e-06,2732944
this as,1049,9.695427704689288e-05,2732944
as a,12240,0.0011312872745986356,2732944
a documentary,105,9.704670247782414e-06,2732944
documentary matt,1,9.242543093126108e-08,2732944
damon the,5,4.621271546563054e-07,2732944
the puking,1,9.242543093126108e-08,2732944
puking scene,1,9.242543093126108e-08,2732944
scene is,502,4.639756632749306e-05,2732944
is comedy,15,1.3863814639689163e-06,2732944
comedy gold,45,4.159144391906748e-06,2732944
gold don't,2,1.8485086186252215e-07,2732944
don't think,856,7.911616887715948e-05,2732944
think this,997,9.21481546384673e-05,2732944
this is,20792,0.0019217095599227804,2732944
is quite,628,5.804317062483196e-05,2732944
quite as,354,3.271860254966642e-05,2732944
as funny,129,1.192288059013268e-05,2732944
funny as,189,1.7468406446008346e-05,2732944
as i,2481,0.00022930749414045874,2732944
i once,67,6.192503872394492e-06,2732944
once did,13,1.201530602106394e-06,2732944
did and,80,7.394034474500886e-06,2732944
and the,19447,0.0017973973553202342,2732944
the eww,1,9.242543093126108e-08,2732944
eww gay,1,9.242543093126108e-08,2732944
gay stuff,5,4.621271546563054e-07,2732944
stuff vibe,1,9.242543093126108e-08,2732944
vibe is,36,3.327315513525399e-06,2732944
is even,322,2.976098875986607e-05,2732944
even less,74,6.83948188891332e-06,2732944
less welcome,1,9.242543093126108e-08,2732944
welcome now,1,9.242543093126108e-08,2732944
now but,175,1.617445041297069e-05,2732944
but i'd,127,1.1738029728270157e-05,2732944
i'd definitely,16,1.4788068949001772e-06,2732944
definitely forgotten,2,1.8485086186252215e-07,2732944
forgotten about,78,7.2091836126383645e-06,2732944
about its,101,9.334968524057369e-06,2732944
its visual,38,3.512166375387921e-06,2732944
visual virtuosity,1,9.242543093126108e-08,2732944
virtuosity and,2,1.8485086186252215e-07,2732944
and how,855,7.902374344622822e-05,2732944
how well,187,1.728355558414582e-05,2732944
well it,380,3.512166375387921e-05,2732944
it absorbed,1,9.242543093126108e-08,2732944
absorbed the,6,5.545525855875665e-07,2732944
the motifs,6,5.545525855875665e-07,2732944
