types,counts,probs,total_unique
what are,11,2.3885004559864506e-05,200013
are we,15,3.25704607634516e-05,200013
we some,2,4.342728101793546e-06,200013
some kind,14,3.0399096712554826e-05,200013
kind of,179,0.0003886741651105224,200013
of batman,7,1.5199548356277413e-05,200013
batman assault,9,1.954227645807096e-05,200013
assault on,17,3.691318886524515e-05,200013
on arkham,12,2.605636861076128e-05,200013
arkham this,1,2.171364050896773e-06,200013
this is,1112,0.002414556824597212,200013
is exactly,14,3.0399096712554826e-05,200013
exactly what,41,8.90259260867677e-05,200013
what suicide,1,2.171364050896773e-06,200013
suicide squad,49,0.0001063968384939419,200013
squad should,1,2.171364050896773e-06,200013
should have,43,9.336865418856125e-05,200013
have been,161,0.0003495896121943805,200013
been funny,2,4.342728101793546e-06,200013
funny as,6,1.302818430538064e-05,200013
as hell,35,7.599774178138707e-05,200013
hell great,1,2.171364050896773e-06,200013
great characters,12,2.605636861076128e-05,200013
characters r,1,2.171364050896773e-06,200013
r rated,13,2.8227732661658054e-05,200013
rated fresh,1,2.171364050896773e-06,200013
fresh visually,1,2.171364050896773e-06,200013
visually consistent,1,2.171364050896773e-06,200013
consistent and,1,2.171364050896773e-06,200013
and most,35,7.599774178138707e-05,200013
most of,132,0.0002866200547183741,200013
of all,221,0.0004798714552481869,200013
all it,20,4.342728101793547e-05,200013
it made,40,8.685456203587093e-05,200013
made sense,6,1.302818430538064e-05,200013
sense as,2,4.342728101793546e-06,200013
as a,585,0.0012702479697746123,200013
a whole,77,0.00016719503191905155,200013
whole package,1,2.171364050896773e-06,200013
package adapting,1,2.171364050896773e-06,200013
adapting this,1,2.171364050896773e-06,200013
this exact,3,6.51409215269032e-06,200013
exact script,1,2.171364050896773e-06,200013
script even,1,2.171364050896773e-06,200013
even though,66,0.00014331002735918705,200013
though crazily,1,2.171364050896773e-06,200013
crazily ambitious,1,2.171364050896773e-06,200013
ambitious would,1,2.171364050896773e-06,200013
would have,104,0.00022582186129326443,200013
have made,14,3.0399096712554826e-05,200013
made for,35,7.599774178138707e-05,200013
for an,47,0.00010205411039214835,200013
an amazing,26,5.645546532331611e-05,200013
amazing ride,1,2.171364050896773e-06,200013
ride that,5,1.0856820254483867e-05,200013
that would,39,8.468319798497416e-05,200013
have kickstarted,1,2.171364050896773e-06,200013
kickstarted the,1,2.171364050896773e-06,200013
the dceu,1,2.171364050896773e-06,200013
dceu as,1,2.171364050896773e-06,200013
a serious,9,1.954227645807096e-05,200013
serious contender,1,2.171364050896773e-06,200013
contender for,2,4.342728101793546e-06,200013
an animated,71,0.00015416684761367092,200013
animated batman,4,8.685456203587093e-06,200013
batman movie,22,4.777000911972901e-05,200013
movie that,130,0.0002822773266165805,200013
that doesn't,22,4.777000911972901e-05,200013
doesn't feature,1,2.171364050896773e-06,200013
feature nearly,1,2.171364050896773e-06,200013
nearly as,11,2.3885004559864506e-05,200013
as much,54,0.00011725365874842576,200013
much batman,2,4.342728101793546e-06,200013
batman as,4,8.685456203587093e-06,200013
as you'd,3,6.51409215269032e-06,200013
you'd think,4,8.685456203587093e-06,200013
think it,64,0.00013896729925739348,200013
it would,79,0.0001715377600208451,200013
would for,1,2.171364050896773e-06,200013
for having,6,1.302818430538064e-05,200013
having batman,2,4.342728101793546e-06,200013
batman in,5,1.0856820254483867e-05,200013
in the,1244,0.002701176879315586,200013
the title,32,6.948364962869674e-05,200013
title this,1,2.171364050896773e-06,200013
this somehow,2,4.342728101793546e-06,200013
somehow still,2,4.342728101793546e-06,200013
still manages,5,1.0856820254483867e-05,200013
manages to,61,0.00013245320710470317,200013
to be,744,0.0016154948538671995,200013
be pretty,8,1.7370912407174185e-05,200013
pretty good,85,0.00018456594432622573,200013
