types,counts,probs,total_unique
i have,612,0.0005735277579937774,430019
have a,274,0.0002567754994939461,430019
a very,421,0.0003945346178355887,430019
very deep,3,2.8114105784008697e-06,430019
deep connection,2,1.874273718933913e-06,430019
connection to,17,1.593132661093826e-05,430019
to 1960s,2,1.874273718933913e-06,430019
1960s america,2,1.874273718933913e-06,430019
america i,13,1.2182779173070434e-05,430019
i am,473,0.00044326573452787047,430019
am not,53,4.9668253551748695e-05,430019
not sure,125,0.00011714210743336957,430019
sure what,25,2.3428421486673915e-05,430019
what it,188,0.00017618172957978783,430019
it is,1100,0.0010308505454136522,430019
is logging,2,1.874273718933913e-06,430019
logging this,8,7.497094875735652e-06,430019
this instead,11,1.0308505454136522e-05,430019
instead of,154,0.0001443190763579113,430019
of saville,1,9.371368594669565e-07,430019
saville s,1,9.371368594669565e-07,430019
s rock,1,9.371368594669565e-07,430019
rock legends,3,2.8114105784008697e-06,430019
legends vu,1,9.371368594669565e-07,430019
vu doc,1,9.371368594669565e-07,430019
doc 2013,1,9.371368594669565e-07,430019
2013 rai,1,9.371368594669565e-07,430019
rai 5nota,1,9.371368594669565e-07,430019
5nota il,1,9.371368594669565e-07,430019
il bordonelocale,1,9.371368594669565e-07,430019
bordonelocale dogmaeruptic,1,9.371368594669565e-07,430019
dogmaeruptic plastic,1,9.371368594669565e-07,430019
plastic inevitablemazzy,1,9.371368594669565e-07,430019
inevitablemazzy star,1,9.371368594669565e-07,430019
star non,1,9.371368594669565e-07,430019
non lo,1,9.371368594669565e-07,430019
lo nomina,1,9.371368594669565e-07,430019
nomina nessuno,1,9.371368594669565e-07,430019
nessuno tra,1,9.371368594669565e-07,430019
tra i,2,1.874273718933913e-06,430019
i gruppi,1,9.371368594669565e-07,430019
gruppi influenzati,1,9.371368594669565e-07,430019
influenzati ad,1,9.371368594669565e-07,430019
ad esempio,1,9.371368594669565e-07,430019
esempio ditene,1,9.371368594669565e-07,430019
ditene uno,1,9.371368594669565e-07,430019
uno che,1,9.371368594669565e-07,430019
che non,2,1.874273718933913e-06,430019
non conosco,1,9.371368594669565e-07,430019
conosco stronzi,1,9.371368594669565e-07,430019
stronzi con,1,9.371368594669565e-07,430019
con tutti,1,9.371368594669565e-07,430019
tutti quelli,1,9.371368594669565e-07,430019
quelli che,1,9.371368594669565e-07,430019
che ci,1,9.371368594669565e-07,430019
ci sono,1,9.371368594669565e-07,430019
sono state,1,9.371368594669565e-07,430019
state sempre,1,9.371368594669565e-07,430019
sempre a,1,9.371368594669565e-07,430019
a ripetere,1,9.371368594669565e-07,430019
ripetere gli,1,9.371368594669565e-07,430019
gli stessi,1,9.371368594669565e-07,430019
stessi americans,1,9.371368594669565e-07,430019
americans have,7,6.559958016268696e-06,430019
have been,519,0.00048637403006335044,430019
been pumped,1,9.371368594669565e-07,430019
pumped full,2,1.874273718933913e-06,430019
full of,122,0.0001143306968549687,430019
of the,6801,0.006373467781234771,430019
the same,568,0.0005322937361772314,430019
same perspective,1,9.371368594669565e-07,430019
perspective about,4,3.748547437867826e-06,430019
about our,24,2.2491284627206958e-05,430019
our mid,1,9.371368594669565e-07,430019
mid 20th,2,1.874273718933913e-06,430019
20th century,41,3.842261123814522e-05,430019
century past,1,9.371368594669565e-07,430019
past for,3,2.8114105784008697e-06,430019
for 60,1,9.371368594669565e-07,430019
60 years,15,1.4057052892004349e-05,430019
years now,12,1.1245642313603479e-05,430019
now it,27,2.5302695205607826e-05,430019
is a,1828,0.0017130861791055966,430019
a rolling,2,1.874273718933913e-06,430019
rolling stone,2,1.874273718933913e-06,430019
stone gloss,1,9.371368594669565e-07,430019
gloss by,1,9.371368594669565e-07,430019
by which,7,6.559958016268696e-06,430019
which institutional,1,9.371368594669565e-07,430019
institutional culture,1,9.371368594669565e-07,430019
culture creates,1,9.371368594669565e-07,430019
creates the,4,3.748547437867826e-06,430019
the veneer,2,1.874273718933913e-06,430019
veneer of,4,3.748547437867826e-06,430019
of counter,1,9.371368594669565e-07,430019
counter culture,5,4.685684297334783e-06,430019
culture for,3,2.8114105784008697e-06,430019
for itself,19,1.7805600329872175e-05,430019
itself so,5,4.685684297334783e-06,430019
so much,560,0.0005247966413014956,430019
much of,201,0.00018836450875285826,430019
of this,855,0.0008012520148442478,430019
this is,1953,0.001830228286538966,430019
is placid,1,9.371368594669565e-07,430019
placid nonsense,1,9.371368594669565e-07,430019
nonsense bobby,1,9.371368594669565e-07,430019
bobby kennedy,5,4.685684297334783e-06,430019
kennedy was,4,3.748547437867826e-06,430019
was nowhere,4,3.748547437867826e-06,430019
nowhere near,11,1.0308505454136522e-05,430019
near the,40,3.7485474378678264e-05,430019
the presidency,6,5.622821156801739e-06,430019
presidency of,3,2.8114105784008697e-06,430019
the united,92,8.621659107096e-05,430019
united states,102,9.558795966562957e-05,430019
states he,2,1.874273718933913e-06,430019
he was,295,0.00027645537354275217,430019
was unlikely,1,9.371368594669565e-07,430019
unlikely to,8,7.497094875735652e-06,430019
to secure,7,6.559958016268696e-06,430019
secure his,1,9.371368594669565e-07,430019
his own,119,0.00011151928627656783,430019
own parties,1,9.371368594669565e-07,430019
parties nomination,1,9.371368594669565e-07,430019
nomination this,1,9.371368594669565e-07,430019
is one,268,0.00025115267833714436,430019
one of,1564,0.00146568204820632,430019
of many,47,4.404543239494696e-05,430019
many pop,1,9.371368594669565e-07,430019
pop culture,30,2.8114105784008698e-05,430019
culture myths,1,9.371368594669565e-07,430019
myths recycled,1,9.371368594669565e-07,430019
recycled in,1,9.371368594669565e-07,430019
in this,779,0.0007300296135247592,430019
this prop,1,9.371368594669565e-07,430019
