types,counts,probs,total_unique
the trip,94,4.258007919985327e-06,4923296
trip to,363,1.6443158244198657e-05,4923296
to bountifulis,4,1.8119182638235435e-07,4923296
bountifulis a,3,1.3589386978676575e-07,4923296
a delightful,271,1.2275746237404506e-05,4923296
delightful little,29,1.313640741272069e-06,4923296
little film,430,1.9478121336103093e-05,4923296
film watching,72,3.2614528748823783e-06,4923296
watching the,1597,7.234083668315497e-05,4923296
the story,15371,0.0006962748908307921,4923296
story of,6225,0.00028197977980753893,4923296
of this,15243,0.0006904767523865568,4923296
this old,100,4.529795659558859e-06,4923296
old woman,115,5.209265008492687e-06,4923296
woman was,78,3.5332406144559096e-06,4923296
was both,97,4.3939017897720926e-06,4923296
both sweet,13,5.888734357426516e-07,4923296
sweet and,756,3.424525518626497e-05,4923296
and entertaining,483,2.1878913035669286e-05,4923296
entertaining the,140,6.341713923382402e-06,4923296
the movie,17813,0.0008068925008372195,4923296
movie holds,43,1.9478121336103093e-06,4923296
holds onto,11,4.982775225514744e-07,4923296
onto its,21,9.512570885073603e-07,4923296
its pacing,59,2.6725794391397267e-06,4923296
pacing the,85,3.85032631062503e-06,4923296
the entire,3461,0.0001567762277773321,4923296
entire time,389,1.762090511568396e-05,4923296
time which,112,5.073371138705922e-06,4923296
which lets,9,4.076816093602973e-07,4923296
lets the,101,4.575093616154447e-06,4923296
the viewer,1163,5.268152352066952e-05,4923296
viewer know,5,2.2648978297794294e-07,4923296
know what,3388,0.00015346947694585414,4923296
what they,1543,6.98947470269932e-05,4923296
they are,3953,0.00017906282242236167,4923296
are in,998,4.520736068239741e-05,4923296
in for,764,3.460763883902968e-05,4923296
for it,2897,0.00013122818025742013,4923296
it never,1113,5.04166256908901e-05,4923296
never really,1092,4.9465368602382735e-05,4923296
really drags,29,1.313640741272069e-06,4923296
drags if,2,9.059591319117718e-08,4923296
if a,734,3.3248700141162024e-05,4923296
a bit,11375,0.0005152642562748201,4923296
bit slow,191,8.65190970975742e-06,4923296
slow and,630,2.853771265522081e-05,4923296
and the,39771,0.0018015450317631536,4923296
the way,9219,0.00041760186185473117,4923296
way the,1406,6.368892697339755e-05,4923296
story plays,18,8.153632187205946e-07,4923296
plays out,409,1.8526864247595732e-05,4923296
out is,197,8.923697449330952e-06,4923296
is really,2454,0.00011116118548557438,4923296
really lovely,62,2.8084733089264923e-06,4923296
lovely the,23,1.0418530016985375e-06,4923296
the script,2520,0.00011415085062088324,4923296
script has,87,3.940922223816207e-06,4923296
has some,1855,8.402770948481683e-05,4923296
some really,885,4.00886915870959e-05,4923296
really touching,47,2.1290039599926637e-06,4923296
touching dialogue,1,4.529795659558859e-08,4923296
dialogue and,993,4.498087089941947e-05,4923296
and is,3149,0.00014264326531950847,4923296
is surprisingly,302,1.3679982891867753e-05,4923296
surprisingly quite,17,7.70065262125006e-07,4923296
quite well,274,1.2411640107191273e-05,4923296
well written,779,3.528710818796351e-05,4923296
written geraldine,1,4.529795659558859e-08,4923296
geraldine page,54,2.4460896561617836e-06,4923296
page is,60,2.7178773957353153e-06,4923296
is the,20109,0.0009108966091806908,4923296
the real,2738,0.00012402580515872156,4923296
real star,126,5.707542531044162e-06,4923296
star here,58,2.627281482544138e-06,4923296
here who,60,2.7178773957353153e-06,4923296
who gives,189,8.561313796566243e-06,4923296
gives one,268,1.2139852367617741e-05,4923296
one of,34840,0.0015781808077903064,4923296
of the,110661,0.005012717174824428,4923296
the most,18092,0.0008195306307273887,4923296
most obscure,19,8.606611753161832e-07,4923296
obscure films,7,3.1708569616912013e-07,4923296
films in,1034,4.68380871198386e-05,4923296
in recent,371,1.6805541896963367e-05,4923296
recent years,197,8.923697449330952e-06,4923296
years tied,1,4.529795659558859e-08,4923296
tied with,33,1.4948325676544233e-06,4923296
with jessica,16,7.247673055294174e-07,4923296
jessica lange,70,3.170856961691201e-06,4923296
lange s,9,4.076816093602973e-07,4923296
s oscar,179,8.108334230610357e-06,4923296
oscar winning,473,2.14259334697134e-05,4923296
winning performance,113,5.11866909530151e-06,4923296
performance inblue,2,9.059591319117718e-08,4923296
inblue skyback,1,4.529795659558859e-08,4923296
skyback in,1,4.529795659558859e-08,4923296
in 94,9,4.076816093602973e-07,4923296
94 where,2,9.059591319117718e-08,4923296
where a,903,4.0904054805816495e-05,4923296
a leading,181,8.198930143801535e-06,4923296
leading lady,79,3.5785385710514983e-06,4923296
lady won,1,4.529795659558859e-08,4923296
won the,446,2.020288864163251e-05,4923296
the oscar,573,2.595572912927226e-05,4923296
oscar for,749,3.392816949009585e-05,4923296
for best,1043,4.7245768729198894e-05,4923296
best actress,361,1.6352562331007478e-05,4923296
actress the,29,1.313640741272069e-06,4923296
a film,15105,0.0006842256343763656,4923296
film aimed,6,2.717877395735315e-07,4923296
aimed for,17,7.70065262125006e-07,4923296
for the,23812,0.0010786349424541555,4923296
the elderly,83,3.7597303974338526e-06,4923296
elderly demographic,1,4.529795659558859e-08,4923296
demographic in,5,2.2648978297794294e-07,4923296
in other,566,2.5638643433103138e-05,4923296
other words,200,9.059591319117717e-06,4923296
words the,106,4.80158339913239e-06,4923296
the film,34108,0.0015450227035623354,4923296
film may,134,6.069926183808871e-06,4923296
may not,1048,4.7472258512176837e-05,4923296
not be,1732,7.845606082355943e-05,4923296
be all,188,8.516015839970655e-06,4923296
all that,2270,0.00010282636147198609,4923296
that interesting,147,6.658799619551522e-06,4923296
interesting nor,9,4.076816093602973e-07,4923296
nor engaging,1,4.529795659558859e-08,4923296
engaging especially,5,2.2648978297794294e-07,4923296
especially for,352,1.594488072164718e-05,4923296
for a,16248,0.0007360011987651233,4923296
a modern,673,3.048552478883112e-05,4923296
modern audience,30,1.3589386978676577e-06,4923296
audience you,15,6.794693489338288e-07,4923296
you need,975,4.416550768069887e-05,4923296
need to,3959,0.0001793346101619352,4923296
to have,5194,0.00023527758655748711,4923296
have patience,5,2.2648978297794294e-07,4923296
patience and,76,3.4426447012647327e-06,4923296
and be,514,2.3283149690132533e-05,4923296
be committed,5,2.2648978297794294e-07,4923296
committed into,1,4.529795659558859e-08,4923296
into watching,93,4.212709963389739e-06,4923296
watching this,4735,0.00021448582448011197,4923296
this film,30641,0.0013879746880454298,4923296
film because,472,2.1380635513117813e-05,4923296
because nothing,37,1.6760243940367776e-06,4923296
