types,counts,probs,total_unique
people talk,13,5.334699016281501e-06,768272
talk shit,3,1.2310843883726541e-06,768272
shit aboutthe,2,8.207229255817694e-07,768272
aboutthe haunted,2,8.207229255817694e-07,768272
haunted mansionbut,4,1.6414458511635388e-06,768272
mansionbut the,2,8.207229255817694e-07,768272
the guy,160,6.565783404654156e-05,768272
guy is,37,1.5183374123262735e-05,768272
is dead,34,1.3952289734890081e-05,768272
dead and,23,9.438313644190348e-06,768272
and he,399,0.000163734223653563,768272
he s,536,0.0002199537440559142,768272
s tryna,2,8.207229255817694e-07,768272
tryna get,2,8.207229255817694e-07,768272
get jiggy,2,8.207229255817694e-07,768272
jiggy with,2,8.207229255817694e-07,768272
with my,571,0.00023431639525359516,768272
my wife,148,6.073349649305094e-05,768272
wife is,17,6.976144867445041e-06,768272
is peak,27,1.1079759495353888e-05,768272
peak cinema,45,1.8466265825589814e-05,768272
cinema scene,2,8.207229255817694e-07,768272
scene transition,3,1.2310843883726541e-06,768272
transition designer,2,8.207229255817694e-07,768272
designer was,2,8.207229255817694e-07,768272
was working,17,6.976144867445041e-06,768272
working overtime,5,2.0518073139544237e-06,768272
overtime on,2,8.207229255817694e-07,768272
on this,509,0.00020887398456056032,768272
this family,47,1.9286988751171583e-05,768272
family friendly,233,9.561422083027614e-05,768272
friendly version,11,4.513976090699732e-06,768272
version of,414,0.00016988964559542627,768272
of jupiter,2,8.207229255817694e-07,768272
jupiter ascending,2,8.207229255817694e-07,768272
ascending i,2,8.207229255817694e-07,768272
i would,1143,0.00046904315196998124,768272
would genuinely,2,8.207229255817694e-07,768272
genuinely love,6,2.4621687767453082e-06,768272
love to,131,5.37573516256059e-05,768272
to write,107,4.390867651862466e-05,768272
write a,60,2.4621687767453083e-05,768272
a reboot,14,5.745060479072386e-06,768272
reboot eddie,2,8.207229255817694e-07,768272
eddie murphy,156,6.401638819537802e-05,768272
murphy still,2,8.207229255817694e-07,768272
still gets,17,6.976144867445041e-06,768272
gets cucked,5,2.0518073139544237e-06,768272
cucked by,7,2.872530239536193e-06,768272
by a,519,0.00021297759918846918,768272
a ghost,55,2.256988045349866e-05,768272
ghost in,7,2.872530239536193e-06,768272
in mine,3,1.2310843883726541e-06,768272
mine respect,2,8.207229255817694e-07,768272
respect for,27,1.1079759495353888e-05,768272
for the,3003,0.0012323154727610268,768272
the source,88,3.6111808725597856e-05,768272
source material,125,5.129518284886059e-05,768272
material yes,2,8.207229255817694e-07,768272
yes i'm,14,5.745060479072386e-06,768272
i'm giving,21,8.61759071860858e-06,768272
giving the,33,1.3541928272099195e-05,768272
the haunted,32,1.313156680930831e-05,768272
haunted mansion,40,1.641445851163539e-05,768272
mansion 3,2,8.207229255817694e-07,768272
3 5,83,3.4060001411643435e-05,768272
5 stars,212,8.699663011166756e-05,768272
stars now,4,1.6414458511635388e-06,768272
now please,6,2.4621687767453082e-06,768272
please hear,3,1.2310843883726541e-06,768272
hear me,39,1.6004097048844504e-05,768272
me out,105,4.30879535930429e-05,768272
out this,90,3.693253165117963e-05,768272
this isn't,150,6.15542194186327e-05,768272
isn't nostalgia,2,8.207229255817694e-07,768272
nostalgia talking,10,4.1036146279088475e-06,768272
talking i,6,2.4621687767453082e-06,768272
i find,132,5.416771308839678e-05,768272
find the,102,4.185686920467024e-05,768272
mansion to,3,1.2310843883726541e-06,768272
to be,3887,0.0015950750058681688,768272
be an,150,6.15542194186327e-05,768272
an excellent,55,2.256988045349866e-05,768272
excellent family,4,1.6414458511635388e-06,768272
family film,304,0.00012474988468842897,768272
film one,29,1.1900482420935657e-05,768272
one that,195,8.002048524422253e-05,768272
that has,274,0.00011243904080470242,768272
has plenty,19,7.79686779302681e-06,768272
plenty of,190,7.79686779302681e-05,768272
of scares,4,1.6414458511635388e-06,768272
scares for,5,2.0518073139544237e-06,768272
for children,166,6.812000282328687e-05,768272
children yes,2,8.207229255817694e-07,768272
yes they,9,3.6932531651179626e-06,768272
they can,126,5.170554431165148e-05,768272
can handle,7,2.872530239536193e-06,768272
handle it,13,5.334699016281501e-06,768272
it honestly,26,1.0669398032563002e-05,768272
honestly some,3,1.2310843883726541e-06,768272
some people,75,3.077710970931635e-05,768272
people are,97,3.980506189071582e-05,768272
are so,297,0.00012187735444889276,768272
so protective,2,8.207229255817694e-07,768272
