types,counts,probs,total_unique
i'm so,229,2.2734524490046747e-05,2455312
so tired,34,3.3754315836750626e-06,2455312
tired of,217,2.154319569580849e-05,2455312
of rape,38,3.772541181754482e-06,2455312
rape and,103,1.0225572150545044e-05,2455312
and sexual,66,6.552308368310416e-06,2455312
sexual assault,81,8.041469361108237e-06,2455312
assault against,1,9.927739951985479e-08,2455312
against women,25,2.48193498799637e-06,2455312
women being,37,3.673263782234627e-06,2455312
being shown,36,3.573986382714772e-06,2455312
shown on,43,4.2689281793537554e-06,2455312
on screen,850,8.438578959187657e-05,2455312
screen like,16,1.5884383923176766e-06,2455312
like it's,307,3.047816165259542e-05,2455312
it's nothing,64,6.353753569270706e-06,2455312
nothing as,12,1.1913287942382574e-06,2455312
as if,712,7.06855084581366e-05,2455312
if it,1917,0.00019031477487956163,2455312
it doesn't,1281,0.00012717434878493398,2455312
doesn't happen,32,3.176876784635353e-06,2455312
happen every,7,6.949417966389834e-07,2455312
every single,557,5.529751153255912e-05,2455312
single minute,14,1.389883593277967e-06,2455312
minute to,30,2.9783219855956437e-06,2455312
to real,15,1.4891609927978218e-06,2455312
real women,3,2.9783219855956436e-07,2455312
women it's,7,6.949417966389834e-07,2455312
it's bullshit,2,1.9855479903970957e-07,2455312
bullshit and,26,2.5812123875162243e-06,2455312
and there's,502,4.9837254558967104e-05,2455312
there's no,591,5.867294311623418e-05,2455312
no need,76,7.545082363508964e-06,2455312
need for,119,1.181401054286272e-05,2455312
for it,1717,0.00017045929497559067,2455312
it in,1413,0.0001402789655215548,2455312
in horror,516,5.122713815224507e-05,2455312
horror movies,2108,0.00020927675818785388,2455312
movies if,38,3.772541181754482e-06,2455312
if you,5564,0.0005523794509284721,2455312
you have,1625,0.00016132577421976401,2455312
have to,3015,0.0002993213595523622,2455312
to result,9,8.93496595678693e-07,2455312
result to,2,1.9855479903970957e-07,2455312
to that,665,6.601947068070343e-05,2455312
that to,152,1.5090164727017928e-05,2455312
to shock,78,7.743637162548673e-06,2455312
shock your,2,1.9855479903970957e-07,2455312
your viewers,1,9.927739951985479e-08,2455312
viewers you're,1,9.927739951985479e-08,2455312
you're not,203,2.015331210253052e-05,2455312
not talented,1,9.927739951985479e-08,2455312
talented and,29,2.8790445860757887e-06,2455312
and should,88,8.736411157747222e-06,2455312
should not,134,1.3303171535660541e-05,2455312
not be,811,8.051397101060223e-05,2455312
be making,41,4.070373380314046e-06,2455312
making movies,75,7.4458049639891086e-06,2455312
movies besides,4,3.9710959807941914e-07,2455312
besides those,2,1.9855479903970957e-07,2455312
those scenes,45,4.467482978393465e-06,2455312
scenes this,56,5.559534373111868e-06,2455312
this wasn't,240,2.382657588476515e-05,2455312
wasn't even,87,8.637133758227366e-06,2455312
even good,34,3.3754315836750626e-06,2455312
good or,177,1.75720997150143e-05,2455312
or scary,56,5.559534373111868e-06,2455312
scary the,79,7.842914562068528e-06,2455312
the only,3198,0.0003174891236644956,2455312
only thing,588,5.837511091767461e-05,2455312
thing i,742,7.366383044373226e-05,2455312
i liked,1994,0.00019795913464259045,2455312
liked was,13,1.2906061937581122e-06,2455312
was the,3119,0.00030964620910242706,2455312
the family,446,4.427772018585524e-05,2455312
family and,182,1.8068486712613572e-05,2455312
and their,666,6.611874808022329e-05,2455312
their dynamic,4,3.9710959807941914e-07,2455312
dynamic fuck,1,9.927739951985479e-08,2455312
fuck you,267,2.6507065671801227e-05,2455312
you i,337,3.345648363819106e-05,2455312
i could,1979,0.00019646997364979263,2455312
could review,1,9.927739951985479e-08,2455312
review this,115,1.14169009447833e-05,2455312
this but,1007,9.997234131649377e-05,2455312
but instead,340,3.375431583675063e-05,2455312
instead im,1,9.927739951985479e-08,2455312
im going,17,1.6877157918375313e-06,2455312
going to,3947,0.00039184789590486686,2455312
