types,counts,probs,total_unique
prince is,12,7.154193132213066e-06,618863
is a,3047,0.0018165688728211012,618863
a struggling,24,1.4308386264426132e-05,618863
struggling musician,5,2.9809138050887776e-06,618863
musician who,17,1.0135106937301843e-05,618863
who lives,7,4.173279327124289e-06,618863
lives with,8,4.769462088142044e-06,618863
with his,302,0.00018004719382736217,618863
his parents,26,1.5500751786461643e-05,618863
parents and,19,1.1327472459337354e-05,618863
and instead,30,1.7885482830532665e-05,618863
instead of,252,0.0001502380557764744,618863
of saving,2,1.192365522035511e-06,618863
saving up,2,1.192365522035511e-06,618863
up his,26,1.5500751786461643e-05,618863
his money,8,4.769462088142044e-06,618863
money to,31,1.848166559155042e-05,618863
to get,520,0.00031001503572923285,618863
get his,8,4.769462088142044e-06,618863
his own,169,0.00010075488661200069,618863
own apartment,2,1.192365522035511e-06,618863
apartment he,2,1.192365522035511e-06,618863
he spent,5,2.9809138050887776e-06,618863
spent it,1,5.961827610177555e-07,618863
it all,303,0.00018064337658837992,618863
all on,16,9.538924176284089e-06,618863
on a,892,0.0005317950228278379,618863
a custom,1,5.961827610177555e-07,618863
custom purple,1,5.961827610177555e-07,618863
purple motorcycle,2,1.192365522035511e-06,618863
motorcycle with,2,1.192365522035511e-06,618863
his logo,1,5.961827610177555e-07,618863
logo on,3,1.7885482830532665e-06,618863
on it,118,7.034956580009514e-05,618863
it a,327,0.00019495176285280605,618863
a legend,31,1.848166559155042e-05,618863
legend some,1,5.961827610177555e-07,618863
some losers,2,1.192365522035511e-06,618863
losers might,1,5.961827610177555e-07,618863
might tell,1,5.961827610177555e-07,618863
tell you,120,7.154193132213066e-05,618863
you this,33,1.9674031113585932e-05,618863
this movie,3501,0.002087235846323162,618863
movie has,157,9.360069347978762e-05,618863
has story,1,5.961827610177555e-07,618863
story problems,2,1.192365522035511e-06,618863
problems or,2,1.192365522035511e-06,618863
or an,11,6.558010371195311e-06,618863
an inconsistent,1,5.961827610177555e-07,618863
inconsistent tone,1,5.961827610177555e-07,618863
tone but,4,2.384731044071022e-06,618863
but also,250,0.00014904569025443889,618863
also consider,1,5.961827610177555e-07,618863
consider that,4,2.384731044071022e-06,618863
that every,28,1.6693117308497156e-05,618863
every five,4,2.384731044071022e-06,618863
five minutes,33,1.9674031113585932e-05,618863
minutes prince,1,5.961827610177555e-07,618863
prince performs,1,5.961827610177555e-07,618863
performs one,1,5.961827610177555e-07,618863
one of,2794,0.0016657346342836088,618863
of the,8546,0.005094977875657739,618863
the best,1317,0.000785172696260384,618863
best songs,13,7.750375893230822e-06,618863
songs ever,20,1.192365522035511e-05,618863
ever recorded,11,6.558010371195311e-06,618863
recorded who,2,1.192365522035511e-06,618863
who gives,20,1.192365522035511e-05,618863
gives a,75,4.4713707076331666e-05,618863
a shit,40,2.384731044071022e-05,618863
shit about,19,1.1327472459337354e-05,618863
about story,1,5.961827610177555e-07,618863
problems when,1,5.961827610177555e-07,618863
when he,211,0.00012579456257474643,618863
he s,339,0.00020210595598501912,618863
s performing,1,5.961827610177555e-07,618863
performing darling,1,5.961827610177555e-07,618863
darling nikki,4,2.384731044071022e-06,618863
nikki you,1,5.961827610177555e-07,618863
you could,124,7.392666236620168e-05,618863
could never,43,2.563585872376349e-05,618863
never make,8,4.769462088142044e-06,618863
make this,105,6.259918990686432e-05,618863
this film,2205,0.001314582988044151,618863
film today,8,4.769462088142044e-06,618863
today because,5,2.9809138050887776e-06,618863
because prince,3,1.7885482830532665e-06,618863
prince would,3,1.7885482830532665e-06,618863
would have,438,0.0002611280493257769,618863
have to,545,0.00032491960475467674,618863
to wear,19,1.1327472459337354e-05,618863
wear a,12,7.154193132213066e-06,618863
a helmet,1,5.961827610177555e-07,618863
helmet when,1,5.961827610177555e-07,618863
when driving,3,1.7885482830532665e-06,618863
driving his,2,1.192365522035511e-06,618863
his motorcycle,4,2.384731044071022e-06,618863
motorcycle and,1,5.961827610177555e-07,618863
and that,391,0.0002331074595579424,618863
that would,125,7.452284512721944e-05,618863
would look,14,8.346558654248578e-06,618863
look ridiculous,1,5.961827610177555e-07,618863
ridiculous dearly,1,5.961827610177555e-07,618863
dearly beloved,4,2.384731044071022e-06,618863
beloved we,3,1.7885482830532665e-06,618863
we are,187,0.00011148617631032028,618863
are gathered,3,1.7885482830532665e-06,618863
gathered here,3,1.7885482830532665e-06,618863
here today,3,1.7885482830532665e-06,618863
today to,6,3.577096566106533e-06,618863
to honor,3,1.7885482830532665e-06,618863
honor the,1,5.961827610177555e-07,618863
the life,141,8.406176930350353e-05,618863
life of,139,8.286940378146801e-05,618863
the greatest,433,0.0002581471355206881,618863
greatest artist,4,2.384731044071022e-06,618863
artist to,1,5.961827610177555e-07,618863
to ever,76,4.530988983734942e-05,618863
ever walk,6,3.577096566106533e-06,618863
walk the,38,2.265494491867471e-05,618863
the earth,22,1.3116020742390621e-05,618863
earth the,5,2.9809138050887776e-06,618863
the total,5,2.9809138050887776e-06,618863
total package,2,1.192365522035511e-06,618863
package of,2,1.192365522035511e-06,618863
of music,255,0.00015202660405952767,618863
music with,28,1.6693117308497156e-05,618863
with pitch,1,5.961827610177555e-07,618863
pitch perfect,40,2.384731044071022e-05,618863
perfect vocal,1,5.961827610177555e-07,618863
vocal guitar,1,5.961827610177555e-07,618863
guitar piano,1,5.961827610177555e-07,618863
piano songwriting,1,5.961827610177555e-07,618863
songwriting fashion,1,5.961827610177555e-07,618863
fashion dancing,1,5.961827610177555e-07,618863
dancing motorcycle,1,5.961827610177555e-07,618863
motorcycle riding,5,2.9809138050887776e-06,618863
riding and,1,5.961827610177555e-07,618863
and basketball,1,5.961827610177555e-07,618863
basketball skills,1,5.961827610177555e-07,618863
skills no,1,5.961827610177555e-07,618863
no one,239,0.00014248767988324357,618863
one will,12,7.154193132213066e-06,618863
will ever,30,1.7885482830532665e-05,618863
ever compare,3,1.7885482830532665e-06,618863
compare to,5,2.9809138050887776e-06,618863
to prince,4,2.384731044071022e-06,618863
prince he's,2,1.192365522035511e-06,618863
he's truly,3,1.7885482830532665e-06,618863
truly thee,1,5.961827610177555e-07,618863
thee artist,1,5.961827610177555e-07,618863
artist when,1,5.961827610177555e-07,618863
when you,253,0.00015083423853749214,618863
you view,1,5.961827610177555e-07,618863
view my,1,5.961827610177555e-07,618863
my letterboxd,16,9.538924176284089e-06,618863
letterboxd page,3,1.7885482830532665e-06,618863
page you,1,5.961827610177555e-07,618863
you can't,107,6.379155542889984e-05,618863
can't help,93,5.544499677465126e-05,618863
help but,134,7.988848997637924e-05,618863
but think,9,5.3656448491598e-06,618863
think of,157,9.360069347978762e-05,618863
of prince,14,8.346558654248578e-06,618863
prince and,21,1.2519837981372865e-05,618863
and purple,3,1.7885482830532665e-06,618863
purple rain,37,2.2058762157656954e-05,618863
rain my,1,5.961827610177555e-07,618863
my banner,1,5.961827610177555e-07,618863
banner is,2,1.192365522035511e-06,618863
is the,1769,0.0010546473042404095,618863
the kid,52,3.1001503572923286e-05,618863
kid on,3,1.7885482830532665e-06,618863
on his,160,9.538924176284088e-05,618863
his eat,1,5.961827610177555e-07,618863
eat shit,2,1.192365522035511e-06,618863
shit fuck,4,2.384731044071022e-06,618863
fuck you,49,2.921295528987002e-05,618863
you grin,1,5.961827610177555e-07,618863
grin that's,1,5.961827610177555e-07,618863
that's me,4,2.384731044071022e-06,618863
me the,182,0.0001085052625052315,618863
the a,35,2.086639663562144e-05,618863
a classic,100,5.9618276101775555e-05,618863
classic case,1,5.961827610177555e-07,618863
case of,37,2.2058762157656954e-05,618863
of i,48,2.8616772528852265e-05,618863
i know,465,0.0002772249838732563,618863
know what's,7,4.173279327124289e-06,618863
what's wrong,6,3.577096566106533e-06,618863
wrong with,63,3.75595139441186e-05,618863
with this,377,0.00022476090090369383,618863
movie and,351,0.0002092601491172322,618863
and i,2102,0.0012531761636593221,618863
i don't,663,0.0003952691705547719,618863
don't care,35,2.086639663562144e-05,618863
care this,6,3.577096566106533e-06,618863
this has,157,9.360069347978762e-05,618863
has got,21,1.2519837981372865e-05,618863
got to,172,0.00010254343489505395,618863
to be,2665,0.0015888270581123185,618863
be one,109,6.498392095093536e-05,618863
the worst,268,0.0001597769799527585,618863
worst movies,20,1.192365522035511e-05,618863
movies ever,46,2.7424407006816752e-05,618863
ever made,240,0.00014308386264426132,618863
made but,30,1.7885482830532665e-05,618863
but then,146,8.70426831085923e-05,618863
then prince,1,5.961827610177555e-07,618863
prince sings,1,5.961827610177555e-07,618863
sings purple,1,5.961827610177555e-07,618863
rain and,12,7.154193132213066e-06,618863
and everything,62,3.696333118310084e-05,618863
everything is,59,3.517478290004757e-05,618863
is alright,6,3.577096566106533e-06,618863
alright to,1,5.961827610177555e-07,618863
to try,63,3.75595139441186e-05,618863
try and,50,2.9809138050887777e-05,618863
and summarize,1,5.961827610177555e-07,618863
summarize my,1,5.961827610177555e-07,618863
my relationship,4,2.384731044071022e-06,618863
relationship with,65,3.8751879466154106e-05,618863
with prince,8,4.769462088142044e-06,618863
would be,532,0.0003171692288614459,618863
be akin,2,1.192365522035511e-06,618863
akin to,10,5.961827610177555e-06,618863
to writing,3,1.7885482830532665e-06,618863
writing my,3,1.7885482830532665e-06,618863
my own,100,5.9618276101775555e-05,618863
own biography,2,1.192365522035511e-06,618863
biography my,1,5.961827610177555e-07,618863
my mom's,7,4.173279327124289e-06,618863
mom's water,1,5.961827610177555e-07,618863
water broke,1,5.961827610177555e-07,618863
broke while,2,1.192365522035511e-06,618863
while she,22,1.3116020742390621e-05,618863
she was,293,0.00017468154897820238,618863
was listening,10,5.961827610177555e-06,618863
listening to,145,8.644650034757455e-05,618863
to sign,4,2.384731044071022e-06,618863
sign o,3,1.7885482830532665e-06,618863
o the,5,2.9809138050887776e-06,618863
the times,27,1.6096934547479398e-05,618863
times on,6,3.577096566106533e-06,618863
on loop,3,1.7885482830532665e-06,618863
loop one,1,5.961827610177555e-07,618863
of my,982,0.0005854514713194359,618863
my first,150,8.942741415266333e-05,618863
first memories,1,5.961827610177555e-07,618863
memories was,1,5.961827610177555e-07,618863
was dancing,7,4.173279327124289e-06,618863
dancing to,26,1.5500751786461643e-05,618863
to a,725,0.00043223250173787277,618863
a mix,31,1.848166559155042e-05,618863
mix tape,3,1.7885482830532665e-06,618863
tape my,1,5.961827610177555e-07,618863
my mom,109,6.498392095093536e-05,618863
mom made,2,1.192365522035511e-06,618863
made during,12,7.154193132213066e-06,618863
during high,1,5.961827610177555e-07,618863
high school,296,0.00017647009726125563,618863
school which,2,1.192365522035511e-06,618863
which featured,3,1.7885482830532665e-06,618863
featured bananarama,1,5.961827610177555e-07,618863
bananarama the,1,5.961827610177555e-07,618863
the bangles,1,5.961827610177555e-07,618863
bangles the,1,5.961827610177555e-07,618863
the go,8,4.769462088142044e-06,618863
go go's,1,5.961827610177555e-07,618863
go's and,1,5.961827610177555e-07,618863
and prince,4,2.384731044071022e-06,618863
prince that,1,5.961827610177555e-07,618863
that first,14,8.346558654248578e-06,618863
first exposure,3,1.7885482830532665e-06,618863
exposure to,5,2.9809138050887776e-06,618863
to music,37,2.2058762157656954e-05,618863
music helped,2,1.192365522035511e-06,618863
helped shape,3,1.7885482830532665e-06,618863
shape the,3,1.7885482830532665e-06,618863
the kind,125,7.452284512721944e-05,618863
kind of,917,0.0005466995918532818,618863
music i,94,5.604117953566902e-05,618863
i would,594,0.00035413256004454677,618863
would later,16,9.538924176284089e-06,618863
later become,3,1.7885482830532665e-06,618863
become obsessed,3,1.7885482830532665e-06,618863
obsessed with,117,6.975338303907739e-05,618863
with and,34,2.0270213874603687e-05,618863
that was,455,0.00027126315626307875,618863
was thanks,1,5.961827610177555e-07,618863
thanks to,114,6.796483475602413e-05,618863
to my,295,0.00017587391450023788,618863
mom my,1,5.961827610177555e-07,618863
my a,3,1.7885482830532665e-06,618863
a concise,2,1.192365522035511e-06,618863
concise dating,1,5.961827610177555e-07,618863
dating history,1,5.961827610177555e-07,618863
history of,124,7.392666236620168e-05,618863
kid and,51,3.0405320811905532e-05,618863
and apollonia,1,5.961827610177555e-07,618863
apollonia the,1,5.961827610177555e-07,618863
the meet,7,4.173279327124289e-06,618863
meet cute,9,5.3656448491598e-06,618863
cute apollonia,1,5.961827610177555e-07,618863
apollonia falls,1,5.961827610177555e-07,618863
falls head,2,1.192365522035511e-06,618863
head over,5,2.9809138050887776e-06,618863
over heels,4,2.384731044071022e-06,618863
heels for,4,2.384731044071022e-06,618863
for prince,2,1.192365522035511e-06,618863
prince after,2,1.192365522035511e-06,618863
after watching,81,4.8290803642438194e-05,618863
watching him,18,1.07312896983196e-05,618863
him perform,5,2.9809138050887776e-06,618863
perform let's,1,5.961827610177555e-07,618863
let's go,11,6.558010371195311e-06,618863
go crazy,7,4.173279327124289e-06,618863
crazy live,1,5.961827610177555e-07,618863
live this,4,2.384731044071022e-06,618863
this tracks,1,5.961827610177555e-07,618863
tracks as,2,1.192365522035511e-06,618863
as it,426,0.00025397385619356386,618863
it also,155,9.24083279577521e-05,618863
also happens,7,4.173279327124289e-06,618863
happens to,53,3.1597686333941044e-05,618863
to me,593,0.000353536377283529,618863
me every,31,1.848166559155042e-05,618863
every time,241,0.00014368004540527907,618863
time he,51,3.0405320811905532e-05,618863
he proceeds,2,1.192365522035511e-06,618863
proceeds to,9,5.3656448491598e-06,618863
be weird,6,3.577096566106533e-06,618863
weird and,56,3.338623461699431e-05,618863
and creepy,6,3.577096566106533e-06,618863
creepy using,1,5.961827610177555e-07,618863
using mirrored,1,5.961827610177555e-07,618863
mirrored sunglasses,1,5.961827610177555e-07,618863
sunglasses as,1,5.961827610177555e-07,618863
as a,2010,0.0011983273496456886,618863
a fedora,3,1.7885482830532665e-06,618863
fedora replacement,1,5.961827610177555e-07,618863
replacement she,1,5.961827610177555e-07,618863
she attempts,4,2.384731044071022e-06,618863
attempts to,47,2.802058976783451e-05,618863
to talk,75,4.4713707076331666e-05,618863
talk to,56,3.338623461699431e-05,618863
to him,71,4.232897603226064e-05,618863
him but,28,1.6693117308497156e-05,618863
but he,155,9.24083279577521e-05,618863
he disappears,1,5.961827610177555e-07,618863
disappears like,1,5.961827610177555e-07,618863
like a,982,0.0005854514713194359,618863
a patchy,1,5.961827610177555e-07,618863
patchy mustachioed,1,5.961827610177555e-07,618863
mustachioed vampire,1,5.961827610177555e-07,618863
vampire 1st,1,5.961827610177555e-07,618863
1st date,1,5.961827610177555e-07,618863
date the,6,3.577096566106533e-06,618863
kid surprises,1,5.961827610177555e-07,618863
surprises apollonia,1,5.961827610177555e-07,618863
apollonia in,1,5.961827610177555e-07,618863
in a,2305,0.0013742012641459265,618863
a mall,1,5.961827610177555e-07,618863
mall wearing,1,5.961827610177555e-07,618863
wearing the,6,3.577096566106533e-06,618863
the same,815,0.00048588895022947076,618863
same outfit,2,1.192365522035511e-06,618863
outfit as,1,5.961827610177555e-07,618863
as her,33,1.9674031113585932e-05,618863
her he,4,2.384731044071022e-06,618863
he prince,1,5.961827610177555e-07,618863
prince shows,1,5.961827610177555e-07,618863
shows the,36,2.14625793966392e-05,618863
the world,572,0.00034101653930215613,618863
world why,3,1.7885482830532665e-06,618863
why sometimes,1,5.961827610177555e-07,618863
sometimes all,6,3.577096566106533e-06,618863
all you,67,3.994424498818962e-05,618863
you need,85,5.067553468650922e-05,618863
need is,8,4.769462088142044e-06,618863
a little,837,0.0004990049709718613,618863
little bit,105,6.259918990686432e-05,618863
bit of,273,0.00016275789375784725,618863
of purple,10,5.961827610177555e-06,618863
rain to,4,2.384731044071022e-06,618863
to cure,6,3.577096566106533e-06,618863
cure whatever,1,5.961827610177555e-07,618863
