types,counts,probs,total_unique
when a,132,8.544181509485012e-05,576241
a former,81,5.24302047172944e-05,576241
former associate,1,6.472864779912888e-07,576241
associate of,3,1.9418594339738665e-06,576241
of rooster,5,3.236432389956444e-06,576241
rooster cogburn,34,2.200774025170382e-05,576241
cogburn and,4,2.589145911965155e-06,576241
and his,520,0.00033658896855547017,576241
his gang,25,1.618216194978222e-05,576241
gang steal,1,6.472864779912888e-07,576241
steal a,8,5.17829182393031e-06,576241
a large,51,3.301161037755573e-05,576241
large cargo,1,6.472864779912888e-07,576241
cargo of,1,6.472864779912888e-07,576241
of nitroglycerine,1,6.472864779912888e-07,576241
nitroglycerine from,1,6.472864779912888e-07,576241
from the,1413,0.000914615793401691,576241
the us,73,4.7251912893364084e-05,576241
us army,13,8.414724213886754e-06,576241
army the,2,1.2945729559825776e-06,576241
the local,86,5.566663710725084e-05,576241
local judge,6,3.883718867947733e-06,576241
judge is,6,3.883718867947733e-06,576241
is forced,25,1.618216194978222e-05,576241
forced to,72,4.6604626415372796e-05,576241
to bring,99,6.40813613211376e-05,576241
bring the,18,1.1651156603843199e-05,576241
the veteran,6,3.883718867947733e-06,576241
veteran marshal,1,6.472864779912888e-07,576241
marshal back,2,1.2945729559825776e-06,576241
back from,24,1.5534875471790932e-05,576241
from suspension,1,6.472864779912888e-07,576241
suspension and,1,6.472864779912888e-07,576241
and order,41,2.6538745597642843e-05,576241
order him,1,6.472864779912888e-07,576241
him to,141,9.126739339677172e-05,576241
to go,244,0.00015793790062987447,576241
go after,8,5.17829182393031e-06,576241
after the,290,0.00018771307861747375,576241
the miscreants,2,1.2945729559825776e-06,576241
miscreants along,1,6.472864779912888e-07,576241
along with,147,9.515111226471945e-05,576241
with him,95,6.149221540917243e-05,576241
him comes,1,6.472864779912888e-07,576241
comes a,21,1.3593016037817066e-05,576241
a headstrong,2,1.2945729559825776e-06,576241
headstrong spinster,1,6.472864779912888e-07,576241
spinster whose,1,6.472864779912888e-07,576241
whose father,3,1.9418594339738665e-06,576241
father was,9,5.8255783019215995e-06,576241
was one,140,9.062010691878044e-05,576241
one the,87,5.631392358524213e-05,576241
the gang's,4,2.589145911965155e-06,576241
gang's victims,2,1.2945729559825776e-06,576241
victims john,1,6.472864779912888e-07,576241
john wayne's,95,6.149221540917243e-05,576241
wayne's penultimate,1,6.472864779912888e-07,576241
penultimate western,2,1.2945729559825776e-06,576241
western is,158,0.00010227126352262363,576241
is a,3002,0.001943154006929849,576241
a rather,84,5.437206415126826e-05,576241
rather ordinary,1,6.472864779912888e-07,576241
ordinary affair,1,6.472864779912888e-07,576241
affair with,6,3.883718867947733e-06,576241
with nothing,17,1.100387012585191e-05,576241
nothing to,69,4.466276698139893e-05,576241
to add,34,2.200774025170382e-05,576241
add to,32,2.071316729572124e-05,576241
to a,710,0.00045957339937381506,576241
a genre,96,6.213950188716373e-05,576241
genre that,52,3.365889685554702e-05,576241
that had,75,4.854648584934666e-05,576241
had mostly,2,1.2945729559825776e-06,576241
mostly fallen,1,6.472864779912888e-07,576241
fallen out,2,1.2945729559825776e-06,576241
out of,947,0.0006129802946577505,576241
of favor,2,1.2945729559825776e-06,576241
favor with,4,2.589145911965155e-06,576241
with worldwide,1,6.472864779912888e-07,576241
worldwide you'd,1,6.472864779912888e-07,576241
