types,counts,probs,total_unique
know what,975,0.0001558656811905772,1736749
what matt,1,1.5986223711854072e-07,1736749
matt and,3,4.795867113556221e-07,1736749
and trey,2,3.1972447423708144e-07,1736749
trey hate,1,1.5986223711854072e-07,1736749
hate more,2,3.1972447423708144e-07,1736749
more the,119,1.9023606217106347e-05,1736749
the action,1661,0.00026553117585389617,1736749
action movie,551,8.808409265231595e-05,1736749
movie satire,3,4.795867113556221e-07,1736749
satire replicates,1,1.5986223711854072e-07,1736749
replicates the,8,1.2788978969483257e-06,1736749
the cliches,11,1.758484608303948e-06,1736749
cliches of,9,1.4387601340668666e-06,1736749
of bad,164,2.6217406887440678e-05,1736749
bad hollywood,1,1.5986223711854072e-07,1736749
hollywood action,17,2.7176580310151925e-06,1736749
movies so,122,1.950319292846197e-05,1736749
so faithfully,1,1.5986223711854072e-07,1736749
faithfully that,1,1.5986223711854072e-07,1736749
that it's,603,9.639692898248006e-05,1736749
it's honestly,25,3.9965559279635185e-06,1736749
honestly a,54,8.6325608044012e-06,1736749
bit boring,24,3.836693690844977e-06,1736749
boring the,93,1.4867188052024287e-05,1736749
the puppet,21,3.357106979489355e-06,1736749
puppet sex,2,3.1972447423708144e-07,1736749
is still,956,0.00015282829868532493,1736749
still very,82,1.3108703443720339e-05,1736749
very funny,173,2.7656167021507547e-05,1736749
funny you,7,1.119035659829785e-06,1736749
you are,807,0.00012900882535466236,1736749
are worthress,1,1.5986223711854072e-07,1736749
worthress arec,1,1.5986223711854072e-07,1736749
arec barrwin,1,1.5986223711854072e-07,1736749
barrwin junimation,1,1.5986223711854072e-07,1736749
junimation ii,7,1.119035659829785e-06,1736749
ii f,7,1.119035659829785e-06,1736749
f yeah,8,1.2788978969483257e-06,1736749
yeah ameeeericaa,1,1.5986223711854072e-07,1736749
ameeeericaa fuck,1,1.5986223711854072e-07,1736749
fuck yeeeah,1,1.5986223711854072e-07,1736749
yeeeah man,1,1.5986223711854072e-07,1736749
man i,260,4.156418165082059e-05,1736749
i ve,2408,0.0003849482669814461,1736749
ve been,532,8.504671014706367e-05,1736749
been hearing,9,1.4387601340668666e-06,1736749
hearing some,2,3.1972447423708144e-07,1736749
some great,387,6.186668576487526e-05,1736749
great things,35,5.595178299148926e-06,1736749
things about,119,1.9023606217106347e-05,1736749
about this,1599,0.0002556197171525466,1736749
this film,7438,0.0011890553196877058,1736749
film but,842,0.0001346040036538113,1736749
but this,1903,0.000304217837236583,1736749
this blew,2,3.1972447423708144e-07,1736749
blew pun,1,1.5986223711854072e-07,1736749
pun intended,37,5.914902773386007e-06,1736749
intended every,3,4.795867113556221e-07,1736749
every expectation,1,1.5986223711854072e-07,1736749
expectation i,4,6.394489484741629e-07,1736749
i had,2985,0.0004771887777988441,1736749
had and,32,5.115591587793303e-06,1736749
and didn,54,8.6325608044012e-06,1736749
didn t,1932,0.0003088538421130207,1736749
t have,481,7.68937360540181e-05,1736749
have this,143,2.2860299907951322e-05,1736749
is peak,51,8.152974093045577e-06,1736749
peak spoof,1,1.5986223711854072e-07,1736749
spoof satire,2,3.1972447423708144e-07,1736749
satire with,7,1.119035659829785e-06,1736749
with parker,3,4.795867113556221e-07,1736749
parker and,25,3.9965559279635185e-06,1736749
and stone,4,6.394489484741629e-07,1736749
stone at,2,3.1972447423708144e-07,1736749
at the,5139,0.0008215320365521808,1736749
the height,70,1.1190356598297851e-05,1736749
height of,71,1.1350218835416391e-05,1736749
of their,759,0.00012133543797297241,1736749
their power,7,1.119035659829785e-06,1736749
power everything,2,3.1972447423708144e-07,1736749
everything that,217,3.469010545472334e-05,1736749
that has,801,0.0001280496519319511,1736749
has led,11,1.758484608303948e-06,1736749
led them,3,4.795867113556221e-07,1736749
them to,371,5.930888997097861e-05,1736749
to such,64,1.0231183175586606e-05,1736749
such a,2105,0.00033651000913452825,1736749
a fruitful,2,3.1972447423708144e-07,1736749
fruitful and,2,3.1972447423708144e-07,1736749
and lasting,1,1.5986223711854072e-07,1736749
lasting career,1,1.5986223711854072e-07,1736749
career can,2,3.1972447423708144e-07,1736749
can be,971,0.00015522623224210305,1736749
be found,123,1.966305516558051e-05,1736749
found here,28,4.47614263931914e-06,1736749
here so,48,7.673387381689954e-06,1736749
so stupid,85,1.3588290155075962e-05,1736749
stupid fun,26,4.156418165082059e-06,1736749
fun from,37,5.914902773386007e-06,1736749
from the,5527,0.0008835585845541746,1736749
the fighting,66,1.0550907649823687e-05,1736749
fighting to,22,3.516969216607896e-06,1736749
to the,9851,0.0015748028978547447,1736749
sex scenes,22,3.516969216607896e-06,1736749
scenes the,109,1.742498384592094e-05,1736749
the jokes,283,4.5241013104547025e-05,1736749
jokes all,6,9.591734227112443e-07,1736749
all pretty,56,8.95228527863828e-06,1736749
pretty much,816,0.00013044758548872923,1736749
much hit,1,1.5986223711854072e-07,1736749
hit with,27,4.3162804022006e-06,1736749
with me,508,8.121001645621869e-05,1736749
me whether,4,6.394489484741629e-07,1736749
whether they,28,4.47614263931914e-06,1736749
they were,1113,0.00017792666991293582,1736749
were this,24,3.836693690844977e-06,1736749
just one,185,2.9574513866930034e-05,1736749
one of,9370,0.0014979091618007266,1736749
best films,108,1.72651216088024e-05,1736749
films of,534,8.536643462130075e-05,1736749
of all,1923,0.0003074150819789538,1736749
all time,1261,0.00020158628100647985,1736749
time no,30,4.795867113556222e-06,1736749
no jokes,2,3.1972447423708144e-07,1736749
jokes here,14,2.23807131965957e-06,1736749
here lisa,1,1.5986223711854072e-07,1736749
lisa promise,1,1.5986223711854072e-07,1736749
promise me,6,9.591734227112443e-07,1736749
me you'll,5,7.993111855927036e-07,1736749
you'll never,21,3.357106979489355e-06,1736749
never die,10,1.5986223711854072e-06,1736749
die gary,1,1.5986223711854072e-07,1736749
gary johnston,5,7.993111855927036e-07,1736749
johnston you,1,1.5986223711854072e-07,1736749
you know,1401,0.00022396699420307556,1736749
know i,383,6.12272368164011e-05,1736749
i can't,1169,0.0001868789551915741,1736749
can't promise,2,3.1972447423708144e-07,1736749
promise that,8,1.2788978969483257e-06,1736749
that lisa,1,1.5986223711854072e-07,1736749
lisa if,1,1.5986223711854072e-07,1736749
if you,3031,0.00048454244070629695,1736749
you did,56,8.95228527863828e-06,1736749
did that,83,1.326856568083888e-05,1736749
that i,4155,0.0006642275952275367,1736749
i would,2124,0.0003395473916397805,1736749
