types,counts,probs,total_unique
even recommended,1,1.3040771450308533e-07,2119284
recommended for,37,4.825085436614156e-06,2119284
the role,521,6.794241925610745e-05,2119284
role west,1,1.3040771450308533e-07,2119284
german the,2,2.6081542900617065e-07,2119284
the filmmakers,198,2.582072747161089e-05,2119284
filmmakers must,3,3.9122314350925595e-07,2119284
must have,342,4.4599438360055175e-05,2119284
have thought,48,6.259570296148095e-06,2119284
thought they,59,7.694055155682033e-06,2119284
they were,1030,0.00013431994593817787,2119284
were casting,3,3.9122314350925595e-07,2119284
casting an,4,5.216308580123413e-07,2119284
an asian,42,5.477124009129583e-06,2119284
asian actor,1,1.3040771450308533e-07,2119284
actor upon,1,1.3040771450308533e-07,2119284
upon reading,9,1.1736694305277678e-06,2119284
reading the,79,1.030220944574374e-05,2119284
the surname,4,5.216308580123413e-07,2119284
surname lee,1,1.3040771450308533e-07,2119284
lee now,3,3.9122314350925595e-07,2119284
now the,201,2.621195061512015e-05,2119284
the wheel,96,1.251914059229619e-05,2119284
wheel of,22,2.868969719067877e-06,2119284
of fate,37,4.825085436614156e-06,2119284
fate has,8,1.0432617160246826e-06,2119284
has turned,30,3.91223143509256e-06,2119284
turned full,1,1.3040771450308533e-07,2119284
full circle,25,3.260192862577133e-06,2119284
circle fu,1,1.3040771450308533e-07,2119284
manchu s,6,7.824462870185119e-07,2119284
s death,43,5.6075317236326685e-06,2119284
death by,55,7.172424297669693e-06,2119284
by decapitation,1,1.3040771450308533e-07,2119284
decapitation has,1,1.3040771450308533e-07,2119284
has been,1247,0.0001626184199853474,2119284
been greatly,4,5.216308580123413e-07,2119284
greatly exaggerated,3,3.9122314350925595e-07,2119284
exaggerated fu,1,1.3040771450308533e-07,2119284
manchu is,17,2.2169311465524506e-06,2119284
is a,15208,0.0019832405221629217,2119284
a tibetan,3,3.9122314350925595e-07,2119284
tibetan seed,1,1.3040771450308533e-07,2119284
seed death,1,1.3040771450308533e-07,2119284
death dealer,1,1.3040771450308533e-07,2119284
dealer and,24,3.1297851480740476e-06,2119284
and hypnotist,2,2.6081542900617065e-07,2119284
hypnotist the,1,1.3040771450308533e-07,2119284
the secret,137,1.7865856886922687e-05,2119284
secret of,12,1.5648925740370238e-06,2119284
the black,271,3.534049063033612e-05,2119284
black hill,2,2.6081542900617065e-07,2119284
hill poppy,2,2.6081542900617065e-07,2119284
poppy is,1,1.3040771450308533e-07,2119284
the object,16,2.0865234320493652e-06,2119284
object of,28,3.651416006086389e-06,2119284
of desire,26,3.3906005770802183e-06,2119284
desire to,114,1.4866479453351727e-05,2119284
to our,104,1.3562402308320873e-05,2119284
our evil,2,2.6081542900617065e-07,2119284
evil mastermind,5,6.520385725154266e-07,2119284
mastermind too,1,1.3040771450308533e-07,2119284
too bad,276,3.599252920285155e-05,2119284
bad its,17,2.2169311465524506e-06,2119284
its poison,1,1.3040771450308533e-07,2119284
poison powers,1,1.3040771450308533e-07,2119284
powers aren,1,1.3040771450308533e-07,2119284
aren t,313,4.0817614639465706e-05,2119284
t effective,1,1.3040771450308533e-07,2119284
effective above,1,1.3040771450308533e-07,2119284
above freezing,1,1.3040771450308533e-07,2119284
freezing so,1,1.3040771450308533e-07,2119284
so manchu,1,1.3040771450308533e-07,2119284
manchu and,14,1.8257080030431945e-06,2119284
and his,2066,0.00026942233816337427,2119284
his balding,3,3.9122314350925595e-07,2119284
balding white,2,2.6081542900617065e-07,2119284
white ninja,1,1.3040771450308533e-07,2119284
ninja henchman,1,1.3040771450308533e-07,2119284
henchman must,1,1.3040771450308533e-07,2119284
must break,1,1.3040771450308533e-07,2119284
break into,54,7.042016583166607e-06,2119284
into the,2908,0.0003792256337749721,2119284
the museum,17,2.2169311465524506e-06,2119284
museum of,14,1.8257080030431945e-06,2119284
of oriental,2,2.6081542900617065e-07,2119284
oriental studies,1,1.3040771450308533e-07,2119284
studies to,1,1.3040771450308533e-07,2119284
to steal,217,2.8298474047169512e-05,2119284
steal the,76,9.910986302234483e-06,2119284
the younghusband,1,1.3040771450308533e-07,2119284
younghusband papers,1,1.3040771450308533e-07,2119284
papers which,1,1.3040771450308533e-07,2119284
which contain,2,2.6081542900617065e-07,2119284
contain the,11,1.4344848595339385e-06,2119284
secret to,9,1.1736694305277678e-06,2119284
to metabolizing,1,1.3040771450308533e-07,2119284
metabolizing you,1,1.3040771450308533e-07,2119284
you just,405,5.2815124373749555e-05,2119284
just can't,95,1.2388732877793104e-05,2119284
can't keep,20,2.608154290061706e-06,2119284
keep an,27,3.5210082915833037e-06,2119284
an extremely,237,3.090662833723122e-05,2119284
extremely questionable,4,5.216308580123413e-07,2119284
questionable racial,3,3.9122314350925595e-07,2119284
racial stereotype,3,3.9122314350925595e-07,2119284
stereotype down,1,1.3040771450308533e-07,2119284
down inspector,2,2.6081542900617065e-07,2119284
inspector leyland,1,1.3040771450308533e-07,2119284
leyland smith,1,1.3040771450308533e-07,2119284
smith learns,1,1.3040771450308533e-07,2119284
learns early,1,1.3040771450308533e-07,2119284
early on,207,2.699439690213866e-05,2119284
on in,281,3.6644567775366975e-05,2119284
this hat,4,5.216308580123413e-07,2119284
hat harry,1,1.3040771450308533e-07,2119284
harry allen,1,1.3040771450308533e-07,2119284
allen towers,1,1.3040771450308533e-07,2119284
towers produced,1,1.3040771450308533e-07,2119284
produced eurospy,1,1.3040771450308533e-07,2119284
eurospy caper,1,1.3040771450308533e-07,2119284
caper scotland,1,1.3040771450308533e-07,2119284
scotland yard,44,5.737939438135754e-06,2119284
yard is,7,9.128540015215973e-07,2119284
is not,2029,0.0002645972527267601,2119284
not the,1258,0.00016405290484488132,2119284
the most,5864,0.0007647108378460922,2119284
most efficient,4,5.216308580123413e-07,2119284
efficient at,2,2.6081542900617065e-07,2119284
at stopping,3,3.9122314350925595e-07,2119284
stopping world,1,1.3040771450308533e-07,2119284
world destroying,3,3.9122314350925595e-07,2119284
destroying superspy,1,1.3040771450308533e-07,2119284
superspy goofery,1,1.3040771450308533e-07,2119284
goofery so,1,1.3040771450308533e-07,2119284
so he,318,4.1469653211981134e-05,2119284
he enlists,10,1.304077145030853e-06,2119284
enlists the,17,2.2169311465524506e-06,2119284
the talents,30,3.91223143509256e-06,2119284
talents of,45,5.868347152638839e-06,2119284
of krimi,1,1.3040771450308533e-07,2119284
krimi regulars,1,1.3040771450308533e-07,2119284
regulars joachim,1,1.3040771450308533e-07,2119284
fuchsberger and,3,3.9122314350925595e-07,2119284
and karin,2,2.6081542900617065e-07,2119284
dor now,1,1.3040771450308533e-07,2119284
now they,33,4.303454578601816e-06,2119284
they gotta,11,1.4344848595339385e-06,2119284
gotta track,1,1.3040771450308533e-07,2119284
track down,95,1.2388732877793104e-05,2119284
down and,314,4.094802235396879e-05,2119284
and explode,5,6.520385725154266e-07,2119284
explode aformentioned,1,1.3040771450308533e-07,2119284
