types,counts,probs,total_unique
good must,1,2.3316012644739977e-07,1282757
must a,37,8.626924678553792e-06,1282757
movie begood,1,2.3316012644739977e-07,1282757
begood isn't,1,2.3316012644739977e-07,1282757
isn't bisexual,1,2.3316012644739977e-07,1282757
capulet falling,1,2.3316012644739977e-07,1282757
falling in,73,1.7020689230660185e-05,1282757
in love,640,0.00014922248092633585,1282757
love with,475,0.0001107510600625149,1282757
with a,4495,0.001048054768381062,1282757
a woman,403,9.396353095830211e-05,1282757
woman in,79,1.8419649989344582e-05,1282757
in greece,4,9.326405057895991e-07,1282757
greece enough,1,2.3316012644739977e-07,1282757
enough no,2,4.6632025289479954e-07,1282757
no bc,2,4.6632025289479954e-07,1282757
bc like,4,9.326405057895991e-07,1282757
like black,8,1.8652810115791982e-06,1282757
black bi,3,6.994803793421993e-07,1282757
bi vampirejuliet,1,2.3316012644739977e-07,1282757
vampirejuliet capulet,1,2.3316012644739977e-07,1282757
capulet sounds,1,2.3316012644739977e-07,1282757
sounds soooo,1,2.3316012644739977e-07,1282757
soooo good,6,1.3989607586843986e-06,1282757
good in,161,3.7538780358031366e-05,1282757
in theory,19,4.430042402500596e-06,1282757
theory but,3,6.994803793421993e-07,1282757
but the,2419,0.0005640143458762601,1282757
the execution,126,2.937817593237237e-05,1282757
execution was,12,2.7979215173687972e-06,1282757
was something,99,2.3082852518292577e-05,1282757
something for,33,7.694284172764192e-06,1282757
for sure,228,5.316050883000715e-05,1282757
sure the,143,3.334189808197817e-05,1282757
the shots,38,8.860084805001192e-06,1282757
shots were,8,1.8652810115791982e-06,1282757
were honestly,5,1.1658006322369989e-06,1282757
honestly boring,3,6.994803793421993e-07,1282757
boring the,44,1.025904556368559e-05,1282757
the writing,184,4.290146326632156e-05,1282757
writing was,10,2.3316012644739977e-06,1282757
was amess,1,2.3316012644739977e-07,1282757
amess the,1,2.3316012644739977e-07,1282757
acting felt,6,1.3989607586843986e-06,1282757
felt so,41,9.55956518434339e-06,1282757
so lifeless,1,2.3316012644739977e-07,1282757
lifeless the,3,6.994803793421993e-07,1282757
the chemistry,42,9.79272531079079e-06,1282757
chemistry wasn't,1,2.3316012644739977e-07,1282757
wasn't reaaaally,1,2.3316012644739977e-07,1282757
reaaaally there,1,2.3316012644739977e-07,1282757
there for,74,1.7253849357107584e-05,1282757
for the,4897,0.0011417851392129168,1282757
most part,213,4.966310693329615e-05,1282757
part i,35,8.160604425658991e-06,1282757
i went,335,7.810864235987893e-05,1282757
went into,199,4.6398865163032556e-05,1282757
into this,487,0.00011354898157988369,1282757
this bc,6,1.3989607586843986e-06,1282757
bc i,35,8.160604425658991e-06,1282757
i saw,997,0.00023246064606805757,1282757
saw the,193,4.499990440434816e-05,1282757
the synopsis,30,6.9948037934219935e-06,1282757
synopsis and,9,2.098441138026598e-06,1282757
and thought,131,3.054397656460937e-05,1282757
thought holy,3,6.994803793421993e-07,1282757
holy shit,154,3.5906659472899566e-05,1282757
shit even,5,1.1658006322369989e-06,1282757
even if,630,0.00014689087966186185,1282757
if its,19,4.430042402500596e-06,1282757
its bad,9,2.098441138026598e-06,1282757
bad i'll,1,2.3316012644739977e-07,1282757
i'll still,4,9.326405057895991e-07,1282757
still have,109,2.5414453782766576e-05,1282757
have so,68,1.5854888598423184e-05,1282757
so much,2112,0.0004924341870569083,1282757
much fun,280,6.528483540527193e-05,1282757
fun and,743,0.00017323797395041803,1282757
and i'm,401,9.349721070540731e-05,1282757
i'm a,270,6.295323414079794e-05,1282757
a little,2104,0.0004905689060453291,1282757
little disappointed,15,3.4974018967109968e-06,1282757
disappointed mostly,1,2.3316012644739977e-07,1282757
mostly bc,1,2.3316012644739977e-07,1282757
bc there,3,6.994803793421993e-07,1282757
there was,765,0.00017836749673226081,1282757
was sapphics,1,2.3316012644739977e-07,1282757
sapphics and,1,2.3316012644739977e-07,1282757
and i,4952,0.0011546089461675238,1282757
i was,5615,0.0013091941100021498,1282757
was still,207,4.826414617461175e-05,1282757
still eh,1,2.3316012644739977e-07,1282757
eh hey,1,2.3316012644739977e-07,1282757
hey at,18,4.196882276053196e-06,1282757
