types,counts,probs,total_unique
i've realized,3,1.2132177649050879e-06,881836
realized that,29,1.1727771727415851e-05,881836
that this,759,0.00030694409452098725,881836
this is,4177,0.0016892035346695174,881836
is wrong,31,1.2536583570685909e-05,881836
wrong winterbottom,1,4.044059216350293e-07,881836
winterbottom is,2,8.088118432700586e-07,881836
is just,526,0.00021271751478002543,881836
just a,537,0.00021716597991801073,881836
a hopeless,13,5.257276981255381e-06,881836
hopeless hack,1,4.044059216350293e-07,881836
hack and,3,1.2132177649050879e-06,881836
and lies,7,2.8308414514452054e-06,881836
lies with,6,2.4264355298101758e-06,881836
with the,2502,0.0010118236159308435,881836
the best,1553,0.0006280423962992006,881836
best intentions,5,2.0220296081751466e-06,881836
intentions lies,1,4.044059216350293e-07,881836
lies used,2,8.088118432700586e-07,881836
used to,217,8.775608499480136e-05,881836
to heal,6,2.4264355298101758e-06,881836
heal wounds,1,4.044059216350293e-07,881836
wounds lies,1,4.044059216350293e-07,881836
lies to,4,1.6176236865401173e-06,881836
to seek,30,1.2132177649050879e-05,881836
seek forgiveness,1,4.044059216350293e-07,881836
forgiveness and,12,4.8528710596203516e-06,881836
to repair,3,1.2132177649050879e-06,881836
repair the,2,8.088118432700586e-07,881836
the biggest,198,8.00723724837358e-05,881836
biggest lie,1,4.044059216350293e-07,881836
lie of,1,4.044059216350293e-07,881836
of all,692,0.00027984889777144027,881836
all the,1323,0.0005350290343231437,881836
the importance,57,2.305113753319667e-05,881836
importance of,65,2.6286384906276904e-05,881836
of war,581,0.00023495984046995204,881836
war your,2,8.088118432700586e-07,881836
your leaders,1,4.044059216350293e-07,881836
leaders are,5,2.0220296081751466e-06,881836
are lying,2,8.088118432700586e-07,881836
lying to,8,3.2352473730802345e-06,881836
to you,88,3.558772110388258e-05,881836
you about,18,7.279306589430527e-06,881836
about how,247,9.988826264385224e-05,881836
how others,3,1.2132177649050879e-06,881836
others are,18,7.279306589430527e-06,881836
are different,10,4.044059216350293e-06,881836
different but,7,2.8308414514452054e-06,881836
but you,148,5.985207640198434e-05,881836
are right,14,5.661682902890411e-06,881836
right those,1,4.044059216350293e-07,881836
those people,17,6.874900667795499e-06,881836
people believe,2,8.088118432700586e-07,881836
believe the,41,1.65806427870362e-05,881836
the wrong,101,4.084499808513796e-05,881836
wrong things,5,2.0220296081751466e-06,881836
things worship,1,4.044059216350293e-07,881836
worship the,2,8.088118432700586e-07,881836
things care,1,4.044059216350293e-07,881836
care about,127,5.1359552047648724e-05,881836
about the,1962,0.0007934444182479275,881836
things but,21,8.492524354335616e-06,881836
you don't,136,5.499920534236399e-05,881836
don't if,1,4.044059216350293e-07,881836
if war,4,1.6176236865401173e-06,881836
war and,297,0.0001201085587256037,881836
and its,265,0.00010716756923328277,881836
its cousin,2,8.088118432700586e-07,881836
cousin nationalism,1,4.044059216350293e-07,881836
nationalism are,1,4.044059216350293e-07,881836
are the,331,0.0001338583600611947,881836
the greatest,556,0.0002248496924290763,881836
greatest lies,1,4.044059216350293e-07,881836
lies and,14,5.661682902890411e-06,881836
and the,4909,0.001985228669306359,881836
the crimes,16,6.470494746160469e-06,881836
crimes you,1,4.044059216350293e-07,881836
you commit,1,4.044059216350293e-07,881836
commit from,1,4.044059216350293e-07,881836
from believing,1,4.044059216350293e-07,881836
believing them,1,4.044059216350293e-07,881836
them destroy,1,4.044059216350293e-07,881836
destroy others,1,4.044059216350293e-07,881836
others i'm,2,8.088118432700586e-07,881836
i'm still,45,1.819826647357632e-05,881836
still a,240,9.705742119240703e-05,881836
a little,1172,0.00047396374015625436,881836
little mad,3,1.2132177649050879e-06,881836
mad i,2,8.088118432700586e-07,881836
i didn't,466,0.00018845315948192367,881836
didn't get,36,1.4558613178861055e-05,881836
get the,199,8.047677840537083e-05,881836
the dose,1,4.044059216350293e-07,881836
dose of,24,9.705742119240703e-06,881836
of gay,14,5.661682902890411e-06,881836
gay romance,3,1.2132177649050879e-06,881836
romance i,8,3.2352473730802345e-06,881836
i expected,181,7.31974718159403e-05,881836
expected frantz,1,4.044059216350293e-07,881836
frantz is,7,2.8308414514452054e-06,881836
is a,4747,0.0019197149100014842,881836
a heartbreaking,21,8.492524354335616e-06,881836
heartbreaking tale,6,2.4264355298101758e-06,881836
tale of,306,0.00012374821202031897,881836
of love,92,3.7205344790422694e-05,881836
love loss,8,3.2352473730802345e-06,881836
loss and,14,5.661682902890411e-06,881836
lies intertwined,1,4.044059216350293e-07,881836
intertwined with,7,2.8308414514452054e-06,881836
with intrigue,2,8.088118432700586e-07,881836
intrigue frantz,1,4.044059216350293e-07,881836
is film,3,1.2132177649050879e-06,881836
film about,544,0.00021999682136945596,881836
about secrets,2,8.088118432700586e-07,881836
secrets lies,2,8.088118432700586e-07,881836
lies mourning,1,4.044059216350293e-07,881836
mourning and,2,8.088118432700586e-07,881836
the aftermath,49,1.9815890160116438e-05,881836
aftermath of,50,2.0220296081751465e-05,881836
of world,101,4.084499808513796e-05,881836
world war,619,0.00025032726549208313,881836
war i,110,4.448465137985322e-05,881836
i rather,5,2.0220296081751466e-06,881836
than the,512,0.000207055831877135,881836
the romantic,43,1.738945463030626e-05,881836
romantic period,5,2.0220296081751466e-06,881836
period film,21,8.492524354335616e-06,881836
is might,1,4.044059216350293e-07,881836
might at,1,4.044059216350293e-07,881836
at first,141,5.7021234950539135e-05,881836
first glance,20,8.088118432700587e-06,881836
glance appear,1,4.044059216350293e-07,881836
appear to,14,5.661682902890411e-06,881836
to be,3645,0.001474059584359682,881836
be set,9,3.6396532947152637e-06,881836
set shortly,1,4.044059216350293e-07,881836
shortly world,1,4.044059216350293e-07,881836
war 1,12,4.8528710596203516e-06,881836
1 known,1,4.044059216350293e-07,881836
known for,88,3.558772110388258e-05,881836
for how,43,1.738945463030626e-05,881836
how it,252,0.00010191029225202739,881836
it virtually,2,8.088118432700586e-07,881836
virtually wiped,1,4.044059216350293e-07,881836
wiped out,9,3.6396532947152637e-06,881836
out a,101,4.084499808513796e-05,881836
a whole,290,0.00011727771727415851,881836
whole generation,4,1.6176236865401173e-06,881836
generation of,15,6.0660888245254395e-06,881836
of young,45,1.819826647357632e-05,881836
young men,35,1.4154207257226027e-05,881836
men and,97,3.922737439859784e-05,881836
and ironically,2,8.088118432700586e-07,881836
ironically as,1,4.044059216350293e-07,881836
as the,1644,0.0006648433351679882,881836
the war,546,0.000220805633212726,881836
war to,27,1.0918959884145792e-05,881836
to end,127,5.1359552047648724e-05,881836
end all,16,6.470494746160469e-06,881836
all wars,4,1.6176236865401173e-06,881836
wars this,3,1.2132177649050879e-06,881836
this drama,15,6.0660888245254395e-06,881836
drama explores,3,1.2132177649050879e-06,881836
explores the,44,1.779386055194129e-05,881836
the personal,42,1.6985048708671232e-05,881836
personal costs,2,8.088118432700586e-07,881836
costs of,5,2.0220296081751466e-06,881836
war frantz,1,4.044059216350293e-07,881836
frantz focuses,1,4.044059216350293e-07,881836
focuses a,1,4.044059216350293e-07,881836
a young,284,0.00011485128174434833,881836
young 28,1,4.044059216350293e-07,881836
28 06,2,8.088118432700586e-07,881836
06 2017depois,1,4.044059216350293e-07,881836
2017depois da,1,4.044059216350293e-07,881836
da i,2,8.088118432700586e-07,881836
i guerra,1,4.044059216350293e-07,881836
guerra mundial,44,1.779386055194129e-05,881836
mundial numa,1,4.044059216350293e-07,881836
numa cidadezinha,1,4.044059216350293e-07,881836
cidadezinha alemã,1,4.044059216350293e-07,881836
alemã os,1,4.044059216350293e-07,881836
os pais,1,4.044059216350293e-07,881836
pais e,1,4.044059216350293e-07,881836
e a,80,3.2352473730802346e-05,881836
a noiva,2,8.088118432700586e-07,881836
noiva do,2,8.088118432700586e-07,881836
do soldado,1,4.044059216350293e-07,881836
soldado frantz,1,4.044059216350293e-07,881836
frantz não,1,4.044059216350293e-07,881836
não se,18,7.279306589430527e-06,881836
se conformam,1,4.044059216350293e-07,881836
conformam com,1,4.044059216350293e-07,881836
com a,58,2.3455543454831702e-05,881836
a sua,19,7.683712511065557e-06,881836
sua morte,4,1.6176236865401173e-06,881836
morte anna,1,4.044059216350293e-07,881836
