types,counts,probs,total_unique
some noise,1,2.358443842150297e-07,1289586
noise not,1,2.358443842150297e-07,1289586
not to,688,0.00016226093633994043,1289586
to be,6741,0.0015898269939935152,1289586
be confused,16,3.7735101474404754e-06,1289586
confused with,17,4.009354531655505e-06,1289586
with spider,1,2.358443842150297e-07,1289586
spider twink,1,2.358443842150297e-07,1289586
twink i,1,2.358443842150297e-07,1289586
i saw,816,0.00019244901751946423,1289586
saw this,343,8.089462378575519e-05,1289586
this at,158,3.726341270597469e-05,1289586
at the,3724,0.0008782844868167706,1289586
the exact,158,3.726341270597469e-05,1289586
exact age,3,7.075331526450892e-07,1289586
age in,6,1.4150663052901783e-06,1289586
in which,642,0.00015141209466604908,1289586
which seeing,1,2.358443842150297e-07,1289586
seeing tom,1,2.358443842150297e-07,1289586
hollander eat,1,2.358443842150297e-07,1289586
eat the,23,5.424420836945683e-06,1289586
the tiniest,4,9.433775368601188e-07,1289586
tiniest spoonfuls,1,2.358443842150297e-07,1289586
spoonfuls of,1,2.358443842150297e-07,1289586
of jam,1,2.358443842150297e-07,1289586
jam is,3,7.075331526450892e-07,1289586
is sexual,1,2.358443842150297e-07,1289586
sexual to,1,2.358443842150297e-07,1289586
to me,1218,0.00028725845997390617,1289586
me so,226,5.330083083259671e-05,1289586
so dumbledore,1,2.358443842150297e-07,1289586
dumbledore was,1,2.358443842150297e-07,1289586
was quite,147,3.466912447960937e-05,1289586
quite the,131,3.089561433216889e-05,1289586
the little,156,3.679172393754464e-05,1289586
little bitch,11,2.5942882263653267e-06,1289586
bitch in,9,2.1225994579352674e-06,1289586
in his,1011,0.00023843867244139502,1289586
his day,15,3.5376657632254455e-06,1289586
day uh,1,2.358443842150297e-07,1289586
uh imagine,1,2.358443842150297e-07,1289586
imagine being,35,8.25455344752604e-06,1289586
being a,833,0.00019645837205111975,1289586
a british,63,1.4858196205546872e-05,1289586
british actor,3,7.075331526450892e-07,1289586
actor and,72,1.698079566348214e-05,1289586
and not,628,0.00014811027328703866,1289586
not being,132,3.113145871638392e-05,1289586
being cast,7,1.650910689505208e-06,1289586
cast in,80,1.8867550737202375e-05,1289586
in this,4226,0.0009966783676927154,1289586
