types,counts,probs,total_unique
pathetic attempt,5,8.107069088604914e-07,1714128
attempt to,387,6.274871474580204e-05,1714128
to try,260,4.215675926074556e-05,1714128
try to,675,0.00010944543269616635,1714128
to control,71,1.1512038105818979e-05,1714128
control the,39,6.323513889111833e-06,1714128
the world,2621,0.0004249725616246696,1714128
world around,33,5.350665598479244e-06,1714128
around him,71,1.1512038105818979e-05,1714128
him pierce,1,1.621413817720983e-07,1714128
pierce takes,1,1.621413817720983e-07,1714128
takes a,382,6.193800783694155e-05,1714128
a joyride,3,4.864241453162948e-07,1714128
joyride through,2,3.242827635441966e-07,1714128
through time,67,1.0863472578730586e-05,1714128
time where,55,8.917775997465405e-06,1714128
where he,307,4.977740420403418e-05,1714128
he converses,1,1.621413817720983e-07,1714128
converses with,2,3.242827635441966e-07,1714128
with dr,17,2.756403490125671e-06,1714128
dr know,1,1.621413817720983e-07,1714128
know from,16,2.594262108353573e-06,1714128
from a,1605,0.00026023691774421776,1714128
a i,233,3.77789419528989e-05,1714128
i watches,1,1.621413817720983e-07,1714128
watches a,5,8.107069088604914e-07,1714128
a sneak,5,8.107069088604914e-07,1714128
sneak preview,7,1.134989672404688e-06,1714128
preview of,5,8.107069088604914e-07,1714128
of the,33383,0.005412765747697957,1714128
the movie,5355,0.0008682670993895863,1714128
movie moonfall,1,1.621413817720983e-07,1714128
moonfall and,2,3.242827635441966e-07,1714128
and battles,10,1.6214138177209829e-06,1714128
battles an,7,1.134989672404688e-06,1714128
an albino,8,1.2971310541767864e-06,1714128
albino version,1,1.621413817720983e-07,1714128
version of,965,0.00015646643341007485,1714128
of labyrinth,2,3.242827635441966e-07,1714128
labyrinth s,1,1.621413817720983e-07,1714128
s david,1,1.621413817720983e-07,1714128
david bowie,81,1.3133451923539961e-05,1714128
bowie for,1,1.621413817720983e-07,1714128
for control,13,2.1078379630372776e-06,1714128
control of,106,1.7186986467842418e-05,1714128
the dark,368,5.966802849213217e-05,1714128
dark i,15,2.4321207265814745e-06,1714128
i have,3380,0.0005480378703896922,1714128
have a,2158,0.0003499011018641881,1714128
a reputation,23,3.7292517807582605e-06,1714128
reputation in,3,4.864241453162948e-07,1714128
in my,2018,0.00032720130841609437,1714128
my friend,196,3.177971082733126e-05,1714128
friend group,11,1.7835551994930811e-06,1714128
group as,3,4.864241453162948e-07,1714128
as the,3793,0.0006150022610615689,1714128
the person,89,1.4430582977716747e-05,1714128
person who,105,1.702484508607032e-05,1714128
who watches,16,2.594262108353573e-06,1714128
watches arty,1,1.621413817720983e-07,1714128
arty good,1,1.621413817720983e-07,1714128
good films,29,4.70210007139085e-06,1714128
films and,381,6.177586645516945e-05,1714128
and they,828,0.00013425306410729738,1714128
they can,322,5.220952493061565e-05,1714128
can never,77,1.2484886396451568e-05,1714128
never know,78,1.2647027778223667e-05,1714128
know that,434,7.036935968909066e-05,1714128
that i,4189,0.0006792102482433198,1714128
i spend,14,2.269979344809376e-06,1714128
spend most,17,2.756403490125671e-06,1714128
most of,1645,0.0002667225730151017,1714128
of my,2452,0.00039757066810518503,1714128
my time,105,1.702484508607032e-05,1714128
time watching,188,3.0482579773154477e-05,1714128
watching stuff,4,6.485655270883932e-07,1714128
stuff like,122,1.9781248576195993e-05,1714128
like this,1998,0.0003239584807806524,1714128
this one,4538,0.000735797590481782,1714128
one of,8681,0.0014075493351635852,1714128
of those,1430,0.00023186217593410056,1714128
those pitiful,1,1.621413817720983e-07,1714128
pitiful adventure,1,1.621413817720983e-07,1714128
adventure films,30,4.864241453162949e-06,1714128
films that,543,8.804277030224938e-05,1714128
have such,63,1.0214907051642193e-05,1714128
such a,1912,0.0003100143219482519,1714128
a soft,141,2.2861934829865858e-05,1714128
soft spot,133,2.1564803775689072e-05,1714128
spot for,148,2.3996924502270547e-05,1714128
for this,1779,0.00028844951817256283,1714128
this seems,65,1.053918981518639e-05,1714128
seems to,851,0.00013798231588805566,1714128
to be,9669,0.0015677450203544184,1714128
be trying,13,2.1078379630372776e-06,1714128
trying to,1994,0.000323309915253564,1714128
to capture,117,1.89705416673355e-05,1714128
capture some,5,8.107069088604914e-07,1714128
some peter,3,4.864241453162948e-07,1714128
peter jackson,51,8.269210470377012e-06,1714128
jackson magic,1,1.621413817720983e-07,1714128
magic although,1,1.621413817720983e-07,1714128
although given,6,9.728482906325897e-07,1714128
given that,112,1.8159834758475007e-05,1714128
that it,2492,0.00040405632337606895,1714128
it came,494,8.009784259541655e-05,1714128
came out,902,0.00014625152635843266,1714128
out a,340,5.512806980251342e-05,1714128
a few,2286,0.0003706551987310167,1714128
few scant,1,1.621413817720983e-07,1714128
scant months,1,1.621413817720983e-07,1714128
months after,37,5.999231125567637e-06,1714128
after the,1103,0.00017884194409462442,1714128
first lord,1,1.621413817720983e-07,1714128
lord of,49,7.944927706832816e-06,1714128
the rings,39,6.323513889111833e-06,1714128
rings movie,1,1.621413817720983e-07,1714128
movie there,113,1.8321976140247107e-05,1714128
there may,33,5.350665598479244e-06,1714128
may have,324,5.2533807694159846e-05,1714128
been a,1002,0.00016246566453564248,1714128
a real,733,0.00011884963283894805,1714128
real time,41,6.64779665265603e-06,1714128
machine involved,1,1.621413817720983e-07,1714128
involved there,4,6.485655270883932e-07,1714128
there and,196,3.177971082733126e-05,1714128
and for,421,6.826152172605338e-05,1714128
for whatever,77,1.2484886396451568e-05,1714128
whatever reason,56,9.079917379237504e-06,1714128
reason it,50,8.107069088604914e-06,1714128
it didn't,288,4.669671795036431e-05,1714128
didn't connect,5,8.107069088604914e-07,1714128
connect but,2,3.242827635441966e-07,1714128
but look,25,4.053534544302457e-06,1714128
look how,30,4.864241453162949e-06,1714128
how charming,3,4.864241453162948e-07,1714128
charming guy,1,1.621413817720983e-07,1714128
is look,6,9.728482906325897e-07,1714128
look at,730,0.00011836320869363176,1714128
at how,155,2.5131914174675233e-05,1714128
how much,812,0.0001316588019989438,1714128
much thought,13,2.1078379630372776e-06,1714128
thought and,20,3.2428276354419658e-06,1714128
and effort,14,2.269979344809376e-06,1714128
effort they,3,4.864241453162948e-07,1714128
they put,55,8.917775997465405e-06,1714128
put into,147,2.3834783120498447e-05,1714128
into the,2585,0.00041913547188087406,1714128
the cgi,474,7.685501495997459e-05,1714128
cgi dismal,1,1.621413817720983e-07,1714128
dismal ugly,1,1.621413817720983e-07,1714128
ugly and,39,6.323513889111833e-06,1714128
and unnecessary,25,4.053534544302457e-06,1714128
unnecessary as,3,4.864241453162948e-07,1714128
as life,4,6.485655270883932e-07,1714128
life itself,8,1.2971310541767864e-06,1714128
itself i,32,5.188524216707146e-06,1714128
i hope,340,5.512806980251342e-05,1714128
