types,counts,probs,total_unique
passa muito,1,1.1296346083895703e-06,360217
muito rápido,1,1.1296346083895703e-06,360217
rápido poderia,1,1.1296346083895703e-06,360217
poderia ter,3,3.388903825168711e-06,360217
ter tido,3,3.388903825168711e-06,360217
tido mais,2,2.2592692167791406e-06,360217
mais aprofundamento,1,1.1296346083895703e-06,360217
aprofundamento e,1,1.1296346083895703e-06,360217
e outros,2,2.2592692167791406e-06,360217
outros convidados,1,1.1296346083895703e-06,360217
convidados para,1,1.1296346083895703e-06,360217
para falar,3,3.388903825168711e-06,360217
falar sobre,2,2.2592692167791406e-06,360217
sobre os,4,4.518538433558281e-06,360217
os acontecimentos,1,1.1296346083895703e-06,360217
acontecimentos a,1,1.1296346083895703e-06,360217
a girl,61,6.890771111176379e-05,360217
girl in,13,1.4685249909064414e-05,360217
in my,338,0.00038181649763567474,360217
my class,2,2.2592692167791406e-06,360217
class kept,1,1.1296346083895703e-06,360217
kept talking,1,1.1296346083895703e-06,360217
talking about,75,8.472259562921777e-05,360217
about how,102,0.00011522273005573618,360217
how hot,4,4.518538433558281e-06,360217
hot colin,1,1.1296346083895703e-06,360217
colin firth,8,9.037076867116562e-06,360217
firth is,2,2.2592692167791406e-06,360217
is and,35,3.9537211293634964e-05,360217
and like,29,3.275940364329754e-05,360217
like sis,1,1.1296346083895703e-06,360217
sis i,1,1.1296346083895703e-06,360217
i know,264,0.00029822353661484655,360217
know but,4,4.518538433558281e-06,360217
but is,53,5.987063424464723e-05,360217
is this,132,0.00014911176830742327,360217
this the,97,0.00010957455701378832,360217
the time,231,0.00026094559453799073,360217
time three,1,1.1296346083895703e-06,360217
three of,16,1.8074153734233124e-05,360217
of them,194,0.00021914911402757663,360217
them were,8,9.037076867116562e-06,360217
were executed,2,2.2592692167791406e-06,360217
executed onlythree,1,1.1296346083895703e-06,360217
onlythree of,1,1.1296346083895703e-06,360217
executed some,1,1.1296346083895703e-06,360217
some died,1,1.1296346083895703e-06,360217
died in,12,1.3555615300674843e-05,360217
in the,2599,0.0029359203472044933,360217
the war,52,5.874099963625766e-05,360217
war seven,1,1.1296346083895703e-06,360217
seven were,1,1.1296346083895703e-06,360217
were either,1,1.1296346083895703e-06,360217
either acquitted,1,1.1296346083895703e-06,360217
acquitted for,1,1.1296346083895703e-06,360217
for lack,6,6.777807650337422e-06,360217
lack of,97,0.00010957455701378832,360217
of evidence,5,5.648173041947851e-06,360217
evidence imprisoned,1,1.1296346083895703e-06,360217
imprisoned and,1,1.1296346083895703e-06,360217
and released,3,3.388903825168711e-06,360217
released early,1,1.1296346083895703e-06,360217
early or,1,1.1296346083895703e-06,360217
or otherwise,6,6.777807650337422e-06,360217
otherwise lightly,1,1.1296346083895703e-06,360217
lightly punished,1,1.1296346083895703e-06,360217
punished if,1,1.1296346083895703e-06,360217
if punished,1,1.1296346083895703e-06,360217
punished at,1,1.1296346083895703e-06,360217
at all,193,0.00021801947941918706,360217
all never,1,1.1296346083895703e-06,360217
never forget,21,2.3722326776180975e-05,360217
forget this,5,5.648173041947851e-06,360217
this in,131,0.0001479821336990337,360217
in west,3,3.388903825168711e-06,360217
west germany,3,3.388903825168711e-06,360217
germany the,1,1.1296346083895703e-06,360217
the fascists,1,1.1296346083895703e-06,360217
fascists were,1,1.1296346083895703e-06,360217
were put,1,1.1296346083895703e-06,360217
put back,1,1.1296346083895703e-06,360217
back into,12,1.3555615300674843e-05,360217
into the,276,0.0003117791519155214,360217
the government,29,3.275940364329754e-05,360217
government at,2,2.2592692167791406e-06,360217
at best,19,2.1463057559401836e-05,360217
best a,3,3.388903825168711e-06,360217
a mild,5,5.648173041947851e-06,360217
mild rehabilitation,1,1.1296346083895703e-06,360217
rehabilitation occurred,1,1.1296346083895703e-06,360217
occurred in,2,2.2592692167791406e-06,360217
the east,1,1.1296346083895703e-06,360217
east under,1,1.1296346083895703e-06,360217
under communism,1,1.1296346083895703e-06,360217
