types,counts,probs,total_unique
half the,320,2.712277684345462e-05,2914188
the time,2944,0.0002495295469597825,2914188
time this,369,3.127595204760861e-05,2914188
this movie,19702,0.0016699154667804467,2914188
movie was,2025,0.0001716363222124863,2914188
was really,1052,8.916612887285707e-05,2914188
really boring,80,6.780694210863655e-06,2914188
boring and,636,5.390651897636606e-05,2914188
and the,20634,0.0017489105543370084,2914188
the other,2427,0.00020570931062207615,2914188
other half,63,5.339796691055128e-06,2914188
half was,110,9.323454539937526e-06,2914188
was just,1586,0.00013442726273037197,2914188
just like,794,6.729839004282178e-05,2914188
like let,14,1.1866214869011397e-06,2914188
let s,475,4.026037187700295e-05,2914188
s see,21,1.7799322303517096e-06,2914188
see how,478,4.051464790991034e-05,2914188
how many,532,4.5091616502243305e-05,2914188
many shocking,3,2.542760329073871e-07,2914188
shocking and,78,6.611176855592064e-06,2914188
and disturbing,221,1.8731667757510847e-05,2914188
disturbing things,4,3.3903471054318277e-07,2914188
things we,49,4.153175204153989e-06,2914188
we can,484,4.102319997572512e-05,2914188
can put,36,3.051312394888645e-06,2914188
put on,320,2.712277684345462e-05,2914188
screen at,31,2.6275190067096666e-06,2914188
at once,211,1.7884080981152892e-05,2914188
once it,209,1.7714563625881298e-05,2914188
it wasn,405,3.4327264442497256e-05,2914188
wasn t,1810,0.0001534132065207902,2914188
t really,779,6.602700987828485e-05,2914188
really scary,36,3.051312394888645e-06,2914188
scary it,48,4.0684165265181935e-06,2914188
it was,14045,0.0011904356273947504,2914188
just ugh,5,4.2379338817897845e-07,2914188
ugh the,17,1.4408975198085267e-06,2914188
the hills,69,5.848348756869903e-06,2914188
hills have,79,6.695935533227859e-06,2914188
have eyes,62,5.255038013419333e-06,2914188
eyes is,53,4.492209914697172e-06,2914188
is a,22996,0.0019491105509127577,2914188
a thoroughly,112,9.492971895209118e-06,2914188
thoroughly nasty,4,3.3903471054318277e-07,2914188
nasty mean,6,5.085520658147742e-07,2914188
mean spirited,256,2.1698221474763697e-05,2914188
spirited piece,1,8.475867763579569e-08,2914188
piece of,1519,0.00012874843132877365,2914188
of work,333,2.8224639652719965e-05,2914188
work which,37,3.1360710725244405e-06,2914188
which puts,13,1.101862809265344e-06,2914188
puts a,62,5.255038013419333e-06,2914188
a bit,6766,0.0005734772128837937,2914188
bit too,607,5.1448517324927985e-05,2914188
too much,1981,0.00016790694039651126,2914188
much emphasis,8,6.780694210863655e-07,2914188
emphasis on,117,9.916765283388095e-06,2914188
on gorefest,1,8.475867763579569e-08,2914188
gorefest than,1,8.475867763579569e-08,2914188
than frightfest,1,8.475867763579569e-08,2914188
frightfest i,1,8.475867763579569e-08,2914188
liked it,835,7.07734958258894e-05,2914188
it and,2359,0.00019994572054284204,2914188
and it,6958,0.0005897508789898665,2914188
it s,19297,0.0016355882023379494,2914188
s definitely,215,1.8223115691696073e-05,2914188
definitely a,478,4.051464790991034e-05,2914188
a remake,534,4.52611338575149e-05,2914188
remake that,60,5.085520658147741e-06,2914188
that outdid,1,8.475867763579569e-08,2914188
outdid it,1,8.475867763579569e-08,2914188
s source,9,7.628280987221612e-07,2914188
source material,331,2.8055122297448374e-05,2914188
