types,counts,probs,total_unique
ripe with,4,1.699914876762546e-06,832624
with quiet,3,1.2749361575719095e-06,832624
quiet moments,9,3.824808472715729e-06,832624
moments that,85,3.6123191131204105e-05,832624
that just,92,3.909804216553856e-05,832624
just breathe,1,4.249787191906365e-07,832624
breathe with,1,4.249787191906365e-07,832624
with the,2594,0.0011023947975805112,832624
the realism,19,8.074595664622093e-06,832624
realism of,9,3.824808472715729e-06,832624
of stillness,2,8.49957438381273e-07,832624
stillness this,1,4.249787191906365e-07,832624
this ranks,5,2.1248935959531826e-06,832624
ranks among,11,4.674765911097002e-06,832624
among the,170,7.224638226240821e-05,832624
the best,1445,0.0006140942492304697,832624
best the,30,1.2749361575719096e-05,832624
the last,802,0.0003408329327908905,832624
last film,22,9.349531822194003e-06,832624
film i,546,0.00023203838067808755,832624
i needed,49,2.082395724034119e-05,832624
needed to,109,4.6322680391779384e-05,832624
to watch,1200,0.0005099744630287638,832624
watch for,99,4.207289319987302e-05,832624
for my,202,8.584570127650857e-05,832624
my dissertation,2,8.49957438381273e-07,832624
dissertation interesting,1,4.249787191906365e-07,832624
interesting and,142,6.034697812507039e-05,832624
and tragic,42,1.7849106206006735e-05,832624
tragic soviet,1,4.249787191906365e-07,832624
war film,1309,0.0005562971434205432,832624
film following,10,4.249787191906365e-06,832624
following an,8,3.399829753525092e-06,832624
female anti,4,1.699914876762546e-06,832624
aircraft squadron,1,4.249787191906365e-07,832624
squadron that,2,8.49957438381273e-07,832624
that put,12,5.099744630287638e-06,832624
put their,7,2.9748510343344558e-06,832624
their lives,118,5.014748886449511e-05,832624
lives on,18,7.649616945431458e-06,832624
on the,3702,0.0015732712184437364,832624
the line,99,4.207289319987302e-05,832624
line when,4,1.699914876762546e-06,832624
when hunting,1,4.249787191906365e-07,832624
hunting down,8,3.399829753525092e-06,832624
down the,133,5.6522169652354656e-05,832624
the german,329,0.00013981799861371942,832624
german invaders,5,2.1248935959531826e-06,832624
invaders in,2,8.49957438381273e-07,832624
in a,3028,0.0012868355617092473,832624
a forest,10,4.249787191906365e-06,832624
forest it's,2,8.49957438381273e-07,832624
it's split,2,8.49957438381273e-07,832624
split into,11,4.674765911097002e-06,832624
parts both,2,8.49957438381273e-07,832624
both of,57,2.4223786993866283e-05,832624
which are,64,2.7198638028200737e-05,832624
are very,122,5.184740374125766e-05,832624
very different,62,2.6348680589819466e-05,832624
different the,6,2.549872315143819e-06,832624
first is,8,3.399829753525092e-06,832624
is all,151,6.417178659778611e-05,832624
all about,97,4.1222935761491744e-05,832624
about character,7,2.9748510343344558e-06,832624
development and,22,9.349531822194003e-06,832624
and the,4616,0.001961701767783978,832624
the pre,15,6.374680787859548e-06,832624
pre war,13,5.524723349478275e-06,832624
war lives,1,4.249787191906365e-07,832624
lives of,118,5.014748886449511e-05,832624
of the,14571,0.006192364917326765,832624
the women,71,3.0173489062535194e-05,832624
women the,12,5.099744630287638e-06,832624
the second,629,0.0002673116143709104,832624
second is,7,2.9748510343344558e-06,832624
is hard,52,2.20988933979131e-05,832624
hard hitting,28,1.1899404137337823e-05,832624
hitting and,7,2.9748510343344558e-06,832624
and will,47,1.9973999801959918e-05,832624
will keep,6,2.549872315143819e-06,832624
keep you,23,9.77451054138464e-06,832624
you on,27,1.1474425418147186e-05,832624
on your,57,2.4223786993866283e-05,832624
your toes,1,4.249787191906365e-07,832624
toes as,1,4.249787191906365e-07,832624
as the,1688,0.0007173640779937944,832624
the girls,8,3.399829753525092e-06,832624
girls find,1,4.249787191906365e-07,832624
find german,1,4.249787191906365e-07,832624
german this,4,1.699914876762546e-06,832624
this 1972,1,4.249787191906365e-07,832624
1972 war,1,4.249787191906365e-07,832624
war drama,309,0.0001313184242299067,832624
drama by,7,2.9748510343344558e-06,832624
by soviet,7,2.9748510343344558e-06,832624
soviet writer,1,4.249787191906365e-07,832624
writer director,58,2.4648765713056917e-05,832624
director stanislav,2,8.49957438381273e-07,832624
stanislav rostotskiy,3,1.2749361575719095e-06,832624
rostotskiy follows,1,4.249787191906365e-07,832624
follows a,108,4.589770167258874e-05,832624
a small,281,0.00011941902009256886,832624
small group,39,1.6574170048434824e-05,832624
of female,12,5.099744630287638e-06,832624
soldiers as,27,1.1474425418147186e-05,832624
as they,362,0.00015384229634701042,832624
they defend,5,2.1248935959531826e-06,832624
defend their,17,7.2246382262408206e-06,832624
their village,5,2.1248935959531826e-06,832624
village in,17,7.2246382262408206e-06,832624
in russian,10,4.249787191906365e-06,832624
russian karelia,1,4.249787191906365e-07,832624
karelia from,1,4.249787191906365e-07,832624
from german,12,5.099744630287638e-06,832624
german paratroopers,7,2.9748510343344558e-06,832624
paratroopers majestic,1,4.249787191906365e-07,832624
majestic b,1,4.249787191906365e-07,832624
b w,43,1.827408492519737e-05,832624
w photo,1,4.249787191906365e-07,832624
photo down,1,4.249787191906365e-07,832624
down to,151,6.417178659778611e-05,832624
to earth,16,6.799659507050184e-06,832624
earth engaging,1,4.249787191906365e-07,832624
engaging instead,1,4.249787191906365e-07,832624
instead of,289,0.00012281884984609396,832624
of a,3559,0.0015124992615994754,832624
a salute,4,1.699914876762546e-06,832624
salute to,7,2.9748510343344558e-06,832624
the 800,1,4.249787191906365e-07,832624
800 000,3,1.2749361575719095e-06,832624
000 odd,1,4.249787191906365e-07,832624
odd soviet,1,4.249787191906365e-07,832624
soviet women,1,4.249787191906365e-07,832624
women soldiers,6,2.549872315143819e-06,832624
soldiers that,32,1.3599319014100368e-05,832624
that helped,12,5.099744630287638e-06,832624
helped stomp,1,4.249787191906365e-07,832624
stomp nazi,1,4.249787191906365e-07,832624
nazi germany,92,3.909804216553856e-05,832624
germany into,3,1.2749361575719095e-06,832624
into dust,4,1.699914876762546e-06,832624
dust this,2,8.49957438381273e-07,832624
this feels,69,2.932353162415392e-05,832624
feels like,516,0.00021928901910236846,832624
like a,1190,0.0005057246758368574,832624
a patronizing,1,4.249787191906365e-07,832624
patronizing dude,1,4.249787191906365e-07,832624
dude soliloquy,1,4.249787191906365e-07,832624
soliloquy on,1,4.249787191906365e-07,832624
on how,71,3.0173489062535194e-05,832624
how unhappy,1,4.249787191906365e-07,832624
unhappy they,1,4.249787191906365e-07,832624
they all,81,3.4423276254441556e-05,832624
all must,1,4.249787191906365e-07,832624
must have,127,5.397229733721084e-05,832624
have been,957,0.00040670463426543913,832624
been to,24,1.0199489260575276e-05,832624
to not,107,4.547272295339811e-05,832624
not be,192,8.159591408460221e-05,832624
be with,28,1.1899404137337823e-05,832624
with their,151,6.417178659778611e-05,832624
their boyfriends,1,4.249787191906365e-07,832624
boyfriends instead,1,4.249787191906365e-07,832624
instead here's,1,4.249787191906365e-07,832624
here's some,1,4.249787191906365e-07,832624
some pictures,1,4.249787191906365e-07,832624
pictures of,26,1.104944669895655e-05,832624
the 46th,1,4.249787191906365e-07,832624
46th taman,1,4.249787191906365e-07,832624
taman guards,1,4.249787191906365e-07,832624
guards night,1,4.249787191906365e-07,832624
night bomber,1,4.249787191906365e-07,832624
bomber aviation,1,4.249787191906365e-07,832624
aviation regiment,1,4.249787191906365e-07,832624
regiment aka,1,4.249787191906365e-07,832624
