types,counts,probs,total_unique
the,20869,0.0453140979847614,32929
a,12244,0.026586123711026814,32929
and,11178,0.024271454658760024,32929
of,10067,0.0218590744363694,32929
i,10035,0.021789590937614674,32929
to,8400,0.01823941842311542,32929
this,7569,0.016435018814828648,32929
it,6983,0.015162602243882738,32929
is,6782,0.01472615901732962,32929
in,5509,0.011962018582493197,32929
that,5038,0.010939308335197084,32929
was,3709,0.008053571777539893,32929
but,3513,0.0076279853476672,32929
for,3365,0.007306624165926595,32929
with,2993,0.006498878492902912,32929
movie,2797,0.006073292063030219,32929
as,2716,0.00589741195680732,32929
film,2623,0.005695475538551399,32929
my,2480,0.00538497115349122,32929
so,2396,0.005202576969260066,32929
you,2333,0.0050657813310867,32929
on,2260,0.004907272099552482,32929
s,2254,0.004894243943535972,32929
me,2068,0.00449037110702413,32929
one,2043,0.004436087123622001,32929
like,1901,0.004127754097897907,32929
not,1845,0.004006157975077138,32929
be,1837,0.003988787100388456,32929
just,1759,0.003819421072173813,32929
an,1667,0.0036196560132539775,32929
all,1661,0.003606627857237466,32929
are,1587,0.003445947266367164,32929
have,1543,0.0033504074555794163,32929
animation,1528,0.003317837065538139,32929
at,1446,0.003139785599979155,32929
it's,1343,0.0029161355883623825,32929
they,1298,0.00281842441823855,32929
from,1292,0.0028053962622220387,32929
what,1272,0.0027619690755003356,32929
t,1256,0.002727227326122973,32929
really,1236,0.0026838001394012692,32929
about,1219,0.0026468870306878213,32929
out,1158,0.002514434111186626,32929
if,1140,0.002475349643137093,32929
by,1123,0.002438436534423645,32929
more,1102,0.0023928379883658567,32929
time,1084,0.0023537535203163235,32929
no,1068,0.002319011770938961,32929
how,1062,0.00230598361492245,32929
good,1043,0.0022647277875368316,32929
up,1035,0.00224735691284815,32929
some,1024,0.0022234719601512136,32929
story,1010,0.002193072929446021,32929
when,987,0.002143131664716062,32929
can,978,0.0021235894306912955,32929
disney,977,0.0021214180713552107,32929
has,966,0.0020975331186582737,32929
there,902,0.001958566121148823,32929
much,900,0.0019542234024766524,32929
his,897,0.001947709324468397,32929
we,892,0.001936852527787971,32929
animated,877,0.0019042821377466936,32929
love,867,0.0018825685443858418,32929
its,857,0.0018608549510249902,32929
or,853,0.0018521695136806495,32929
watch,848,0.0018413127170002236,32929
first,805,0.0017479442655485614,32929
than,803,0.001743601546876391,32929
he,802,0.001741430187540306,32929
most,792,0.0017197165941794542,32929
would,785,0.001704517078826858,32929
