types,counts,probs,total_unique
the,104741,0.04298165233616633,89755
a,71587,0.02937653398181361,89755
and,59443,0.024393106422687726,89755
i,55044,0.022587927088646657,89755
of,50085,0.02055294542974471,89755
to,44851,0.018405114414884297,89755
this,41938,0.01720973196431334,89755
it,36668,0.015047127942854727,89755
is,35416,0.01453335560227291,89755
in,30982,0.012713813622928035,89755
that,26015,0.010675549073670932,89755
was,21389,0.008777217725802328,89755
movie,21051,0.008638515608297013,89755
but,19137,0.007853084090826086,89755
for,18652,0.00765405886304479,89755
with,16159,0.006631028156119492,89755
as,16077,0.006597378529979149,89755
my,14217,0.005834106522405521,89755
film,13540,0.005556291926100496,89755
on,12954,0.0053158202075853644,89755
s,12892,0.00529037780733291,89755
so,12713,0.005216923135636309,89755
you,12466,0.005115563895920885,89755
me,10888,0.004468013773366485,89755
like,10596,0.004348188275403313,89755
not,10327,0.004237801087211213,89755
one,10184,0.004179119422112811,89755
be,9493,0.003895559767686264,89755
all,8804,0.003612820835848506,89755
just,8606,0.0035315692995584102,89755
an,8604,0.003530748576969621,89755
have,8388,0.0034421105373804257,89755
at,8359,0.0034302100598429877,89755
are,8126,0.003334595878249087,89755
from,7496,0.0030760682627805997,89755
it's,7414,0.0030424186366402573,89755
about,7004,0.0028741705059385433,89755
they,6844,0.0028085126988354357,89755
when,6700,0.0027494206724426387,89755
t,6682,0.002742034169143539,89755
his,6660,0.0027330062206668616,89755
by,6447,0.0026455992649608495,89755
up,6340,0.0026016906064606463,89755
time,6328,0.0025967662709279133,89755
what,6215,0.0025503954446613433,89755
he,6116,0.002509769676516295,89755
good,5969,0.002449446566240315,89755
really,5872,0.002409641520684056,89755
out,5718,0.0023464458813473145,89755
some,5513,0.0022623218159964578,89755
has,5478,0.002247959170692653,89755
if,5416,0.0022225167704401985,89755
more,5370,0.002203640150898055,89755
who,5053,0.0020735556205750227,89755
can,4865,0.0019964076972288714,89755
how,4858,0.0019935351681681104,89755
there,4805,0.001971786019565206,89755
love,4798,0.001968913490504445,89755
had,4766,0.001955781929083823,89755
watch,4632,0.0019007935156349705,89755
no,4557,0.0018700164185553887,89755
much,4524,0.0018564744958403728,89755
movies,4402,0.001806410417924253,89755
would,4396,0.0018039482501578865,89755
disney,4259,0.0017477287528258505,89755
or,4114,0.001688226365138659,89755
than,4107,0.001685353836077898,89755
also,4055,0.001664015048769388,89755
even,4052,0.0016627839648862047,89755
we,4034,0.0016553974615871052,89755
still,3990,0.0016373415646337504,89755
story,3956,0.00162338928062434,89755
very,3900,0.0016004090481382524,89755
fun,3879,0.0015917914609559695,89755
first,3834,0.0015733252027082204,89755
do,3780,0.0015511656928109214,89755
kids,3756,0.0015413170217454554,89755
kid,3737,0.0015335201571519614,89755
its,3645,0.0014957669180676743,89755
because,3632,0.0014904322212405468,89755
her,3629,0.0014892011373573634,89755
little,3628,0.0014887907760629691,89755
made,3610,0.0014814042727638694,89755
ever,3533,0.001449806453095499,89755
most,3501,0.0014366748916748774,89755
into,3492,0.0014329816400253275,89755
great,3486,0.001430519472258961,89755
get,3466,0.0014223122463710724,89755
only,3410,0.0013993320138849848,89755
think,3343,0.0013718378071605583,89755
watched,3206,0.0013156183098285224,89755
know,3205,0.0013152079485341279,89755
never,3197,0.0013119250581789725,89755
were,3167,0.0012996142193471398,89755
best,3167,0.0012996142193471398,89755
being,3158,0.00129592096769759,89755
watching,3109,0.0012758132642722631,89755
their,3041,0.0012479086962534423,89755
seen,3022,0.0012401118316599483,89755
way,3013,0.0012364185800103986,89755
bad,2994,0.0012286217154169046,89755
why,2965,0.0012167212378794662,89755
too,2938,0.0012056414829308168,89755
been,2937,0.0012052311216364223,89755
family,2935,0.0012044103990476334,89755
did,2910,0.0011941513666877729,89755
well,2893,0.0011871752246830677,89755
make,2872,0.0011785576375007848,89755
which,2867,0.0011765058310288126,89755
films,2866,0.0011760954697344183,89755
see,2826,0.0011596810179586414,89755
will,2816,0.001155577405014697,89755
i'm,2785,0.00114285620488847,89755
now,2736,0.0011227485014631432,89755
every,2730,0.0011202863336967767,89755
where,2718,0.0011153619981640437,89755
pretty,2655,0.0010895092366171948,89755
she,2640,0.0010833538172012784,89755
here,2620,0.00107514659131339,89755
your,2514,0.0010316482941075812,89755
could,2511,0.0010304172102243978,89755
old,2483,0.001018927093981354,89755
m,2448,0.0010045644486775492,89755
de,2418,0.0009922536098457165,89755
better,2360,0.0009684526547708399,89755
them,2352,0.0009651697644156845,89755
years,2351,0.0009647594031212901,89755
after,2350,0.0009643490418268957,89755
lot,2323,0.0009532692868782462,89755
don't,2311,0.0009483449513455132,89755
him,2293,0.0009409584480464135,89755
life,2289,0.0009393170028688358,89755
then,2262,0.0009282372479201864,89755
christmas,2255,0.0009253647188594254,89755
while,2254,0.0009249543575650309,89755
people,2250,0.0009233129123874533,89755
got,2238,0.0009183885768547201,89755
back,2211,0.0009073088219060708,89755
over,2183,0.0008958187056630269,89755
off,2141,0.0008785835312984611,89755
actually,2124,0.0008716073892937559,89755
man,2076,0.0008519100471628236,89755
say,2072,0.0008502686019852459,89755
other,2057,0.0008441131825693295,89755
year,2047,0.0008400095696253852,89755
always,2030,0.00083303342762068,89755
two,2014,0.0008264676469103693,89755
something,1988,0.0008157982532561143,89755
thing,1985,0.000814567169372931,89755
many,1963,0.0008055392208962537,89755
go,1933,0.000793228382064421,89755
day,1927,0.0007907662142980544,89755
any,1919,0.000787483323942899,89755
these,1906,0.0007821486271157715,89755
feel,1905,0.0007817382658213771,89755
action,1901,0.0007800968206437994,89755
going,1890,0.0007755828464054607,89755
don,1878,0.0007706585108727277,89755
character,1876,0.0007698377882839389,89755
world,1874,0.0007690170656951499,89755
though,1867,0.000766144536634389,89755
ve,1863,0.0007645030914568113,89755
characters,1862,0.0007640927301624169,89755
does,1753,0.0007193633490734247,89755
such,1729,0.0007095146780079585,89755
live,1710,0.0007017178134144645,89755
big,1707,0.0007004867295312813,89755
want,1702,0.0006984349230593091,89755
que,1698,0.0006967934778817314,89755
before,1697,0.000696383116587337,89755
thought,1696,0.0006959727552929426,89755
those,1692,0.0006943313101153649,89755
funny,1691,0.0006939209488209705,89755
remember,1674,0.0006869448068162653,89755
i've,1669,0.0006848930003442932,89755
part,1652,0.000677916858339588,89755
scene,1648,0.0006762754131620102,89755
through,1639,0.0006725821615124604,89755
times,1622,0.0006656060195077552,89755
cute,1617,0.0006635542130357831,89755
child,1589,0.0006520640967927392,89755
bit,1579,0.000647960483848795,89755
makes,1563,0.0006413947031384842,89755
new,1560,0.0006401636192553009,89755
real,1560,0.0006401636192553009,89755
right,1559,0.0006397532579609065,89755
plot,1552,0.0006368807289001456,89755
kind,1544,0.0006335978385449901,89755
around,1530,0.0006278527804234683,89755
comedy,1524,0.0006253906126571017,89755
2,1517,0.0006225180835963408,89755
look,1502,0.0006163626641804244,89755
end,1499,0.0006151315802972411,89755
again,1475,0.0006052829092317749,89755
children,1464,0.0006007689349934363,89755
enough,1452,0.0005958445994607032,89755
am,1452,0.0005958445994607032,89755
things,1450,0.0005950238768719144,89755
probably,1448,0.0005942031542831255,89755
sure,1446,0.0005933824316943367,89755
same,1444,0.0005925617091055478,89755
cast,1442,0.0005917409865167589,89755
should,1441,0.0005913306252223645,89755
long,1440,0.0005909202639279701,89755
dog,1409,0.000578199063801743,89755
childhood,1408,0.0005777887025073485,89755
favorite,1397,0.0005732747282690099,89755
classic,1383,0.000567529670147488,89755
5,1373,0.0005634260572035437,89755
work,1366,0.0005605535281427827,89755
die,1365,0.0005601431668483883,89755
since,1361,0.0005585017216708107,89755
loved,1360,0.0005580913603764162,89755
there's,1357,0.000556860276493233,89755
down,1355,0.000556039553904444,89755
young,1354,0.0005556291926100496,89755
didn't,1349,0.0005535773861380775,89755
that's,1338,0.0005490634118997388,89755
fucking,1334,0.0005474219667221612,89755
whole,1326,0.0005441390763670058,89755
last,1315,0.0005396251021286671,89755
shit,1300,0.0005334696827127508,89755
original,1291,0.000529776431063201,89755
star,1290,0.0005293660697688066,89755
take,1289,0.0005289557084744122,89755
saw,1259,0.0005166448696425794,89755
la,1255,0.0005150034244650018,89755
10,1242,0.0005096687276378742,89755
another,1234,0.0005063858372827188,89755
boy,1226,0.0005031029469275634,89755
re,1221,0.0005010511404555914,89755
weird,1214,0.0004981786113948303,89755
minutes,1211,0.0004969475275116471,89755
everything,1205,0.0004944853597452806,89755
fuck,1204,0.0004940749984508862,89755
heart,1197,0.0004912024693901251,89755
nothing,1191,0.0004887403016237586,89755
3,1191,0.0004887403016237586,89755
feels,1184,0.00048586777256299764,89755
can't,1177,0.00048299524350223666,89755
quite,1172,0.0004809434370302646,89755
girl,1170,0.0004801227144414757,89755
adventure,1162,0.0004768398240863203,89755
said,1150,0.00047191548855358723,89755
show,1141,0.0004682222369040374,89755
definitely,1139,0.0004674015143152486,89755
e,1134,0.00046534970784327644,89755
least,1125,0.00046165645619372663,89755
cinema,1120,0.00045960464972175455,89755
find,1118,0.00045878392713296566,89755
perfect,1116,0.0004579632045441768,89755
few,1113,0.00045673212066099357,89755
gets,1110,0.00045550103677781026,89755
und,1104,0.00045303886901144376,89755
hard,1099,0.0004509870625394716,89755
give,1077,0.0004419591140627943,89755
need,1075,0.00044113839147400544,89755
effects,1068,0.0004382658624132445,89755
maybe,1060,0.0004349829720580891,89755
beautiful,1050,0.00043087935911414484,89755
stars,1049,0.0004304689978197504,89755
absolutely,1046,0.00042923791393656717,89755
half,1040,0.0004267757461702006,89755
come,1036,0.00042513430099262294,89755
everyone,1032,0.0004234928558150452,89755
having,1032,0.0004234928558150452,89755
both,1029,0.00042226177193186197,89755
