types,counts,probs,total_unique
the,71645,0.04637480969789865,74553
a,48659,0.03149629234545398,74553
and,39357,0.025475237424526447,74553
of,37002,0.023950878755553715,74553
to,27386,0.01772657601209648,74553
in,22069,0.014284956036330872,74553
is,21461,0.013891406112451713,74553
i,20056,0.012981969199540169,74553
it,19288,0.012484853506219125,74553
this,17438,0.01128737429704734,74553
that,15155,0.009809620224323457,74553
but,11933,0.007724064542187516,74553
with,11778,0.007623735203040691,74553
as,11128,0.007202999264683037,74553
for,10526,0.006813333057157948,74553
western,9946,0.006437907142931118,74553
was,9650,0.006246310469463633,74553
film,9600,0.006213946166513044,74553
on,8100,0.005243017077995381,74553
his,7011,0.0045381225597315574,74553
s,6897,0.004464331949004215,74553
one,6496,0.004204770239340493,74553
an,6485,0.004197650092691364,74553
movie,6371,0.004123859481964021,74553
by,5912,0.0038267551808776165,74553
you,5882,0.003807336599107263,74553
not,5654,0.0036597553776525783,74553
be,5344,0.003459096699358928,74553
from,5331,0.0034506819805917746,74553
he,5228,0.003384011516513562,74553
like,5166,0.003343879780854832,74553
so,5079,0.0032875658937208075,74553
are,4928,0.0031898256988100292,74553
at,4833,0.003128333523203911,74553
all,4801,0.0031076203693155336,74553
my,4696,0.0030396553331192974,74553
it's,4677,0.0030273568979980736,74553
have,4364,0.0028247563615273878,74553
just,4001,0.0025897915221061137,74553
good,3876,0.0025088807647296414,74553
me,3847,0.0024901094690183002,74553
some,3812,0.002467454456952888,74553
more,3806,0.002463570740598817,74553
who,3665,0.002372303406278157,74553
about,3600,0.0023302298124423916,74553
out,3543,0.0022933345070787203,74553
up,3431,0.0022208384684694014,74553
time,3401,0.0022014198866990484,74553
has,3353,0.002170350155866483,74553
they,3327,0.0021535207183321766,74553
its,3299,0.0021353967086798474,74553
what,3271,0.0021172726990275176,74553
john,3196,0.0020687262446016344,74553
great,3158,0.002044129374359187,74553
really,3108,0.002011765071408598,74553
there,3000,0.0019418581770353264,74553
when,2889,0.0018700094244850191,74553
or,2889,0.0018700094244850191,74553
de,2792,0.001807222676760877,74553
story,2709,0.0017534979338628997,74553
very,2668,0.0017269592054434168,74553
man,2661,0.0017224282030303343,74553
t,2649,0.0017146607703221932,74553
no,2627,0.001700420477023934,74553
if,2618,0.001694594902492828,74553
than,2554,0.0016531685947160743,74553
much,2547,0.001648637592302992,74553
most,2427,0.001570963265221579,74553
first,2421,0.0015670795488675084,74553
had,2360,0.00152759509926779,74553
which,2341,0.0015152966641465663,74553
into,2328,0.0015068819453794133,74553
well,2319,0.0015010563708483073,74553
westerns,2273,0.0014712812121337655,74553
their,2245,0.0014531572024814358,74553
even,2229,0.0014428006255372474,74553
