types,counts,probs,total_unique
the,481582,0.044510419764843843,273037
a,315064,0.029119923279505383,273037
and,259923,0.024023493063564477,273037
of,242228,0.02238802521439463,273037
to,190566,0.017613143042944365,273037
i,167406,0.015472570260419719,273037
is,153034,0.014144232089847861,273037
it,145067,0.01340787874967628,273037
in,144637,0.013368135818049095,273037
this,143072,0.01322349003201062,273037
that,110384,0.010202287824965475,273037
but,85075,0.007863092809727294,273037
with,79546,0.007352072649339611,273037
for,72940,0.0067415103090391875,273037
was,72190,0.006672191242247587,273037
movie,69554,0.006428557828830706,273037
as,69382,0.0064126606561798315,273037
film,64376,0.005949978991701491,273037
on,57938,0.005354944122362386,273037
you,48103,0.004445940093168523,273037
s,48010,0.004437344528886365,273037
one,46154,0.004265802944932748,273037
so,43940,0.004061173059763942,273037
like,43597,0.004029471139884583,273037
an,42881,0.003963294537454201,273037
not,41813,0.003864584186342961,273037
be,38556,0.003563554585622634,273037
his,37231,0.0034410909009574718,273037
my,36247,0.0033501442853268912,273037
are,36226,0.0033482033514567263,273037
all,35544,0.003285169213387564,273037
from,35461,0.003277497903329293,273037
it's,34787,0.003215203168639241,273037
at,33616,0.003106972999021954,273037
just,33606,0.0031060487447980662,273037
have,32493,0.00300317924967933,273037
action,32445,0.0029987428294046673,273037
by,32266,0.002982198678797072,273037
me,30398,0.0028095479897747907,273037
he,29979,0.002770821737793883,273037
some,28792,0.002661112761418375,273037
more,27965,0.0025846769371028365,273037
good,27090,0.002503804692512635,273037
what,25940,0.0023975154567655132,273037
up,25710,0.0023762576096160886,273037
out,25612,0.0023671999182219862,273037
about,25453,0.0023525042760621667,273037
has,25288,0.0023372540813680147,273037
time,24982,0.002308971902117041,273037
really,24756,0.002288083756657172,273037
they,24615,0.0022750517721003513,273037
if,21792,0.0020141348046967644,273037
who,21541,0.001990936023677175,273037
there,21459,0.001983357139041293,273037
when,21391,0.0019770722103188546,273037
t,20811,0.0019234654653333498,273037
its,20799,0.0019223563602646843,273037
or,20185,0.00186560715091796,273037
much,19463,0.0017988759959532453,273037
no,19327,0.0017863061385083683,273037
than,18939,0.0017504450746215132,273037
great,18771,0.0017349176036601946,273037
fun,18067,0.0016698501062984783,273037
first,17995,0.0016631954758864846,273037
can,17675,0.001633619340722068,273037
how,17545,0.001621604035811524,273037
even,17539,0.0016210494832771911,273037
had,17517,0.0016190161239846375,273037
very,17095,0.0015800125957365632,273037
movies,17043,0.0015752064737723454,273037
into,16596,0.0015338923099645512,273037
most,16462,0.0015215073033644517,273037
story,16402,0.0015159617780211236,273037
films,16275,0.001504223749377746,273037
also,16085,0.0014866629191238735,273037
get,15413,0.001424553035278599,273037
which,15160,0.001401169403414232,273037
well,15082,0.0013939602204679055,273037
die,15060,0.0013919268611753519,273037
only,14954,0.001382129766402139,273037
would,14918,0.001378802451196142,273037
do,14722,0.001360687068407937,273037
we,14708,0.0013593931124944937,273037
watch,14690,0.0013577294548914954,273037
bad,14544,0.0013442353432227302,273037
still,14495,0.001339706497525679,273037
und,14357,0.0013269517892360244,273037
man,14214,0.0013137349538344257,273037
love,13987,0.0012927543829521677,273037
way,13650,0.0012616070156071418,273037
here,13522,0.001249776561541375,273037
pretty,13367,0.001235450621071111,273037
best,13334,0.0012324005821322803,273037
too,13168,0.0012170579620157393,273037
because,13083,0.0012092018011126912,273037
being,13051,0.0012062441875962495,273037
made,12906,0.0011928425013498732,273037
been,12855,0.0011881288048080443,273037
der,12459,0.001151528337542079,273037
their,12344,0.0011408994139673668,273037
see,12063,0.0011149278702761135,273037
think,11847,0.0010949639790401324,273037
were,11738,0.001084889607999753,273037
off,11656,0.0010773107233638713,273037
de,11576,0.0010699166895727671,273037
seen,11537,0.001066312098099604,273037
ever,11442,0.0010575316829726678,273037
after,11338,0.0010479194390442324,273037
never,11240,0.0010388617476501298,273037
know,11233,0.0010382147696934082,273037
make,11208,0.0010359041341336881,273037
where,11192,0.0010344253273754673,273037
over,11099,0.0010258297630933088,273037
better,10908,0.0010081765074170478,273037
while,10907,0.001008084081994659,273037
i'm,10594,0.0009791549247869641,273037
lot,10550,0.0009750882062018567,273037
two,10485,0.0009690805537465847,273037
could,10294,0.0009514272980703235,273037
him,10230,0.0009455120710374403,273037
other,10004,0.000924623925577571,273037
then,9977,0.0009221284391730735,273037
little,9969,0.0009213890357939631,273037
plot,9782,0.0009041054818072572,273037
them,9699,0.0008964341717489865,273037
will,9621,0.0008892249888026601,273037
characters,9557,0.0008833097617697768,273037
people,9553,0.0008829400600802215,273037
every,9422,0.0008708323297472886,273037
