types,counts,probs,total_unique
the,187921,0.043815673906053745,146010
a,125337,0.029223583954763214,146010
and,105890,0.02468932003295018,146010
of,96343,0.022463340824766448,146010
i,81254,0.018945188497094475,146010
to,77760,0.018130527205233792,146010
this,63322,0.01476416208448835,146010
it,61599,0.014362427280288017,146010
is,60621,0.014134396729790093,146010
in,55027,0.012830099286553496,146010
that,45645,0.010642591490263585,146010
but,33657,0.007847468546123375,146010
was,31712,0.007393972205920447,146010
for,30040,0.007004128565396387,146010
with,29980,0.006990138961071361,146010
movie,28490,0.006642730453666547,146010
as,27150,0.006330295957074298,146010
film,25234,0.005883561258961799,146010
on,22261,0.005190376364656757,146010
you,20656,0.00481615444896231,146010
so,20073,0.004680222126937473,146010
s,19903,0.0046405849146832325,146010
like,18517,0.00431742505477513,146010
my,18379,0.00428524896482757,146010
one,17314,0.004036933488058357,146010
not,17188,0.004007555318975803,146010
be,16652,0.003882581520338903,146010
an,16463,0.0038385142667150705,146010
me,16290,0.0037981775742445788,146010
all,14791,0.003448670626191011,146010
are,14180,0.0033062098221478286,146010
just,14083,0.0032835932951557033,146010
have,13882,0.0032367281206668657,146010
from,13716,0.0031980235487009605,146010
it's,13715,0.0031977903886288767,146010
at,13530,0.0031546557752933795,146010
by,12386,0.002887920652829549,146010
his,12333,0.0028755631690091095,146010
what,11403,0.0026587243019712053,146010
about,11176,0.00260579696560819,146010
time,10672,0.002488284289277971,146010
more,10478,0.0024430512352937197,146010
he,10444,0.0024351237928428716,146010
some,10270,0.002394553940300296,146010
really,10195,0.0023770669348940135,146010
they,10167,0.002370538452875668,146010
up,9752,0.0022737770229609043,146010
out,9742,0.0022714454222400667,146010
t,9628,0.0022448651740225173,146010
if,9587,0.0022353056110670827,146010
when,9449,0.002203129521119523,146010
has,9412,0.0021945025984524236,146010
good,9390,0.0021893730768665805,146010
there,8589,0.0020026118591274823,146010
its,8345,0.001945720801539043,146010
who,8317,0.0019391923195206974,146010
or,8223,0.0019172752727448232,146010
no,8039,0.00187437381948141,146010
can,8013,0.001868311657607232,146010
love,7884,0.001838234008308426,146010
much,7868,0.0018345034471550857,146010
how,7732,0.0018027936773516932,146010
even,7417,0.0017293482546453065,146010
into,7338,0.0017109286089506887,146010
had,7208,0.001680617799579799,146010
story,7201,0.0016789856790752125,146010
than,7188,0.0016759545981381236,146010
would,6903,0.0016095039775942497,146010
very,6836,0.0015938822527646374,146010
first,6836,0.0015938822527646374,146010
fun,6595,0.0015376906753924492,146010
also,6386,0.0014889602203269417,146010
most,6360,0.0014828980584527638,146010
do,6310,0.0014712400548485753,146010
watch,6269,0.001461680491893141,146010
we,6207,0.0014472245674239472,146010
great,6203,0.0014462919271356121,146010
movies,6073,0.0014159811177647224,146010
only,5915,0.001379141826375487,146010
de,5907,0.001377276545798817,146010
still,5805,0.0013534942184462726,146010
which,5799,0.00135209525801377,146010
because,5723,0.0013343750925354037,146010
made,5617,0.0013096601248945242,146010
get,5584,0.0013019658425157598,146010
films,5565,0.0012975358011461683,146010
her,5547,0.0012933389198486606,146010
way,5507,0.0012840125169653097,146010
think,5466,0.0012744529540098754,146010
horror,5447,0.0012700229126402836,146010
well,5387,0.0012560333083152576,146010
been,5307,0.001237380502548556,146010
