types,counts,probs,total_unique
the,117824,0.047648704041307624,119611
a,67547,0.02731639574176913,119611
of,63638,0.02573557363339162,119611
and,61311,0.02479452143431399,119611
to,44434,0.017969365455013094,119611
i,36419,0.014728053303914163,119611
in,34503,0.01395321187141191,119611
is,34368,0.013898617094069633,119611
it,32152,0.013002453934140096,119611
this,29551,0.011950594557345545,119611
that,25411,0.010276354718849029,119611
film,19447,0.007864478777594627,119611
but,17927,0.007249782025296389,119611
was,17224,0.006965484777358454,119611
for,16717,0.006760451058006344,119611
as,16367,0.006618909042674513,119611
with,15793,0.00638678013753031,119611
on,13556,0.005482124456680864,119611
movie,11555,0.004672908534740881,119611
s,10863,0.004393059750141946,119611
an,9896,0.004001999382068001,119611
one,9689,0.003918287390143176,119611
you,9592,0.003879060031608354,119611
not,9487,0.003836597427008805,119611
so,9181,0.0037128492650329754,119611
be,8823,0.0035680720036364165,119611
his,8754,0.0035401680063281414,119611
about,8366,0.003383258572188854,119611
at,8253,0.0033375607215245773,119611
like,8184,0.003309656724216302,119611
from,8117,0.0032825615384242087,119611
my,8096,0.003274069017504299,119611
by,8074,0.003265172090826298,119611
are,7946,0.003213408153790657,119611
all,7711,0.003118372800639285,119611
me,7577,0.003064182429055098,119611
have,7068,0.0028583398981868063,119611
it's,6719,0.0027172022886130663,119611
story,6560,0.002652901773076606,119611
just,6490,0.0026245933700102396,119611
he,6448,0.0026076083281704196,119611
de,6257,0.002530366828375049,119611
more,6124,0.002476580862548953,119611
war,5819,0.002353237106331215,119611
what,5779,0.002337060876007577,119611
good,5521,0.002232724190420113,119611
really,5442,0.0022007761355309283,119611
some,5253,0.0021243434472517394,119611
time,5176,0.0020932042038787364,119611
who,5100,0.0020624693662638248,119611
its,5085,0.0020564032798924604,119611
they,5049,0.0020418446726011862,119611
great,4711,0.0019051555263664467,119611
or,4659,0.0018841264269457174,119611
very,4631,0.001872803065719171,119611
has,4568,0.0018473255029594414,119611
when,4562,0.0018448990684108958,119611
t,4539,0.001835597735974804,119611
how,4531,0.0018323624899100764,119611
there,4512,0.0018246787805063483,119611
no,4502,0.001820634722925439,119611
out,4491,0.0018161862595864385,119611
if,4424,0.001789091073794345,119611
