types,counts,probs,total_unique
the,460100,0.04567752698433909,232853
a,315333,0.03130543711487198,232853
and,242585,0.024083205571605953,232853
of,231218,0.022954719483296925,232853
to,180961,0.01796533571096063,232853
i,169729,0.016850252070256228,232853
it,149087,0.014800968192814958,232853
this,139692,0.013868257116923053,232853
is,138441,0.013744061102453572,232853
in,132017,0.013106303151252975,232853
that,109944,0.010914953329202733,232853
but,81952,0.008135980637732139,232853
with,74890,0.007434883711926004,232853
was,72542,0.007201780400995276,232853
for,71364,0.007084831635971256,232853
movie,63057,0.006260134360033623,232853
as,60829,0.0060389443358625575,232853
film,58584,0.005816066596067206,232853
on,57057,0.005664470022050501,232853
you,48676,0.0048324262192777434,232853
s,45218,0.004489125005820137,232853
one,42554,0.004224650039755631,232853
horror,42433,0.004212637475606304,232853
so,42279,0.004197348757598071,232853
like,41554,0.004125372650091777,232853
not,41344,0.0041045243982623675,232853
an,40097,0.003980725493351542,232853
be,37459,0.0037188317394182963,232853
are,35694,0.003543607146661594,232853
from,35104,0.0034850334867599204,232853
my,34574,0.0034324164702380783,232853
it's,33822,0.00335775987321086,232853
just,33108,0.0032868758169908685,232853
me,32994,0.0032755581945691893,232853
all,32916,0.0032678145581754086,232853
at,32217,0.003198419662800375,232853
by,31767,0.0031537448374516406,232853
have,31018,0.0030793860725934143,232853
some,29772,0.0029556864450722524,232853
his,27582,0.002738268961708413,232853
what,26740,0.0026546773996114484,232853
more,26546,0.0026354175860166607,232853
out,26240,0.0026050387047795213,232853
about,25822,0.0025635407559000305,232853
really,25664,0.0025478549283331417,232853
up,25568,0.0025383242989254116,232853
they,24547,0.002436962084078617,232853
good,24328,0.002415220335742233,232853
has,22702,0.0022537953001488067,232853
there,22462,0.002229968726629482,232853
time,22187,0.002202667444471922,232853
if,21727,0.0021569998452265495,232853
he,21703,0.002154617187874617,232853
or,20909,0.002075790940481517,232853
its,20873,0.0020722169544536186,232853
when,20423,0.002027542129104884,232853
t,20368,0.002022081872673372,232853
who,19873,0.001972939564789765,232853
into,18730,0.00185946550840398,232853
no,18075,0.0017944388181741558,232853
much,17734,0.0017605852282987816,232853
very,17153,0.0017029050649040828,232853
than,17143,0.0017019122910074441,232853
had,17039,0.0016915874424824034,232853
can,16548,0.0016428422441574512,232853
even,16547,0.0016427429667677873,232853
fun,16540,0.0016420480250401404,232853
first,16295,0.0016177250645724962,232853
how,15617,0.0015504149943804033,232853
watch,15271,0.00151606501755671,232853
great,15244,0.0015133845280357859,232853
get,15053,0.00149442254660999,232853
would,14830,0.0014722836887149505,232853
well,14714,0.0014607675115139434,232853
story,14588,0.0014482585604162978,232853
which,14545,0.0014439896326607523,232853
also,14502,0.0014397207049052065,232853
most,14481,0.0014376358797222656,232853
pretty,14252,0.001414901357489243,232853
films,14198,0.0014095403784473949,232853
her,14032,0.0013930603317631953,232853
movies,13931,0.001383033315407146,232853
we,13866,0.0013765802850789954,232853
do,13761,0.0013661561591642908,232853
love,13731,0.0013631778374743754,232853
only,13619,0.0013520587698320236,232853
bad,13589,0.001349080448142108,232853
way,13274,0.001317808070397994,232853
because,13051,0.0012956692125029548,232853
being,12704,0.0012612199582895975,232853
made,12533,0.0012442435246570785,232853
their,12528,0.0012437471377087592,232853
been,12504,0.0012413644803568268,232853
too,12409,0.0012319331283387606,232853
still,12279,0.0012190270676824596,232853
little,12174,0.001208602941767755,232853
were,12130,0.0012042347366225455,232853
here,11995,0.0011908322890179252,232853
see,11725,0.0011640273938086847,232853
think,11670,0.0011585671373771727,232853
off,11652,0.0011567801443632235,232853
people,11366,0.0011283868109193613,232853
de,11237,0.0011155800276527242,232853
seen,11083,0.0011002913096444906,232853
know,11056,0.0010976108201235667,232853
man,10937,0.001085796810753568,232853
make,10816,0.0010737842466042417,232853
after,10640,0.0010563114260234035,232853
where,10627,0.0010550208199577734,232853
i'm,10445,0.001036952335038952,232853
while,10354,0.0010279180925795413,232853
never,10318,0.0010243441065516425,232853
lot,10181,0.0010107431041676946,232853
them,10153,0.0010079633372571067,232853
your,10149,0.0010075662276984513,232853
something,10089,0.00100160958431862,232853
then,10063,0.0009990283721873598,232853
ever,9872,0.0009800663907615639,232853
could,9770,0.0009699400970158507,232853
best,9569,0.0009499853416934162,232853
better,9528,0.0009459149687171981,232853
going,9358,0.000929037812474343,232853
over,9279,0.0009211948986908986,232853
don't,9197,0.0009130541527384626,232853
she,8983,0.0008918087913503979,232853
did,8968,0.00089031963050544,232853
other,8901,0.0008836680453979619,232853
die,8656,0.0008593450849303177,232853
thing,8647,0.000858451588423343,232853
watching,8647,0.000858451588423343,232853
characters,8635,0.0008572602597473768,232853
any,8526,0.0008464390242740168,232853
actually,8508,0.0008446520312600673,232853
two,8487,0.0008425672060771264,232853
will,8463,0.000840184548725194,232853
though,8427,0.0008366105626972952,232853
got,8423,0.0008362134531386398,232853
back,8236,0.0008176485812714992,232853
bit,8139,0.0008080186744741053,232853
now,8130,0.0008071251779671306,232853
go,7994,0.0007936234529728465,232853
watched,7918,0.0007860783713583936,232853
und,7909,0.0007851848748514189,232853
why,7891,0.0007833978818374696,232853
effects,7688,0.0007632445717357073,232853
does,7672,0.0007616561335010856,232853
every,7657,0.0007601669726561279,232853
before,7587,0.0007532175553796581,232853
que,7546,0.00074914718240344,232853
say,7477,0.0007422970425166341,232853
through,7470,0.0007416021007889872,232853
him,7456,0.0007402122173336932,232853
around,7245,0.0007192646881146201,232853
slasher,7240,0.0007187683011663008,232853
these,7216,0.0007163856438143684,232853
many,7209,0.0007156907020867214,232853
kind,7122,0.0007070535691859661,232853
plot,7072,0.0007020896997027734,232853
years,7045,0.0006994092101818494,232853
those,7029,0.0006978207719472277,232853
always,6957,0.0006906727998914302,232853
i've,6949,0.0006898785807741194,232853
new,6885,0.0006835248278356328,232853
there's,6882,0.0006832269956666413,232853
