types,counts,probs,total_unique
the,523184,0.044344380241635104,280212
a,359855,0.030500831355419127,280212
and,283998,0.02407129289095975,280212
of,261823,0.022191769373691907,280212
to,211720,0.017945105708047235,280212
i,184596,0.01564611153071362,280212
is,168342,0.014268444101190665,280212
it,165302,0.014010777743017306,280212
in,160274,0.013584611147985842,280212
this,152908,0.012960278781438156,280212
that,126459,0.01071849670665948,280212
but,93124,0.007893066427149965,280212
with,86291,0.0073139104319530695,280212
was,81310,0.006891727494432839,280212
for,80053,0.006785185845674973,280212
as,75882,0.00643165743122067,280212
film,74311,0.00629850155994095,280212
movie,67968,0.005760877313265418,280212
on,65982,0.005592546593748218,280212
you,55775,0.004727414844447074,280212
s,54081,0.004583833656701787,280212
one,49306,0.00417911100529462,280212
an,48862,0.004141478155614037,280212
so,47390,0.004016713392709042,280212
like,46586,0.003948567421665825,280212
not,46076,0.003905340499735426,280212
be,43037,0.0036477589002325184,280212
his,41048,0.0034791739047039623,280212
from,39383,0.003338050718401777,280212
are,38168,0.003235068933802885,280212
my,38165,0.00323481465779153,280212
all,37932,0.003215065887576269,280212
at,37798,0.0032037082257357326,280212
by,37795,0.0032034539497243775,280212
it's,37276,0.0031594641997599125,280212
me,37002,0.0031362403240561294,280212
just,36887,0.0031264930769541767,280212
have,34655,0.002937311724505842,280212
he,33117,0.002806952889351031,280212
about,31379,0.002659642320105867,280212
what,30757,0.0026069224270848703,280212
more,30405,0.00257708737508585,280212
some,30359,0.0025731884762450687,280212
good,29289,0.0024824966988616828,280212
out,29161,0.002471647589043857,280212
really,28516,0.00241697824660247,280212
up,28017,0.0023746836700470403,280212
has,26967,0.002285687066072689,280212
time,26275,0.002227034066120069,280212
they,25220,0.0021376136687934594,280212
who,25187,0.002134816632668551,280212
its,24396,0.002067772524341207,280212
if,24218,0.0020526854810007933,280212
when,23794,0.0020167478047292456,280212
there,23657,0.002005135866877354,280212
or,23192,0.0019657230851172843,280212
t,23190,0.0019655535677763807,280212
no,21700,0.0018392631488032543,280212
very,20804,0.0017633193800784747,280212
much,20587,0.0017449267485904422,280212
great,20378,0.0017272121864660237,280212
how,20037,0.0016983094798419726,280212
into,19870,0.0016841547818765281,280212
can,19389,0.0016433858613892302,280212
story,19218,0.0016288921287419787,280212
than,19209,0.0016281293007079129,280212
had,18754,0.0015895641056523607,280212
even,18753,0.0015894793469819091,280212
action,17994,0.001525147516109021,280212
first,17910,0.001518027787791073,280212
well,17821,0.001510484266120866,280212
most,17618,0.0014932782560191581,280212
horror,17545,0.0014870908730761794,280212
which,17161,0.0014545435436227026,280212
also,16895,0.0014319977372825336,280212
would,16839,0.0014272512517372348,280212
films,16665,0.0014125032430786283,280212
de,16588,0.0014059768254538424,280212
get,16585,0.001405722549442487,280212
her,16562,0.0014037731000220966,280212
do,16546,0.0014024169612948684,280212
watch,16156,0.0013693610798186809,280212
we,16014,0.0013573253486145306,280212
way,15835,0.001342153546603665,280212
only,15752,0.0013351185769561688,280212
movies,15291,0.001296044829877906,280212
because,15193,0.0012877384801736331,280212
been,14714,0.0012471390770272387,280212
thriller,14666,0.0012430706608455543,280212
pretty,14548,0.0012330691377322462,280212
being,14542,0.0012325605857095355,280212
here,14526,0.0012312044469823074,280212
too,14475,0.0012268817547892675,280212
bad,14410,0.001221372441209903,280212
still,14388,0.001219507750459964,280212
love,14184,0.0012022169816878045,280212
made,13918,0.0011796711753476355,280212
man,13843,0.0011733142750637534,280212
think,13692,0.001160515715825537,280212
their,13507,0.001144835361791961,280212
see,13504,0.0011445810857806057,280212
fun,13185,0.0011175430699064935,280212
best,12834,0.0010877927765779245,280212
die,12823,0.0010868604312029553,280212
never,12779,0.0010831310497030776,280212
know,12741,0.0010799102202259108,280212
off,12617,0.001069400145089892,280212
where,12602,0.0010681287650331156,280212
seen,12563,0.0010648231768854968,280212
after,12557,0.0010643146248627863,280212
were,12493,0.0010588900699538735,280212
while,12297,0.001042277370545328,280212
little,12216,0.0010354119182387352,280212
people,12157,0.0010304111566820811,280212
make,12070,0.0010230371523527778,280212
und,11784,0.0009987961726035735,280212
i'm,11536,0.0009777760223315364,280212
ever,11480,0.0009730295367862377,280212
your,11392,0.0009655707737864826,280212
could,11385,0.0009649774630933202,280212
him,11294,0.0009572644240822098,280212
two,11244,0.0009530264905596216,280212
over,11023,0.000934294824389782,280212
then,10907,0.0009244628186173776,280212
she,10894,0.0009233609559015047,280212
plot,10891,0.0009231066798901494,280212
better,10868,0.0009211572304697589,280212
them,10748,0.0009109861900155473,280212
something,10670,0.0009043750137203097,280212
lot,10652,0.000902849357652178,280212
character,10628,0.0009008151495613358,280212
other,10369,0.0008788626539143292,280212
der,10343,0.0008766589284825833,280212
que,10306,0.0008735228576758681,280212
going,10179,0.0008627585065284942,280212
don't,10158,0.0008609785744490072,280212
characters,10156,0.0008608090571081037,280212
did,9994,0.0008470781524949181,280212
will,9988,0.0008465696004722075,280212
every,9833,0.0008334320065521843,280212
any,9728,0.0008245323461547492,280212
does,9588,0.0008126661322915024,280212
cast,9585,0.000812411856280147,280212
though,9347,0.0007922392927126275,280212
now,9322,0.0007901203259513335,280212
watching,9288,0.0007872385311559735,280212
back,9265,0.0007852890817355829,280212
got,9203,0.0007800340441675737,280212
why,9060,0.0007679135542929716,280212
through,8983,0.0007613871366681859,280212
thing,8910,0.0007551997537252072,280212
bit,8862,0.0007511313375435225,280212
say,8833,0.0007486733361004214,280212
go,8825,0.0007479952667368073,280212
always,8776,0.0007438420918846709,280212
many,8734,0.0007402822277256969,280212
before,8613,0.0007300264286010336,280212
scene,8525,0.0007225676656012784,280212
actually,8482,0.0007189230427718526,280212
years,8374,0.0007097691063630622,280212
watched,8263,0.0007003608939429166,280212
makes,8138,0.0006897660601364462,280212
end,8092,0.0006858671612956651,280212
work,8034,0.0006809511584094629,280212
interesting,8034,0.0006809511584094629,280212
those,7959,0.0006745942581255806,280212
new,7884,0.0006682373578416985,280212
kind,7821,0.0006628975616032374,280212
feel,7784,0.0006597614907965222,280212
life,7779,0.0006593376974442633,280212
these,7744,0.0006563711439784517,280212
enough,7716,0.0006539979012058023,280212
down,7705,0.0006530655558308328,280212
quite,7682,0.0006511161064104423,280212
last,7641,0.0006476410009219201,280212
i've,7579,0.0006423859633539107,280212
around,7528,0.0006380632711608709,280212
la,7468,0.0006329777509337651,280212
things,7422,0.000629078852092984,280212
such,7396,0.0006268751266612382,280212
real,7348,0.0006228067104795535,280212
right,7333,0.0006215353304227771,280212
director,7325,0.0006208572610591629,280212
m,7238,0.0006134832567298597,280212
that's,7218,0.0006117880833208244,280212
long,7207,0.000610855737945855,280212
another,7147,0.0006057702177187492,280212
world,7131,0.000604414078991521,280212
scenes,7108,0.0006024646295711304,280212
there's,7002,0.0005934802105032436,280212
same,7001,0.0005933954518327918,280212
part,6962,0.0005900898636851731,280212
ve,6950,0.0005890727596397519,280212
take,6910,0.0005856824128216814,280212
day,6805,0.0005767827524242462,280212
performance,6774,0.0005741552336402416,280212
thought,6709,0.0005686459200608771,280212
feels,6663,0.000564747021220096,280212
minutes,6661,0.0005645775038791924,280212
nothing,6636,0.0005624585371178984,280212
few,6607,0.0005600005356747972,280212
set,6594,0.0005588986729589243,280212
look,6448,0.0005465239070729669,280212
