types,counts,probs,total_unique
the,229096,0.04315301675180008,172479
a,153127,0.028843332036145943,172479
and,128145,0.024137668626512124,172479
of,117893,0.0222065797915283,172479
i,100380,0.01890779333356188,172479
to,94183,0.01774051304577464,172479
it,88010,0.016577753449758727,172479
is,73498,0.013844241825364924,172479
this,71553,0.013477877429730556,172479
in,70360,0.013253161376264333,172479
s,69127,0.013020910836512573,172479
that,58321,0.010985469366474022,172479
but,40351,0.007600601402695311,172479
with,36749,0.006922120912682462,172479
was,36186,0.00681607301821349,172479
for,35886,0.006759564371071942,172479
film,33520,0.0063138995072822696,172479
as,33097,0.006234222314812687,172479
movie,29902,0.005632405222755203,172479
t,29509,0.005558378894999776,172479
on,28667,0.005399777958689165,172479
you,27938,0.005262461946135204,172479
so,22588,0.004254724405444269,172479
one,21333,0.004018329898235461,172479
like,20591,0.0038785651776386994,172479
not,20447,0.0038514410270107566,172479
an,20328,0.003829025930311276,172479
my,19484,0.003670048269686388,172479
be,19253,0.0036265366113873965,172479
his,18016,0.003393532623007081,172479
me,18012,0.0033927791743785275,172479
all,17562,0.003308016203666206,172479
are,17368,0.003271473945181338,172479
from,17095,0.0032200510762825296,172479
at,16928,0.0031885945960404014,172479
just,16326,0.003075200577443029,172479
he,16178,0.003047322978186532,172479
by,16034,0.003020198827558589,172479
have,15796,0.002975368634159628,172479
about,15007,0.0028267508921773574,172479
what,13823,0.0026037300981253822,172479
can,13329,0.002510679192498967,172479
they,13059,0.002459821410071574,172479
there,13051,0.002458314512814466,172479
more,12971,0.0024432455402433866,172479
some,12441,0.0023434135969599853,172479
out,12188,0.002295757971203947,172479
really,12137,0.0022861515011898836,172479
time,11961,0.002252999761533509,172479
up,11845,0.002231149751305444,172479
good,11785,0.002219848021877134,172479
who,11531,0.0021720040339639575,172479
has,11409,0.0021490238507930613,172479
when,10861,0.0020458013886811674,172479
if,10509,0.001979497909368418,172479
its,10112,0.0019047181329844363,172479
or,10107,0.0019037763221987438,172479
no,9641,0.0018159995569722064,172479
how,9596,0.0018075232599009743,172479
much,9353,0.0017617512557163205,172479
m,9132,0.0017201232189887137,172479
very,9111,0.0017161676136888053,172479
we,8642,0.0016278257619908524,172479
ve,8534,0.0016074826490198953,172479
love,8531,0.0016069175625484796,172479
than,8523,0.0016054106652913717,172479
