types,counts,probs,total_unique
her,8124,0.0007985251464650813,263356
many,8059,0.0007921361589564366,263356
say,8041,0.0007903669008771196,263356
though,7937,0.0007801445208632878,263356
doesnt,7926,0.0007790633075925942,263356
always,7887,0.0007752299150874072,263356
these,7712,0.0007580287948718252,263356
war,7630,0.0007499688413993809,263356
before,7547,0.0007418105958114191,263356
scenes,7399,0.0007272633627148125,263356
bit,7303,0.0007178273196251217,263356
cant,7247,0.0007123229611561354,263356
through,7224,0.0007100622424992304,263356
world,7223,0.0007099639503837128,263356
scene,7125,0.0007003313230629867,263356
makes,7003,0.0006883396849698381,263356
go,6955,0.0006836216634249927,263356
those,6934,0.0006815575289991229,263356
enough,6862,0.0006744804966818548,263356
new,6763,0.0006647495772456112,263356
kind,6732,0.0006617025216645652,263356
big,6668,0.000655411826271438,263356
down,6661,0.0006547237814628147,263356
right,6652,0.0006538391524231562,263356
work,6528,0.0006416509300989722,263356
last,6485,0.0006374243691317149,263356
part,6463,0.0006352619425903275,263356
she,6452,0.0006341807293196338,263356
feel,6431,0.0006321165948937639,263356
isnt,6402,0.0006292661235437532,263356
around,6335,0.0006226805518040732,263356
que,6316,0.0006208130016092385,263356
look,6287,0.0006179625302592278,263356
same,6267,0.0006159966879488755,263356
end,6236,0.0006129496323678295,263356
take,6206,0.0006100008689023012,263356
cool,6150,0.0006044965104333149,263356
quite,6117,0.0006012528706212337,263356
feels,6071,0.0005967314333074236,263356
ist,6052,0.0005948638831125889,263356
long,6028,0.0005925048723401662,263356
such,5957,0.0005855261321384157,263356
shit,5952,0.0005850346715608277,263356
another,5913,0.0005812012790556408,263356
things,5886,0.0005785473919366653,263356
life,5853,0.0005753037521245841,263356
real,5819,0.0005719618201969853,263356
everything,5807,0.000570782314810774,263356
few,5803,0.0005703891463487035,263356
sure,5726,0.0005628206534538474,263356
thought,5701,0.0005603633505659071,263356
minutes,5695,0.0005597735978728014,263356
gets,5657,0.0005560384974831321,263356
original,5657,0.0005560384974831321,263356
both,5627,0.0005530897340176037,263356
between,5616,0.00055200852074691,263356
set,5607,0.0005511238917072515,263356
entertaining,5558,0.0005463075780468885,263356
probably,5535,0.0005440468593899834,263356
times,5520,0.0005425724776572192,263356
comedy,5493,0.0005399185905382436,263356
star,5489,0.0005395254220761733,263356
day,5466,0.0005372647034192681,263356
thriller,5461,0.0005367732428416801,263356
hard,5429,0.0005336278951451165,263356
want,5408,0.0005315637607192467,263356
das,5371,0.000527926952445095,263356
guy,5360,0.0005268457391744012,263356
again,5352,0.0005260594022502604,263356
nothing,5313,0.0005222260097450735,263356
should,5305,0.0005214396728209326,263356
funny,5279,0.0005188840778174746,263356
old,5217,0.0005127899666553827,263356
almost,5214,0.0005124950903088299,263356
fucking,5143,0.0005055163501070794,263356
fight,5130,0.0005042385526053504,263356
whole,5123,0.0005035505077967272,263356
least,5077,0.000499029070482917,263356
interesting,5065,0.0004978495650967057,263356
es,4821,0.0004738662889104083,263356
since,4775,0.00046934485159659815,263356
ein,4764,0.0004682636383259044,263356
own,4750,0.00046688754870865786,263356
den,4736,0.00046551145909141126,263356
effects,4691,0.0004610883138931187,263356
wasnt,4689,0.0004608917296620835,263356
mit,4682,0.0004602036848534602,263356
la,4659,0.00045794296619655514,263356
half,4655,0.00045754979773448466,263356
youre,4630,0.00045509249484654437,263356
am,4588,0.00045096422599480467,263356
far,4575,0.0004496864284930757,263356
cinema,4545,0.00044673766502754736,263356
yet,4529,0.00044516499117926557,263356
having,4485,0.00044084013809649064,263356
anything,4483,0.0004406435538654554,263356
us,4460,0.0004383828352085503,263356
acting,4451,0.0004374982061688918,263356
series,4431,0.0004355323638585396,263356
ich,4414,0.00043386139789474017,263356
looks,4349,0.00042747241038609536,263356
definitely,4329,0.0004255065680757431,263356
year,4296,0.0004222629282636619,263356
5,4294,0.0004220663440326267,263356
zu,4284,0.00042108342287745055,263356
point,4228,0.0004155790644084643,263356
genre,4217,0.00041449785113777056,263356
maybe,4215,0.0004143012669067353,263356
bond,4213,0.0004141046826757001,263356
come,4202,0.0004130234694050064,263356
our,4201,0.0004129251772894888,263356
top,4193,0.0004121388403653479,263356
give,4186,0.00041145079555672456,263356
favorite,4169,0.00040977982959292515,263356
id,4149,0.00040781398728257295,263356
full,4141,0.000407027650358432,263356
find,4133,0.0004062413134342911,263356
solid,4128,0.0004057498528567031,263356
horror,4098,0.0004028010893911747,263356
2,4055,0.00039857452842391737,263356
second,4043,0.00039739502303770606,263356
hell,4026,0.0003957240570739066,263356
remember,4013,0.0003944462595721777,263356
without,4011,0.00039424967534114244,263356
fuck,4002,0.0003933650463014839,263356
making,3985,0.0003916940803376845,263356
moments,3982,0.00039139920399113167,263356
stars,3980,0.0003912026197600965,263356
takes,3966,0.0003898265301428499,263356
saw,3963,0.0003895316537962971,263356
performance,3912,0.0003845187559048988,263356
sequel,3889,0.00038225803724799376,263356
nicht,3877,0.0003810785318617824,263356
everyone,3876,0.0003809802397462648,263356
might,3862,0.00037960415012901823,263356
absolutely,3850,0.00037842464474280687,263356
said,3847,0.00037812976839625407,263356
version,3829,0.00037636051031693705,263356
need,3815,0.00037498442069969044,263356
