types,counts,probs,total_unique
say,5296,0.000814899740096837,188783
world,5178,0.0007967429860689997,188783
does,5101,0.0007848949347118515,188783
always,5094,0.000783817839133929,188783
cast,5093,0.0007836639683370829,188783
these,5087,0.0007827407435560065,188783
cant,4967,0.0007642762479344769,188783
she,4959,0.0007630452815597082,188783
adventure,4930,0.0007585830284511719,188783
doesnt,4808,0.0007398107912359503,188783
through,4792,0.000737348858486413,188783
que,4778,0.0007351946673305679,188783
before,4732,0.0007281166106756482,188783
plot,4723,0.0007267317735040335,188783
bit,4717,0.000725808548722957,188783
go,4641,0.0007141143681626549,188783
feel,4554,0.000700727608837046,188783
big,4517,0.0006950343893537411,188783
those,4516,0.0006948805185568951,188783
makes,4347,0.0006688763538899076,188783
scene,4346,0.0006687224830930615,188783
part,4317,0.0006642602299845252,188783
life,4254,0.0006545663697832223,188783
look,4253,0.0006544124989863761,188783
new,4239,0.000652258307830531,188783
long,4169,0.0006414873520513055,188783
kind,4155,0.0006393331608954603,188783
enough,4099,0.0006307163962720798,188783
such,4099,0.0006307163962720798,188783
work,4070,0.0006262541431635435,188783
old,4055,0.0006239460812108524,188783
star,4041,0.0006217918900550072,188783
end,4000,0.000615483187384318,188783
same,3981,0.0006125596422442425,188783
right,3974,0.00061148254666632,188783
down,3973,0.0006113286758694738,188783
quite,3972,0.0006111748050726278,188783
last,3953,0.0006082512599325522,188783
effects,3910,0.0006016348156681709,188783
isnt,3881,0.0005971725625596346,188783
scenes,3880,0.0005970186917627885,188783
feels,3840,0.0005908638598889453,188783
thought,3833,0.0005897867643110227,188783
original,3790,0.0005831703200466414,188783
real,3786,0.000582554836859257,188783
around,3754,0.0005776309713601825,188783
everything,3746,0.0005764000049854138,188783
sure,3682,0.0005665522739872647,188783
take,3666,0.0005640903412377275,188783
another,3652,0.0005619361500818823,188783
probably,3636,0.0005594742173323451,188783
things,3634,0.0005591664757386529,188783
war,3612,0.0005557813182080391,188783
times,3592,0.0005527039022711176,188783
set,3566,0.0005487032615531195,188783
again,3530,0.0005431639128666607,188783
bond,3520,0.0005416252048981999,188783
want,3459,0.000532239086290589,188783
both,3448,0.0005305465075252821,188783
few,3447,0.000530392636728436,188783
la,3441,0.0005294694119473595,188783
funny,3435,0.0005285461871662831,188783
between,3413,0.0005251610296356694,188783
day,3403,0.0005236223216672086,188783
should,3377,0.0005196216809492105,188783
minutes,3367,0.0005180829729807497,188783
whole,3364,0.0005176213605902115,188783
least,3354,0.0005160826526217507,188783
comedy,3352,0.0005157749110280585,188783
nothing,3332,0.0005126974950911369,188783
kid,3293,0.0005066965340141398,188783
almost,3270,0.00050315750568668,188783
half,3239,0.0004983875109844515,188783
shit,3191,0.0004910017127358397,188783
cool,3172,0.00048807816759576417,188783
interesting,3166,0.0004871549428146877,188783
am,3145,0.00048392365608092004,188783
since,3134,0.0004822310773156132,188783
version,3112,0.0004788459197849994,188783
gets,3061,0.0004709985091458494,188783
year,3060,0.00047084463834900326,188783
fucking,2991,0.0004602275533666238,188783
entertaining,2990,0.0004600736825697777,188783
yet,2981,0.000458688845398163,188783
classic,2973,0.00045745787902339436,188783
our,2962,0.0004557653002580875,188783
wasnt,2959,0.00045530368786754927,188783
own,2950,0.0004539188506959345,188783
far,2940,0.0004523801427274737,188783
ist,2939,0.00045222627193062766,188783
favorite,2915,0.00044853337280632177,188783
find,2905,0.00044699466483786096,188783
anything,2892,0.00044499434447886193,188783
cinema,2889,0.0004445327320883237,188783
looks,2885,0.00044391724890093935,188783
having,2881,0.00044330176571355507,188783
series,2867,0.0004411475745577099,188783
hard,2867,0.0004411475745577099,188783
us,2846,0.00043791628782394225,188783
saw,2844,0.0004376085462302501,188783
das,2843,0.000437454675433404,188783
disney,2816,0.0004333001639185599,188783
remember,2763,0.00042514501168571764,188783
come,2762,0.0004249911408888716,188783
maybe,2721,0.0004186824382181823,188783
2,2708,0.0004166821178591833,188783
beautiful,2707,0.0004165282470623372,188783
definitely,2703,0.0004159127638749529,188783
said,2686,0.00041329696032856955,188783
5,2671,0.00041098889837587834,188783
e,2653,0.0004082192240326489,188783
perfect,2651,0.00040791148243895674,188783
es,2647,0.00040729599925157245,188783
without,2642,0.00040652664526734204,188783
youre,2632,0.00040498793729888124,188783
give,2606,0.00040098729658088317,188783
id,2599,0.00039991020100296065,188783
point,2567,0.00039498633550388607,188783
especially,2567,0.00039498633550388607,188783
den,2565,0.00039467859391019395,188783
guy,2558,0.0003936014983322714,188783
making,2551,0.0003925244027543488,188783
3,2550,0.00039237053195750275,188783
full,2547,0.0003919089195669645,188783
loved,2544,0.00039144730717642623,188783
acting,2539,0.0003906779531921959,188783
show,2533,0.00038975472841111937,188783
cgi,2531,0.0003894469868174272,188783
absolutely,2518,0.00038744666645842816,188783
screen,2493,0.0003835998965372762,188783
felt,2474,0.0003806763513972007,188783
