types,counts,probs,total_unique
un,246,0.0008160584377456884,26730
look,244,0.0008094238163006014,26730
want,244,0.0008094238163006014,26730
many,240,0.0007961545734104276,26730
man,238,0.0007895199519653408,26730
though,238,0.0007895199519653408,26730
any,236,0.0007828853305202538,26730
work,234,0.000776250709075167,26730
action,232,0.00076961608763008,26730
kids,231,0.0007662987769075366,26730
die,231,0.0007662987769075366,26730
before,230,0.0007629814661849932,26730
him,229,0.0007596641554624497,26730
go,229,0.0007596641554624497,26730
fucking,228,0.0007563468447399063,26730
does,226,0.0007497122232948194,26730
bit,225,0.0007463949125722759,26730
en,223,0.000739760291127189,26730
off,222,0.0007364429804046455,26730
these,221,0.0007331256696821021,26730
una,221,0.0007331256696821021,26730
years,220,0.0007298083589595587,26730
real,220,0.0007298083589595587,26730
two,220,0.0007298083589595587,26730
live,219,0.0007264910482370152,26730
part,219,0.0007264910482370152,26730
such,217,0.0007198564267919284,26730
always,214,0.0007099044946242979,26730
funny,210,0.0006966352517341241,26730
feel,210,0.0006966352517341241,26730
going,209,0.0006933179410115808,26730
through,209,0.0006933179410115808,26730
kid,204,0.0006767313873988635,26730
she,200,0.0006634621445086897,26730
makes,194,0.000643558280173429,26730
doesnt,194,0.000643558280173429,26730
5,193,0.0006402409694508856,26730
version,193,0.0006402409694508856,26730
interesting,193,0.0006402409694508856,26730
minutes,192,0.0006369236587283421,26730
day,192,0.0006369236587283421,26730
o,192,0.0006369236587283421,26730
10,190,0.0006302890372832552,26730
right,189,0.0006269717265607118,26730
shit,188,0.0006236544158381683,26730
2,185,0.000613702483670538,26730
isnt,184,0.0006103851729479945,26730
beautiful,184,0.0006103851729479945,26730
scene,183,0.0006070678622254511,26730
los,182,0.0006037505515029076,26730
der,181,0.0006004332407803642,26730
plot,181,0.0006004332407803642,26730
whole,180,0.0005971159300578207,26730
cool,178,0.0005904813086127338,26730
old,176,0.000583846687167647,26730
thought,174,0.00057721206572256,26730
same,173,0.0005738947550000166,26730
show,173,0.0005738947550000166,26730
everything,173,0.0005738947550000166,26730
those,172,0.0005705774442774732,26730
remember,172,0.0005705774442774732,26730
am,171,0.0005672601335549297,26730
classic,169,0.0005606255121098427,26730
esta,168,0.0005573082013872994,26730
again,167,0.0005539908906647559,26730
fuck,164,0.0005440389584971256,26730
since,163,0.0005407216477745821,26730
pelcula,163,0.0005407216477745821,26730
cartoon,162,0.0005374043370520386,26730
sure,162,0.0005374043370520386,26730
por,161,0.0005340870263294952,26730
year,161,0.0005340870263294952,26730
und,161,0.0005340870263294952,26730
should,161,0.0005340870263294952,26730
music,160,0.0005307697156069518,26730
take,158,0.0005241350941618648,26730
style,157,0.0005208177834393214,26730
quite,156,0.000517500472716778,26730
long,156,0.000517500472716778,26730
down,156,0.000517500472716778,26730
idea,156,0.000517500472716778,26730
own,156,0.000517500472716778,26730
around,155,0.0005141831619942345,26730
end,154,0.000510865851271691,26730
nothing,154,0.000510865851271691,26730
anything,154,0.000510865851271691,26730
things,152,0.0005042312298266042,26730
kind,151,0.0005009139191040607,26730
give,149,0.0004942792976589738,26730
new,149,0.0004942792976589738,26730
family,147,0.00048764467621388694,26730
times,145,0.00048101005476880004,26730
put,144,0.00047769274404625657,26730
e,144,0.00047769274404625657,26730
feels,143,0.00047437543332371314,26730
definitely,142,0.00047105812260116967,26730
god,141,0.00046774081187862625,26730
enough,140,0.0004644235011560828,26730
least,140,0.0004644235011560828,26730
probably,140,0.0004644235011560828,26730
hard,138,0.0004577888797109959,26730
big,138,0.0004577888797109959,26730
weird,137,0.00045447156898845246,26730
series,136,0.000451154258265909,26730
le,136,0.000451154258265909,26730
our,136,0.000451154258265909,26730
half,136,0.000451154258265909,26730
war,136,0.000451154258265909,26730
con,135,0.00044783694754336556,26730
hate,134,0.0004445196368208221,26730
art,134,0.0004445196368208221,26730
se,133,0.00044120232609827866,26730
children,133,0.00044120232609827866,26730
few,132,0.0004378850153757352,26730
come,132,0.0004378850153757352,26730
another,132,0.0004378850153757352,26730
us,130,0.0004312503939306483,26730
mi,130,0.0004312503939306483,26730
last,130,0.0004312503939306483,26730
point,130,0.0004312503939306483,26730
childhood,128,0.0004246157724855614,26730
wasnt,128,0.0004246157724855614,26730
wish,128,0.0004246157724855614,26730
absolutely,128,0.0004246157724855614,26730
id,127,0.000421298461763018,26730
need,127,0.000421298461763018,26730
once,127,0.000421298461763018,26730
loved,127,0.000421298461763018,26730
said,125,0.0004146638403179311,26730
dream,125,0.0004146638403179311,26730
stop,124,0.0004113465295953876,26730
liveaction,124,0.0004113465295953876,26730
found,123,0.0004080292188728442,26730
songs,123,0.0004080292188728442,26730
favorite,123,0.0004080292188728442,26730
3,122,0.0004047119081503007,26730
amazing,121,0.0004013945974277573,26730
youre,121,0.0004013945974277573,26730
during,121,0.0004013945974277573,26730
studio,121,0.0004013945974277573,26730
maybe,120,0.0003980772867052138,26730
yet,120,0.0003980772867052138,26730
looks,120,0.0003980772867052138,26730
oh,120,0.0003980772867052138,26730
both,120,0.0003980772867052138,26730
let,119,0.0003947599759826704,26730
almost,119,0.0003947599759826704,26730
cinema,119,0.0003947599759826704,26730
acting,119,0.0003947599759826704,26730
perfect,118,0.0003914426652601269,26730
seeing,118,0.0003914426652601269,26730
nice,118,0.0003914426652601269,26730
cute,118,0.0003914426652601269,26730
literally,118,0.0003914426652601269,26730
rabbit,117,0.0003881253545375835,26730
adaptation,116,0.00038480804381504,26730
everyone,115,0.0003814907330924966,26730
era,115,0.0003814907330924966,26730
cat,114,0.0003781734223699531,26730
making,113,0.0003748561116474097,26730
child,113,0.0003748561116474097,26730
gets,112,0.00037153880092486623,26730
find,112,0.00037153880092486623,26730
original,111,0.00036822149020232275,26730
trying,111,0.00036822149020232275,26730
tv,111,0.00036822149020232275,26730
guy,110,0.00036490417947977933,26730
wanted,110,0.00036490417947977933,26730
stuff,110,0.00036490417947977933,26730
without,110,0.00036490417947977933,26730
saw,109,0.00036158686875723586,26730
cgi,109,0.00036158686875723586,26730
song,109,0.00036158686875723586,26730
comedy,109,0.00036158686875723586,26730
having,109,0.00036158686875723586,26730
liked,108,0.00035826955803469244,26730
felt,108,0.00035826955803469244,26730
used,106,0.00035163493658960554,26730
piece,106,0.00035163493658960554,26730
believe,106,0.00035163493658960554,26730
goes,106,0.00035163493658960554,26730
para,105,0.00034831762586706207,26730
might,104,0.00034500031514451865,26730
far,104,0.00034500031514451865,26730
especially,104,0.00034500031514451865,26730
unique,104,0.00034500031514451865,26730
musical,104,0.00034500031514451865,26730
christmas,104,0.00034500031514451865,26730
da,103,0.00034168300442197517,26730
del,102,0.00033836569369943175,26730
different,102,0.00033836569369943175,26730
tell,101,0.0003350483829768883,26730
history,100,0.00033173107225434485,26730
between,100,0.00033173107225434485,26730
kinda,100,0.00033173107225434485,26730
else,99,0.0003284137615318014,26730
yeah,99,0.0003284137615318014,26730
came,99,0.0003284137615318014,26730
1,98,0.00032509645080925796,26730
springs,98,0.00032509645080925796,26730
hell,98,0.00032509645080925796,26730
cast,98,0.00032509645080925796,26730
scenes,98,0.00032509645080925796,26730
entire,98,0.00032509645080925796,26730
fan,98,0.00032509645080925796,26730
effects,98,0.00032509645080925796,26730
enjoyed,97,0.0003217791400867145,26730
early,97,0.0003217791400867145,26730
como,97,0.0003217791400867145,26730
youtube,97,0.0003217791400867145,26730
mind,97,0.0003217791400867145,26730
may,97,0.0003217791400867145,26730
done,96,0.00031846182936417106,26730
gonna,96,0.00031846182936417106,26730
dark,96,0.00031846182936417106,26730
pero,96,0.00031846182936417106,26730
each,96,0.00031846182936417106,26730
star,95,0.0003151445186416276,26730
reason,95,0.0003151445186416276,26730
masterpiece,95,0.0003151445186416276,26730
feature,95,0.0003151445186416276,26730
duck,94,0.00031182720791908417,26730
ist,94,0.00031182720791908417,26730
s,94,0.00031182720791908417,26730
fact,94,0.00031182720791908417,26730
human,94,0.00031182720791908417,26730
review,93,0.0003085098971965407,26730
heart,93,0.0003085098971965407,26730
instead,93,0.0003085098971965407,26730
second,93,0.0003085098971965407,26730
set,93,0.0003085098971965407,26730
shorts,93,0.0003085098971965407,26730
mean,93,0.0003085098971965407,26730
place,92,0.00030519258647399727,26730
truly,92,0.00030519258647399727,26730
4,92,0.00030519258647399727,26730
video,92,0.00030519258647399727,26730
sense,92,0.00030519258647399727,26730
black,92,0.00030519258647399727,26730
girl,91,0.0003018752757514538,26730
full,91,0.0003018752757514538,26730
itself,90,0.0002985579650289104,26730
three,90,0.0002985579650289104,26730
um,90,0.0002985579650289104,26730
boy,89,0.0002952406543063669,26730
true,89,0.0002952406543063669,26730
honestly,89,0.0002952406543063669,26730
peli,89,0.0002952406543063669,26730
lo,88,0.0002919233435838235,26730
must,88,0.0002919233435838235,26730
cine,88,0.0002919233435838235,26730
barbie,87,0.00028860603286128,26730
works,87,0.00028860603286128,26730
concept,87,0.00028860603286128,26730
rather,87,0.00028860603286128,26730
completely,87,0.00028860603286128,26730
ill,86,0.0002852887221387366,26730
horror,86,0.0002852887221387366,26730
looney,85,0.0002819714114161931,26730
game,85,0.0002819714114161931,26730
havent,85,0.0002819714114161931,26730
top,85,0.0002819714114161931,26730
night,85,0.0002819714114161931,26730
went,84,0.0002786541006936497,26730
screen,84,0.0002786541006936497,26730
stars,84,0.0002786541006936497,26730
experience,84,0.0002786541006936497,26730
incredible,84,0.0002786541006936497,26730
design,84,0.0002786541006936497,26730
anime,84,0.0002786541006936497,26730
special,83,0.0002753367899711062,26730
happy,83,0.0002753367899711062,26730
however,82,0.0002720194792485628,26730
charming,82,0.0002720194792485628,26730
yes,82,0.0002720194792485628,26730
main,82,0.0002720194792485628,26730
away,82,0.0002720194792485628,26730
takes,81,0.0002687021685260193,26730
visual,81,0.0002687021685260193,26730
use,81,0.0002687021685260193,26730
course,81,0.0002687021685260193,26730
today,81,0.0002687021685260193,26730
cartoons,80,0.0002653848578034759,26730
ass,80,0.0002653848578034759,26730
theyre,80,0.0002653848578034759,26730
den,79,0.0002620675470809324,26730
myself,79,0.0002620675470809324,26730
based,79,0.0002620675470809324,26730
jokes,79,0.0002620675470809324,26730
until,79,0.0002620675470809324,26730
tunes,79,0.0002620675470809324,26730
inside,78,0.000258750236358389,26730
creative,78,0.000258750236358389,26730
someone,78,0.000258750236358389,26730
minute,78,0.000258750236358389,26730
understand,78,0.000258750236358389,26730
head,77,0.0002554329256358455,26730
100,77,0.0002554329256358455,26730
play,77,0.0002554329256358455,26730
fish,77,0.0002554329256358455,26730
overall,76,0.0002521156149133021,26730
simple,76,0.0002521156149133021,26730
space,76,0.0002521156149133021,26730
white,76,0.0002521156149133021,26730
score,76,0.0002521156149133021,26730
less,75,0.0002487983041907586,26730
final,75,0.0002487983041907586,26730
greatest,75,0.0002487983041907586,26730
ms,75,0.0002487983041907586,26730
