types,counts,probs,total_unique
though,11624,0.0007820569335294666,334711
thing,11524,0.0007753289833098393,334711
go,11280,0.000758912784773949,334711
feel,11168,0.0007513774805279665,334711
scene,11119,0.0007480807849203491,334711
la,11070,0.0007447840893127318,334711
bit,10950,0.0007367105490491792,334711
does,10829,0.0007285697292834303,334711
such,10733,0.0007221108970725881,334711
i've,10612,0.0007139700773068392,334711
these,10550,0.0007097987481706704,334711
makes,10504,0.0007067038910696418,334711
ve,10456,0.0007034744749642208,334711
through,10408,0.0007002450588587997,334711
work,10289,0.0006922387980974434,334711
old,10212,0.0006870582764283304,334711
before,9924,0.000667681779795804,334711
kind,9911,0.0006668071462672525,334711
new,9898,0.0006659325127387009,334711
plot,9880,0.000664721481699168,334711
those,9709,0.0006532166868236056,334711
want,9595,0.0006455468235732305,334711
day,9537,0.0006416446124458468,334711
die,9536,0.0006415773329436505,334711
end,9529,0.0006411063764282766,334711
right,9447,0.0006355894572481822,334711
don,9396,0.0006321582026361723,334711
around,9245,0.0006219989978045353,334711
enough,9237,0.0006214607617869651,334711
part,9187,0.0006180967866771515,334711
times,9149,0.0006155401655936932,334711
horror,9138,0.0006148000910695342,334711
long,9119,0.000613521780527805,334711
und,9022,0.0006069956688147666,334711
year,8995,0.0006051791222554673,334711
quite,8978,0.0006040353707181306,334711
world,8970,0.0006034971347005604,334711
same,8958,0.0006026897806742052,334711
things,8896,0.0005985184515380364,334711
real,8847,0.000595221755930419,334711
last,8813,0.0005929342528557457,334711
that's,8774,0.0005903103522700912,334711
thought,8774,0.0005903103522700912,334711
big,8723,0.0005868790976580813,334711
should,8547,0.0005750379052715373,334711
there's,8519,0.0005731540792100417,334711
few,8475,0.0005701937811134058,334711
action,8269,0.0005563342036609737,334711
both,8248,0.000554921334114852,334711
down,8207,0.0005521628745248049,334711
sure,8191,0.0005510864024896645,334711
feels,8176,0.0005500772099567205,334711
between,8078,0.0005434838187414857,334711
another,8066,0.0005426764647151305,334711
whole,8055,0.0005419363901909716,334711
everything,7970,0.0005362176325042884,334711
probably,7913,0.0005323827008791009,334711
didn't,7912,0.0005323154213769046,334711
minutes,7843,0.0005276731357253618,334711
again,7793,0.0005243091606155482,334711
take,7782,0.0005235690860913892,334711
der,7751,0.0005214834215233049,334711
am,7731,0.0005201378314793793,334711
look,7724,0.0005196668749640054,334711
star,7670,0.0005160337818454068,334711
nothing,7651,0.0005147554713036776,334711
gets,7510,0.0005052690614940033,334711
loved,7495,0.0005042598689610592,334711
moments,7411,0.0004986083907765723,334711
favorite,7385,0.0004968591237194692,334711
2,7357,0.0004949752976579736,334711
john,7349,0.0004944370616404034,334711
humor,7240,0.00048710359590100976,334711
