types,counts,probs,total_unique
comedy,5833,0.0007943346089260441,206079
watching,5831,0.0007940622500681918,206079
work,5822,0.0007928366352078568,206079
doesnt,5784,0.0007876618169086644,206079
der,5763,0.0007848020489012159,206079
scene,5741,0.0007818061014648412,206079
going,5730,0.0007803081277466539,206079
say,5688,0.000774588591731757,206079
though,5680,0.0007734991563003481,206079
years,5661,0.0007709117471507518,206079
thing,5654,0.000769958491148269,206079
will,5456,0.0007429949642208978,206079
makes,5402,0.0007356412750588874,206079
new,5333,0.0007262448944629853,206079
before,5318,0.0007242022030290935,206079
bit,5309,0.0007229765881687584,206079
why,5248,0.0007146696430042653,206079
performance,5208,0.0007092224658472205,206079
feel,5207,0.0007090862864182944,206079
go,5177,0.0007050009035505109,206079
those,5154,0.0007018687766852102,206079
cant,5131,0.0006987366498199095,206079
such,5125,0.0006979195732463528,206079
watched,5101,0.000694651266952126,206079
noir,5029,0.0006848463480694455,206079
around,4938,0.0006724540200371688,206079
quite,4909,0.0006685048165983114,206079
actually,4890,0.0006659174074487152,206079
down,4878,0.0006642832543016018,206079
these,4875,0.0006638747160148234,206079
right,4816,0.0006558401297081824,206079
real,4780,0.0006509376702668422,206079
kind,4760,0.0006482140816883199,206079
end,4704,0.0006405880336684573,206079
both,4678,0.0006370473685163782,206079
same,4611,0.0006279233467783283,206079
enough,4570,0.0006223399901923575,206079
feels,4558,0.0006207058370452441,206079
between,4543,0.0006186631456113524,206079
world,4521,0.0006156671981749778,206079
part,4509,0.0006140330450278644,206079
last,4498,0.000612535071309677,206079
funny,4468,0.0006084496884418935,206079
la,4464,0.000607904970726189,206079
another,4424,0.0006024577935691444,206079
gets,4388,0.0005975553341278041,206079
things,4388,0.0005975553341278041,206079
interesting,4365,0.0005944232072625034,206079
isnt,4342,0.0005912910803972028,206079
scenes,4307,0.0005865248003847886,206079
take,4296,0.0005850268266666013,206079
performances,4266,0.0005809414437988178,206079
long,4189,0.0005704556277715067,206079
big,4108,0.0005594250940284912,206079
times,4093,0.0005573824025945994,206079
almost,4072,0.000554522634587151,206079
look,4061,0.0005530246608689637,206079
few,4041,0.0005503010722904413,206079
everything,4035,0.0005494839957168846,206079
minutes,3993,0.0005437644597019877,206079
sure,3916,0.0005332786436746766,206079
nothing,3907,0.0005320530288143415,206079
own,3906,0.0005319168493854154,206079
want,3834,0.000522111930502735,206079
thought,3790,0.0005161200356299857,206079
guy,3779,0.0005146220619117984,206079
hard,3743,0.0005097196024704582,206079
cinema,3740,0.0005093110641836799,206079
old,3720,0.0005065874756051575,206079
should,3664,0.000498961427585295,206079
whole,3644,0.0004962378390067727,206079
yet,3628,0.0004940589681439548,206079
probably,3586,0.0004883394321290578,206079
again,3579,0.000487386176126575,206079
day,3572,0.0004864329201240921,206079
cop,3566,0.0004856158435505354,206079
genre,3549,0.00048330079325879143,206079
youre,3486,0.000474721489236446,206079
set,3466,0.00047199790065792366,206079
murder,3466,0.00047199790065792366,206079
fucking,3429,0.00046695926178765733,206079
shit,3416,0.0004651889292116178,206079
drama,3360,0.0004575628811917552,206079
anything,3322,0.00045238806289256276,206079
cool,3255,0.00044326404115451287,206079
us,3247,0.00044217460572310393,206079
plays,3232,0.0004401319142892122,206079
acting,3227,0.0004394510171445816,206079
style,3207,0.0004367274285660592,206079
shot,3207,0.0004367274285660592,206079
far,3192,0.00043468473713216744,206079
point,3188,0.00043414001941646297,206079
