types,counts,probs,total_unique
war,15924,0.0007673785286388953,427634
bad,15803,0.0007615475312786023,427634
work,15707,0.0007569212854390309,427634
watched,15312,0.0007378862114116281,427634
performance,15289,0.0007367778400125642,427634
doesnt,15068,0.0007261278365693843,427634
makes,15031,0.0007243448043187162,427634
cant,14944,0.0007201522690266046,427634
back,14902,0.0007181282864717922,427634
those,14879,0.0007170199150727281,427634
got,14642,0.0007055988706562864,427634
before,14622,0.0007046350694397091,427634
end,14500,0.0006987558820185872,427634
thing,14423,0.0006950452473347644,427634
scene,14311,0.0006896479605219311,427634
these,14272,0.0006877685481496053,427634
cast,14197,0.0006841542935874401,427634
bit,14176,0.000683142302310034,427634
real,14095,0.0006792389073828956,427634
drama,14089,0.0006789497670179225,427634
die,14052,0.0006771667347672543,427634
both,13893,0.0006695045150954642,427634
go,13863,0.0006680588132705982,427634
e,13690,0.0006597219327472041,427634
between,13670,0.0006587581315306267,427634
around,13660,0.000658276230922338,427634
quite,13580,0.0006544210260560285,427634
interesting,13509,0.0006509995317371789,427634
actually,13397,0.0006456022449243457,427634
performances,13364,0.0006440119729169931,427634
new,13262,0.0006390965867124485,427634
long,13200,0.0006361088029410587,427634
feels,12913,0.0006222782554831736,427634
right,12886,0.0006209771238407942,427634
same,12793,0.0006164954481837093,427634
o,12782,0.0006159653575145918,427634
und,12668,0.0006104716905801008,427634
things,12432,0.000599098836224488,427634
part,12426,0.0005988096958595148,427634
kind,12387,0.000596930283487189,427634
beautiful,12298,0.0005926413680734197,427634
plot,12287,0.0005921112774043021,427634
fun,12234,0.0005895572041803721,427634
cinema,12087,0.0005824732652385285,427634
look,12020,0.0005792445311629944,427634
want,11999,0.0005782325398855881,427634
another,11905,0.0005737026741676745,427634
last,11850,0.0005710522208220868,427634
everything,11743,0.0005658958843133979,427634
down,11729,0.0005652212234617937,427634
scenes,11573,0.0005577035739724903,427634
us,11462,0.0005523544772204859,427634
own,11449,0.0005517280064297106,427634
enough,11431,0.0005508605853347911,427634
times,11423,0.0005504750648481601,427634
thought,11274,0.0005432947457846588,427634
yet,11237,0.0005415117135339906,427634
der,11188,0.0005391504005533761,427634
take,11182,0.0005388612601884029,427634
isnt,11177,0.0005386203098842585,427634
old,11004,0.0005302834293608643,427634
nothing,10993,0.0005297533386917468,427634
action,10964,0.0005283558269277097,427634
almost,10953,0.0005278257362585921,427634
day,10891,0.0005248379524872023,427634
sure,10792,0.0005200671364651443,427634
y,10683,0.0005148144198347977,427634
en,10664,0.0005138988086790492,427634
few,10549,0.0005083569516837294,427634
am,10415,0.0005018994835326611,427634
should,10251,0.0004939963135567267,427634
family,10207,0.0004918759508802565,427634
our,10187,0.0004909121496636792,427634
whole,10169,0.0004900447285687595,427634
big,10096,0.00048652685412825216,427634
minutes,10035,0.0004835872604176912,427634
probably,10007,0.0004822379387144829,427634
find,9991,0.000481466897741221,427634
hard,9978,0.0004808404269504457,427634
again,9917,0.00047790083323988477,427634
acting,9829,0.0004736601078869444,427634
felt,9811,0.00047279268679202476,427634
young,9790,0.00047178069551461854,427634
year,9705,0.00046768454034416476,427634
gets,9506,0.00045809471823922,427634
anything,9481,0.0004568899667184983,427634
without,9438,0.000454817794102857,427634
set,9417,0.00045380580282545075,427634
un,9176,0.00044219199816569353,427634
youre,9136,0.0004402643957325388,427634
especially,9055,0.00043636100080540047,427634
come,9048,0.0004360236703795984,427634
wasnt,8926,0.0004301444829584765,427634
point,8893,0.00042855421095112386,427634
during,8886,0.0004282168805253218,427634
ending,8811,0.0004246026259631567,427634
woman,8807,0.0004244098657198412,427634
far,8759,0.0004220967428000555,427634
loved,8745,0.0004214220819484514,427634
comedy,8740,0.000421181131644307,427634
different,8677,0.00041814515781208835,427634
half,8616,0.0004152055641015274,427634
moments,8594,0.0004141453827632923,427634
maybe,8554,0.00041221778033013757,427634
men,8549,0.00041197683002599324,427634
since,8544,0.0004117358797218489,427634
each,8496,0.00040942275680206324,427634
shot,8463,0.00040783248479471057,427634
favorite,8430,0.00040624221278735796,427634
everyone,8409,0.0004052302215099517,427634
definitely,8398,0.0004047001308408342,427634
having,8391,0.00040436280041503207,427634
perfect,8381,0.0004038808998067434,427634
es,8319,0.00040089311603535357,427634
may,8289,0.0003994474142104875,427634
least,8250,0.0003975680018381617,427634
thriller,8171,0.0003937609870326811,427634
together,8143,0.0003924116653294728,427634
true,8142,0.00039236347526864395,427634
um,8133,0.0003919297647211841,427634
absolutely,8097,0.00039019492253134484,427634
give,8095,0.0003900985424096871,427634
might,8063,0.00038855646046316334,427634
seems,8060,0.0003884118902806767,427634
american,8059,0.0003883637002198479,427634
found,8029,0.00038691799839498184,427634
place,8023,0.0003866288580300086,427634
fucking,8017,0.0003863397176650354,427634
making,8003,0.0003856650568134313,427634
away,7987,0.0003848940158401694,427634
trying,7813,0.00037650894525594633,427634
horror,7789,0.0003753523837960535,427634
takes,7775,0.00037467772294444933,427634
id,7768,0.0003743403925186473,427634
second,7764,0.0003741476322753318,427634
need,7747,0.00037332840124124105,427634
funny,7683,0.0003702442373481935,427634
shit,7591,0.0003658107517519376,427634
once,7576,0.0003650879008395046,427634
directed,7532,0.0003629675381630344,427634
full,7469,0.0003599315643308157,427634
said,7450,0.0003590159531750672,427634
someone,7445,0.0003587750028709229,427634
music,7427,0.00035790758177600327,427634
plays,7407,0.0003569437805594259,427634
el,7375,0.0003554016986129021,427634
sense,7363,0.0003548234178829557,427634
