types,counts,probs,total_unique
go,1933,0.000793228382064421,89755
day,1927,0.0007907662142980544,89755
any,1919,0.000787483323942899,89755
these,1906,0.0007821486271157715,89755
feel,1905,0.0007817382658213771,89755
action,1901,0.0007800968206437994,89755
going,1890,0.0007755828464054607,89755
don,1878,0.0007706585108727277,89755
character,1876,0.0007698377882839389,89755
world,1874,0.0007690170656951499,89755
though,1867,0.000766144536634389,89755
ve,1863,0.0007645030914568113,89755
characters,1862,0.0007640927301624169,89755
does,1753,0.0007193633490734247,89755
such,1729,0.0007095146780079585,89755
live,1710,0.0007017178134144645,89755
big,1707,0.0007004867295312813,89755
want,1702,0.0006984349230593091,89755
que,1698,0.0006967934778817314,89755
before,1697,0.000696383116587337,89755
thought,1696,0.0006959727552929426,89755
those,1692,0.0006943313101153649,89755
funny,1691,0.0006939209488209705,89755
remember,1674,0.0006869448068162653,89755
i've,1669,0.0006848930003442932,89755
part,1652,0.000677916858339588,89755
scene,1648,0.0006762754131620102,89755
through,1639,0.0006725821615124604,89755
times,1622,0.0006656060195077552,89755
cute,1617,0.0006635542130357831,89755
child,1589,0.0006520640967927392,89755
bit,1579,0.000647960483848795,89755
makes,1563,0.0006413947031384842,89755
new,1560,0.0006401636192553009,89755
real,1560,0.0006401636192553009,89755
right,1559,0.0006397532579609065,89755
plot,1552,0.0006368807289001456,89755
kind,1544,0.0006335978385449901,89755
around,1530,0.0006278527804234683,89755
comedy,1524,0.0006253906126571017,89755
2,1517,0.0006225180835963408,89755
look,1502,0.0006163626641804244,89755
end,1499,0.0006151315802972411,89755
again,1475,0.0006052829092317749,89755
children,1464,0.0006007689349934363,89755
enough,1452,0.0005958445994607032,89755
am,1452,0.0005958445994607032,89755
things,1450,0.0005950238768719144,89755
probably,1448,0.0005942031542831255,89755
sure,1446,0.0005933824316943367,89755
same,1444,0.0005925617091055478,89755
cast,1442,0.0005917409865167589,89755
should,1441,0.0005913306252223645,89755
long,1440,0.0005909202639279701,89755
dog,1409,0.000578199063801743,89755
childhood,1408,0.0005777887025073485,89755
favorite,1397,0.0005732747282690099,89755
classic,1383,0.000567529670147488,89755
5,1373,0.0005634260572035437,89755
work,1366,0.0005605535281427827,89755
die,1365,0.0005601431668483883,89755
since,1361,0.0005585017216708107,89755
loved,1360,0.0005580913603764162,89755
there's,1357,0.000556860276493233,89755
down,1355,0.000556039553904444,89755
young,1354,0.0005556291926100496,89755
didn't,1349,0.0005535773861380775,89755
that's,1338,0.0005490634118997388,89755
fucking,1334,0.0005474219667221612,89755
whole,1326,0.0005441390763670058,89755
last,1315,0.0005396251021286671,89755
shit,1300,0.0005334696827127508,89755
original,1291,0.000529776431063201,89755
star,1290,0.0005293660697688066,89755
take,1289,0.0005289557084744122,89755
saw,1259,0.0005166448696425794,89755
la,1255,0.0005150034244650018,89755
10,1242,0.0005096687276378742,89755
another,1234,0.0005063858372827188,89755
boy,1226,0.0005031029469275634,89755
