types,counts,probs,total_unique
going,3433,0.0008123522982376475,144958
cant,3416,0.0008083295807689495,144958
through,3416,0.0008083295807689495,144958
many,3371,0.0007976812109988668,144958
though,3365,0.0007962614283628558,144958
does,3334,0.0007889258847434653,144958
characters,3332,0.000788452623864795,144958
fantasy,3208,0.0007591104493872336,144958
feel,3206,0.0007586371885085633,144958
always,3202,0.0007576906667512226,144958
character,3162,0.0007482254491778158,144958
der,3101,0.0007337909923783701,144958
effects,3098,0.0007330811010603646,144958
doesnt,3039,0.0007191199051395895,144958
bit,3024,0.0007155704485495619,144958
makes,2988,0.0007070517527334956,144958
these,2988,0.0007070517527334956,144958
before,2956,0.0006994795786747701,144958
those,2950,0.0006980597960387591,144958
such,2928,0.0006928539263733853,144958
work,2877,0.0006807857739672916,144958
kind,2875,0.0006803125130886212,144958
go,2845,0.0006732135999085659,144958
original,2826,0.0006687176215611977,144958
right,2823,0.0006680077302431922,144958
look,2749,0.0006504970777323894,144958
part,2741,0.0006486040342177081,144958
scene,2721,0.0006438714254310046,144958
around,2716,0.0006426882732343287,144958
plot,2707,0.0006405585992803122,144958
same,2694,0.0006374824035689549,144958
things,2685,0.0006353527296149384,144958
day,2654,0.000628017185995548,144958
thought,2640,0.0006247043598448556,144958
end,2638,0.0006242310989661852,144958
old,2635,0.0006235212076481797,144958
enough,2617,0.0006192618597401467,144958
quite,2613,0.0006183153379828059,144958
cast,2606,0.0006166589249074597,144958
new,2601,0.0006154757727107839,144958
want,2575,0.0006093233812880694,144958
comedy,2559,0.0006055372942587067,144958
disney,2558,0.0006053006638193715,144958
sure,2527,0.0005979651201999812,144958
isnt,2514,0.0005948889244886239,144958
feels,2507,0.0005932325114132777,144958
everything,2457,0.000581400989446519,144958
take,2415,0.0005714625109944418,144958
interesting,2392,0.0005660200108897328,144958
funny,2392,0.0005660200108897328,144958
real,2372,0.0005612874021030294,144958
probably,2354,0.0005570280541949962,144958
version,2350,0.0005560815324376555,144958
times,2337,0.0005530053367262983,144958
last,2336,0.0005527687062869632,144958
again,2333,0.0005520588149689577,144958
big,2331,0.0005515855540902873,144958
am,2326,0.0005504024018936115,144958
long,2316,0.0005480360975002597,144958
whole,2304,0.0005451965322282377,144958
minutes,2272,0.0005376243581695121,144958
down,2266,0.000536204575533501,144958
another,2254,0.000533365010261479,144958
kid,2249,0.0005321818580648032,144958
should,2242,0.000530525444989457,144958
la,2239,0.0005298155536714515,144958
shit,2235,0.0005288690319141107,144958
nothing,2217,0.0005246096840060776,144958
e,2193,0.0005189305534620335,144958
year,2186,0.0005172741403866873,144958
fucking,2184,0.000516800879508017,144958
both,2170,0.0005134880533573245,144958
few,2162,0.0005115950098426431,144958
beautiful,2157,0.0005104118576459673,144958
set,2148,0.0005082821836919507,144958
weird,2140,0.0005063891401772693,144958
cool,2121,0.000501893161829901,144958
least,2101,0.0004971605530431976,144958
classic,2059,0.0004872220745911203,144958
since,2040,0.00048272609624375206,144958
loved,2024,0.0004789400092143893,144958
anything,2004,0.00047420740042768584,144958
scenes,1998,0.0004727876177916748,144958
find,1988,0.0004704213133983231,144958
gets,1988,0.0004704213133983231,144958
between,1981,0.0004687649003229769,144958
own,1977,0.0004678183785656362,144958
favorite,1962,0.0004642689219756086,144958
wasnt,1959,0.0004635590306576031,144958
come,1942,0.0004595363131889052,144958
cinema,1937,0.0004583531609922293,144958
looks,1930,0.0004566967479168831,144958
yet,1929,0.00045646011747754793,144958
almost,1914,0.0004529106608875203,144958
having,1908,0.0004514908782515093,144958
id,1908,0.0004514908782515093,144958
definitely,1901,0.0004498344651761631,144958
christmas,1897,0.00044888794341882237,144958
remember,1886,0.0004462850085861355,144958
youre,1884,0.0004458117477074651,144958
o,1883,0.00044557511726812997,144958
5,1876,0.00044391870419278374,144958
perfect,1874,0.00044344544331411344,144958
kids,1867,0.0004417890302387672,144958
give,1863,0.0004408425084814265,144958
our,1851,0.00043800294320940446,144958
family,1841,0.0004356366388160527,144958
live,1826,0.0004320871822260251,144958
saw,1820,0.0004306673995900141,144958
