types,counts,probs,total_unique
watched,1830,0.0007701012199160801,103633
lot,1830,0.0007701012199160801,103633
better,1829,0.0007696803995773281,103633
then,1818,0.0007650513758510565,103633
scenes,1793,0.0007545308673822576,103633
say,1791,0.0007536892267047537,103633
cast,1789,0.0007528475860272498,103633
characters,1781,0.0007494810233172342,103633
always,1780,0.0007490602029784822,103633
character,1777,0.0007477977419622263,103633
now,1757,0.0007393813351871873,103633
performance,1753,0.0007376980538321793,103633
those,1744,0.0007339106707834117,103633
und,1733,0.0007292816470571402,103633
why,1729,0.0007275983657021324,103633
bit,1716,0.000722127701298357,103633
work,1711,0.0007200235996045972,103633
these,1710,0.0007196027792658453,103633
y,1684,0.0007086614504582944,103633
true,1680,0.0007069781691032865,103633
during,1661,0.0006989825826669994,103633
performances,1654,0.0006960368402957357,103633
e,1645,0.0006922494572469681,103633
doesnt,1632,0.0006867787928431927,103633
o,1620,0.0006817289487781691,103633
going,1579,0.000664475314889339,103633
quite,1573,0.0006619503928568273,103633
thing,1572,0.0006615295725180753,103633
makes,1546,0.0006505882437105244,103633
off,1527,0.0006425926572742373,103633
between,1524,0.0006413301962579814,103633
before,1515,0.0006375428132092138,103633
actually,1508,0.0006345970708379501,103633
beautiful,1498,0.0006303888674504306,103633
both,1496,0.0006295472267729267,103633
back,1490,0.0006270223047404148,103633
end,1484,0.0006244973827079031,103633
look,1462,0.0006152393352553601,103633
part,1459,0.0006139768742391042,103633
us,1434,0.0006034563657703054,103633
got,1431,0.0006021939047540495,103633
bad,1425,0.0005996689827215378,103633
cant,1397,0.0005878860132364829,103633
go,1379,0.0005803112471389477,103633
men,1362,0.0005731573013801645,103633
action,1356,0.0005706323793476527,103633
times,1334,0.0005613743318951097,103633
scene,1329,0.0005592702302013499,103633
cinema,1323,0.0005567453081688382,103633
same,1314,0.0005529579251200706,103633
last,1304,0.000548749721732551,103633
based,1301,0.0005474872607162952,103633
es,1296,0.0005453831590225354,103633
around,1293,0.0005441206980062794,103633
feels,1288,0.0005420165963125197,103633
un,1264,0.0005319169081824727,103633
period,1260,0.0005302336268274649,103633
right,1255,0.0005281295251337052,103633
set,1250,0.0005260254234399454,103633
another,1244,0.0005235005014074336,103633
kind,1240,0.0005218172200524258,103633
enough,1238,0.0005209755793749219,103633
take,1231,0.0005180298370036582,103633
down,1220,0.0005134008132773866,103633
almost,1211,0.000509613430228619,103633
few,1210,0.0005091926098898671,103633
yet,1207,0.0005079301488736112,103633
our,1203,0.0005062468675186034,103633
isnt,1200,0.0005049844065023475,103633
am,1197,0.0005037219454860917,103633
thought,1196,0.0005033011251473397,103633
should,1195,0.0005028803048085878,103633
own,1194,0.0005024594844698358,103633
nothing,1191,0.0005011970234535799,103633
battle,1184,0.0004982512810823163,103633
half,1173,0.0004936222573560448,103633
new,1169,0.0004919389760010369,103633
el,1165,0.000490255694646029,103633
things,1164,0.0004898348743072772,103633
everything,1155,0.0004860474912585095,103633
big,1155,0.0004860474912585095,103633
sure,1134,0.0004772102641447184,103633
whole,1132,0.0004763686234672145,103633
acting,1120,0.00047131877940219104,103633
probably,1120,0.00047131877940219104,103633
cinematography,1116,0.00046963549804718323,103633
minutes,1107,0.0004658481149984156,103633
felt,1100,0.0004629023726271519,103633
again,1094,0.0004603774505946402,103633
picture,1084,0.00045616924720712063,103633
especially,1079,0.0004540651455133608,103633
want,1073,0.0004515402234808491,103633
shot,1061,0.0004464903794158256,103633
wasnt,1059,0.0004456487387383217,103633
american,1050,0.0004418613556895541,103633
hollywood,1050,0.0004418613556895541,103633
production,1044,0.0004393364336570424,103633
year,1038,0.0004368115116245306,103633
without,1038,0.0004368115116245306,103633
day,1034,0.0004351282302695228,103633
since,1025,0.0004313408472207552,103633
hard,1013,0.0004262910031557317,103633
may,1003,0.00042208279976821216,103633
least,985,0.00041450803367067693,103633
anything,985,0.00041450803367067693,103633
um,980,0.0004124039319769172,103633
biopic,975,0.00041029983028315737,103633
far,974,0.0004098790099444054,103633
god,973,0.00040945818960565347,103633
find,966,0.00040651244723438975,103633
point,959,0.0004035667048631261,103633
against,955,0.00040188342350811824,103633
events,951,0.00040020014215311043,103633
fun,951,0.00040020014215311043,103633
boring,950,0.0003997793218143585,103633
piece,948,0.0003989376811368546,103633
una,933,0.0003926253760555752,103633
moments,933,0.0003926253760555752,103633
second,928,0.00039052127436181545,103633
3,914,0.000384629789619288,103633
absolutely,909,0.00038252568792552827,103633
making,907,0.00038168404724802437,103633
found,899,0.0003783174845380087,103633
se,899,0.0003783174845380087,103633
screen,898,0.00037789666419925675,103633
5,895,0.0003766342031830009,103633
give,891,0.00037495092182799304,103633
three,890,0.0003745301014892411,103633
come,889,0.00037410928115048914,103633
definitely,886,0.0003728468201342333,103633
maybe,883,0.0003715843591179774,103633
version,882,0.00037116353877922543,103633
old,879,0.0003699010777629696,103633
score,876,0.0003686386167467137,103633
however,876,0.0003686386167467137,103633
powerful,872,0.00036695533539170586,103633
fact,870,0.00036611369471420196,103633
rather,867,0.0003648512336979461,103633
actors,865,0.0003640095930204422,103633
women,857,0.00036064303031042654,103633
truly,856,0.0003602222099716746,103633
british,855,0.00035980138963292264,103633
done,853,0.00035895974895541874,103633
said,851,0.0003581181082779148,103633
political,851,0.0003581181082779148,103633
might,843,0.00035475154556789917,103633
das,837,0.0003522266235353874,103633
2,835,0.0003513849828578835,103633
plot,833,0.0003505433421803796,103633
seems,831,0.00034970170150287565,103633
hours,828,0.0003484392404866198,103633
place,827,0.00034801842014786785,103633
young,825,0.00034717677947036394,103633
da,825,0.00034717677947036394,103633
oscar,825,0.00034717677947036394,103633
directed,823,0.00034633513879286004,103633
amazing,822,0.0003459143184541081,103633
gets,816,0.00034338939642159633,103633
put,811,0.0003412852947278366,103633
different,805,0.0003387603726953248,103633
once,805,0.0003387603726953248,103633
power,799,0.00033623545066281305,103633
everyone,798,0.0003358146303240611,103633
hour,796,0.0003349729896465572,103633
loved,793,0.00033371052863030135,103633
takes,791,0.00033286888795279744,103633
narrative,790,0.0003324480676140455,103633
solid,790,0.0003324480676140455,103633
den,789,0.0003320272472752935,103633
away,785,0.0003303439659202857,103633
youre,784,0.00032992314558153373,103633
less,784,0.00032992314558153373,103633
play,783,0.0003295023252427818,103633
let,781,0.0003286606845652779,103633
having,781,0.0003286606845652779,103633
told,777,0.00032697740321027,103633
tell,771,0.0003244524811777583,103633
favorite,771,0.0003244524811777583,103633
important,767,0.00032276919982275045,103633
incredible,766,0.0003223483794839985,103633
human,765,0.00032192755914524655,103633
id,765,0.00032192755914524655,103633
need,764,0.0003215067388064946,103633
despite,763,0.00032108591846774265,103633
final,762,0.0003206650981289907,103633
sense,760,0.0003198234574514868,103633
por,753,0.0003168777150802231,103633
family,752,0.00031645689474147113,103633
full,750,0.00031561525406396723,103633
itself,749,0.0003151944337252153,103633
each,748,0.00031477361338646333,103633
filme,747,0.0003143527930477113,103633
greatest,745,0.0003135111523702074,103633
king,741,0.0003118278710151996,103633
show,740,0.00031140705067644767,103633
looks,737,0.00031014458966019176,103633
together,737,0.00031014458966019176,103633
perfect,735,0.00030930294898268786,103633
trying,733,0.00030846130830518395,103633
experience,731,0.00030761966762768005,103633
often,729,0.00030677802695017615,103633
ist,724,0.00030467392525641634,103633
documentary,719,0.0003025698235626566,103633
white,715,0.0003008865422076487,103633
believe,714,0.0003004657218688968,103633
early,712,0.00029962408119139287,103633
von,711,0.0002992032608526409,103633
music,705,0.00029667833882012916,103633
saw,699,0.00029415341678761745,103633
death,697,0.00029331177611011355,103633
star,695,0.0002924701354326096,103633
today,693,0.0002916284947551057,103633
como,693,0.0002916284947551057,103633
fucking,692,0.00029120767441635374,103633
review,686,0.00028868275238384204,103633
someone,681,0.0002865786506900822,103633
remember,679,0.0002857370100125783,103633
went,678,0.00028531618967382637,103633
came,676,0.00028447454899632247,103633
instead,674,0.0002836329083188185,103633
entire,672,0.0002827912676413146,103633
emotional,672,0.0002827912676413146,103633
must,672,0.0002827912676413146,103633
strong,671,0.00028237044730256266,103633
seeing,669,0.00028152880662505876,103633
ein,668,0.0002811079862863068,103633
era,668,0.0002811079862863068,103633
zu,666,0.0002802663456088029,103633
excellent,666,0.0002802663456088029,103633
comes,663,0.000279003884592547,103633
heart,661,0.0002781622439150431,103633
completely,658,0.00027689978289878724,103633
took,654,0.00027521650154377944,103633
script,653,0.00027479568120502743,103633
ill,651,0.00027395404052752353,103633
class,650,0.0002735332201887716,103633
german,649,0.00027311239985001963,103633
fuck,647,0.0002722707591725157,103633
matter,647,0.0002722707591725157,103633
until,645,0.0002714291184950118,103633
adventure,645,0.0002714291184950118,103633
french,644,0.00027100829815625987,103633
country,644,0.00027100829815625987,103633
nice,643,0.00027058747781750787,103633
course,643,0.00027058747781750787,103633
plays,643,0.00027058747781750787,103633
