types,counts,probs,total_unique
go,7861,0.000785694895711771,248296
him,7834,0.0007829962871143639,248296
doesnt,7777,0.0007772992245198376,248296
through,7669,0.0007665047901302089,248296
say,7608,0.0007604079336694001,248296
these,7594,0.0007590086551374112,248296
around,7500,0.0007496134992797714,248296
years,7472,0.0007468149422157935,248296
always,7424,0.000742017415820403,248296
slasher,7358,0.000735420817026741,248296
many,7322,0.0007318226722301981,248296
kind,7263,0.0007259257127025306,248296
those,7253,0.0007249262280368242,248296
part,7184,0.0007180297838434503,248296
new,7179,0.0007175300415105971,248296
original,7144,0.0007140318451806249,248296
plot,7082,0.0007078350402532454,248296
scene,7047,0.0007043368439232731,248296
things,6908,0.0006904440070699548,248296
enough,6813,0.0006809489027457443,248296
quite,6802,0.0006798494696134673,248296
cant,6780,0.0006776506033489133,248296
makes,6776,0.0006772508094826308,248296
que,6761,0.0006757515824840712,248296
last,6760,0.0006756516340175006,248296
end,6640,0.0006636578180290242,248296
right,6612,0.0006608592609650464,248296
der,6602,0.0006598597762993401,248296
feel,6543,0.0006539628167716726,248296
interesting,6458,0.0006454671971131685,248296
monster,6456,0.0006452673001800271,248296
character,6419,0.0006415692069169137,248296
minutes,6317,0.0006313744633267088,248296
work,6251,0.0006247778645330468,248296
same,6189,0.0006185810596056673,248296
sure,6159,0.0006155826056085483,248296
few,6119,0.0006115846669457228,248296
take,6117,0.0006113847700125816,248296
isnt,6111,0.0006107850792131577,248296
killer,6098,0.0006094857491477394,248296
day,6055,0.000605187965085202,248296
look,6049,0.0006045882742857782,248296
another,6000,0.0005996907994238171,248296
such,5988,0.0005984914178249694,248296
down,5905,0.0005901956950996066,248296
house,5890,0.0005886964681010471,248296
acting,5871,0.000586797447236205,248296
long,5851,0.0005847984779047923,248296
nothing,5837,0.0005833991993728034,248296
old,5797,0.0005794012607099779,248296
real,5745,0.0005742039404483049,248296
thought,5711,0.0005708056925849032,248296
feels,5587,0.0005584120827301443,248296
shit,5557,0.0005554136287330252,248296
gets,5541,0.000553814453267895,248296
gore,5541,0.000553814453267895,248296
scenes,5535,0.0005532147624684713,248296
life,5513,0.0005510158962039173,248296
night,5439,0.0005436197096776902,248296
cast,5389,0.0005386222863491584,248296
found,5350,0.0005347242961529035,248296
probably,5270,0.0005267284188272527,248296
dead,5211,0.0005208314592995852,248296
cool,5207,0.0005204316654333026,248296
want,5179,0.0005176331083693248,248296
genre,5171,0.0005168335206367597,248296
set,5170,0.0005167335721701891,248296
everything,5163,0.0005160339329041946,248296
wasnt,5132,0.0005129355304405048,248296
whole,5103,0.0005100370249099564,248296
definitely,5066,0.0005063389316468428,248296
fucking,5018,0.0005015414052514524,248296
budget,5016,0.000501341508318311,248296
times,5015,0.0005012415598517404,248296
world,5009,0.0005006418690523167,248296
almost,4992,0.0004989427451206159,248296
