types,counts,probs,total_unique
la,1320,0.0007869607753709894,77256
comedy,1299,0.0007744409448537236,77256
such,1298,0.0007738447624481395,77256
feel,1297,0.0007732485800425555,77256
que,1290,0.0007690753032034669,77256
these,1284,0.0007654982087699625,77256
scene,1276,0.0007607287495252897,77256
though,1257,0.0007494012838191922,77256
ve,1253,0.0007470165541968558,77256
old,1233,0.0007350929060851742,77256
dance,1202,0.0007166112515120676,77256
long,1200,0.0007154188867008994,77256
go,1199,0.0007148227042953154,77256
world,1199,0.0007148227042953154,77256
band,1196,0.0007130341570785631,77256
i've,1193,0.0007112456098618109,77256
new,1190,0.0007094570626450587,77256
performance,1184,0.0007058799682115541,77256
before,1164,0.0006939563200998725,77256
character,1151,0.0006862059488272794,77256
does,1151,0.0006862059488272794,77256
show,1138,0.0006784555775546863,77256
bit,1135,0.000676667030337934,77256
around,1130,0.0006736861183100136,77256
want,1129,0.0006730899359044296,77256
makes,1127,0.0006718975710932614,77256
those,1126,0.0006713013886876773,77256
actually,1120,0.0006677242942541729,77256
day,1098,0.000654608281331323,77256
part,1098,0.000654608281331323,77256
end,1080,0.0006438769980308095,77256
plot,1079,0.0006432808156252254,77256
year,1071,0.0006385113563805528,77256
don,1068,0.0006367228091638006,77256
funny,1065,0.0006349342619470482,77256
real,1061,0.0006325495323247119,77256
star,1059,0.0006313571675135438,77256
big,1039,0.0006194335194018621,77256
kind,1018,0.0006069136888845963,77256
right,1013,0.0006039327768566759,77256
characters,999,0.0005955862231784988,77256
hard,985,0.0005872396695003216,77256
work,984,0.0005866434870947376,77256
there's,980,0.0005842587574724013,77256
last,975,0.0005812778454444809,77256
things,966,0.000575912203794224,77256
everything,950,0.0005663732853048787,77256
look,949,0.0005657771028992946,77256
beautiful,941,0.000561007643654622,77256
enough,939,0.0005598152788434538,77256
both,928,0.000553257272382029,77256
times,927,0.0005526610899764449,77256
that's,927,0.0005526610899764449,77256
down,921,0.0005490839955429403,77256
should,915,0.0005455069011094358,77256
didn't,913,0.0005443145362982677,77256
cast,913,0.0005443145362982677,77256
quite,908,0.0005413336242703473,77256
am,908,0.0005413336242703473,77256
singing,907,0.0005407374418647632,77256
same,905,0.0005395450770535951,77256
favorite,900,0.0005365641650256746,77256
few,895,0.0005335832529977542,77256
between,892,0.0005317947057810019,77256
whole,876,0.0005222557872916566,77256
sure,876,0.0005222557872916566,77256
performances,873,0.0005204672400749043,77256
numbers,871,0.0005192748752637362,77256
loved,870,0.0005186786928581521,77256
black,861,0.0005133130512078954,77256
feels,856,0.0005103321391799749,77256
girl,848,0.0005055626799353023,77256
minutes,847,0.0005049664975297182,77256
another,844,0.000503177950312966,77256
nothing,836,0.0004984084910682933,77256
fucking,831,0.0004954275790403728,77256
dancing,830,0.0004948313966347888,77256
probably,828,0.0004936390318236206,77256
together,821,0.000489465754984532,77256
almost,820,0.000488869572578948,77256
thought,820,0.000488869572578948,77256
again,814,0.00048529247814544345,77256
can't,800,0.0004769459244672663,77256
take,788,0.0004697917356002573,77256
high,786,0.00046859937078908915,77256
half,782,0.00046621464116675283,77256
interesting,778,0.00046382991154441647,77256
perfect,776,0.0004626375467332483,77256
set,758,0.00045190626343273485,77256
cinema,756,0.00045071389862156664,77256
stars,755,0.00045011771621598256,77256
live,753,0.0004489253514048144,77256
own,752,0.0004483291689992303,77256
making,751,0.00044773298659364625,77256
fuck,745,0.0004441558921601417,77256
2,743,0.00044296352734897357,77256
y,740,0.00044117498013222133,77256
anything,739,0.00044057879772663725,77256
young,739,0.00044057879772663725,77256
everyone,737,0.0004393864329154691,77256
full,730,0.0004352131560763805,77256
come,729,0.0004346169736707964,77256
die,726,0.0004328284264540442,77256
night,720,0.00042925133202053966,77256
need,718,0.0004280589672093715,77256
re,715,0.00042627041999261927,77256
soundtrack,712,0.00042448187277586703,77256
absolutely,712,0.00042448187277586703,77256
us,710,0.0004232895079646989,77256
said,707,0.0004215009607479466,77256
o,705,0.00042030859593677843,77256
doesn't,705,0.00042030859593677843,77256
director,704,0.00041971241353119435,77256
give,702,0.0004185200487200262,77256
maybe,698,0.0004161353190976898,77256
since,696,0.00041494295428652167,77256
gets,693,0.00041315440706976944,77256
play,687,0.00040957731263626497,77256
school,685,0.00040838494782509675,77256
find,684,0.0004077887654195127,77256
e,684,0.0004077887654195127,77256
john,682,0.0004065964006083445,77256
early,681,0.00040600021820276044,77256
shit,680,0.00040540403579717636,77256
heart,680,0.00040540403579717636,77256
least,679,0.0004048078533915923,77256
yet,675,0.00040242312376925597,77256
oh,674,0.00040182694136367184,77256
god,673,0.00040123075895808776,77256
having,670,0.0003994422117413355,77256
scenes,669,0.00039884602933575145,77256
definitely,663,0.000395268934902247,77256
5,661,0.00039407657009107877,77256
especially,660,0.0003934803876854947,77256
during,659,0.0003928842052799106,77256
en,658,0.00039228802287432653,77256
sound,657,0.00039169184046874245,77256
amazing,652,0.00038871092844082206,77256
screen,650,0.00038751856362965385,77256
moments,647,0.0003857300164129016,77256
felt,647,0.0003857300164129016,77256
picture,646,0.00038513383400731754,77256
fact,645,0.00038453765160173346,77256
without,643,0.0003833452867905653,77256
top,641,0.00038215292197939715,77256
playing,641,0.00038215292197939715,77256
put,640,0.00038155673957381307,77256
guy,639,0.00038096055716822894,77256
acting,633,0.00037738346273472447,77256
three,632,0.0003767872803291404,77256
version,630,0.00037559491551797223,77256
3,628,0.0003744025507068041,77256
classic,619,0.0003690369090565473,77256
saw,619,0.0003690369090565473,77256
might,613,0.0003654598146230428,77256
10,610,0.00036367126740629056,77256
american,609,0.0003630750850007065,77256
documentary,608,0.0003624789025951224,77256
d,605,0.00036069035537837017,77256
weird,600,0.0003577094433504497,77256
cool,595,0.00035472853132252933,77256
far,593,0.0003535361665113612,77256
believe,591,0.00035234380170019296,77256
came,589,0.0003511514368890248,77256
found,587,0.00034995907207785665,77256
trying,584,0.0003481705248611044,77256
fan,584,0.0003481705248611044,77256
second,583,0.00034757434245552034,77256
point,581,0.0003463819776443522,77256
und,577,0.0003439972480220158,77256
may,575,0.00034280488321084766,77256
away,574,0.0003422087008052636,77256
seeing,572,0.0003410163359940954,77256
someone,571,0.00034042015358851134,77256
our,570,0.00033982397118292727,77256
different,570,0.00033982397118292727,77256
once,570,0.00033982397118292727,77256
didn,569,0.00033922778877734313,77256
greatest,568,0.00033863160637175906,77256
white,567,0.000338035423966175,77256
place,565,0.0003368430591550068,77256
horror,565,0.0003368430591550068,77256
original,565,0.0003368430591550068,77256
musicals,559,0.00033326596472150235,77256
truly,557,0.00033207359991033414,77256
biopic,553,0.00032968887028799783,77256
short,551,0.00032849650547682967,77256
instead,545,0.00032491941104332515,77256
oscar,544,0.00032432322863774107,77256
1,544,0.00032432322863774107,77256
liked,541,0.00032253468142098883,77256
jazz,536,0.00031955376939306844,77256
isn't,536,0.00031955376939306844,77256
else,534,0.0003183614045819003,77256
number,534,0.0003183614045819003,77256
tell,533,0.00031776522217631615,77256
entire,533,0.00031776522217631615,77256
plays,529,0.00031538049255397984,77256
let,527,0.0003141881277428117,77256
concert,527,0.0003141881277428117,77256
nice,526,0.0003135919453372276,77256
n,524,0.00031239958052605945,77256
he's,524,0.00031239958052605945,77256
each,523,0.00031180339812047537,77256
der,523,0.00031180339812047537,77256
played,520,0.0003100148509037231,77256
cute,517,0.00030822630368697085,77256
un,517,0.00030822630368697085,77256
history,517,0.00030822630368697085,77256
sense,516,0.00030763012128138677,77256
goes,515,0.0003070339388758027,77256
literally,515,0.0003070339388758027,77256
charming,514,0.0003064377564702186,77256
wanted,514,0.0003064377564702186,77256
less,512,0.00030524539165905046,77256
seems,512,0.00030524539165905046,77256
drama,510,0.00030405302684788225,77256
elvis,510,0.00030405302684788225,77256
wish,504,0.0003004759324143778,77256
completely,503,0.0002998797500087937,77256
doing,502,0.0002992835676032096,77256
hell,501,0.00029868738519762554,77256
style,497,0.0002963026555752892,77256
role,496,0.0002957064731697051,77256
era,496,0.0002957064731697051,77256
until,495,0.000295110290764121,77256
directed,494,0.00029451410835853694,77256
remember,492,0.0002933217435473688,77256
mean,490,0.0002921293787362006,77256
sing,490,0.0002921293787362006,77256
gonna,486,0.00028974464911386426,77256
pop,486,0.00028974464911386426,77256
stage,483,0.000287956101897112,77256
looks,482,0.00028735991949152795,77256
happy,481,0.00028676373708594387,77256
you're,480,0.0002861675546803598,77256
wasn't,479,0.0002855713722747757,77256
getting,479,0.0002855713722747757,77256
punk,479,0.0002855713722747757,77256
help,479,0.0002855713722747757,77256
kid,478,0.00028497518986919163,77256
family,477,0.00028437900746360755,77256
hollywood,477,0.00028437900746360755,77256
course,477,0.00028437900746360755,77256
friends,476,0.0002837828250580235,77256
shot,476,0.0002837828250580235,77256
christmas,474,0.00028259046024685527,77256
art,473,0.0002819942778412712,77256
experience,471,0.00028080191303010303,77256
enjoyed,470,0.00028020573062451895,77256
review,469,0.0002796095482189349,77256
true,469,0.0002796095482189349,77256
moment,466,0.00027782100100218264,77256
woman,465,0.00027722481859659856,77256
incredible,462,0.00027543627137984627,77256
entertaining,459,0.00027364772416309404,77256
