types,counts,probs,total_unique
cast,3197,0.0007855612032527197,138687
got,3164,0.0007774525014362231,138687
before,3130,0.000769098081382863,138687
back,3117,0.000765903744303637,138687
years,3115,0.0007654123078299099,138687
thing,3114,0.0007651665895930463,138687
say,3102,0.000762217970750684,138687
interesting,3101,0.0007619722525138204,138687
doesnt,3095,0.0007604979430926392,138687
actually,3042,0.0007474748765388719,138687
scene,3002,0.0007376461470643306,138687
feel,3001,0.000737400428827467,138687
work,2991,0.0007349432464588316,138687
watched,2961,0.0007275716993529256,138687
go,2933,0.0007206915887207466,138687
around,2931,0.0007202001522470195,138687
makes,2923,0.0007182344063521112,138687
quite,2868,0.0007047199033246168,138687
those,2867,0.0007044741850877534,138687
die,2863,0.0007034913121402992,138687
end,2823,0.0006936625826657578,138687
new,2810,0.0006904682455865319,138687
cant,2809,0.0006902225273496684,138687
murder,2802,0.0006885024996916236,138687
such,2774,0.0006816223890594446,138687
kind,2720,0.0006683536042688138,138687
und,2714,0.0006668792948476325,138687
life,2709,0.000665650703663315,138687
same,2676,0.0006575420018468183,138687
last,2660,0.0006536105100570017,138687
right,2645,0.0006499247365040487,138687
ending,2615,0.0006425531893981427,138687
things,2592,0.0006369016699502814,138687
these,2589,0.0006361645152396908,138687
enough,2586,0.0006354273605291002,138687
part,2565,0.000630267277554966,138687
another,2513,0.0006174899292380622,138687
noir,2478,0.0006088897909478384,138687
feels,2476,0.0006083983544741114,138687
world,2468,0.000606432608579203,138687
la,2432,0.0005975867520521159,138687
der,2428,0.0005966038791046617,138687
few,2428,0.0005966038791046617,138687
long,2416,0.0005936552602622993,138687
minutes,2414,0.0005931638237885723,138687
real,2409,0.0005919352326042546,138687
isnt,2391,0.0005875123043407109,138687
thought,2345,0.0005762092654449883,138687
everything,2314,0.0005685920001022188,138687
down,2304,0.0005661348177335835,138687
almost,2279,0.0005599918618119951,138687
take,2266,0.0005567975247327691,138687
look,2264,0.000556306088259042,138687
sure,2256,0.0005543403423641337,138687
both,2230,0.0005479516682056818,138687
gets,2219,0.000545248767600183,138687
performance,2188,0.0005376315022574134,138687
old,2184,0.0005366486293099593,138687
nothing,2174,0.000534191446941324,138687
set,2167,0.0005324714192832792,138687
find,2160,0.0005307513916252345,138687
found,2152,0.0005287856457303262,138687
