types,counts,probs,total_unique
does,5670,0.0007545966514540691,211450
back,5662,0.0007535319648206242,211450
between,5646,0.0007514025915537345,211450
beautiful,5620,0.0007479423599950386,211450
going,5509,0.0007331698329559906,211450
got,5480,0.0007293103439097529,211450
thing,5450,0.0007253177690343345,211450
makes,5416,0.0007207928508421937,211450
funny,5384,0.0007165341043084141,211450
go,5299,0.0007052218088280622,211450
ve,5297,0.000704955637169701,211450
romantic,5265,0.0007006968906359214,211450
want,5240,0.0006973697449064061,211450
both,5237,0.0006969704874188643,211450
end,5166,0.0006875213935470407,211450
work,5161,0.0006868559644011377,211450
i've,5138,0.0006837949903299836,211450
actually,5132,0.0006829964753549,211450
before,5089,0.0006772737847001337,211450
old,5083,0.00067647526972505,211450
world,5060,0.0006734142956538959,211450
bit,5046,0.0006715510940453674,211450
romance,5028,0.0006691555491201164,211450
these,4976,0.0006622350860027245,211450
long,4957,0.0006597064552482929,211450
new,4879,0.0006493257605722052,211450
those,4819,0.0006413406108213684,211450
kind,4804,0.0006393443233836593,211450
plot,4795,0.0006381465509210338,211450
woman,4784,0.000636682606800047,211450
day,4778,0.0006358840918249634,211450
cast,4751,0.0006322907744370869,211450
real,4690,0.0006241725388570695,211450
around,4601,0.0006123279000599951,211450
quite,4598,0.0006119286425724532,211450
same,4571,0.0006083353251845767,211450
right,4553,0.0006059397802593257,211450
e,4530,0.0006028788061881716,211450
don,4483,0.0005966237722166829,211450
part,4441,0.0005910341673910972,211450
everything,4435,0.0005902356524160135,211450
girl,4433,0.0005899694807576523,211450
things,4394,0.0005847791334196085,211450
o,4322,0.0005751969537186043,211450
another,4296,0.0005717367221599085,211450
enough,4264,0.0005674779756261289,211450
performance,4185,0.0005569641951208605,211450
feels,4184,0.0005568311092916799,211450
should,4166,0.000554435564366429,211450
thought,4159,0.0005535039635621646,211450
year,4156,0.0005531047060746228,211450
last,4155,0.0005529716202454422,211450
look,4139,0.0005508422469785525,211450
times,4122,0.000548579787882482,211450
drama,4120,0.0005483136162241208,211450
that's,4115,0.0005476481870782177,211450
together,4097,0.0005452526421529667,211450
nothing,4066,0.0005411269814483677,211450
there's,4057,0.0005399292089857422,211450
down,4023,0.0005354042907936014,211450
am,4012,0.0005339403466726148,211450
cinema,3976,0.0005291492568221126,211450
loved,3975,0.000529016170992932,211450
star,3952,0.000525955196921778,211450
y,3951,0.0005258221110925974,211450
whole,3938,0.0005240919953132494,211450
director,3902,0.0005193009054627474,211450
sure,3844,0.0005115819273702719,211450
big,3834,0.0005102510690784658,211450
interesting,3811,0.0005071900950073117,211450
scenes,3811,0.0005071900950073117,211450
didn't,3797,0.0005053268933987832,211450
performances,3765,0.0005010681468650036,211450
again,3765,0.0005010681468650036,211450
young,3751,0.000499204945256475,211450
take,3713,0.0004941476837476118,211450
find,3697,0.000492018310480722,211450
few,3639,0.0004842993323882465,211450
minutes,3627,0.00048270230243807914,211450
yet,3598,0.0004788428133918414,211450
almost,3591,0.0004779112125875771,211450
can't,3585,0.00047711269761249346,211450
perfect,3581,0.000476580354295771,211450
own,3574,0.0004756487534915067,211450
half,3564,0.0004743178951997006,211450
john,3562,0.0004740517235413394,211450
each,3546,0.0004719223502744496,211450
gets,3525,0.00046912754786165677,211450
women,3507,0.00046673200293640576,211450
doesn't,3504,0.0004663327454488639,211450
heart,3482,0.00046340485720689043,211450
die,3447,0.000458746853185569,211450
men,3443,0.00045821450986884655,211450
probably,3383,0.00045022936011800986,211450
hard,3380,0.00044983010263046806,211450
en,3373,0.00044889850182620373,211450
anything,3371,0.0004486323301678425,211450
favorite,3347,0.00044543827026750785,211450
com,3344,0.000445039012779966,211450
felt,3331,0.00044330889700061805,211450
set,3309,0.0004403810087586446,211450
come,3254,0.00043306128815371095,211450
us,3219,0.00042840328413238954,211450
ending,3217,0.0004281371124740283,211450
stars,3214,0.0004277378549864865,211450
re,3203,0.00042627391086549974,211450
maybe,3195,0.0004252092242320548,211450
cute,3192,0.000424809966744513,211450
without,3190,0.0004245437950861518,211450
absolutely,3185,0.00042387836594024873,211450
music,3183,0.0004236121942818875,211450
having,3181,0.00042334602262352627,211450
guy,3169,0.00042174899267335893,211450
moments,3097,0.0004121668129723549,211450
especially,3096,0.00041203372714317425,211450
screen,3093,0.00041163446965563244,211450
our,3092,0.00041150138382645184,211450
3,3090,0.0004112352121680906,211450
may,3060,0.00040724263729267224,211450
need,3056,0.00040671029397594977,211450
2,3053,0.00040631103648840796,211450
un,3051,0.00040604486483004676,211450
three,3034,0.00040378240573397636,211450
least,3033,0.0004036493199047957,211450
acting,3024,0.0004024515474421702,211450
said,3021,0.00040205228995462836,211450
everyone,3019,0.00040178611829626716,211450
fucking,3003,0.00039965674502937735,211450
someone,3001,0.00039939057337101615,211450
give,2977,0.0003961965134706815,211450
charming,2957,0.0003935347968870692,211450
war,2951,0.00039273628191198554,211450
oh,2950,0.00039260319608280494,211450
point,2913,0.0003876790204031223,211450
hollywood,2895,0.0003852834754778713,211450
plays,2893,0.00038501730381951005,211450
definitely,2888,0.000384351874673607,211450
sex,2881,0.0003834202738693427,211450
high,2878,0.0003830210163818009,211450
making,2868,0.0003816901580899948,211450
chemistry,2866,0.0003814239864316335,211450
5,2846,0.0003787622698480213,211450
far,2846,0.0003787622698480213,211450
role,2815,0.00037463660914342236,211450
full,2814,0.0003745035233142417,211450
different,2810,0.0003739711799975193,211450
second,2793,0.0003717087209014489,211450
since,2780,0.00036997860512210095,211450
found,2780,0.00036997860512210095,211450
play,2778,0.0003697124334637397,211450
he's,2736,0.000364122828638154,211450
might,2729,0.00036319122783388973,211450
away,2714,0.00036119494039618053,211450
trying,2713,0.00036106185456699993,211450
seems,2700,0.000359331738787652,211450
once,2692,0.00035826705215420706,211450
nice,2688,0.00035773470883748465,211450
during,2686,0.0003574685371791234,211450
d,2684,0.0003572023655207622,211450
fact,2684,0.0003572023655207622,211450
und,2682,0.000356936193862401,211450
classic,2681,0.00035680310803322033,211450
musical,2668,0.0003550729922538724,211450
fuck,2667,0.0003549399064246918,211450
shit,2631,0.00035014881657418977,211450
early,2626,0.0003494833874282867,211450
family,2621,0.00034881795828238364,211450
believe,2596,0.00034549081255286836,211450
place,2595,0.00034535772672368776,211450
put,2560,0.0003406997227023663,211450
gay,2545,0.00033870343526465715,211450
isn't,2540,0.0003380380061187541,211450
liked,2520,0.00033537628953514187,211450
se,2516,0.0003348439462184194,211450
shot,2513,0.00033444468873087754,211450
god,2510,0.00033404543124333574,211450
didn,2500,0.0003327145729515296,211450
relationship,2486,0.00033085137134300106,211450
less,2483,0.0003304521138554592,211450
show,2482,0.0003303190280262786,211450
directed,2478,0.00032978668470955613,211450
picture,2478,0.00032978668470955613,211450
american,2468,0.00032845582641775005,211450
um,2462,0.0003276573114426664,211450
couple,2435,0.00032406399405478985,211450
white,2420,0.00032206770661708065,211450
night,2400,0.00031940599003346844,211450
takes,2400,0.00031940599003346844,211450
actors,2387,0.0003176758742541205,211450
top,2380,0.00031674427344985617,211450
sense,2375,0.0003160788443039531,211450
saw,2371,0.0003155465009872307,211450
goes,2370,0.0003154134151580501,211450
literally,2369,0.00031528032932886944,211450
sweet,2363,0.00031448181435378577,211450
playing,2350,0.0003127516985744378,211450
es,2335,0.0003107554111367287,211450
happy,2332,0.0003103561536491868,211450
until,2315,0.0003080936945531164,211450
el,2314,0.0003079606087239358,211450
looks,2313,0.0003078275228947552,211450
hot,2291,0.00030489963465278174,211450
looking,2280,0.000303435690531795,211450
script,2278,0.0003031695188734338,211450
rather,2276,0.00030290334721507254,211450
instead,2273,0.00030250408972753073,211450
live,2272,0.00030237100389835013,211450
truly,2261,0.0003009070597773634,211450
seeing,2253,0.00029984237314391847,211450
wanted,2249,0.00029931002982719606,211450
let,2245,0.0002987776865104736,211450
action,2244,0.000298644600681293,211450
tell,2237,0.0002977129998770287,211450
der,2235,0.00029744682821866746,211450
dialogue,2232,0.00029704757073112565,211450
10,2230,0.0002967813990727644,211450
comes,2230,0.0002967813990727644,211450
getting,2222,0.0002957167124393195,211450
mean,2217,0.00029505128329341645,211450
1,2205,0.0002934542533432491,211450
yes,2205,0.0002934542533432491,211450
james,2199,0.00029265573836816545,211450
you're,2192,0.0002917241375639012,211450
