types,counts,probs,total_unique
her,4939,0.0008008161547269556,176968
new,4897,0.0007940062177967,176968
him,4871,0.0007897905425541608,176968
alien,4785,0.0007758463859826852,176968
monster,4732,0.0007672528941421247,176968
many,4731,0.0007670907527866424,176968
these,4704,0.000762712936188621,176968
does,4644,0.0007529844548596845,176968
say,4638,0.0007520116067267908,176968
before,4552,0.0007380674501553152,176968
go,4533,0.0007349867644011519,176968
bit,4501,0.0007297982410257192,176968
through,4439,0.0007197454769858182,176968
que,4339,0.0007035313414375906,176968
those,4315,0.0006996399489060161,176968
big,4272,0.0006926678706202782,176968
kind,4266,0.0006916950224873846,176968
always,4249,0.0006889386194441859,176968
character,4208,0.0006822908238694127,176968
star,4180,0.0006777508659159089,176968
i've,4162,0.000674832321517228,176968
interesting,4159,0.0006743458974507811,176968
feel,4149,0.0006727244838959584,176968
things,4124,0.0006686709500089015,176968
enough,4112,0.0006667252537431143,176968
end,4100,0.000664779557477327,176968
look,4091,0.0006633202852779865,176968
makes,4086,0.0006625095785005751,176968
budget,4082,0.000661861013078646,176968
there's,4076,0.0006608881649457524,176968
part,4075,0.0006607260235902701,176968
life,4068,0.0006595910341018942,176968
cool,3998,0.0006482411392181349,176968
last,3996,0.0006479168565071704,176968
right,3961,0.0006422419090652908,176968
m,3951,0.000640620495510468,176968
around,3903,0.0006328377104473188,176968
work,3827,0.0006205149674306659,176968
original,3799,0.0006159750094771623,176968
that's,3777,0.0006124078996565522,176968
day,3768,0.0006109486274572117,176968
same,3751,0.000608192224414013,176968
feels,3727,0.0006043008318824385,176968
thought,3691,0.0005984637430850766,176968
science,3667,0.0005945723505535019,176968
take,3637,0.0005897081098890337,176968
such,3621,0.0005871138482013173,176968
long,3615,0.0005861410000684237,176968
quite,3603,0.0005841953038026364,176968
another,3593,0.0005825738902478136,176968
minutes,3584,0.0005811146180484732,176968
2,3583,0.0005809524766929909,176968
ve,3569,0.0005786824977162391,176968
down,3563,0.0005777096495833454,176968
sure,3537,0.0005734939743408062,176968
scene,3491,0.0005660354719886216,176968
cast,3466,0.0005619819381015647,176968
old,3430,0.0005561448493042028,176968
real,3428,0.0005558205665932382,176968
godzilla,3422,0.0005548477184603446,176968
everything,3410,0.0005529020221945573,176968
want,3357,0.0005443085303539967,176968
nothing,3296,0.000534417907669578,176968
she,3293,0.0005339314836031311,176968
set,3293,0.0005339314836031311,176968
shit,3286,0.0005327964941147552,176968
should,3264,0.0005292293842941452,176968
half,3257,0.0005280943948057692,176968
few,3254,0.0005276079707393224,176968
again,3243,0.0005258244158290174,176968
didn't,3225,0.0005229058714303365,176968
year,3179,0.0005154473690781518,176968
probably,3175,0.0005147988036562227,176968
our,3169,0.0005138259555233291,176968
series,3160,0.0005123666833239886,176968
scenes,3093,0.0005015032125066761,176968
whole,3092,0.0005013410711511939,176968
la,3076,0.0004987468094634775,176968
am,3073,0.0004982603853970306,176968
doesn't,3070,0.0004977739613305839,176968
us,3059,0.0004959904064202788,176968
gets,3031,0.0004914504484667752,176968
almost,3015,0.0004888561867790588,176968
don,2976,0.00048253267391525003,176968
times,2974,0.00048220839120428547,176968
director,2967,0.00048107340171590955,176968
least,2924,0.00047410132343017174,176968
own,2920,0.0004734527580082426,176968
acting,2920,0.0004734527580082426,176968
fucking,2914,0.000472479909875349,176968
future,2902,0.00047053421360956167,176968
giant,2898,0.00046988564818763255,176968
both,2895,0.00046939922412118576,176968
earth,2875,0.00046615639701154025,176968
far,2871,0.0004655078315896111,176968
anything,2838,0.00046015716685869607,176968
looks,2831,0.00045902217737032016,176968
5,2815,0.00045642791568260377,176968
3,2810,0.00045561720890519236,176968
find,2810,0.00045561720890519236,176968
special,2787,0.00045188795772910007,176968
since,2772,0.00044945583739686596,176968
guy,2762,0.0004478344238420432,176968
can't,2761,0.0004476722824865609,176968
full,2736,0.00044361874859950406,176968
weird,2735,0.0004434566072440218,176968
low,2725,0.000441835193689199,176968
b,2721,0.0004411866282672699,176968
human,2713,0.0004398894974234117,176968
between,2709,0.00043924093200148264,176968
yet,2701,0.00043794380115762444,176968
show,2691,0.0004363223876028017,176968
fiction,2663,0.000431782429649298,176968
genre,2647,0.0004291881679615816,176968
entertaining,2640,0.00042805317847320563,176968
idea,2634,0.000427080330340312,176968
funny,2624,0.00042545891678548924,176968
come,2619,0.0004246482100080779,176968
definitely,2610,0.0004231889378087374,176968
re,2590,0.0004199461106990919,176968
es,2586,0.0004192975452771628,176968
das,2575,0.0004175139903668578,176968
boring,2560,0.00041508187003462364,176968
comedy,2536,0.00041119047750304906,176968
ist,2533,0.0004107040534366022,176968
maybe,2531,0.0004103797707256377,176968
point,2529,0.00041005548801467315,176968
without,2528,0.00040989334665919087,176968
having,2514,0.00040762336768243904,176968
hard,2507,0.0004064883781940631,176968
favorite,2502,0.0004056776714166517,176968
john,2469,0.00040032700668573667,176968
give,2463,0.000399354158552843,176968
found,2461,0.0003990298758418785,176968
version,2449,0.00039708417957609116,176968
saw,2437,0.00039513848331030384,176968
might,2431,0.0003941656351774102,176968
war,2416,0.0003917335148451761,176968
looking,2414,0.00039140923213421154,176968
making,2400,0.00038913925315745967,176968
sense,2378,0.00038557214333684965,176968
aliens,2372,0.000384599295203956,176968
stuff,2351,0.0003811943267388282,176968
fuck,2350,0.00038103218538334594,176968
