types,counts,probs,total_unique
does,572,0.0008138502515537141,44610
disney,568,0.0008081589910533385,44610
these,561,0.0007981992851776811,44610
bit,558,0.0007939308398023995,44610
show,550,0.0007825483188016482,44610
real,546,0.0007768570583012726,44610
feel,542,0.0007711657978008969,44610
original,536,0.0007626289070503335,44610
going,509,0.0007242128986727981,44610
many,505,0.0007185216381724224,44610
acting,500,0.0007114075625469529,44610
go,500,0.0007114075625469529,44610
doesnt,498,0.0007085619322967651,44610
same,497,0.0007071391171716712,44610
character,495,0.0007042934869214833,44610
always,494,0.0007028706717963894,44610
through,493,0.0007014478566712955,44610
part,486,0.0006914881507956382,44610
before,483,0.0006872197054203565,44610
characters,480,0.0006829512600450748,44610
christmas,480,0.0006829512600450748,44610
such,478,0.000680105629794887,44610
kind,473,0.0006729915541694174,44610
right,470,0.0006687231087941357,44610
version,469,0.0006673002936690418,44610
la,461,0.0006559177726682906,44610
day,454,0.0006459580667926332,44610
makes,452,0.0006431124365424455,44610
around,452,0.0006431124365424455,44610
enough,448,0.0006374211760420698,44610
those,448,0.0006374211760420698,44610
end,446,0.000634575545791882,44610
plot,443,0.0006303071004166003,44610
new,441,0.0006274614701664125,44610
year,439,0.0006246158399162246,44610
old,436,0.0006203473945409429,44610
die,436,0.0006203473945409429,44610
am,435,0.000618924579415849,44610
last,434,0.0006175017642907552,44610
war,433,0.0006160789491656613,44610
feels,431,0.0006132333189154734,44610
isnt,431,0.0006132333189154734,44610
thought,428,0.0006089648735401917,44610
funny,428,0.0006089648735401917,44610
look,426,0.0006061192432900038,44610
wasnt,420,0.0005975823525394404,44610
things,414,0.000589045461788877,44610
again,414,0.000589045461788877,44610
probably,412,0.0005861998315386892,44610
kid,409,0.0005819313861634075,44610
want,409,0.0005819313861634075,44610
sure,408,0.0005805085710383136,44610
shit,399,0.0005677032349124684,44610
scene,395,0.0005620119744120927,44610
down,394,0.0005605891592869989,44610
channel,393,0.000559166344161905,44610
5,392,0.0005577435290368111,44610
series,392,0.0005577435290368111,44610
interesting,391,0.0005563207139117172,44610
remember,390,0.0005548978987866233,44610
minutes,388,0.0005520522685364354,44610
und,388,0.0005520522685364354,44610
star,388,0.0005520522685364354,44610
long,386,0.0005492066382862476,44610
nothing,385,0.0005477838231611538,44610
take,385,0.0005477838231611538,44610
should,384,0.0005463610080360599,44610
kids,382,0.000543515377785872,44610
quite,381,0.0005420925626607781,44610
fucking,380,0.0005406697475356842,44610
everything,379,0.0005392469324105903,44610
whole,377,0.0005364013021604025,44610
girl,376,0.0005349784870353085,44610
world,375,0.0005335556719102147,44610
der,372,0.000529287226534933,44610
times,370,0.0005264415962847451,44610
few,368,0.0005235959660345573,44610
family,366,0.0005207503357843695,44610
least,361,0.0005136362601589,44610
big,360,0.0005122134450338061,44610
work,346,0.0004922940332824915,44610
definitely,344,0.0004894484030323036,44610
another,342,0.0004866027727821158,44610
anything,341,0.0004851799576570219,44610
gets,338,0.0004809115122817402,44610
everyone,338,0.0004809115122817402,44610
scenes,338,0.0004809115122817402,44610
both,338,0.0004809115122817402,44610
3,332,0.00047237462153117675,44610
2,332,0.00047237462153117675,44610
having,331,0.0004709518064060828,44610
e,331,0.0004709518064060828,44610
boring,328,0.0004666833610308011,44610
us,328,0.0004666833610308011,44610
found,321,0.00045672365515514376,44610
since,319,0.0004538780249049559,44610
find,319,0.0004538780249049559,44610
give,319,0.0004538780249049559,44610
weird,318,0.00045245520977986204,44610
guy,316,0.0004496095795296742,44610
almost,315,0.0004481867644045803,44610
favorite,315,0.0004481867644045803,44610
youre,315,0.0004481867644045803,44610
fuck,315,0.0004481867644045803,44610
between,314,0.00044676394927948643,44610
hard,314,0.00044676394927948643,44610
school,313,0.00044534113415439254,44610
put,311,0.0004424955039042047,44610
o,310,0.0004410726887791108,44610
need,309,0.0004396498736540169,44610
half,309,0.0004396498736540169,44610
fact,307,0.0004368042434038291,44610
loved,305,0.00043395861315364127,44610
oh,304,0.0004325357980285474,44610
maybe,302,0.00042969016777835955,44610
play,301,0.00042826735265326566,44610
felt,297,0.00042257609215289,44610
es,296,0.0004211532770277961,44610
effects,295,0.0004197304619027022,44610
stars,295,0.0004197304619027022,44610
high,294,0.0004183076467776083,44610
far,290,0.0004126163862772327,44610
classic,290,0.0004126163862772327,44610
yet,289,0.0004111935711521388,44610
especially,288,0.00040977075602704484,44610
perfect,287,0.00040834794090195096,44610
id,285,0.0004055023106517632,44610
special,285,0.0004055023106517632,44610
come,285,0.0004055023106517632,44610
mean,284,0.00040407949552666924,44610
let,284,0.00040407949552666924,44610
terrible,284,0.00040407949552666924,44610
actors,283,0.00040265668040157535,44610
y,282,0.00040123386527648146,44610
second,281,0.0003998110501513875,44610
looks,280,0.00039838823502629363,44610
making,280,0.00039838823502629363,44610
believe,279,0.00039696541990119974,44610
production,279,0.00039696541990119974,44610
during,278,0.0003955426047761058,44610
said,275,0.0003912741594008241,44610
three,275,0.0003912741594008241,44610
point,274,0.0003898513442757302,44610
worst,274,0.0003898513442757302,44610
