types,counts,probs,total_unique
got,9642,0.0007988686919034716,288062
thing,9536,0.0007900862731789572,288062
through,9519,0.0007886777720627615,288062
cast,9506,0.0007876006829739059,288062
doesnt,9487,0.0007860264758440402,288062
always,9483,0.0007856950638167,288062
bit,9298,0.0007703672575522173,288062
before,9288,0.0007695387274838668,288062
say,9233,0.0007649818121079396,288062
many,9229,0.0007646504000805994,288062
actually,9043,0.0007492397408092816,288062
years,9028,0.0007479969457067561,288062
go,8978,0.000743854295365004,288062
scene,8948,0.0007413687051599527,288062
watched,8727,0.0007230581906494085,288062
makes,8694,0.0007203240414238521,288062
new,8536,0.0007072332663439155,288062
work,8508,0.0007049133821525344,288062
those,8409,0.0006967109344758653,288062
end,8375,0.0006938939322434738,288062
interesting,8309,0.000688425633792361,288062
quite,8268,0.0006850286605121243,288062
feel,8227,0.0006816316872318876,288062
these,8165,0.0006764948008081151,288062
kind,8158,0.0006759148297602698,288062
cant,8154,0.0006755834177329296,288062
enough,8135,0.0006740092106030638,288062
around,8111,0.0006720207384390229,288062
last,7930,0.0006570243442018803,288062
such,7878,0.0006527159878464582,288062
things,7864,0.0006515560457507675,288062
right,7849,0.0006503132506482419,288062
down,7806,0.0006467505713543351,288062
part,7650,0.0006338255022880686,288062
same,7566,0.0006268658497139251,288062
life,7508,0.0006220603753174927,288062
world,7446,0.0006169234888937201,288062
another,7406,0.0006136093686203185,288062
real,7283,0.0006034184487796083,288062
isnt,7278,0.0006030041837454331,288062
scenes,7155,0.000592813263904723,288062
feels,7113,0.0005893334376176513,288062
take,7112,0.0005892505846108162,288062
minutes,7049,0.0005840308451802086,288062
thought,6975,0.0005778997226744155,288062
few,6923,0.0005735913663189934,288062
long,6913,0.0005727628362506429,288062
gets,6863,0.0005686201859088909,288062
nothing,6861,0.0005684544798952208,288062
look,6797,0.0005631518874577781,288062
performance,6775,0.0005613291213074072,288062
both,6767,0.0005606662972527269,288062
sure,6732,0.0005577664420135004,288062
la,6705,0.0005555294108289543,288062
everything,6556,0.0005431843128105331,288062
big,6535,0.0005414443996669972,288062
day,6533,0.0005412786936533271,288062
original,6505,0.0005389588094619459,288062
almost,6464,0.0005355618361817092,288062
times,6401,0.0005303420967511016,288062
acting,6355,0.0005265308584366897,288062
set,6304,0.0005223053550881026,288062
between,6279,0.0005202340299172265,288062
whole,6220,0.0005153457025139591,288062
shit,6188,0.0005126944062952378,288062
ending,6164,0.0005107059341311967,288062
should,6151,0.0005096288450423411,288062
performances,6119,0.0005069775488236198,288062
want,6111,0.0005063147247689395,288062
genre,6067,0.0005026691924681977,288062
probably,6049,0.0005011778383451669,288062
again,6005,0.0004975323060444251,288062
hard,5945,0.0004925611256343226,288062
own,5934,0.0004916497425591372,288062
old,5797,0.00048029888062273645,288062
cool,5782,0.0004790560855202108,288062
yet,5777,0.00047864182048603564,288062
wasnt,5737,0.00047532770021263397,288062
guy,5731,0.0004748305821716237,288062
us,5723,0.00047416775811694336,288062
ist,5706,0.0004727592570007477,288062
fucking,5676,0.0004702736667956964,288062
found,5568,0.0004613255420575119,288062
solid,5567,0.00046124268905067687,288062
find,5552,0.00045999989394815123,288062
anything,5495,0.0004552772725585539,288062
killer,5445,0.0004511346222168018,288062
youre,5435,0.0004503060921484514,288062
half,5435,0.0004503060921484514,288062
war,5431,0.0004499746801211112,288062
das,5409,0.0004481519139707403,288062
definitely,5399,0.00044732338390238987,288062
entertaining,5335,0.00044202079146494724,288062
least,5314,0.00044028087832141135,288062
es,5310,0.0004399494662940712,288062
far,5301,0.0004392037892325558,288062
point,5196,0.00043050422351487643,288062
since,5193,0.0004302556644943713,288062
am,5165,0.00042793578030299014,288062
o,5152,0.0004268586912141346,288062
takes,5118,0.0004240416889817432,288062
maybe,5087,0.0004214732457698569,288062
our,5073,0.0004203133036741663,288062
year,5071,0.00042014759766049624,288062
having,5067,0.00041981618563315603,288062
come,4963,0.0004111994729223117,288062
shot,4963,0.0004111994729223117,288062
e,4937,0.00040904529474460066,288062
crime,4929,0.0004083824706899203,288062
id,4928,0.0004082996176830853,288062
star,4918,0.0004074710876147348,288062
felt,4913,0.00040705682258055964,288062
without,4857,0.0004024170541977973,288062
especially,4839,0.00040092570007476655,288062
saw,4826,0.000399848610985911,288062
dark,4816,0.0003990200809175606,288062
directed,4773,0.0003954574016236538,288062
might,4771,0.0003952916956099837,288062
ein,4752,0.0003937174884801179,288062
give,4743,0.00039297181141860254,288062
second,4734,0.00039222613435708716,288062
cinema,4717,0.0003908176332408915,288062
fuck,4713,0.00039048622121355133,288062
goes,4668,0.00038675783590597443,288062
seems,4660,0.00038609501185129407,288062
moments,4652,0.00038543218779661377,288062
trying,4638,0.00038427224570092316,288062
once,4593,0.0003805438603933463,288062
full,4592,0.0003804610073865113,288062
different,4589,0.00038021244836600616,288062
absolutely,4577,0.00037921821228398565,288062
