types,counts,probs,total_unique
us,1727,0.0007339379361342252,112272
watching,1701,0.0007228884941310464,112272
end,1701,0.0007228884941310464,112272
watched,1699,0.0007220385370538787,112272
men,1691,0.0007186387087452083,112272
now,1680,0.0007139639448207866,112272
say,1680,0.0007139639448207866,112272
don't,1676,0.0007122640306664514,112272
history,1666,0.0007080142452806133,112272
drama,1661,0.0007058893525876943,112272
bit,1661,0.0007058893525876943,112272
feel,1661,0.0007058893525876943,112272
something,1655,0.0007033394813561915,112272
interesting,1653,0.0007024895242790239,112272
such,1639,0.0006965398247388507,112272
back,1636,0.0006952648891230993,112272
going,1634,0.0006944149320459317,112272
those,1626,0.0006910151037372613,112272
quite,1615,0.0006863403398128395,112272
work,1591,0.0006761408548868282,112272
wwii,1571,0.0006676412841151522,112272
director,1566,0.0006655163914222332,112272
why,1560,0.0006629665201907304,112272
always,1547,0.0006574417991891409,112272
between,1546,0.0006570168206505571,112272
your,1543,0.0006557418850348057,112272
propaganda,1532,0.000651067121110384,112272
set,1531,0.0006506421425718002,112272
both,1527,0.000648942228417465,112272
bad,1513,0.0006429925288772917,112272
i've,1474,0.0006264183658725235,112272
makes,1461,0.0006208936448709341,112272
british,1461,0.0006208936448709341,112272
part,1452,0.0006170688380236798,112272
german,1447,0.0006149439453307608,112272
thing,1418,0.0006026195677118305,112272
last,1410,0.0005992197394031601,112272
scene,1403,0.0005962448896330735,112272
en,1402,0.0005958199110944897,112272
e,1398,0.0005941199969401545,112272
nazi,1396,0.000593270039862987,112272
same,1380,0.0005864703832456461,112272
epic,1376,0.0005847704690913109,112272
john,1366,0.0005805206837054728,112272
o,1354,0.0005754209412424672,112272
another,1334,0.0005669213704707913,112272
go,1332,0.0005660714133936236,112272
ve,1328,0.0005643714992392884,112272
right,1318,0.0005601217138534504,112272
actually,1313,0.0005579968211605314,112272
got,1292,0.0005490722718502715,112272
feels,1280,0.0005439725293872659,112272
day,1279,0.0005435475508486821,112272
times,1277,0.0005426975937715146,112272
performances,1273,0.0005409976796171794,112272
look,1267,0.0005384478083856765,112272
half,1267,0.0005384478083856765,112272
down,1260,0.00053547295861559,112272
vietnam,1248,0.0005303732161525843,112272
few,1242,0.0005278233449210815,112272
around,1237,0.0005256984522281625,112272
almost,1223,0.0005197487526879893,112272
un,1214,0.000515923945840735,112272
performance,1207,0.0005129490960706485,112272
big,1204,0.000511674160454897,112272
there's,1191,0.0005061494394533076,112272
y,1186,0.0005040245467603886,112272
historical,1183,0.0005027496111446372,112272
based,1180,0.0005014746755288858,112272
our,1174,0.000498924804297383,112272
enough,1167,0.0004959499545272964,112272
shot,1166,0.0004955249759887126,112272
kind,1162,0.0004938250618343774,112272
m,1160,0.0004929751047572097,112272
take,1154,0.000490425233525707,112272
that's,1152,0.0004895752764485393,112272
yet,1141,0.0004849005125241175,112272
true,1131,0.0004806507271382795,112272
military,1130,0.0004802257485996957,112272
should,1129,0.0004798007700611119,112272
cinema,1123,0.00047725089882960913,112272
2,1122,0.0004768259202910253,112272
second,1118,0.0004751260061366901,112272
she,1116,0.0004742760490595225,112272
old,1113,0.0004730011134437711,112272
es,1110,0.0004717261778280197,112272
thought,1105,0.0004696012851351007,112272
didn't,1105,0.0004696012851351007,112272
probably,1101,0.0004679013709807655,112272
things,1091,0.00046365158559492746,112272
nothing,1079,0.00045855184313192183,112272
doesn't,1070,0.00045472703628466764,112272
fun,1068,0.00045387707920750003,112272
far,1066,0.00045302712213033243,112272
own,1055,0.0004483523582059106,112272
plot,1052,0.0004470774225901592,112272
beautiful,1045,0.0004441025728200726,112272
year,1042,0.0004428276372043212,112272
especially,1042,0.0004428276372043212,112272
moments,1041,0.0004424026586657374,112272
sure,1040,0.00044197768012715357,112272
hard,1036,0.00044027776597281836,112272
don,1017,0.00043220317373972615,112272
picture,1011,0.00042965330250822333,112272
minutes,1011,0.00042965330250822333,112272
felt,1011,0.00042965330250822333,112272
acting,1003,0.0004262534741995529,112272
point,998,0.00042412858150663393,112272
full,998,0.00042412858150663393,112272
again,993,0.0004220036888137149,112272
young,991,0.0004211537317365473,112272
new,977,0.00041520403219637406,112272
against,969,0.0004118042038877037,112272
comedy,966,0.00041052926827195226,112272
find,965,0.0004101042897333685,112272
place,963,0.0004092543326562009,112272
directed,957,0.00040670446142469807,112272
whole,954,0.00040542952580894663,112272
nazis,951,0.00040415459019319525,112272
come,944,0.0004011797404231086,112272
making,937,0.000398204890653022,112272
solid,936,0.00039777991211443825,112272
ii,935,0.0003973549335758544,112272
el,933,0.0003965049764986868,112272
cinematography,930,0.00039523004088293543,112272
want,929,0.0003948050623443516,112272
without,926,0.0003935301267286002,112272
am,925,0.0003931051481900164,112272
everything,923,0.0003922551911128488,112272
anything,919,0.0003905552769585136,112272
since,915,0.00038885536280417837,112272
gets,907,0.00038545553449550795,112272
um,906,0.0003850305559569242,112272
rather,900,0.00038248068472542137,112272
takes,895,0.0003803557920325024,112272
5,889,0.00037780592080099957,112272
army,885,0.00037610600664666436,112272
anti,883,0.00037525604956949675,112272
final,881,0.00037440609249232915,112272
together,880,0.0003739811139537453,112272
different,875,0.00037185622126082634,112272
may,870,0.0003697313285679073,112272
actors,869,0.0003693063500293235,112272
fact,869,0.0003693063500293235,112272
screen,866,0.0003680314144135721,112272
se,865,0.0003676064358749883,112272
might,862,0.00036633150025923693,112272
ist,856,0.0003637816290277341,112272
hollywood,851,0.0003616567363348151,112272
das,848,0.0003603818007190637,112272
each,848,0.0003603818007190637,112272
top,841,0.00035740695094897706,112272
give,835,0.00035485707971747425,112272
star,833,0.00035400712264030664,112272
once,828,0.00035188222994738766,112272
three,828,0.00035188222994738766,112272
isn't,824,0.00035018231579305245,112272
definitely,818,0.00034763244456154964,112272
production,814,0.00034593253040721443,112272
found,812,0.0003450825733300468,112272
3,811,0.00034465759479146305,112272
least,807,0.00034295768063712784,112272
however,804,0.0003416827450213764,112272
den,802,0.0003408327879442088,112272
seems,798,0.0003391328737898736,112272
can't,798,0.0003391328737898736,112272
done,797,0.0003387078952512898,112272
role,794,0.0003374329596355384,112272
hour,783,0.0003327581957111166,112272
less,783,0.0003327581957111166,112272
robert,781,0.000331908238633949,112272
put,777,0.00033020832447961377,112272
maybe,776,0.00032978334594103,112272
early,775,0.00032935836740244617,112272
von,775,0.00032935836740244617,112272
trying,772,0.0003280834317866948,112272
piece,767,0.00032595853909377575,112272
absolutely,763,0.00032425862493944054,112272
said,761,0.00032340866786227294,112272
having,761,0.00032340866786227294,112272
home,758,0.00032213373224652156,112272
score,755,0.0003208587966307701,112272
re,753,0.0003200088395536025,112272
away,750,0.00031873390393785114,112272
michael,749,0.00031830892539926736,112272
10,747,0.00031745896832209976,112272
stars,747,0.00031745896832209976,112272
japanese,746,0.00031703398978351593,112272
una,746,0.00031703398978351593,112272
truly,745,0.00031660901124493215,112272
human,745,0.00031660901124493215,112272
despite,744,0.0003161840327063483,112272
ending,743,0.00031575905416776455,112272
death,740,0.0003144841185520131,112272
sense,735,0.00031235922585909413,112272
group,732,0.0003110842902433427,112272
often,731,0.0003106593117047589,112272
le,731,0.0003106593117047589,112272
