types,counts,probs,total_unique
got,1093,0.0007553057986477746,72780
between,1089,0.0007525416420196034,72780
bit,1088,0.0007518506028625606,72780
any,1082,0.0007477043679203038,72780
before,1075,0.0007428670938210043,72780
now,1073,0.0007414850155069187,72780
does,1042,0.000720062801638592,72780
quite,1035,0.0007152255275392925,72780
shot,1034,0.0007145344883822496,72780
doesnt,1026,0.0007090061751259074,72780
both,1025,0.0007083151359688646,72780
long,1023,0.0007069330576547789,72780
didnt,1016,0.0007020957835554794,72780
comedy,1016,0.0007020957835554794,72780
going,1010,0.0006979495486132226,72780
watched,1002,0.0006924212353568803,72780
la,998,0.0006896570787287091,72780
down,997,0.0006889660395716663,72780
wild,995,0.0006875839612575807,72780
say,995,0.0006875839612575807,72780
life,992,0.0006855108437864523,72780
work,988,0.0006827466871582811,72780
men,988,0.0006827466871582811,72780
those,981,0.0006779094130589815,72780
will,978,0.0006758362955878532,72780
watching,973,0.0006723810998026392,72780
she,972,0.0006716900606455965,72780
o,953,0.0006585603166617834,72780
makes,945,0.000653032003405441,72780
another,937,0.0006475036901490986,72780
plot,918,0.0006343739461652855,72780
end,909,0.0006281545937519003,72780
few,903,0.0006240083588096436,72780
enough,901,0.000622626280495558,72780
set,900,0.0006219352413385153,72780
thing,899,0.0006212442021814724,72780
last,899,0.0006212442021814724,72780
e,898,0.0006205531630244296,72780
why,896,0.0006191710847103441,72780
go,893,0.0006170979672392156,72780
these,889,0.0006143338106110444,72780
interesting,884,0.0006108786148258305,72780
new,883,0.0006101875756687877,72780
part,878,0.0006067323798835737,72780
kind,871,0.0006018951057842742,72780
big,871,0.0006018951057842742,72780
same,856,0.0005915295184286322,72780
almost,856,0.0005915295184286322,72780
around,855,0.0005908384792715894,72780
such,851,0.0005880743226434182,72780
cant,842,0.0005818549702300331,72780
feel,826,0.0005707983437173484,72780
war,821,0.0005673431479321344,72780
scene,813,0.000561814834675792,72780
own,810,0.0005597417172046637,72780
actually,809,0.0005590506780476209,72780
take,803,0.0005549044431053641,72780
feels,803,0.0005549044431053641,72780
classic,799,0.000552140286477193,72780
spaghetti,793,0.0005479940515349361,72780
directed,774,0.000534864307551123,72780
isnt,772,0.0005334822292370375,72780
right,764,0.0005279539159806951,72780
scenes,761,0.0005258807985095668,72780
real,747,0.0005162062503109677,72780
minutes,744,0.0005141331328398392,72780
performance,741,0.0005120600153687108,72780
sure,739,0.0005106779370546253,72780
revenge,735,0.0005079137804264541,72780
probably,734,0.0005072227412694113,72780
times,732,0.0005058406629553257,72780
cowboy,731,0.0005051496237982829,72780
things,731,0.0005051496237982829,72780
y,722,0.0004989302713848977,72780
everything,722,0.0004989302713848977,72780
beautiful,719,0.0004968571539137694,72780
gets,717,0.0004954750755996837,72780
far,710,0.0004906378015003842,72780
hollywood,705,0.00048718260571517025,72780
performances,704,0.0004864915665581274,72780
el,692,0.0004781990966736139,72780
plays,689,0.0004761259792024855,72780
find,681,0.0004705976659461432,72780
look,681,0.0004705976659461432,72780
favorite,680,0.00046990662678910035,72780
three,677,0.000467833509317972,72780
yet,676,0.0004671424701609292,72780
together,675,0.0004664514310038864,72780
funny,674,0.0004657603918468436,72780
again,665,0.00045954103943345845,72780
nothing,651,0.0004498664912348593,72780
hard,641,0.0004429560996644314,72780
un,639,0.0004415740213503458,72780
entertaining,633,0.00043742778640808904,72780
cinema,632,0.0004367367472510462,72780
en,631,0.00043604570809400344,72780
ist,631,0.00043604570809400344,72780
should,628,0.00043397259062287507,72780
day,627,0.00043328155146583224,72780
score,622,0.0004298263556806183,72780
seems,622,0.0004298263556806183,72780
whole,620,0.0004284442773665327,72780
final,616,0.00042568012073836153,72780
stars,615,0.0004249890815813187,72780
es,613,0.0004236070032672331,72780
actors,613,0.0004236070032672331,72780
come,612,0.00042291596411019034,72780
least,611,0.00042222492495314756,72780
us,608,0.00042015180748201914,72780
um,608,0.00042015180748201914,72780
thought,607,0.00041946076832497637,72780
takes,606,0.0004187697291679336,72780
star,604,0.000417387650853848,72780
especially,603,0.00041669661169680517,72780
once,602,0.0004160055725397624,72780
maybe,600,0.0004146234942256768,72780
world,598,0.0004132414159115912,72780
violence,594,0.00041047725928342006,72780
want,587,0.0004056399851841205,72780
wasnt,584,0.00040356686771299207,72780
den,584,0.00040356686771299207,72780
white,581,0.0004014937502418637,72780
solid,576,0.00039803855445664973,72780
point,572,0.00039527439782847853,72780
might,572,0.00039527439782847853,72780
half,571,0.00039458335867143576,72780
ein,570,0.000393892319514393,72780
moments,568,0.0003925102412003074,72780
having,566,0.0003911281628862218,72780
each,565,0.00039043712372917896,72780
against,565,0.00039043712372917896,72780
year,564,0.0003897460845721362,72780
das,563,0.0003890550454150934,72780
guy,563,0.0003890550454150934,72780
epic,560,0.000386981927943965,72780
second,557,0.0003849088104728366,72780
during,552,0.00038145361468762266,72780
