types,counts,probs,total_unique
the,50131,0.04440902974450922,61922
a,31380,0.027798275585619665,61922
and,27065,0.023975791227686304,61922
of,25021,0.02216509411815773,61922
i,21911,0.019410070629589306,61922
to,20046,0.017757942396090878,61922
it,18834,0.01668428050922756,61922
is,15783,0.013981522739574096,61922
this,15655,0.013868132705317905,61922
in,14493,0.012838763800585908,61922
s,14330,0.012694368678837787,61922
that,12233,0.01083672100825001,61922
but,8602,0.007620164645873178,61922
was,7880,0.006980573983896844,61922
with,7865,0.006967286089257446,61922
for,7738,0.00685478191464388,61922
movie,7258,0.006429569286183158,61922
as,7081,0.006272772129438268,61922
film,7012,0.006211647814097039,61922
t,6419,0.005686333046019522,61922
on,5870,0.005199996102217572,61922
you,5715,0.005062687857610464,61922
so,4864,0.00430882130173531,61922
one,4613,0.004086470531436058,61922
like,4578,0.004055465443944131,61922
an,4403,0.0039004400064844924,61922
my,4390,0.003888923831130348,61922
not,4311,0.0038189409193628543,61922
be,4057,0.0035939325701357227,61922
all,3901,0.003455738465885988,61922
are,3733,0.0033069140459247356,61922
me,3628,0.0032138987834489526,61922
have,3608,0.0031961815905964227,61922
from,3487,0.003088992573838616,61922
just,3456,0.0030615309249171943,61922
his,3373,0.0029880045745791944,61922
at,3357,0.0029738308202971707,61922
by,3354,0.002971173241369291,61922
they,3057,0.0027080729275092198,61922
he,3033,0.0026868122960861836,61922
what,2856,0.0025300151393412925,61922
about,2819,0.002497238332564112,61922
can,2818,0.0024963524729214853,61922
there,2802,0.002482178718639461,61922
more,2771,0.00245471706971804,61922
time,2704,0.002395364473662064,61922
some,2688,0.00238119071938004,61922
good,2628,0.0023280391408224497,61922
has,2576,0.0022819744394058715,61922
out,2500,0.0022146491065662575,61922
really,2470,0.0021880733172874624,61922
up,2424,0.002147323773726643,61922
when,2340,0.002072911563746017,61922
if,2298,0.0020357054587557036,61922
its,2188,0.0019382608980667885,61922
who,2145,0.001900168933433849,61922
action,2088,0.0018496749338041381,61922
much,2083,0.0018452456355910057,61922
we,2079,0.0018417021970204997,61922
m,1970,0.001745143495974211,61922
first,1954,0.0017309697416921868,61922
than,1953,0.0017300838820495602,61922
how,1941,0.0017194535663380423,61922
or,1927,0.0017070515313412711,61922
no,1919,0.0016999646542002593,61922
great,1888,0.0016725030052788376,61922
fun,1888,0.0016725030052788376,61922
story,1855,0.001643269637072163,61922
very,1809,0.001602520093511344,61922
ve,1806,0.0015998625145834645,61922
even,1797,0.0015918897777998258,61922
most,1754,0.0015537978131668862,61922
into,1750,0.0015502543745963802,61922
had,1740,0.0015413957781701152,61922
would,1707,0.0015121624099634406,61922
also,1699,0.0015050755328224286,61922
movies,1698,0.001504189673179802,61922
love,1661,0.0014714128664026214,61922
films,1640,0.0014528098139074649,61922
don,1627,0.0014412936385533204,61922
only,1591,0.0014094026914187661,61922
still,1578,0.0013978865160646217,61922
do,1537,0.001361566270716935,61922
well,1494,0.0013234743060839954,61922
get,1492,0.0013217025867987425,61922
which,1472,0.0013039853939462124,61922
made,1442,0.0012774096046674172,61922
watch,1405,0.0012446327978902366,61922
man,1404,0.0012437469382476102,61922
way,1388,0.0012295731839655861,61922
being,1370,0.001213627710398309,61922
die,1370,0.001213627710398309,61922
their,1366,0.001210084271827803,61922
been,1361,0.0012056549736146705,61922
never,1352,0.001197682236831032,61922
best,1352,0.001197682236831032,61922
because,1330,0.001178193324693249,61922
ever,1328,0.0011764216054079958,61922
here,1319,0.0011684488686243574,61922
were,1286,0.0011392155004176828,61922
too,1275,0.0011294710443487913,61922
think,1274,0.0011285851847061647,61922
bad,1250,0.0011073245532831288,61922
pretty,1247,0.0011046669743552493,61922
know,1233,0.001092264939358478,61922
und,1232,0.0010913790797158517,61922
see,1227,0.0010869497815027191,61922
de,1210,0.0010718901675780686,61922
seen,1195,0.001058602272938671,61922
make,1170,0.0010364557818730085,61922
after,1166,0.0010329123433025025,61922
where,1150,0.0010187385890204784,61922
people,1136,0.0010063365540237074,61922
little,1111,0.0009841900629580448,61922
re,1076,0.0009531849754661172,61922
them,1075,0.0009522991158234906,61922
could,1071,0.0009487556772529847,61922
better,1065,0.0009434405193972257,61922
world,1063,0.0009416688001119727,61922
der,1060,0.0009390112211840932,61922
will,1060,0.0009390112211840932,61922
while,1053,0.0009328102036857076,61922
now,1053,0.0009328102036857076,61922
characters,1043,0.0009239516072594426,61922
then,1042,0.000923065747616816,61922
her,1037,0.0009186364494036836,61922
over,1033,0.0009150930108331775,61922
off,1027,0.0009097778529774186,61922
other,1019,0.0009026909758364065,61922
lot,1013,0.0008973758179806475,61922
every,1008,0.000892946519767515,61922
watching,1005,0.0008902889408396355,61922
your,988,0.0008752293269149849,61922
watched,980,0.0008681424497739729,61922
two,975,0.0008637131515608404,61922
why,971,0.0008601697129903343,61922
did,965,0.0008548545551345754,61922
say,951,0.0008424525201378043,61922
many,950,0.0008415666604951778,61922
something,945,0.0008371373622820454,61922
got,944,0.0008362515026394188,61922
him,937,0.0008300504851410333,61922
back,932,0.0008256211869279008,61922
didn,928,0.0008220777483573948,61922
cast,924,0.0008185343097868887,61922
going,912,0.0008079039940753707,61922
d,908,0.0008043605555048647,61922
years,906,0.0008025888362196117,61922
character,899,0.0007963878187212262,61922
these,896,0.0007937302397933466,61922
always,861,0.0007627251523014191,61922
big,860,0.0007618392926587925,61922
any,860,0.0007618392926587925,61922
she,847,0.000750323117304648,61922
review,843,0.000746779678734142,61922
thing,839,0.000743236240163636,61922
actually,832,0.0007370352226652504,61922
plot,825,0.0007308342051668649,61922
though,823,0.0007290624858816119,61922
through,823,0.0007290624858816119,61922
may,822,0.0007281766262389854,61922
adventure,816,0.0007228614683832264,61922
does,807,0.0007148887315995879,61922
feel,807,0.0007148887315995879,61922
long,784,0.0006945139598191784,61922
star,767,0.0006794543458945278,61922
life,766,0.0006785684862519013,61922
