types,counts,probs,total_unique
the,2413,0.04371614399333297,7633
and,1434,0.0259796728083048,7633
a,1404,0.02543616500896788,7633
i,1353,0.024512201750095115,7633
of,1130,0.020472127108357337,7633
it,1024,0.018551732884033553,7633
to,941,0.01704802797253474,7633
this,935,0.016939326412667356,7633
is,809,0.014656593655452289,7633
s,667,0.012083990071924199,7633
in,657,0.011902820805478559,7633
that,630,0.01141366378607533,7633
but,437,0.007917096943674476,7633
was,422,0.007645343044006015,7633
for,408,0.007391706070982118,7633
movie,361,0.00654021051868761,7633
with,350,0.006340924325597405,7633
t,345,0.006250339692374585,7633
film,343,0.0062141058390854575,7633
one,317,0.005743065746326793,7633
as,316,0.005724948819682229,7633
so,304,0.005507545699947461,7633
you,296,0.005362610286790949,7633
my,276,0.005000271753899668,7633
on,276,0.005000271753899668,7633
like,260,0.004710400927586644,7633
not,246,0.004456763954562748,7633
me,226,0.004094425421671467,7633
be,225,0.004076308495026904,7633
all,221,0.004003840788448647,7633
just,217,0.003931373081870392,7633
disney,214,0.0038770223019366995,7633
an,213,0.0038589053752921356,7633
have,181,0.003279163722666087,7633
are,181,0.003279163722666087,7633
they,179,0.0032429298693769587,7633
can,165,0.0029892928963530627,7633
animation,160,0.0028987082631302427,7633
really,157,0.0028443574831965505,7633
at,151,0.0027356559233291666,7633
what,148,0.0026813051433954745,7633
story,147,0.0026631882167509105,7633
time,146,0.002645071290106346,7633
some,145,0.0026269543634617823,7633
from,143,0.0025907205101726545,7633
there,142,0.00257260358352809,7633
has,142,0.00257260358352809,7633
if,141,0.002554486656883526,7633
out,141,0.002554486656883526,7633
we,141,0.002554486656883526,7633
about,140,0.0025363697302389623,7633
when,130,0.002355200463793322,7633
more,124,0.002246498903925938,7633
good,124,0.002246498903925938,7633
m,119,0.002155914270703118,7633
animated,117,0.0021196804174139897,7633
he,116,0.002101563490769426,7633
or,115,0.002083446564124862,7633
how,115,0.002083446564124862,7633
by,110,0.001992861930902042,7633
much,106,0.0019203942243237856,7633
no,105,0.0019022772976792217,7633
up,104,0.0018841603710346576,7633
into,103,0.0018660434443900937,7633
even,103,0.0018660434443900937,7633
most,103,0.0018660434443900937,7633
also,99,0.0017935757378118376,7633
