types,counts,probs,total_unique
the,58868,0.03986264627352514,77111
a,42323,0.028659148913406342,77111
and,36178,0.0244980433662362,77111
i,30956,0.02096195009246525,77111
of,30944,0.020953824255758,77111
to,25942,0.017566704654953275,77111
it,25131,0.017017533524155064,77111
this,21090,0.01428115801298915,77111
is,20489,0.01387418902456779,77111
s,19735,0.013363615618129012,77111
in,19144,0.012963418160297027,77111
that,16114,0.010911644391716793,77111
but,11414,0.00772902501471115,77111
was,10353,0.0070105656191786,77111
with,9934,0.006726838487483841,77111
for,9890,0.006697043752890597,77111
movie,9406,0.006369301672364909,77111
as,9251,0.006264342948229617,77111
film,8813,0.0059677499084150485,77111
t,8634,0.005846539510865259,77111
on,8236,0.005577032593408185,77111
you,8134,0.005507962981396574,77111
so,6873,0.00465407297407655,77111
my,6324,0.004282315944719933,77111
like,6026,0.004080524333156596,77111
one,5883,0.003983691445728552,77111
not,5771,0.0039078503031275665,77111
me,5605,0.0037954428953439635,77111
be,5441,0.0036843897936782344,77111
an,5323,0.0036044857327236246,77111
all,5085,0.0034433233046965305,77111
his,5054,0.0034223315598694718,77111
at,4945,0.0033485218764452984,77111
just,4926,0.0033356559683254887,77111
are,4825,0.003267263509372814,77111
he,4646,0.0031460531118230246,77111
from,4553,0.0030830778773418494,77111
have,4531,0.003068180510045227,77111
about,4321,0.0029259783676683793,77111
by,4000,0.0027086122357494833,77111
what,3941,0.0026686602052721784,77111
they,3763,0.0025481269607813264,77111
can,3706,0.0025095292364218963,77111
there,3587,0.002428948022408349,77111
time,3534,0.0023930589102846684,77111
more,3495,0.002366649940986111,77111
up,3452,0.002337532359451804,77111
out,3389,0.0022948717167387495,77111
really,3350,0.002268462747440192,77111
some,3333,0.002256951145438257,77111
good,3329,0.0022542425332025074,77111
who,3210,0.0021736613191889603,77111
comedy,3105,0.002102560248000536,77111
has,3101,0.002099851635764787,77111
when,3089,0.0020917257990575385,77111
if,3069,0.002078182737878791,77111
love,3048,0.002063962523641106,77111
m,2886,0.0019542637280932523,77111
or,2773,0.0018777454324333293,77111
much,2662,0.001802581442891281,77111
how,2606,0.0017646608715907882,77111
no,2555,0.0017301260655849823,77111
very,2530,0.0017131972391115481,77111
ve,2520,0.0017064257085221744,77111
its,2505,0.001696268412638114,77111
fun,2415,0.0016353246373337505,77111
than,2390,0.0016183958108603163,77111
had,2379,0.0016109471272120052,77111
would,2373,0.001606884208858381,77111
watch,2351,0.0015919868415617587,77111
her,2309,0.0015635464130863892,77111
de,2307,0.0015621921069685143,77111
great,2289,0.0015500033519076418,77111
also,2258,0.0015290116070805833,77111
even,2248,0.0015222400764912096,77111
first,2188,0.0014816108929549673,77111
don,2173,0.0014714535970709068,77111
we,2168,0.00146806783177622,77111
do,2127,0.0014403045563597878,77111
into,2117,0.0014335330257704139,77111
funny,2110,0.0014287929543578524,77111
most,2092,0.0014166041992969797,77111
movies,2067,0.0013996753728235454,77111
get,2053,0.0013901952299984223,77111
films,2003,0.0013563375770515537,77111
their,1984,0.0013434716689317437,77111
because,1983,0.0013427945158728063,77111
way,1917,0.0012981024139829397,77111
being,1888,0.001278464975273756,77111
still,1880,0.001273047750802257,77111
only,1870,0.0012662762202128833,77111
well,1864,0.0012622133018592593,77111
too,1843,0.0012479930876215745,77111
which,1836,0.0012432530162090128,77111
think,1835,0.0012425758631500754,77111
made,1829,0.0012385129447964511,77111
man,1815,0.001229032801971328,77111
ever,1786,0.0012093953632621442,77111
know,1755,0.0011884036184350857,77111
she,1732,0.0011728290980795263,77111
best,1718,0.001163348955254403,77111
here,1689,0.0011437115165452193,77111
little,1670,0.0011308456084254091,77111
been,1648,0.0011159482411287871,77111
never,1618,0.0010956336493606659,77111
seen,1608,0.0010888621187712922,77111
people,1605,0.0010868306595944802,77111
make,1587,0.0010746419045336074,77111
see,1581,0.0010705789861799831,77111
were,1576,0.0010671932208852963,77111
could,1561,0.0010570359250012358,77111
where,1511,0.0010231782720543673,77111
story,1508,0.001021146812877555,77111
life,1508,0.001021146812877555,77111
your,1482,0.0010035408333451835,77111
re,1475,0.000998800761932622,77111
pretty,1448,0.000980517629341313,77111
every,1444,0.0009778090171055633,77111
him,1435,0.0009717146395751271,77111
lot,1431,0.0009690060273393776,77111
over,1413,0.000956817272278505,77111
bad,1398,0.0009466599763944443,77111
while,1387,0.0009392112927461332,77111
off,1380,0.0009344712213335717,77111
then,1379,0.0009337940682746344,77111
two,1370,0.000927699690744198,77111
watching,1369,0.0009270225376852606,77111
did,1366,0.0009249910785084484,77111
after,1361,0.0009216053132137616,77111
will,1343,0.000909416558152889,77111
them,1343,0.000909416558152889,77111
watched,1313,0.0008891019663847679,77111
other,1294,0.0008762360582649578,77111
character,1287,0.0008714959868523963,77111
always,1279,0.0008660787623808973,77111
why,1274,0.0008626929970862103,77111
something,1273,0.000862015844027273,77111
que,1257,0.0008511813950842751,77111
better,1252,0.0008477956297895882,77111
d,1246,0.000843732711435964,77111
say,1244,0.0008423784053180893,77111
now,1237,0.0008376383339055277,77111
characters,1205,0.0008159694360195318,77111
got,1197,0.0008105522115480329,77111
didn,1189,0.0008051349870765339,77111
many,1169,0.0007915919258977864,77111
years,1148,0.0007773717116601016,77111
cast,1133,0.0007672144157760411,77111
die,1131,0.0007658601096581664,77111
la,1128,0.0007638286504813543,77111
thing,1126,0.0007624743443634795,77111
actually,1113,0.0007536713545972937,77111
any,1110,0.0007516398954204816,77111
makes,1109,0.0007509627423615442,77111
though,1103,0.00074689982400792,77111
feel,1096,0.0007421597525953584,77111
going,1087,0.0007360653750649221,77111
back,1078,0.0007299709975344857,77111
may,1059,0.0007171050894146756,77111
und,1049,0.000710333558825302,77111
such,1047,0.0007089792527074272,77111
through,1039,0.0007035620282359283,77111
new,1039,0.0007035620282359283,77111
go,1015,0.0006873103548214314,77111
doesn,1011,0.0006846017425856818,77111
does,1005,0.0006805388242320577,77111
these,993,0.0006724129875248092,77111
bit,985,0.0006669957630533102,77111
scene,969,0.0006561613141103122,77111
review,965,0.0006534527018745628,77111
kind,965,0.0006534527018745628,77111
old,962,0.0006514212426977507,77111
