types,counts,probs,total_unique
the,58498,0.042162513577153914,70771
a,41587,0.029973887177905223,70771
and,33700,0.02428932113149316,70771
of,30659,0.022097516218707678,70771
i,24219,0.017455877403075158,70771
to,23843,0.01718487488837363,70771
it,22314,0.01608284604534535,70771
is,19741,0.014228352773199004,70771
s,19061,0.013738241842355819,70771
in,18721,0.013493186376934226,70771
this,17433,0.012564858613807722,70771
that,15130,0.010904968211260874,70771
but,10424,0.007513112269278478,70771
with,9835,0.007088589713004013,70771
as,9371,0.006754161077840427,70771
film,9111,0.006566765721929798,70771
for,9001,0.006487483071352223,70771
was,8731,0.006292880201752723,70771
t,7554,0.00544455584057268,70771
on,7388,0.005324911113337432,70771
you,7280,0.005247069965497632,70771
movie,7175,0.005171391071764493,70771
his,5794,0.004176033431331495,70771
one,5549,0.00399944934595417,70771
so,5494,0.003959808020665383,70771
an,5450,0.003928094960434354,70771
like,5314,0.0038300727742657165,70771
he,5256,0.0037882691948702683,70771
not,4988,0.0035951078280085425,70771
be,4765,0.003434380272746733,70771
from,4716,0.003399063455671268,70771
my,4559,0.0032859054907560035,70771
all,4376,0.0031540079902496756,70771
by,4346,0.0031323854491830646,70771
me,4336,0.003125177935494194,70771
at,4320,0.0031136459135920015,70771
are,4157,0.0029961634404634145,70771
just,4128,0.0029752616507656903,70771
have,3856,0.0027792172784284162,70771
what,3626,0.0026134444635843974,70771
more,3493,0.0025175845315224214,70771
about,3485,0.002511818520571325,70771
can,3295,0.002374875760482788,70771
out,3272,0.002358298478998386,70771
there,3257,0.002347487208465081,70771
up,3235,0.0023316306783495657,70771
who,3209,0.002312891142758503,70771
some,3103,0.002236491497656477,70771
good,3082,0.002221355718909849,70771
has,3063,0.0022076614429009955,70771
really,3034,0.0021867596532032713,70771
time,3018,0.0021752276313010788,70771
they,2999,0.002161533355292225,70771
when,2771,0.0019972020431859804,70771
its,2752,0.0019835077671771268,70771
or,2623,0.001890530840590699,70771
if,2509,0.0018083651845375768,70771
great,2490,0.0017946709085287231,70771
much,2439,0.001757912588715484,70771
very,2418,0.0017427768099688562,70771
how,2363,0.0017031354846800692,70771
no,2344,0.0016894412086712156,70771
into,2317,0.0016699809217112656,70771
than,2230,0.0016072755526180932,70771
action,2210,0.0015928605252403525,70771
m,2160,0.0015568229567960007,70771
even,2138,0.0015409664266804858,70771
ve,2120,0.0015279929020405193,70771
most,2055,0.0014811440630628618,70771
first,2046,0.0014746573007428784,70771
story,2041,0.0014710535438984432,70771
had,2012,0.0014501517542007192,70771
her,2009,0.001447989500094058,70771
would,2003,0.0014436649918807359,70771
well,1986,0.0014314122186096562,70771
films,1979,0.001426366959027447,70771
watch,1961,0.0014133934343874802,70771
also,1952,0.001406906672067497,70771
we,1950,0.0014054651693297228,70771
de,1937,0.0013960954015341913,70771
do,1924,0.00138672563373866,70771
which,1921,0.0013845633796319987,70771
get,1840,0.0013261825187521488,70771
love,1827,0.0013168127509566173,70771
only,1817,0.0013096052372677468,70771
don,1803,0.0012995147181033284,70771
way,1776,0.0012800544311433782,70771
man,1773,0.0012778921770367172,70771
movies,1742,0.001255548884601219,70771
because,1729,0.0012461791168056876,70771
here,1708,0.0012310433380590597,70771
him,1671,0.0012043755374102395,70771
been,1646,0.0011863567531880635,70771
made,1626,0.0011719417258103228,70771
their,1615,0.0011640134607525654,70771
still,1613,0.0011625719580147912,70771
being,1610,0.0011604097039081302,70771
fun,1608,0.001158968201170356,70771
best,1606,0.001157526698432582,70771
too,1572,0.0011330211518904227,70771
think,1494,0.0010768025451172339,70771
know,1491,0.0010746402910105726,70771
never,1490,0.0010739195396416857,70771
see,1479,0.0010659912745839282,70771
character,1477,0.0010645497718461542,70771
seen,1474,0.0010623875177394931,70771
und,1429,0.0010299537061395764,70771
she,1420,0.001023466943819593,70771
pretty,1416,0.0010205839383440449,70771
ever,1411,0.0010169801814996096,70771
bad,1397,0.0010068896623351912,70771
after,1394,0.0010047274082285302,70771
thriller,1390,0.001001844402752982,70771
while,1389,0.001001123651384095,70771
two,1385,0.0009982406459085468,70771
where,1376,0.0009917538835885634,70771
little,1366,0.0009845463698996931,70771
off,1365,0.000983825618530806,70771
make,1358,0.0009787803589485968,70771
die,1337,0.000963644580201969,70771
were,1336,0.0009629238288330819,70771
over,1301,0.0009376975309220356,70771
other,1286,0.00092688626038873,70771
could,1283,0.000924724006282069,70771
your,1282,0.0009240032549131819,70771
people,1281,0.0009232825035442949,70771
der,1279,0.0009218410008065208,70771
re,1278,0.0009211202494376337,70771
every,1269,0.0009146334871176505,70771
crime,1265,0.0009117504816421023,70771
lot,1253,0.0009031014652154579,70771
plot,1243,0.0008958939515265875,70771
cast,1202,0.0008663431454022189,70771
something,1191,0.0008584148803444614,70771
better,1182,0.0008519281180244782,70771
then,1169,0.0008425583502289466,70771
them,1143,0.0008238188146378837,70771
characters,1142,0.0008230980632689967,70771
noir,1127,0.0008122867927356911,70771
comedy,1127,0.0008122867927356911,70771
will,1107,0.0007978717653579503,70771
now,1097,0.00079066425166908,70771
always,1090,0.0007856189920868707,70771
life,1079,0.0007776907270291133,70771
