types,counts,probs,total_unique
the,6355,0.04508371169125993,16977
of,3567,0.025305051078320092,16977
and,3471,0.02462400681044268,16977
a,3456,0.024517593643586834,16977
to,2731,0.019374290578887628,16977
i,2612,0.018530079455164584,16977
it,2253,0.015983257661748015,16977
in,1849,0.013117196367763906,16977
this,1835,0.013017877412031783,16977
is,1723,0.0122233257661748,16977
s,1580,0.011208853575482406,16977
that,1520,0.010783200908059024,16977
was,985,0.006987797956867196,16977
for,980,0.006952326901248581,16977
but,973,0.0069026674233825195,16977
on,912,0.006469920544835414,16977
as,860,0.006101021566401816,16977
with,836,0.0059307604994324635,16977
t,698,0.004951759364358683,16977
film,672,0.004767309875141884,16977
you,671,0.004760215664018162,16977
documentary,666,0.004724744608399546,16977
about,613,0.0043487514188422245,16977
so,606,0.004299091940976164,16977
my,547,0.003880533484676504,16977
an,542,0.003845062429057889,16977
like,539,0.0038237797956867194,16977
me,535,0.0037954029511918274,16977
at,518,0.003674801362088536,16977
not,510,0.0036180476730987513,16977
are,509,0.003610953461975028,16977
be,502,0.003561293984108967,16977
from,468,0.003320090805902384,16977
one,465,0.0032988081725312144,16977
they,458,0.0032491486946651534,16977
all,456,0.003234960272417707,16977
how,440,0.0031214528944381384,16977
have,429,0.003043416572077185,16977
just,400,0.0028376844494892167,16977
what,382,0.002709988649262202,16977
de,376,0.002667423382519864,16977
we,367,0.0026035754824063565,16977
his,347,0.0024616912599318957,16977
really,346,0.0024545970488081725,16977
can,341,0.0024191259931895573,16977
by,339,0.002404937570942111,16977
people,332,0.00235527809307605,16977
some,331,0.002348183881952327,16977
there,330,0.002341089670828604,16977
he,330,0.002341089670828604,16977
up,321,0.0022772417707150965,16977
more,320,0.0022701475595913734,16977
time,319,0.0022630533484676502,16977
or,308,0.002185017026106697,16977
who,294,0.002085698070374574,16977
out,292,0.0020715096481271284,16977
their,283,0.002007661748013621,16977
movie,276,0.0019580022701475596,16977
no,274,0.0019438138479001136,16977
when,274,0.0019438138479001136,16977
watch,271,0.0019225312145289444,16977
very,268,0.0019012485811577752,16977
if,265,0.001879965947786606,16977
see,256,0.0018161180476730988,16977
m,256,0.0018161180476730988,16977
la,249,0.0017664585698070375,16977
ve,248,0.0017593643586833144,16977
don,248,0.0017593643586833144,16977
que,243,0.0017238933030646992,16977
do,238,0.001688422247446084,16977
its,233,0.0016529511918274688,16977
much,226,0.0016032917139614075,16977
made,225,0.0015961975028376844,16977
also,223,0.0015820090805902384,16977
into,223,0.0015820090805902384,16977
were,221,0.0015678206583427923,16977
would,220,0.0015607264472190692,16977
most,218,0.0015465380249716232,16977
has,217,0.0015394438138479,16977
which,212,0.0015039727582292848,16977
had,206,0.0014614074914869467,16977
these,205,0.0014543132803632236,16977
story,204,0.0014472190692395007,16977
know,204,0.0014472190692395007,16977
even,199,0.0014117480136208854,16977
her,199,0.0014117480136208854,16977
good,198,0.0014046538024971623,16977
life,190,0.001347900113507378,16977
well,186,0.0013195232690124859,16977
than,184,0.0013053348467650398,16977
only,184,0.0013053348467650398,16977
still,183,0.0012982406356413167,16977
get,183,0.0012982406356413167,16977
because,179,0.0012698637911464246,16977
love,176,0.0012485811577752554,16977
many,175,0.0012414869466515323,16977
being,173,0.0012272985244040863,16977
been,172,0.0012202043132803631,16977
years,166,0.001177639046538025,16977
interesting,165,0.001170544835414302,16977
ever,162,0.0011492622020431327,16977
way,161,0.0011421679909194098,16977
here,161,0.0011421679909194098,16977
great,160,0.0011350737797956867,16977
think,159,0.0011279795686719638,16977
them,158,0.0011208853575482406,16977
make,153,0.0010854143019296254,16977
never,153,0.0010854143019296254,16977
could,150,0.0010641316685584563,16977
watching,150,0.0010641316685584563,16977
films,149,0.0010570374574347334,16977
through,149,0.0010570374574347334,16977
look,148,0.0010499432463110102,16977
re,143,0.001014472190692395,16977
first,142,0.001007377979568672,16977
