types,counts,probs,total_unique
the,24334,0.044468241408422905,39743
a,16204,0.02961138258330257,39743
and,12850,0.02348224303847433,39743
of,11981,0.0218942220890242,39743
i,10994,0.020090566534240215,39743
it,9751,0.017819093530596356,39743
to,9440,0.01725076842670799,39743
is,7477,0.013663558848145725,39743
this,7401,0.013524675543015448,39743
in,7202,0.01316102057300328,39743
s,7075,0.012928939260482948,39743
that,6275,0.011467009732795831,39743
but,4328,0.007909038744787308,39743
was,3840,0.007017261732898165,39743
with,3720,0.006797972303745098,39743
for,3649,0.006668226058162866,39743
as,3419,0.00624792131895282,39743
film,3414,0.006238784259404775,39743
t,3227,0.005897058232307912,39743
you,3016,0.005511474319380434,39743
on,2967,0.0054219311358095984,39743
movie,2950,0.005390865133346247,39743
so,2265,0.004139087975264152,39743
one,2213,0.00404406255596449,39743
an,2163,0.003952691960484045,39743
not,2148,0.003925280781839911,39743
like,2091,0.0038211183029922043,39743
me,2016,0.003684062409771537,39743
be,1956,0.003574417695195003,39743
my,1901,0.003473910040166514,39743
at,1824,0.0033331993231266286,39743
all,1817,0.0033204074397593666,39743
are,1758,0.0032125901370924415,39743
just,1728,0.0031577677798041745,39743
his,1685,0.003079189067690992,39743
from,1651,0.0030170570627642895,39743
by,1635,0.0029878184722105473,39743
about,1530,0.002795940221701613,39743
have,1524,0.0027849757502439597,39743
he,1524,0.0027849757502439597,39743
what,1492,0.002726498569136475,39743
can,1473,0.002691777742853906,39743
more,1430,0.002613199030740723,39743
there,1429,0.0026113716188311143,39743
really,1344,0.002456041606514358,39743
out,1342,0.00245238678269514,39743
some,1270,0.0023208131252032997,39743
time,1246,0.002276955239372686,39743
good,1223,0.0022349247654516813,39743
up,1217,0.002223960293994028,39743
who,1203,0.0021983765272595036,39743
they,1198,0.002189239467711459,39743
has,1177,0.002150863817609672,39743
when,1143,0.0020887318126829695,39743
its,1112,0.0020320820434850937,39743
if,1100,0.002010153100569787,39743
or,1097,0.00200467086484096,39743
horror,1079,0.0019717774504680002,39743
m,1028,0.0018785794430779465,39743
much,974,0.001779899199959066,39743
no,966,0.0017652799046821948,39743
first,943,0.0017232494307611902,39743
than,937,0.0017122849593035367,39743
how,927,0.0016940108402074478,39743
very,905,0.001653807778196052,39743
even,904,0.0016519803662864432,39743
ve,883,0.0016136047161846563,39743
we,866,0.001582538713721305,39743
had,862,0.0015752290660828695,39743
story,854,0.0015606097708059984,39743
great,847,0.001547817887438736,39743
would,845,0.0015441630636195182,39743
into,843,0.0015405082398003004,39743
love,838,0.001531371180252256,39743
