types,counts,probs,total_unique
the,45458,0.044483630556294916,56596
a,29844,0.02920430881961515,56596
and,23436,0.022933661087538554,56596
of,22875,0.022384685841331475,56596
i,19101,0.018691579639574754,56596
to,18269,0.017877413142526107,56596
it,17790,0.01740868026742238,56596
this,14073,0.013771352299237502,56596
is,13858,0.013560960716466517,56596
in,13260,0.012975778546712802,56596
s,13011,0.012732115736898966,56596
that,11633,0.011383652476162144,56596
but,7710,0.007544740014717625,56596
with,7319,0.007162120903724812,56596
was,6958,0.00680885875776981,56596
for,6762,0.006617059919522773,56596
movie,6403,0.006265754904570292,56596
as,6108,0.005977078081698476,56596
film,5852,0.005726565313375816,56596
t,5740,0.005616965977234652,56596
on,5585,0.005465288324539292,56596
you,5314,0.005200097073697725,56596
like,4314,0.0042215315724373325,56596
so,4259,0.0041677104698680115,56596
an,4159,0.004069853919741972,56596
one,3960,0.0038751193849911538,56596
not,3850,0.0037674771798525105,56596
be,3688,0.003608949568648327,56596
from,3573,0.003496414536003382,56596
my,3490,0.0034151935993987693,56596
are,3410,0.003336908359297938,56596
all,3287,0.0032165448026429096,56596
have,3250,0.003180337879096275,56596
just,3204,0.0031353238660382973,56596
at,2991,0.0029268894142698335,56596
his,2967,0.002903403842239584,56596
by,2947,0.002883832532214376,56596
me,2930,0.0028671969186929496,56596
what,2816,0.0027556404515492647,56596
he,2790,0.0027301977485164946,56596
they,2684,0.002626469805382893,56596
time,2644,0.0025873271853324776,56596
about,2595,0.002539377475770718,56596
can,2585,0.002529591820758114,56596
more,2580,0.002524698993251812,56596
there,2577,0.0025217632967480313,56596
some,2551,0.0024963205937152608,56596
has,2419,0.002367149947548889,56596
out,2419,0.002367149947548889,56596
up,2402,0.0023505143340274625,56596
really,2373,0.002322135934490911,56596
good,2191,0.0021440370132615196,56596
if,2154,0.002107830089714885,56596
when,2117,0.0020716231661682505,56596
its,2081,0.0020363948081228763,56596
or,2056,0.0020119306705913666,56596
who,1915,0.0018739529349136514,56596
we,1875,0.0018348103148632356,56596
no,1787,0.0017486965507523212,56596
first,1769,0.0017310823717296342,56596
much,1768,0.0017301038062283738,56596
into,1743,0.0017056396686968638,56596
m,1735,0.0016978111446867808,56596
how,1718,0.0016811755311653541,56596
even,1665,0.0016293115595985533,56596
man,1654,0.001618547339084689,56596
than,1654,0.001618547339084689,56596
very,1637,0.0016019117255632624,56596
had,1617,0.0015823404155380545,56596
ve,1601,0.0015666833675178882,56596
fun,1600,0.0015657048020166278,56596
would,1568,0.0015343907059762953,56596
movies,1549,0.0015157979614523478,56596
films,1537,0.0015040551754372231,56596
love,1486,0.0014541483348729431,56596
great,1480,0.0014482769418653807,56596
horror,1472,0.0014404484178552977,56596
most,1437,0.001406198625311184,56596
fi,1423,0.0013924987082935382,56596
also,1421,0.0013905415772910176,56596
still,1414,0.0013836916187821948,56596
sci,1409,0.0013787987912758928,56596
don,1405,0.0013748845292708514,56596
story,1400,0.0013699917017645493,56596
do,1393,0.0013631417432557265,56596
only,1357,0.0013279133852103523,56596
which,1356,0.0013269348197090922,56596
get,1345,0.0013161705991952277,56596
way,1342,0.0013132349026914465,56596
well,1338,0.001309320640686405,56596
watch,1333,0.001304427813180103,56596
been,1300,0.00127213515163851,56596
bad,1246,0.0012192926145704489,56596
action,1243,0.0012163569180666676,56596
see,1242,0.0012153783525654072,56596
because,1218,0.001191892780535158,56596
made,1215,0.0011889570840313767,56596
being,1190,0.0011644929464998668,56596
pretty,1187,0.0011615572499960858,56596
people,1170,0.0011449216364746591,56596
where,1166,0.0011410073744696175,56596
think,1164,0.0011390502434670967,56596
their,1154,0.0011292645884544929,56596
here,1147,0.00112241462994567,56596
too,1147,0.00112241462994567,56596
world,1144,0.0011194789334418888,56596
die,1135,0.0011106718439305454,56596
know,1121,0.0010969719269129,56596
ever,1114,0.001090121968404077,56596
und,1112,0.0010881648374015563,56596
off,1101,0.001077400616887692,56596
were,1085,0.0010617435688675258,56596
could,1082,0.0010588078723637445,56596
after,1076,0.0010529364793561821,56596
make,1065,0.0010421722588423179,56596
little,1061,0.0010382579968372762,56596
best,1055,0.001032386603829714,56596
seen,1044,0.0010216223833158496,56596
re,1034,0.0010118367283032457,56596
never,1018,0.0009961796802830795,56596
now,999,0.000977586935759132,56596
something,996,0.0009746512392553508,56596
then,979,0.0009580156257339241,56596
de,963,0.0009423585777137578,56596
back,958,0.0009374657502074559,56596
lot,957,0.0009364871847061955,56596
while,957,0.0009364871847061955,56596
better,953,0.0009325729227011539,56596
will,936,0.0009159373091797273,56596
your,935,0.0009149587436784669,56596
over,925,0.000905173088665863,56596
years,925,0.000905173088665863,56596
them,915,0.000895387433653259,56596
der,913,0.0008934303026507382,56596
watching,910,0.0008904946061469571,56596
effects,906,0.0008865803441419155,56596
going,878,0.0008591805101066244,56596
did,872,0.0008533091170990621,56596
thing,861,0.0008425448965851979,56596
two,858,0.0008396092000814167,56596
other,856,0.0008376520690788959,56596
any,854,0.000835694938076375,56596
space,821,0.0008034022765347821,56596
these,815,0.0007975308835272198,56596
him,804,0.0007867666630133554,56596
d,803,0.000785788097512095,56596
every,800,0.0007828524010083139,56596
why,789,0.0007720881804944496,56596
didn,788,0.0007711096149931892,56596
may,785,0.000768173918489408,56596
actually,784,0.0007671953529881476,56596
watched,779,0.0007623025254818456,56596
got,772,0.0007554525669730229,56596
characters,771,0.0007544740014717625,56596
though,767,0.000750559739466721,56596
her,763,0.0007466454774616793,56596
alien,761,0.0007446883464591586,56596
many,752,0.0007358812569478151,56596
plot,750,0.0007339241259452943,56596
say,746,0.0007300098639402527,56596
through,744,0.000728052732937732,56596
does,743,0.0007270741674364716,56596
big,740,0.0007241384709326903,56596
before,738,0.0007221813399301695,56596
always,728,0.0007123956849175657,56596
bit,726,0.0007104385539150449,56596
monster,724,0.0007084814229125241,56596
review,724,0.0007084814229125241,56596
go,713,0.0006977172023986597,56596
makes,704,0.0006889101128873162,56596
those,699,0.0006840172853810143,56596
new,697,0.0006820601543784935,56596
day,690,0.0006752101958696707,56596
kind,684,0.0006693388028621084,56596
feel,675,0.0006605317133507649,56596
around,674,0.0006595531478495045,56596
cool,673,0.000658574582348244,56596
interesting,673,0.000658574582348244,56596
doesn,669,0.0006546603203432025,56596
original,666,0.0006517246238394213,56596
things,665,0.0006507460583381609,56596
star,656,0.0006419389688268174,56596
life,655,0.000640960403325557,56596
look,653,0.0006390032723230363,56596
character,650,0.000636067575819255,56596
budget,650,0.000636067575819255,56596
part,648,0.0006341104448167342,56596
science,640,0.0006262819208066511,56596
future,638,0.0006243247898041303,56596
thought,633,0.0006194319622978284,56596
last,629,0.0006155177002927868,56596
she,629,0.0006155177002927868,56596
right,628,0.0006145391347915265,56596
cast,626,0.0006125820037890056,56596
another,620,0.0006067106107814432,56596
end,618,0.0006047534797789225,56596
take,614,0.0006008392177738809,56596
enough,612,0.0005988820867713601,56596
same,609,0.000595946390267579,56596
work,608,0.0005949678247663186,56596
quite,601,0.0005881178662574958,56596
isn,593,0.0005802893422474127,56596
such,588,0.0005753965147411107,56596
old,584,0.0005714822527360692,56596
long,582,0.0005695251217335484,56596
everything,578,0.0005656108597285068,56596
year,575,0.0005626751632247256,56596
que,575,0.0005626751632247256,56596
feels,572,0.0005597394667209444,56596
want,571,0.000558760901219684,56596
should,571,0.000558760901219684,56596
down,566,0.0005538680737133821,56596
sure,564,0.0005519109427108613,56596
real,542,0.0005303825016831327,56596
john,541,0.0005294039361818723,56596
director,541,0.0005294039361818723,56596
set,539,0.0005274468051793515,56596
minutes,536,0.0005245111086755704,56596
few,534,0.0005225539776730495,56596
