types,counts,probs,total_unique
the,6642,0.04330562347188264,16453
a,4345,0.028329258353708232,16453
and,3571,0.02328280358598207,16453
i,3190,0.020798696006519967,16453
of,3165,0.020635696821515892,16453
it,2706,0.017643031784841074,16453
to,2652,0.017290953545232274,16453
this,2491,0.01624123879380603,16453
is,2096,0.013665851670741646,16453
in,1979,0.012903015484922575,16453
s,1872,0.012205378973105134,16453
that,1599,0.010425427872860635,16453
for,1387,0.00904319478402608,16453
was,1305,0.008508557457212714,16453
movie,1227,0.008,16453
but,1211,0.007895680521597392,16453
with,949,0.006187449062754686,16453
as,930,0.006063569682151589,16453
t,927,0.006044009779951101,16453
on,881,0.0057440912795436025,16453
you,815,0.005313773431132845,16453
so,767,0.0050008149959250205,16453
film,721,0.004700896495517522,16453
my,673,0.004387938060309698,16453
like,657,0.0042836185819070905,16453
not,652,0.004251018744906275,16453
one,624,0.004068459657701712,16453
be,579,0.0037750611246943765,16453
an,546,0.0035599022004889976,16453
me,516,0.0033643031784841076,16453
all,516,0.0033643031784841076,16453
just,499,0.0032534637326813364,16453
have,498,0.0032469437652811735,16453
at,488,0.0031817440912795436,16453
are,487,0.0031752241238793806,16453
from,472,0.0030774246128769354,16453
they,468,0.0030513447432762835,16453
tv,450,0.00293398533007335,16453
about,449,0.002927465362673187,16453
good,442,0.0028818255908720455,16453
he,438,0.0028557457212713936,16453
made,423,0.002757946210268949,16453
by,415,0.0027057864710676445,16453
can,404,0.0026340668296658517,16453
really,397,0.0025884270578647108,16453
there,395,0.002575387123064385,16453
what,386,0.0025167074164629175,16453
some,365,0.002379788101059495,16453
out,363,0.002366748166259169,16453
up,356,0.0023211083944580276,16453
more,349,0.0022754686226568867,16453
if,336,0.002190709046454768,16453
when,328,0.0021385493072534636,16453
his,328,0.0021385493072534636,16453
time,318,0.0020733496332518337,16453
watch,312,0.002034229828850856,16453
has,310,0.00202118989405053,16453
who,310,0.00202118989405053,16453
much,303,0.001975550122249389,16453
very,303,0.001975550122249389,16453
would,298,0.0019429502852485738,16453
or,296,0.0019299103504482479,16453
her,295,0.0019233903830480847,16453
ve,294,0.0019168704156479217,16453
how,287,0.0018712306438467808,16453
m,281,0.0018321108394458029,16453
movies,277,0.0018060309698451507,16453
had,277,0.0018060309698451507,16453
than,269,0.0017538712306438468,16453
love,265,0.0017277913610431947,16453
great,262,0.0017082314588427057,16453
do,259,0.0016886715566422168,16453
no,249,0.0016234718826405867,16453
we,246,0.0016039119804400978,16453
she,245,0.0015973920130399348,16453
story,241,0.0015713121434392829,16453
don,241,0.0015713121434392829,16453
its,237,0.0015452322738386307,16453
well,233,0.0015191524042379788,16453
still,230,0.0014995925020374898,16453
bad,226,0.0014735126324368379,16453
people,226,0.0014735126324368379,16453
because,224,0.001460472697636512,16453
most,222,0.0014474327628361857,16453
also,220,0.0014343928280358598,16453
only,211,0.001375713121434393,16453
were,209,0.001362673186634067,16453
been,206,0.0013431132844335778,16453
think,206,0.0013431132844335778,16453
even,206,0.0013431132844335778,16453
fun,203,0.0013235533822330888,16453
de,203,0.0013235533822330888,16453
their,202,0.0013170334148329258,16453
which,202,0.0013170334148329258,16453
see,201,0.0013105134474327628,16453
first,200,0.0013039934800325999,16453
get,200,0.0013039934800325999,16453
know,200,0.0013039934800325999,16453
way,196,0.001277913610431948,16453
watched,193,0.0012583537082314588,16453
into,191,0.0012453137734311328,16453
here,189,0.0012322738386308068,16453
too,189,0.0012322738386308068,16453
best,184,0.001199674001629992,16453
being,184,0.001199674001629992,16453
watching,184,0.001199674001629992,16453
ever,181,0.001180114099429503,16453
pretty,179,0.0011670741646291768,16453
them,177,0.0011540342298288508,16453
seen,175,0.0011409942950285248,16453
could,173,0.0011279543602281989,16453
little,173,0.0011279543602281989,16453
que,173,0.0011279543602281989,16453
never,171,0.0011149144254278729,16453
why,167,0.001088834555827221,16453
did,167,0.001088834555827221,16453
after,164,0.0010692746536267318,16453
re,162,0.0010562347188264058,16453
cast,161,0.0010497147514262428,16453
your,160,0.0010431947840260798,16453
horror,157,0.001023634881825591,16453
make,157,0.001023634881825591,16453
better,155,0.001010594947025265,16453
didn,154,0.001004074979625102,16453
every,153,0.000997555012224939,16453
actually,149,0.0009714751426242869,16453
where,145,0.0009453952730236349,16453
over,143,0.0009323553382233089,16453
these,140,0.0009127954360228198,16453
now,140,0.0009127954360228198,16453
got,140,0.0009127954360228198,16453
films,139,0.0009062754686226569,16453
lot,138,0.0008997555012224939,16453
will,138,0.0008997555012224939,16453
while,134,0.0008736756316218419,16453
say,133,0.0008671556642216788,16453
off,132,0.0008606356968215159,16453
other,131,0.0008541157294213529,16453
him,131,0.0008541157294213529,16453
then,130,0.0008475957620211899,16453
years,129,0.0008410757946210269,16453
bit,128,0.0008345558272208639,16453
thing,128,0.0008345558272208639,16453
real,127,0.0008280358598207009,16453
does,127,0.0008280358598207009,16453
though,127,0.0008280358598207009,16453
any,127,0.0008280358598207009,16453
many,126,0.000821515892420538,16453
may,122,0.0007954360228198859,16453
house,121,0.0007889160554197229,16453
go,116,0.0007563162184189079,16453
