types,counts,probs,total_unique
the,17279,0.0480776186845781,31608
a,10302,0.028664600248192812,31608
of,9298,0.025871039905619952,31608
and,8657,0.02408750187814067,31608
to,6286,0.01749035887790138,31608
it,5526,0.01537571160663109,31608
i,5414,0.01506407937718073,31608
in,4999,0.013909370669842347,31608
is,4793,0.013336189962103295,31608
s,4327,0.012039577293140195,31608
this,4262,0.011858719302834183,31608
that,3798,0.010567671495111269,31608
film,2906,0.00808574338198877,31608
but,2536,0.00705624405255455,31608
with,2422,0.006739046961864006,31608
for,2407,0.006697310502562619,31608
as,2378,0.006616620014579936,31608
was,2376,0.006611055153339752,31608
war,2110,0.0058709286083951494,31608
on,2040,0.005676158464988676,31608
movie,1806,0.005025069699887033,31608
t,1725,0.004799692819659542,31608
you,1532,0.004262683709981691,31608
an,1486,0.004134691901457438,31608
one,1455,0.0040484365522345704,31608
are,1343,0.0037368043227842115,31608
not,1275,0.003547599040617922,31608
by,1252,0.0034836031363557948,31608
from,1244,0.003461343691395055,31608
so,1243,0.0034585612607749626,31608
be,1234,0.0034335193851941304,31608
like,1182,0.0032888329929493206,31608
at,1168,0.003249878964268026,31608
all,1133,0.0031524938925647887,31608
about,1072,0.002982765624739147,31608
his,1049,0.00291876972047702,31608
they,1003,0.0027907779119527654,31608
my,963,0.002679480687149066,31608
have,946,0.0026321793666074936,31608
just,915,0.0025459240173846265,31608
more,914,0.002543141586764534,31608
me,913,0.0025403591561444414,31608
there,904,0.0025153172805636092,31608
some,851,0.002367848457698707,31608
what,825,0.0022955052615763025,31608
he,816,0.0022704633859954703,31608
can,813,0.002262116094135193,31608
good,784,0.0021814256061525104,31608
its,768,0.0021369067162310307,31608
really,758,0.0021090824100301058,31608
who,754,0.002097952687549736,31608
story,754,0.002097952687549736,31608
time,743,0.002067345950728719,31608
out,729,0.0020283919220474237,31608
very,713,0.001983873032125944,31608
has,708,0.0019699608790254815,31608
films,704,0.0019588311565451114,31608
up,693,0.001928224419724094,31608
when,674,0.001875358237942337,31608
their,662,0.001841969070501227,31608
we,657,0.0018280569174007645,31608
or,649,0.0018057974724400246,31608
much,632,0.0017584961518984524,31608
no,631,0.0017557137212783598,31608
first,620,0.0017251069844573426,31608
if,617,0.0017167596925970652,31608
de,611,0.0017000651088765102,31608
than,608,0.0016917178170162328,31608
how,604,0.0016805880945358626,31608
most,594,0.001652763788334938,31608
great,585,0.0016277219127541055,31608
which,575,0.0015998976065531806,31608
well,567,0.0015776381615924407,31608
into,538,0.0014969476736097585,31608
even,537,0.0014941652429896661,31608
made,524,0.0014579936449284638,31608
ve,523,0.0014552112143083713,31608
had,508,0.0014134747550069839,31608
action,501,0.0013939977406663365,31608
were,500,0.001391215310046244,31608
would,498,0.001385650448806059,31608
only,474,0.0013188721139238393,31608
don,458,0.0012743532240023594,31608
best,438,0.0012187046116005097,31608
being,428,0.0011908803053995848,31608
get,428,0.0011908803053995848,31608
world,428,0.0011908803053995848,31608
also,425,0.0011825330135393074,31608
see,425,0.0011825330135393074,31608
do,423,0.0011769681522991223,31608
watch,420,0.001168620860438845,31608
m,419,0.0011658384298187524,31608
here,415,0.0011547087073383825,31608
movies,413,0.0011491438460981976,31608
too,409,0.0011380141236178277,31608
been,409,0.0011380141236178277,31608
because,406,0.00112966683175755,31608
after,406,0.00112966683175755,31608
die,396,0.0011018425255566251,31608
way,394,0.0010962776643164403,31608
people,389,0.0010823655112159778,31608
seen,384,0.0010684533581155153,31608
them,375,0.001043411482534683,31608
two,373,0.001037846621294498,31608
que,371,0.001032281760054313,31608
during,371,0.001032281760054313,31608
other,369,0.0010267168988141282,31608
think,368,0.0010239344681940356,31608
pretty,366,0.0010183696069538505,31608
und,366,0.0010183696069538505,31608
still,361,0.001004457453853388,31608
while,360,0.0010016750232332958,31608
ever,358,0.0009961101619931107,31608
characters,358,0.0009961101619931107,31608
know,356,0.0009905453007529258,31608
love,352,0.0009794155782725557,31608
never,351,0.0009766331476524634,31608
where,344,0.0009571561333118158,31608
der,342,0.0009515912720716309,31608
many,340,0.0009460264108314459,31608
through,327,0.0009098548127702436,31608
little,327,0.0009098548127702436,31608
over,326,0.0009070723821501511,31608
make,324,0.0009015075209099662,31608
then,323,0.0008987250902898736,31608
soldiers,319,0.0008875953678095037,31608
nazi,317,0.0008820305065693187,31608
could,315,0.0008764656453291338,31608
these,312,0.0008681183534688563,31608
man,311,0.0008653359228487637,31608
re,310,0.0008625534922286713,31608
before,310,0.0008625534922286713,31608
scenes,309,0.0008597710616085788,31608
german,306,0.0008514237697483014,31608
men,305,0.0008486413391282088,31608
off,303,0.0008430764778880239,31608
any,301,0.0008375116166478389,31608
american,300,0.0008347291860277464,31608
long,299,0.0008319467554076539,31608
better,295,0.000820817032927284,31608
watched,291,0.000809687310446914,31608
drama,289,0.000804122449206729,31608
her,287,0.000798557587966544,31608
will,287,0.000798557587966544,31608
battle,285,0.0007929927267263591,31608
cast,282,0.0007846454348660817,31608
real,280,0.0007790805736258966,31608
lot,280,0.0007790805736258966,31608
life,276,0.0007679508511455267,31608
though,273,0.0007596035592852493,31608
years,272,0.0007568211286651567,31608
watching,268,0.0007456914061847868,31608
every,267,0.0007429089755646943,31608
those,264,0.0007345616837044169,31608
interesting,263,0.0007317792530843243,31608
d,261,0.0007262143918441394,31608
does,259,0.0007206495306039544,31608
propaganda,258,0.0007178670999838619,31608
did,258,0.0007178670999838619,31608
british,256,0.0007123022387436769,31608
bit,255,0.0007095198081235845,31608
bad,253,0.0007039549468833995,31608
quite,252,0.000701172516263307,31608
why,252,0.000701172516263307,31608
feel,252,0.000701172516263307,31608
us,250,0.000695607655023122,31608
back,250,0.000695607655023122,31608
always,248,0.000690042793782937,31608
wwii,248,0.000690042793782937,31608
your,246,0.0006844779325427521,31608
john,244,0.0006789130713025671,31608
la,244,0.0006789130713025671,31608
director,244,0.0006789130713025671,31608
going,240,0.0006677833488221971,31608
part,240,0.0006677833488221971,31608
character,239,0.0006650009182021046,31608
say,238,0.0006622184875820121,31608
set,238,0.0006622184875820121,31608
both,236,0.0006566536263418271,31608
didn,236,0.0006566536263418271,31608
she,235,0.0006538711957217347,31608
vietnam,234,0.0006510887651016422,31608
half,234,0.0006510887651016422,31608
may,234,0.0006510887651016422,31608
our,233,0.0006483063344815497,31608
go,232,0.0006455239038614572,31608
between,230,0.0006399590426212722,31608
right,229,0.0006371766120011797,31608
something,228,0.0006343941813810873,31608
such,226,0.0006288293201409023,31608
scene,226,0.0006288293201409023,31608
now,224,0.0006232644589007173,31608
es,221,0.0006149171670404398,31608
work,220,0.0006121347364203474,31608
history,220,0.0006121347364203474,31608
end,219,0.0006093523058002549,31608
review,217,0.0006037874445600699,31608
him,213,0.0005926577220797,31608
makes,212,0.0005898752914596074,31608
doesn,212,0.0005898752914596074,31608
times,208,0.0005787455689792375,31608
down,207,0.000575963138359145,31608
thing,205,0.00057039827711896,31608
another,201,0.0005592685546385901,31608
shot,200,0.0005564861240184976,31608
actually,199,0.0005537036933984051,31608
look,197,0.0005481388321582201,31608
feels,197,0.0005481388321582201,31608
around,196,0.0005453564015381276,31608
got,193,0.0005370091096778502,31608
2,193,0.0005370091096778502,31608
almost,192,0.0005342266790577577,31608
second,191,0.0005314442484376652,31608
plot,189,0.0005258793871974803,31608
enough,189,0.0005258793871974803,31608
e,187,0.0005203145259572952,31608
performances,185,0.0005147496647171102,31608
new,185,0.0005147496647171102,31608
fun,184,0.0005119672340970178,31608
thought,184,0.0005119672340970178,31608
horror,183,0.0005091848034769253,31608
day,182,0.0005064023728568328,31608
last,181,0.0005036199422367403,31608
kind,181,0.0005036199422367403,31608
acting,180,0.0005008375116166479,31608
epic,180,0.0005008375116166479,31608
hell,179,0.0004980550809965553,31608
cinema,179,0.0004980550809965553,31608
same,178,0.0004952726503764629,31608
few,176,0.0004897077891362778,31608
moments,176,0.0004897077891362778,31608
based,175,0.0004869253585161854,31608
old,175,0.0004869253585161854,31608
isn,174,0.00048414292789609293,31608
three,170,0.00047301320541572294,31608
y,167,0.0004646659135554455,31608
each,167,0.0004646659135554455,31608
take,166,0.000461883482935353,31608
michael,166,0.000461883482935353,31608
yet,165,0.00045910105231526053,31608
come,164,0.00045631862169516805,31608
should,163,0.00045353619107507556,31608
truth,162,0.0004507537604549831,31608
minutes,161,0.00044797132983489054,31608
nothing,161,0.00044797132983489054,31608
group,161,0.00044797132983489054,31608
en,160,0.00044518889921479806,31608
things,159,0.0004424064685947056,31608
historical,159,0.0004424064685947056,31608
o,158,0.0004396240379746131,31608
nazis,157,0.0004368416073545206,31608
sure,156,0.00043405917673442813,31608
especially,155,0.00043127674611433565,31608
takes,155,0.00043127674611433565,31608
point,153,0.0004257118848741507,31608
true,153,0.0004257118848741507,31608
own,153,0.0004257118848741507,31608
ist,152,0.0004229294542540582,31608
far,151,0.00042014702363396566,31608
find,151,0.00042014702363396566,31608
early,150,0.0004173645930138732,31608
making,149,0.0004145821623937807,31608
gets,149,0.0004145821623937807,31608
felt,149,0.0004145821623937807,31608
ll,148,0.0004117997317736882,31608
place,148,0.0004117997317736882,31608
beautiful,147,0.00040901730115359573,31608
performance,147,0.00040901730115359573,31608
whole,146,0.00040623487053350325,31608
again,145,0.00040345243991341077,31608
das,144,0.0004006700092933183,31608
probably,144,0.0004006700092933183,31608
5,144,0.0004006700092933183,31608
spy,143,0.0003978875786732258,31608
experience,143,0.0003978875786732258,31608
um,143,0.0003978875786732258,31608
rather,142,0.0003951051480531333,31608
wasn,141,0.00039232271743304083,31608
full,141,0.00039232271743304083,31608
lee,141,0.00039232271743304083,31608
without,141,0.00039232271743304083,31608
might,141,0.00039232271743304083,31608
lost,141,0.00039232271743304083,31608
together,140,0.0003895402868129483,31608
home,140,0.0003895402868129483,31608
found,140,0.0003895402868129483,31608
military,138,0.00038397542557276333,31608
actors,138,0.00038397542557276333,31608
big,137,0.00038119299495267085,31608
spoilers,137,0.00038119299495267085,31608
ending,137,0.00038119299495267085,31608
hard,137,0.00038119299495267085,31608
screen,137,0.00038119299495267085,31608
anything,136,0.00037841056433257837,31608
everything,136,0.00037841056433257837,31608
fact,136,0.00037841056433257837,31608
different,136,0.00037841056433257837,31608
against,135,0.0003756281337124859,31608
budget,135,0.0003756281337124859,31608
handle,135,0.0003756281337124859,31608
anti,134,0.0003728457030923934,31608
solid,134,0.0003728457030923934,31608
hour,134,0.0003728457030923934,31608
den,134,0.0003728457030923934,31608
el,132,0.00036728084185220843,31608
definitely,132,0.00036728084185220843,31608
thriller,132,0.00036728084185220843,31608
un,132,0.00036728084185220843,31608
contain,132,0.00036728084185220843,31608
year,132,0.00036728084185220843,31608
mcqueen,131,0.00036449841123211595,31608
mission,131,0.00036449841123211595,31608
young,130,0.0003617159806120234,31608
once,129,0.00035893354999193093,31608
3,129,0.00035893354999193093,31608
truly,129,0.00035893354999193093,31608
soldier,129,0.00035893354999193093,31608
piece,128,0.00035615111937183845,31608
score,128,0.00035615111937183845,31608
army,127,0.00035336868875174597,31608
directed,126,0.0003505862581316535,31608
give,125,0.000347803827511561,31608
women,125,0.000347803827511561,31608
cinematography,124,0.0003450213968914685,31608
done,124,0.0003450213968914685,31608
death,124,0.0003450213968914685,31608
production,124,0.0003450213968914685,31608
red,124,0.0003450213968914685,31608
ii,123,0.00034223896627137604,31608
von,123,0.00034223896627137604,31608
ich,123,0.00034223896627137604,31608
ein,122,0.00033945653565128355,31608
mit,121,0.00033667410503119107,31608
having,120,0.00033389167441109853,31608
island,120,0.00033389167441109853,31608
se,119,0.00033110924379100605,31608
absolutely,119,0.00033110924379100605,31608
sense,118,0.00032832681317091357,31608
human,118,0.00032832681317091357,31608
small,118,0.00032832681317091357,31608
powell,118,0.00032832681317091357,31608
violence,117,0.0003255443825508211,31608
am,117,0.0003255443825508211,31608
hollywood,117,0.0003255443825508211,31608
short,117,0.0003255443825508211,31608
maybe,116,0.0003227619519307286,31608
want,116,0.0003227619519307286,31608
top,115,0.0003199795213106361,31608
since,115,0.0003199795213106361,31608
picture,115,0.0003199795213106361,31608
period,114,0.00031719709069054364,31608
slow,113,0.00031441466007045115,31608
japanese,113,0.00031441466007045115,31608
said,113,0.00031441466007045115,31608
cool,113,0.00031441466007045115,31608
often,113,0.00031441466007045115,31608
put,113,0.00031441466007045115,31608
holocaust,112,0.00031163222945035867,31608
trying,112,0.00031163222945035867,31608
black,112,0.00031163222945035867,31608
genre,112,0.00031163222945035867,31608
fucking,110,0.0003060673682101737,31608
least,110,0.0003060673682101737,31608
fighting,109,0.00030328493759008117,31608
act,109,0.00030328493759008117,31608
saw,109,0.00030328493759008117,31608
stars,109,0.00030328493759008117,31608
script,109,0.00030328493759008117,31608
final,108,0.0003005025069699887,31608
1,107,0.0002977200763498962,31608
shit,107,0.0002977200763498962,31608
nice,107,0.0002977200763498962,31608
perfect,107,0.0002977200763498962,31608
version,107,0.0002977200763498962,31608
10,106,0.0002949376457298037,31608
boring,106,0.0002949376457298037,31608
less,105,0.00029215521510971124,31608
zu,105,0.00029215521510971124,31608
narrative,105,0.00029215521510971124,31608
ww2,105,0.00029215521510971124,31608
must,105,0.00029215521510971124,31608
under,104,0.00028937278448961875,31608
itself,104,0.00028937278448961875,31608
camera,104,0.00028937278448961875,31608
high,103,0.00028659035386952627,31608
instead,103,0.00028659035386952627,31608
show,103,0.00028659035386952627,31608
however,103,0.00028659035386952627,31608
low,103,0.00028659035386952627,31608
mostly,103,0.00028659035386952627,31608
need,102,0.0002838079232494338,31608
comes,102,0.0002838079232494338,31608
powerful,101,0.0002810254926293413,31608
away,101,0.0002810254926293413,31608
tell,101,0.0002810254926293413,31608
later,101,0.0002810254926293413,31608
hours,100,0.0002782430620092488,31608
lives,100,0.0002782430620092488,31608
style,99,0.0002754606313891563,31608
idea,99,0.0002754606313891563,31608
sequences,98,0.0002726782007690638,31608
despite,98,0.0002726782007690638,31608
nicht,98,0.0002726782007690638,31608
comedy,98,0.0002726782007690638,31608
effects,97,0.0002698957701489713,31608
impressive,96,0.00026711333952887884,31608
today,96,0.00026711333952887884,31608
keep,95,0.00026433090890878635,31608
shots,95,0.00026433090890878635,31608
tale,95,0.00026433090890878635,31608
looks,95,0.00026433090890878635,31608
robert,95,0.00026433090890878635,31608
fight,94,0.00026154847828869387,31608
verhoeven,94,0.00026154847828869387,31608
side,94,0.00026154847828869387,31608
wartime,94,0.00026154847828869387,31608
came,94,0.00026154847828869387,31608
cut,93,0.0002587660476686014,31608
play,93,0.0002587660476686014,31608
era,93,0.0002587660476686014,31608
adventure,93,0.0002587660476686014,31608
da,93,0.0002587660476686014,31608
