types,counts,probs,total_unique
the,8815,0.04470715923153389,20336
a,5850,0.029669527113383238,20336
and,5051,0.0256172275982391,20336
of,4382,0.022224250907836814,20336
to,3523,0.017867648550504128,20336
i,3268,0.01657436147120281,20336
it,3093,0.01568681151481955,20336
is,2742,0.013906639888016555,20336
in,2678,0.013582050189682105,20336
s,2551,0.012937942507049683,20336
this,2422,0.01228369139634431,20336
that,2074,0.010518734911650741,20336
but,1541,0.007815511330209158,20336
as,1393,0.0070648976528107435,20336
with,1377,0.006983750228227132,20336
for,1302,0.0066033716754914495,20336
was,1267,0.006425861684214797,20336
western,1265,0.0064157182561418455,20336
film,1157,0.005867973140202463,20336
on,1014,0.005142718032986428,20336
t,1010,0.005122431176840525,20336
movie,867,0.00439717606962449,20336
you,840,0.004260239790639645,20336
his,819,0.004153733795873653,20336
one,792,0.004016797516888808,20336
an,783,0.003971152090560526,20336
not,764,0.0038747895238674863,20336
by,703,0.0035654149676424642,20336
from,686,0.0034791958290223764,20336
he,681,0.0034538372588399976,20336
all,669,0.0033929766904022885,20336
so,667,0.0033828332623293367,20336
be,659,0.0033422595500375305,20336
like,627,0.003179964700870306,20336
my,617,0.0031292475605055486,20336
are,610,0.003093745562250218,20336
at,600,0.0030430284218854603,20336
have,557,0.0028249447183170025,20336
me,533,0.002703223581441584,20336
just,532,0.0026981518674051084,20336
good,530,0.0026880084393321566,20336
who,521,0.002642363013003875,20336
up,472,0.0023938490252165623,20336
more,470,0.0023837055971436105,20336
some,470,0.0023837055971436105,20336
there,465,0.0023583470269612316,20336
out,453,0.0022974864585235226,20336
they,452,0.0022924147444870467,20336
about,451,0.002287343030450571,20336
what,434,0.002201123891830483,20336
can,434,0.002201123891830483,20336
time,429,0.002175765321648104,20336
has,427,0.0021656218935751526,20336
great,425,0.002155478465502201,20336
really,423,0.0021453350374292498,20336
its,402,0.0020388290426632586,20336
or,391,0.001983040188262025,20336
no,372,0.0018866776215689855,20336
when,371,0.0018816059075325096,20336
