types,counts,probs,total_unique
the,149823,0.0432213980581628,133878
a,99137,0.028599345489624995,133878
and,85844,0.024764540123378437,133878
of,79004,0.022791315967422184,133878
i,64419,0.018583790482828336,133878
to,62390,0.017998458346507394,133878
it,56253,0.016228037784357757,133878
is,48711,0.014052298517658626,133878
in,47040,0.013570243318155277,133878
this,44990,0.012978853037495875,133878
s,44400,0.012808648029891461,133878
that,38251,0.011034765670976988,133878
but,25796,0.007441709112141444,133878
film,24615,0.007101010613868881,133878
with,23784,0.006861281187904021,133878
for,23540,0.006790891320352365,133878
was,22743,0.006560970318554538,133878
as,21980,0.006340857740923746,133878
t,18808,0.0054257894627522205,133878
you,18161,0.005239140920514839,133878
on,17973,0.005184906104532415,133878
movie,17736,0.005116535618426913,133878
so,14546,0.004196274645108135,133878
one,13665,0.00394212106595646,133878
an,13642,0.003935485955490525,133878
not,13023,0.003756914939037759,133878
like,12808,0.0036948910803344557,133878
my,12735,0.0036738318166817064,133878
his,12646,0.003648156824009176,133878
be,12611,0.0036380599167784057,133878
me,12526,0.0036135388563608207,133878
at,11259,0.003248030814606936,133878
all,11258,0.0032477423315431997,133878
from,11215,0.003235337559802539,133878
by,11188,0.003227548517081659,133878
are,11175,0.0032237982372530873,133878
about,11088,0.0031987002107080297,133878
he,10680,0.0030809991207036216,133878
just,10298,0.0029707985903563573,133878
have,10117,0.002918583155820088,133878
what,9227,0.0026618332290947863,133878
can,9089,0.0026220225662991776,133878
more,8628,0.002489031873916746,133878
they,8181,0.0023600799444266226,133878
there,8115,0.0023410400622200273,133878
really,7896,0.002277862271261779,133878
who,7872,0.0022709386777321075,133878
time,7449,0.0021489103417716552,133878
out,7426,0.0021422752313057206,133878
good,7397,0.002133909222457368,133878
has,7140,0.00205976907507714,133878
when,7139,0.0020594805920134043,133878
some,7129,0.0020565957613760412,133878
its,7114,0.002052268515419997,133878
up,7019,0.002024862624365049,133878
how,6863,0.001979859266422187,133878
story,6816,0.0019663005624265813,133878
her,6711,0.0019360098407342702,133878
if,6662,0.0019218741706111917,133878
or,6511,0.0018783132279870114,133878
very,6387,0.0018425413280837109,133878
no,6202,0.0017891719612924963,133878
de,6167,0.0017790750540617262,133878
love,6105,0.0017611891041100758,133878
much,6046,0.0017441686033496345,133878
we,5854,0.001688779855112266,133878
m,5798,0.0016726248035430337,133878
into,5520,0.0015924265118243438,133878
great,5502,0.0015872338166770905,133878
ve,5489,0.0015834835368485187,133878
most,5467,0.0015771369094463202,133878
than,5336,0.0015393456280968657,133878
even,5228,0.001508189457213346,133878
do,5139,0.0014825144645408156,133878
first,5113,0.0014750139048836722,133878
films,5055,0.001458281887186967,133878
would,5050,0.0014568394718682855,133878
their,5027,0.0014502043614023508,133878
had,5004,0.001443569250936416,133878
also,4883,0.0014086628002243245,133878
which,4833,0.0013942386470375096,133878
well,4821,0.0013907768502726741,133878
only,4729,0.0013642364084089352,133878
watch,4700,0.0013558703995605827,133878
don,4670,0.0013472159076484938,133878
she,4647,0.001340580797182559,133878
way,4627,0.0013348111359078331,133878
