types,counts,probs,total_unique
the,10363,0.04283010134073964,21606
a,6788,0.028054687629155715,21606
and,6047,0.024992147332572864,21606
i,5975,0.024694572566912994,21606
of,4990,0.020623584453371688,21606
to,4274,0.017664368728198515,21606
it,4267,0.017635437848203806,21606
this,4006,0.01655672932268677,21606
is,3403,0.01406454066028534,21606
s,3121,0.012899039494784176,21606
in,3054,0.012622129643406239,21606
that,2646,0.010935872638000298,21606
was,1994,0.008241167815635901,21606
movie,1970,0.00814197622708261,21606
but,1832,0.007571624592901189,21606
for,1785,0.007377374398650994,21606
with,1543,0.006377192547405313,21606
as,1521,0.006286266924564797,21606
t,1459,0.006030021987468796,21606
my,1385,0.0057241812560961496,21606
film,1375,0.005682851427532279,21606
you,1368,0.005653920547537569,21606
so,1321,0.005459670353287375,21606
on,1226,0.005067036981930599,21606
me,1042,0.004306568136355371,21606
one,1042,0.004306568136355371,21606
like,1034,0.004273504273504274,21606
not,999,0.004128849873530725,21606
be,940,0.003885003885003885,21606
all,895,0.003699019656466465,21606
an,874,0.0036122270164823354,21606
just,871,0.0035998280679131744,21606
are,794,0.0032815883879713666,21606
at,781,0.0032278596108383344,21606
have,779,0.00321959364512556,21606
they,769,0.003178263816561689,21606
from,705,0.002913752913752914,21606
about,684,0.0028269602737687844,21606
can,654,0.002702970788077171,21606
by,624,0.0025789813023855577,21606
when,607,0.0025087205938269766,21606
disney,602,0.002488055679545041,21606
time,598,0.0024715237481194928,21606
he,596,0.002463257782406719,21606
out,594,0.0024549918166939444,21606
what,594,0.0024549918166939444,21606
his,591,0.002442592868124783,21606
really,576,0.0023805981252789763,21606
good,574,0.0023723321595662023,21606
there,567,0.0023434012795714924,21606
m,560,0.0023144703995767826,21606
up,553,0.0022855395195820727,21606
has,534,0.0022070128453107176,21606
if,527,0.002178081965316008,21606
more,515,0.0021284861710393625,21606
some,514,0.0021243531881829755,21606
love,485,0.002004496685347749,21606
how,483,0.0019962307196349748,21606
would,476,0.0019672998396402653,21606
who,465,0.0019218370282200069,21606
movies,458,0.0018929061482252972,21606
much,449,0.0018557093025178132,21606
or,442,0.0018267784225231033,21606
ve,437,0.0018061135082411677,21606
watch,433,0.0017895815768156193,21606
we,432,0.0017854485939592323,21606
than,428,0.0017689166625336839,21606
story,420,0.0017358527996825868,21606
no,420,0.0017358527996825868,21606
