types,counts,probs,total_unique
the,5208,0.04392897811142508,14259
a,3423,0.028872675129686644,14259
and,2779,0.023440597191177092,14259
of,2492,0.021019779849015225,14259
i,2294,0.019349668930032475,14259
it,2052,0.01730842225127578,14259
to,2005,0.016911981780608158,14259
this,1768,0.01491290962000759,14259
is,1621,0.013672978786217368,14259
in,1523,0.012846358230357218,14259
s,1473,0.012424613048795918,14259
that,1258,0.010611108768082324,14259
for,1027,0.008662646029269116,14259
was,973,0.008207161233182911,14259
but,945,0.007970983931508583,14259
movie,918,0.00774324153346548,14259
with,727,0.006132174939901312,14259
as,712,0.0060056513854329216,14259
on,693,0.0058453882164396275,14259
t,679,0.005727299565602463,14259
you,597,0.00503563746784193,14259
film,570,0.004807895069798828,14259
so,567,0.004782590358905149,14259
like,493,0.004158407490194424,14259
not,488,0.0041162329720382945,14259
my,488,0.0041162329720382945,14259
one,466,0.003930665092151322,14259
an,434,0.00366074817595209,14259
be,434,0.00366074817595209,14259
all,396,0.0033402218379655012,14259
at,374,0.003154653958078529,14259
are,373,0.003146219054447303,14259
tv,372,0.003137784150816077,14259
about,372,0.003137784150816077,14259
he,370,0.003120914343553625,14259
just,370,0.003120914343553625,14259
have,361,0.0030450002108725906,14259
from,361,0.0030450002108725906,14259
me,356,0.0030028256927164608,14259
good,352,0.0029690860781915566,14259
they,342,0.0028847370418792965,14259
made,336,0.0028341276200919406,14259
can,331,0.0027919531019358103,14259
by,325,0.0027413436801484543,14259
really,308,0.002597950318417612,14259
there,302,0.002547340896630256,14259
what,288,0.002429252245793092,14259
out,286,0.00241238243853064,14259
his,279,0.002353338113112058,14259
some,274,0.0023111635949559276,14259
up,269,0.0022689890767997978,14259
more,263,0.0022183796550124413,14259
who,255,0.0021509004259626335,14259
if,252,0.0021255957150689555,14259
when,250,0.0021087259078065032,14259
has,248,0.0020918561005440514,14259
much,245,0.0020665513896503734,14259
very,243,0.002049681582387921,14259
time,242,0.0020412466787566954,14259
her,233,0.001965332546075661,14259
watch,233,0.001965332546075661,14259
how,229,0.001931592931550757,14259
or,227,0.001914723124288305,14259
movies,217,0.001830374087976045,14259
would,216,0.0018219391843448188,14259
ve,212,0.0017881995698199149,14259
than,200,0.0016869807262452027,14259
great,193,0.0016279364008266206,14259
m,192,0.0016195014971953946,14259
people,192,0.0016195014971953946,14259
no,191,0.0016110665935641685,14259
she,190,0.0016026316899329426,14259
had,189,0.0015941967863017164,14259
well,189,0.0015941967863017164,14259
its,188,0.0015857618826704905,14259
