types,counts,probs,total_unique
the,63450,0.04395943953619847,70336
a,42839,0.02967972309363603,70336
and,34161,0.02366742969260955,70336
of,31680,0.021948542860626752,70336
i,25831,0.017896237709370256,70336
to,25081,0.017376622584828902,70336
it,24297,0.016833451574641674,70336
is,20150,0.013960326346011019,70336
s,19143,0.013262656438793496,70336
this,19124,0.013249492855638447,70336
in,18691,0.012949501723736573,70336
that,16120,0.011168261076808815,70336
but,11178,0.007744343816164326,70336
with,10252,0.007102792342397269,70336
for,9687,0.006711348948576116,70336
was,9667,0.006697492545255013,70336
film,9159,0.006345539900899004,70336
as,9014,0.006245080976821009,70336
movie,8221,0.005695674585139285,70336
t,8163,0.0056554910155080865,70336
on,7974,0.005524548004123666,70336
you,7575,0.005248112757867665,70336
so,5828,0.004037755927769341,70336
one,5785,0.00400796466062897,70336
an,5713,0.003958081608673,70336
not,5562,0.0038534657635986742,70336
like,5546,0.003842380640941792,70336
his,5218,0.003615135626475707,70336
be,5207,0.0036075146046491004,70336
he,4828,0.0033449357617142033,70336
from,4782,0.003313066034075667,70336
all,4679,0.0032417055569719877,70336
at,4546,0.0031495604748866548,70336
my,4529,0.0031377825320637173,70336
are,4521,0.0031322399707352762,70336
me,4428,0.0030678076952921486,70336
by,4375,0.0030310882264912263,70336
just,4375,0.0030310882264912263,70336
have,4209,0.0029160800789260733,70336
what,3880,0.0026881422442939333,70336
about,3709,0.0025696699958985044,70336
more,3699,0.002562741794237953,70336
some,3680,0.0025495782110829058,70336
there,3663,0.0025378002682599683,70336
out,3616,0.0025052377204553768,70336
good,3574,0.002476139273481061,70336
can,3465,0.002400621875381051,70336
up,3420,0.0023694449679085698,70336
really,3400,0.002355588564587467,70336
has,3326,0.002304319872299387,70336
they,3209,0.002223259912870936,70336
who,3089,0.0021401214929443195,70336
time,3058,0.00211864406779661,70336
if,2898,0.0020077928412277884,70336
or,2889,0.002001557459733292,70336
when,2853,0.001976615933755307,70336
its,2837,0.0019655308110984246,70336
no,2559,0.0017729268049350966,70336
great,2544,0.0017625345024442696,70336
action,2536,0.0017569919411158283,70336
very,2516,0.0017431355377947257,70336
much,2501,0.0017327432353038987,70336
how,2452,0.001698795047167197,70336
than,2385,0.0016523760960415028,70336
into,2344,0.001623970469233242,70336
m,2296,0.0015907151012625955,70336
had,2263,0.0015678520357827758,70336
even,2255,0.0015623094744543348,70336
ve,2246,0.0015560740929598386,70336
we,2235,0.001548453071133232,70336
first,2217,0.0015359823081442397,70336
story,2205,0.0015276684661515779,70336
would,2140,0.001482635155357994,70336
most,2129,0.0014750141335313875,70336
films,2048,0.0014188957000809215,70336
which,2039,0.001412660318586425,70336
well,2032,0.0014078105774240391,70336
horror,2018,0.0013981110950992673,70336
also,2017,0.0013974182749332121,70336
get,1993,0.001380790590947889,70336
do,1993,0.001380790590947889,70336
watch,1978,0.0013703982884570617,70336
movies,1889,0.0013087372936781546,70336
don,1881,0.0013031947323497133,70336
man,1869,0.0012948808903570517,70336
her,1861,0.0012893383290286107,70336
way,1855,0.0012851814080322799,70336
bad,1854,0.0012844885878662247,70336
only,1840,0.0012747891055414529,70336
because,1832,0.0012692465442130118,70336
made,1789,0.0012394552770726409,70336
still,1768,0.0012249060535854828,70336
been,1740,0.001205507088935939,70336
here,1738,0.0012041214486038288,70336
love,1723,0.0011937291461130018,70336
too,1709,0.0011840296637882297,70336
pretty,1706,0.0011819512032900643,70336
de,1704,0.001180565562957954,70336
being,1689,0.001170173260467127,70336
fun,1686,0.0011680947999689617,70336
thriller,1668,0.0011556240369799693,70336
think,1653,0.001145231734489142,70336
never,1645,0.001139689173160701,70336
see,1639,0.0011355322521643702,70336
know,1580,0.001094655862367117,70336
their,1575,0.0010911917615368414,70336
die,1545,0.0010704071565551872,70336
were,1540,0.0010669430557249115,70336
seen,1539,0.0010662502355588564,70336
best,1523,0.0010551651129019743,70336
after,1516,0.0010503153717395883,70336
little,1496,0.0010364589684184855,70336
where,1492,0.001033687687754265,70336
people,1484,0.0010281451264258239,70336
off,1479,0.0010246810255955482,70336
und,1479,0.0010246810255955482,70336
while,1473,0.0010205241045992174,70336
him,1463,0.001013595902938666,70336
make,1453,0.0010066677012781147,70336
could,1449,0.0010038964206138942,70336
she,1431,0.0009914256576249016,70336
over,1419,0.00098311181563224,70336
re,1379,0.0009553990089900345,70336
character,1378,0.0009547061888239794,70336
ever,1375,0.0009526277283258139,70336
two,1368,0.000947777987163428,70336
better,1362,0.0009436210661670971,70336
lot,1357,0.0009401569653368215,70336
plot,1343,0.0009304574830120495,70336
then,1318,0.0009131369788606711,70336
cast,1317,0.0009124441586946159,70336
other,1305,0.0009041303167019543,70336
something,1299,0.0008999733957056235,70336
your,1288,0.000892352373879017,70336
der,1284,0.0008895810932147964,70336
them,1278,0.0008854241722184656,70336
characters,1257,0.0008708749487313077,70336
may,1207,0.0008362339404285508,70336
did,1190,0.0008244559976056135,70336
will,1174,0.0008133708749487313,70336
now,1159,0.0008029785724579042,70336
didn,1146,0.0007939719102991875,70336
going,1145,0.0007932790901331323,70336
though,1139,0.0007891221691368015,70336
any,1132,0.0007842724279744155,70336
got,1131,0.0007835796078083604,70336
does,1131,0.0007835796078083604,70336
through,1116,0.0007731873053175333,70336
bit,1110,0.0007690303843212025,70336
every,1103,0.0007641806431588165,70336
watching,1100,0.0007621021826606511,70336
back,1097,0.0007600237221624857,70336
why,1092,0.00075655962133221,70336
doesn,1088,0.0007537883406679895,70336
d,1069,0.0007406247575129419,70336
thing,1069,0.0007406247575129419,70336
actually,1066,0.0007385462970147765,70336
go,1060,0.0007343893760184457,70336
always,1056,0.0007316180953542251,70336
review,1053,0.0007295396348560597,70336
many,1040,0.0007205329726973429,70336
que,1040,0.0007205329726973429,70336
before,1025,0.0007101406702065159,70336
noir,1013,0.0007018268282138542,70336
say,1008,0.0006983627273835785,70336
makes,1007,0.0006976699072175234,70336
years,988,0.0006845063240624757,70336
world,987,0.0006838135038964206,70336
those,985,0.0006824278635643103,70336
director,977,0.0006768853022358693,70336
scene,971,0.0006727283812395385,70336
new,968,0.000670649920741373,70336
watched,963,0.0006671858199110973,70336
end,963,0.0006671858199110973,70336
interesting,956,0.0006623360787487114,70336
these,953,0.000660257618250546,70336
around,952,0.0006595647980844908,70336
such,949,0.0006574863375863254,70336
enough,945,0.0006547150569221049,70336
down,941,0.0006519437762578842,70336
long,930,0.0006443227544312778,70336
work,926,0.0006415514737670572,70336
feel,923,0.0006394730132688918,70336
life,920,0.0006373945527707264,70336
another,917,0.000635316092272561,70336
kind,910,0.000630466351110175,70336
quite,910,0.000630466351110175,70336
right,907,0.0006283878906120096,70336
last,891,0.0006173027679551275,70336
day,884,0.0006124530267927414,70336
scenes,869,0.0006020607243019144,70336
same,849,0.0005882043209808116,70336
things,849,0.0005882043209808116,70336
john,838,0.0005805832991542052,70336
thought,833,0.0005771191983239295,70336
gets,831,0.0005757335579918191,70336
part,822,0.0005694981764973229,70336
real,821,0.0005688053563312678,70336
truth,814,0.0005639556151688819,70336
isn,813,0.0005632627950028267,70336
minutes,805,0.0005577202336743857,70336
old,802,0.0005556417731762202,70336
set,801,0.000554948953010165,70336
hard,793,0.000549406391681724,70336
should,789,0.0005466351110175034,70336
genre,788,0.0005459422908514483,70336
few,783,0.0005424781900211726,70336
nothing,782,0.0005417853698551175,70336
big,780,0.0005403997295230072,70336
take,779,0.0005397069093569521,70336
feels,779,0.0005397069093569521,70336
guy,776,0.0005376284488587866,70336
between,773,0.0005355499883606212,70336
both,772,0.000534857168194566,70336
almost,767,0.0005313930673642904,70336
look,762,0.0005279289665340147,70336
sure,762,0.0005279289665340147,70336
whole,755,0.0005230792253716288,70336
performances,752,0.0005210007648734634,70336
2,743,0.0005147653833789671,70336
performance,742,0.0005140725632129119,70336
everything,723,0.0005009089800578643,70336
la,721,0.000499523339725754,70336
year,720,0.0004988305195596989,70336
spoilers,720,0.0004988305195596989,70336
half,719,0.0004981376993936438,70336
times,710,0.0004919023178991476,70336
handle,702,0.00048635975657070643,70336
probably,702,0.00048635975657070643,70336
contain,698,0.0004835884759064859,70336
cool,696,0.00048220283557437563,70336
war,695,0.0004815100154083205,70336
want,695,0.0004815100154083205,70336
acting,693,0.00048012437507621023,70336
shit,692,0.0004794315549101551,70336
again,690,0.00047804591457804483,70336
ist,680,0.00047111771291749344,70336
killer,680,0.00047111771291749344,70336
james,676,0.0004683464322532729,70336
us,676,0.0004683464322532729,70336
solid,674,0.0004669607919211626,70336
o,674,0.0004669607919211626,70336
found,668,0.0004628038709248318,70336
own,667,0.00046211105075877665,70336
anything,662,0.000458646949928501,70336
crime,659,0.00045656848943033553,70336
ll,655,0.000453797208766115,70336
least,649,0.0004496402877697842,70336
yet,649,0.0004496402877697842,70336
wasn,642,0.0004447905466073982,70336
top,633,0.00043855516511290195,70336
original,631,0.0004371695247807917,70336
far,631,0.0004371695247807917,70336
entertaining,629,0.0004357838844486814,70336
full,625,0.0004330126037844609,70336
fucking,617,0.00042747004245601976,70336
definitely,614,0.00042539158195785436,70336
star,611,0.00042331312145968896,70336
point,610,0.00042262030129363383,70336
es,604,0.000418463380297303,70336
am,604,0.000418463380297303,70336
second,598,0.0004143064593009722,70336
find,597,0.00041361363913491704,70336
give,597,0.00041361363913491704,70336
maybe,597,0.00041361363913491704,70336
having,594,0.00041153517863675164,70336
bond,594,0.00041153517863675164,70336
ein,591,0.0004094567181385862,70336
e,582,0.00040322133664409,70336
might,578,0.0004004500559798694,70336
murder,576,0.00039906441564775913,70336
takes,571,0.00039560031481748346,70336
das,570,0.00039490749465142833,70336
everyone,566,0.00039213621398720774,70336
shot,562,0.0003893649333229872,70336
especially,561,0.0003886721131569321,70336
directed,560,0.00038797929299087694,70336
without,559,0.0003872864728248218,70336
5,559,0.0003872864728248218,70336
ending,558,0.0003865936526587667,70336
style,557,0.00038590083249271154,70336
night,555,0.0003845151921606013,70336
since,552,0.0003824367316624358,70336
moments,544,0.00037689417033399475,70336
felt,543,0.0003762013501679396,70336
absolutely,543,0.0003762013501679396,70336
fuck,541,0.00037481570983582935,70336
dark,540,0.0003741228896697742,70336
sense,538,0.0003727372493376639,70336
zu,536,0.00037135160900555363,70336
death,533,0.00036927314850738823,70336
y,531,0.00036788750817527796,70336
seems,530,0.00036719468800922283,70336
3,527,0.00036511622751105743,70336
someone,522,0.0003616521266807817,70336
making,521,0.0003609593065147266,70336
come,518,0.0003588808460165612,70336
once,518,0.0003588808460165612,70336
cinema,515,0.0003568023855183958,70336
our,513,0.0003554167451862855,70336
mit,508,0.0003519526443560098,70336
script,508,0.0003519526443560098,70336
mystery,507,0.00035125982418995465,70336
classic,505,0.0003498741838578444,70336
trying,504,0.00034918136369178925,70336
let,503,0.0003484885435257341,70336
together,502,0.000347795723359679,70336
house,500,0.0003464100830275687,70336
decent,499,0.0003457172628615136,70336
saw,497,0.00034433162252940326,70336
10,495,0.000342945982197293,70336
goes,495,0.000342945982197293,70336
place,494,0.00034225316203123786,70336
put,493,0.00034156034186518273,70336
boring,491,0.00034017470153307246,70336
favorite,490,0.00033948188136701733,70336
budget,490,0.00033948188136701733,70336
need,490,0.00033948188136701733,70336
drama,489,0.0003387890612009622,70336
plays,487,0.00033740342086885193,70336
stars,487,0.00033740342086885193,70336
looks,484,0.0003353249603706865,70336
robert,484,0.0003353249603706865,70336
liked,481,0.0003332464998725211,70336
american,481,0.0003332464998725211,70336
role,480,0.00033255367970646594,70336
away,480,0.00033255367970646594,70336
perfect,479,0.0003318608595404108,70336
different,479,0.0003318608595404108,70336
loved,479,0.0003318608595404108,70336
rather,478,0.0003311680393743557,70336
less,478,0.0003311680393743557,70336
tv,477,0.00033047521920830054,70336
said,476,0.0003297823990422454,70336
doing,475,0.0003290895788761903,70336
worst,475,0.0003290895788761903,70336
based,473,0.00032770393854408,70336
screen,472,0.0003270111183780249,70336
act,471,0.00032631829821196974,70336
men,471,0.00032631829821196974,70336
looking,471,0.00032631829821196974,70336
final,468,0.0003242398377138043,70336
early,465,0.0003221613772156389,70336
high,465,0.0003221613772156389,70336
idea,462,0.0003200829167174735,70336
um,462,0.0003200829167174735,70336
instead,461,0.00031939009655141835,70336
each,459,0.0003180044562193081,70336
done,458,0.00031731163605325295,70336
fact,458,0.00031731163605325295,70336
den,458,0.00031731163605325295,70336
1,457,0.00031661881588719776,70336
mean,457,0.00031661881588719776,70336
until,456,0.00031592599572114263,70336
however,455,0.0003152331755550875,70336
hell,454,0.00031454035538903236,70336
start,452,0.0003131547150569221,70336
young,451,0.00031246189489086696,70336
effects,451,0.00031246189489086696,70336
show,451,0.00031246189489086696,70336
lee,450,0.00031176907472481183,70336
stuff,446,0.0003089977940605913,70336
violence,443,0.00030691933356242584,70336
getting,442,0.0003062265133963707,70336
during,442,0.0003062265133963707,70336
version,442,0.0003062265133963707,70336
seeing,441,0.0003055336932303156,70336
nice,440,0.00030484087306426044,70336
dialogue,440,0.00030484087306426044,70336
came,437,0.00030276241256609504,70336
comedy,437,0.00030276241256609504,70336
remember,436,0.0003020695924000399,70336
true,434,0.00030068395206792964,70336
funny,434,0.00030068395206792964,70336
dead,433,0.0002999911319018745,70336
cop,433,0.0002999911319018745,70336
comes,432,0.0002992983117358194,70336
un,432,0.0002992983117358194,70336
en,430,0.0002979126714037091,70336
name,430,0.0002979126714037091,70336
itself,429,0.0002972198512376539,70336
ich,428,0.0002965270310715988,70336
three,426,0.0002951413907394885,70336
completely,425,0.0002944485705734334,70336
michael,425,0.0002944485705734334,70336
works,424,0.00029375575040737825,70336
enjoyed,424,0.00029375575040737825,70336
flick,423,0.0002930629302413231,70336
weird,422,0.000292370110075268,70336
actors,417,0.0002889060092449923,70336
mostly,415,0.000287520368912882,70336
von,412,0.0002854419084147166,70336
lead,412,0.0002854419084147166,70336
oh,411,0.00028474908824866146,70336
amazing,407,0.00028197780758444093,70336
job,406,0.0002812849874183858,70336
wanted,404,0.00027989934708627553,70336
next,403,0.0002792065269202204,70336
run,402,0.0002785137067541652,70336
opening,400,0.00027712806642205494,70336
main,399,0.0002764352462559998,70336
