types,counts,probs,total_unique
the,4961,0.04444384720131871,14974
a,3239,0.029017057263670896,14974
and,2748,0.02461836164265749,14974
of,2409,0.021581380348312192,14974
to,1989,0.017818748656202966,14974
i,1836,0.016448075682648892,14974
it,1706,0.015283451587472229,14974
is,1564,0.014011323729663872,14974
in,1521,0.013626101913566975,14974
s,1437,0.01287357557514513,14974
this,1340,0.01200458682720562,14974
that,1150,0.010302443918870493,14974
but,845,0.0075700566186483196,14974
as,809,0.007247545330753243,14974
was,762,0.006826488927112449,14974
with,742,0.0066473159893929625,14974
for,695,0.006226259585752168,14974
western,693,0.006208342291980219,14974
film,643,0.005760409947681502,14974
on,579,0.005187056546979144,14974
t,552,0.004945173081057837,14974
movie,495,0.0044345302085573,14974
his,494,0.0044255715616713254,14974
you,486,0.004353902386583531,14974
an,462,0.004138894861320146,14974
one,461,0.004129936214434172,14974
not,431,0.0038611768078549414,14974
he,413,0.0036999211639074034,14974
by,392,0.0035117895793019423,14974
from,383,0.003431161757328173,14974
all,367,0.003287823407152584,14974
so,363,0.0032519888196086864,14974
be,360,0.0032251128789507633,14974
like,358,0.0032071955851788146,14974
my,335,0.003001146706801405,14974
at,323,0.0028936429441697126,14974
are,321,0.002875725650397764,14974
good,313,0.002804056475309969,14974
just,310,0.0027771805346520463,14974
have,301,0.002696552712678277,14974
who,295,0.002642800831362431,14974
some,283,0.0025352970687307387,14974
me,277,0.002481545187414893,14974
more,266,0.002383000071669175,14974
they,264,0.0023650827778972264,14974
there,258,0.00231133089658138,14974
up,256,0.0022934136028094315,14974
time,256,0.0022934136028094315,14974
about,247,0.0022127857808356627,14974
what,244,0.0021859098401777396,14974
really,238,0.0021321579588618935,14974
out,237,0.002123199311975919,14974
can,236,0.002114240665089945,14974
great,236,0.002114240665089945,14974
no,233,0.0020873647244320217,14974
or,231,0.002069447430660073,14974
has,228,0.00204257149000215,14974
its,224,0.0020067369024582525,14974
john,207,0.0018544399053966889,14974
when,205,0.0018365226116247402,14974
had,198,0.0017738120834229199,14974
much,194,0.0017379774958790224,14974
well,193,0.001729018848993048,14974
de,183,0.0016394323801333047,14974
if,182,0.0016304737332473304,14974
very,180,0.0016125564394753817,14974
which,179,0.0016035977925894073,14974
we,176,0.0015767218519314842,14974
man,173,0.0015498459112735612,14974
ve,173,0.0015498459112735612,14974
than,171,0.0015319286175016125,14974
also,170,0.0015229699706156383,14974
story,170,0.0015229699706156383,14974
first,163,0.0014602594424138178,14974
even,160,0.0014333835017558947,14974
only,158,0.001415466207983946,14974
cast,154,0.0013796316204400488,14974
most,152,0.0013617143266681,14974
m,149,0.001334838386010177,14974
into,147,0.0013169210922382283,14974
would,147,0.0013169210922382283,14974
do,146,0.001307962445352254,14974
their,145,0.0012990037984662796,14974
made,145,0.0012990037984662796,14974
her,144,0.0012900451515803052,14974
get,143,0.0012810865046943309,14974
der,141,0.0012631692109223824,14974
here,140,0.001254210564036408,14974
how,139,0.0012452519171504337,14974
bad,138,0.0012362932702644593,14974
been,137,0.001227334623378485,14974
best,136,0.0012183759764925106,14974
und,135,0.0012094173296065362,14974
westerns,134,0.001200458682720562,14974
way,134,0.001200458682720562,14974
them,134,0.001200458682720562,14974
watch,133,0.0011915000358345875,14974
train,133,0.0011915000358345875,14974
town,132,0.0011825413889486132,14974
being,131,0.0011735827420626388,14974
two,130,0.0011646240951766645,14974
pretty,130,0.0011646240951766645,14974
films,129,0.00115566544829069,14974
too,127,0.0011377481545187414,14974
die,125,0.001119830860746793,14974
love,125,0.001119830860746793,14974
where,121,0.0010839962732028955,14974
still,116,0.0010392030387730237,14974
were,115,0.0010302443918870493,14974
him,115,0.0010302443918870493,14974
after,115,0.0010302443918870493,14974
seen,114,0.001021285745001075,14974
see,114,0.001021285745001075,14974
character,113,0.0010123270981151006,14974
know,113,0.0010123270981151006,14974
other,113,0.0010123270981151006,14974
characters,113,0.0010123270981151006,14974
think,111,0.0009944098043431521,14974
make,110,0.0009854511574571778,14974
old,110,0.0009854511574571778,14974
don,107,0.0009585752167992547,14974
because,106,0.0009496165699132803,14974
fun,106,0.0009496165699132803,14974
through,105,0.000940657923027306,14974
while,105,0.000940657923027306,14974
could,104,0.0009316992761413316,14974
movies,103,0.0009227406292553573,14974
long,102,0.0009137819823693829,14974
ever,102,0.0009137819823693829,14974
bronson,101,0.0009048233354834085,14974
life,101,0.0009048233354834085,14974
que,100,0.0008958646885974343,14974
3,99,0.0008869060417114599,14974
never,98,0.0008779473948254856,14974
james,98,0.0008779473948254856,14974
lancaster,96,0.0008600301010535369,14974
genre,96,0.0008600301010535369,14974
new,94,0.0008421128072815882,14974
over,94,0.0008421128072815882,14974
always,93,0.0008331541603956138,14974
off,93,0.0008331541603956138,14974
she,92,0.0008241955135096395,14974
last,91,0.0008152368666236652,14974
then,91,0.0008152368666236652,14974
both,91,0.0008152368666236652,14974
action,91,0.0008152368666236652,14974
does,90,0.0008062782197376908,14974
though,90,0.0008062782197376908,14974
your,90,0.0008062782197376908,14974
doesn,88,0.0007883609259657421,14974
little,88,0.0007883609259657421,14974
every,88,0.0007883609259657421,14974
lot,88,0.0007883609259657421,14974
something,88,0.0007883609259657421,14974
wayne,88,0.0007883609259657421,14974
better,87,0.0007794022790797678,14974
tom,87,0.0007794022790797678,14974
re,87,0.0007794022790797678,14974
back,87,0.0007794022790797678,14974
did,86,0.0007704436321937934,14974
people,86,0.0007704436321937934,14974
makes,85,0.0007614849853078192,14974
quite,84,0.0007525263384218448,14974
thing,83,0.0007435676915358704,14974
say,82,0.0007346090446498961,14974
douglas,82,0.0007346090446498961,14974
el,82,0.0007346090446498961,14974
may,82,0.0007346090446498961,14974
review,80,0.0007166917508779474,14974
men,80,0.0007166917508779474,14974
watching,79,0.000707733103991973,14974
didn,79,0.000707733103991973,14974
west,79,0.000707733103991973,14974
la,79,0.000707733103991973,14974
raimi,79,0.000707733103991973,14974
work,78,0.0006987744571059987,14974
now,78,0.0006987744571059987,14974
earp,78,0.0006987744571059987,14974
enough,77,0.0006898158102200244,14974
tarantino,77,0.0006898158102200244,14974
between,76,0.00068085716333405,14974
got,76,0.00068085716333405,14974
gun,76,0.00068085716333405,14974
going,75,0.0006718985164480757,14974
watched,75,0.0006718985164480757,14974
minutes,75,0.0006718985164480757,14974
2,74,0.0006629398695621013,14974
charles,74,0.0006629398695621013,14974
down,72,0.0006450225757901526,14974
these,72,0.0006450225757901526,14974
half,71,0.0006360639289041783,14974
many,71,0.0006360639289041783,14974
director,70,0.000627105282018204,14974
years,70,0.000627105282018204,14974
part,70,0.000627105282018204,14974
10,70,0.000627105282018204,14974
hepburn,69,0.0006181466351322297,14974
guy,69,0.0006181466351322297,14974
performances,68,0.0006091879882462553,14974
sure,68,0.0006091879882462553,14974
set,68,0.0006091879882462553,14974
will,68,0.0006091879882462553,14974
american,67,0.000600229341360281,14974
same,67,0.000600229341360281,14974
wyatt,67,0.000600229341360281,14974
far,67,0.000600229341360281,14974
robert,67,0.000600229341360281,14974
go,67,0.000600229341360281,14974
apache,66,0.0005912706944743066,14974
performance,66,0.0005912706944743066,14974
o,66,0.0005912706944743066,14974
another,66,0.0005912706944743066,14974
von,65,0.0005823120475883322,14974
burt,65,0.0005823120475883322,14974
takes,65,0.0005823120475883322,14974
nothing,65,0.0005823120475883322,14974
bit,65,0.0005823120475883322,14974
any,65,0.0005823120475883322,14974
shot,65,0.0005823120475883322,14974
those,65,0.0005823120475883322,14974
interesting,65,0.0005823120475883322,14974
around,64,0.0005733534007023579,14974
feel,64,0.0005733534007023579,14974
mit,63,0.0005643947538163836,14974
right,63,0.0005643947538163836,14974
sturges,63,0.0005643947538163836,14974
jodorowsky,63,0.0005643947538163836,14974
few,62,0.0005554361069304093,14974
directed,62,0.0005554361069304093,14974
having,62,0.0005554361069304093,14974
true,61,0.0005464774600444349,14974
second,61,0.0005464774600444349,14974
kirk,61,0.0005464774600444349,14974
end,61,0.0005464774600444349,14974
feels,61,0.0005464774600444349,14974
whole,60,0.0005375188131584606,14974
wild,60,0.0005375188131584606,14974
crowe,60,0.0005375188131584606,14974
actually,60,0.0005375188131584606,14974
day,59,0.0005285601662724862,14974
real,59,0.0005285601662724862,14974
scene,59,0.0005285601662724862,14974
actors,59,0.0005285601662724862,14974
cowboy,59,0.0005285601662724862,14974
en,58,0.0005196015193865118,14974
jesse,58,0.0005196015193865118,14974
scenes,58,0.0005196015193865118,14974
top,58,0.0005196015193865118,14974
corman,58,0.0005196015193865118,14974
before,58,0.0005196015193865118,14974
why,57,0.0005106428725005375,14974
ein,57,0.0005106428725005375,14974
un,57,0.0005106428725005375,14974
d,57,0.0005106428725005375,14974
everyone,57,0.0005106428725005375,14974
take,56,0.0005016842256145631,14974
gay,56,0.0005016842256145631,14974
women,56,0.0005016842256145631,14974
quinn,55,0.0004927255787285889,14974
almost,55,0.0004927255787285889,14974
kind,55,0.0004927255787285889,14974
plot,55,0.0004927255787285889,14974
look,55,0.0004927255787285889,14974
times,55,0.0004927255787285889,14974
murphy,55,0.0004927255787285889,14974
es,55,0.0004927255787285889,14974
bale,55,0.0004927255787285889,14974
mystery,54,0.00048376693184261447,14974
probably,54,0.00048376693184261447,14974
epic,54,0.00048376693184261447,14974
den,54,0.00048376693184261447,14974
isn,54,0.00048376693184261447,14974
thought,54,0.00048376693184261447,14974
world,53,0.00047480828495664016,14974
star,53,0.00047480828495664016,14974
solid,53,0.00047480828495664016,14974
such,52,0.0004658496380706658,14974
roger,52,0.0004658496380706658,14974
hardy,52,0.0004658496380706658,14974
everything,52,0.0004658496380706658,14974
own,52,0.0004658496380706658,14974
once,52,0.0004658496380706658,14974
should,52,0.0004658496380706658,14974
seems,51,0.00045689099118469145,14974
wife,51,0.00045689099118469145,14974
death,51,0.00045689099118469145,14974
original,51,0.00045689099118469145,14974
truth,50,0.00044793234429871715,14974
cool,50,0.00044793234429871715,14974
stars,50,0.00044793234429871715,14974
role,50,0.00044793234429871715,14974
year,50,0.00044793234429871715,14974
era,50,0.00044793234429871715,14974
hours,50,0.00044793234429871715,14974
things,50,0.00044793234429871715,14974
spoilers,50,0.00044793234429871715,14974
name,49,0.0004389736974127428,14974
jane,49,0.0004389736974127428,14974
each,49,0.0004389736974127428,14974
ll,49,0.0004389736974127428,14974
hard,49,0.0004389736974127428,14974
sam,49,0.0004389736974127428,14974
russell,49,0.0004389736974127428,14974
grit,48,0.00043001505052676843,14974
entertaining,48,0.00043001505052676843,14974
emigrants,48,0.00043001505052676843,14974
strong,48,0.00043001505052676843,14974
classic,47,0.0004210564036407941,14974
costner,47,0.0004210564036407941,14974
favorite,47,0.0004210564036407941,14974
land,47,0.0004210564036407941,14974
travolta,47,0.0004210564036407941,14974
contain,47,0.0004210564036407941,14974
handle,47,0.0004210564036407941,14974
looks,47,0.0004210564036407941,14974
audie,47,0.0004210564036407941,14974
revenge,46,0.0004120977567548198,14974
without,46,0.0004120977567548198,14974
violence,46,0.0004120977567548198,14974
son,46,0.0004120977567548198,14974
5,46,0.0004120977567548198,14974
christian,46,0.0004120977567548198,14974
three,45,0.0004031391098688454,14974
hour,45,0.0004031391098688454,14974
marshal,45,0.0004031391098688454,14974
aldrich,45,0.0004031391098688454,14974
y,45,0.0004031391098688454,14974
yet,45,0.0004031391098688454,14974
wasn,45,0.0004031391098688454,14974
ford,44,0.00039418046298287106,14974
definitely,44,0.00039418046298287106,14974
maybe,44,0.00039418046298287106,14974
us,44,0.00039418046298287106,14974
however,44,0.00039418046298287106,14974
mean,44,0.00039418046298287106,14974
war,43,0.0003852218160968967,14974
family,43,0.0003852218160968967,14974
ist,43,0.0003852218160968967,14974
put,43,0.0003852218160968967,14974
least,43,0.0003852218160968967,14974
das,43,0.0003852218160968967,14974
anything,43,0.0003852218160968967,14974
kill,43,0.0003852218160968967,14974
find,43,0.0003852218160968967,14974
beautiful,42,0.0003762631692109224,14974
dead,42,0.0003762631692109224,14974
liked,42,0.0003762631692109224,14974
e,42,0.0003762631692109224,14974
se,42,0.0003762631692109224,14974
cinema,42,0.0003762631692109224,14974
style,42,0.0003762631692109224,14974
tombstone,42,0.0003762631692109224,14974
again,42,0.0003762631692109224,14974
especially,41,0.00036730452232494804,14974
big,41,0.00036730452232494804,14974
anthony,41,0.00036730452232494804,14974
am,41,0.00036730452232494804,14974
gant,41,0.00036730452232494804,14974
native,40,0.0003583458754389737,14974
um,40,0.0003583458754389737,14974
rooster,40,0.0003583458754389737,14974
might,40,0.0003583458754389737,14974
zorro,40,0.0003583458754389737,14974
together,40,0.0003583458754389737,14974
decent,40,0.0003583458754389737,14974
topo,40,0.0003583458754389737,14974
