types,counts,probs,total_unique
always,861,0.0007627251523014191,61922
big,860,0.0007618392926587925,61922
any,860,0.0007618392926587925,61922
she,847,0.000750323117304648,61922
review,843,0.000746779678734142,61922
thing,839,0.000743236240163636,61922
actually,832,0.0007370352226652504,61922
plot,825,0.0007308342051668649,61922
though,823,0.0007290624858816119,61922
through,823,0.0007290624858816119,61922
may,822,0.0007281766262389854,61922
adventure,816,0.0007228614683832264,61922
does,807,0.0007148887315995879,61922
feel,807,0.0007148887315995879,61922
long,784,0.0006945139598191784,61922
star,767,0.0006794543458945278,61922
life,766,0.0006785684862519013,61922
go,765,0.0006776826266092748,61922
john,764,0.0006767967669666483,61922
old,754,0.0006679381705403832,61922
bond,735,0.0006511068373304797,61922
makes,733,0.0006493351180452267,61922
doesn,728,0.0006449058198320941,61922
those,727,0.0006440199601894677,61922
bit,725,0.0006422482409042146,61922
scene,723,0.0006404765216189616,61922
before,716,0.0006342755041205761,61922
day,716,0.0006342755041205761,61922
new,706,0.000625416907694311,61922
part,706,0.000625416907694311,61922
kind,704,0.0006236451884090581,61922
last,691,0.0006121290130549136,61922
end,689,0.0006103572937696606,61922
work,677,0.0005997269780581425,61922
que,676,0.000598841118415516,61922
right,675,0.0005979552587728895,61922
enough,667,0.0005908683816318775,61922
set,666,0.0005899825219892509,61922
quite,665,0.0005890966623466245,61922
such,663,0.0005873249430613715,61922
look,663,0.0005873249430613715,61922
scenes,657,0.0005820097852056124,61922
another,651,0.0005766946273498535,61922
feels,646,0.0005722653291367209,61922
thought,639,0.0005660643116383354,61922
down,638,0.0005651784519957089,61922
things,637,0.0005642925923530824,61922
war,637,0.0005642925923530824,61922
should,637,0.0005642925923530824,61922
real,627,0.0005554339959268174,61922
half,623,0.0005518905573563114,61922
isn,614,0.0005439178205726728,61922
year,614,0.0005439178205726728,61922
around,610,0.0005403743820021668,61922
everything,607,0.0005377168030742873,61922
director,604,0.0005350592241464078,61922
again,604,0.0005350592241464078,61922
take,598,0.0005297440662906488,61922
same,597,0.0005288582066480223,61922
ll,594,0.0005262006277201428,61922
probably,592,0.0005244289084348898,61922
2,591,0.0005235430487922632,61922
sure,588,0.0005208854698643837,61922
want,586,0.0005191137505791307,61922
times,584,0.0005173420312938777,61922
few,582,0.0005155703120086247,61922
minutes,578,0.0005120268734381188,61922
james,574,0.0005084834348676127,61922
almost,573,0.0005075975752249862,61922
ist,572,0.0005067117155823597,61922
both,570,0.0005049399962971067,61922
us,556,0.0004925379613003357,61922
between,548,0.00048545108415932363,61922
effects,546,0.0004836793648740706,61922
am,535,0.0004739349088051791,61922
comedy,532,0.00047127732987729956,61922
whole,532,0.00047127732987729956,61922
shit,531,0.0004703914702346731,61922
das,530,0.0004695056105920466,61922
far,529,0.0004686197509494201,61922
yet,525,0.00046507631237891405,61922
interesting,523,0.00046330459309366104,61922
nothing,523,0.00046330459309366104,61922
funny,523,0.00046330459309366104,61922
our,522,0.00046241873345103453,61922
kid,516,0.00045710357559527553,61922
truth,511,0.000452674277382143,61922
cinema,510,0.00045178841773951654,61922
hard,510,0.00045178841773951654,61922
guy,509,0.00045090255809689003,61922
cool,507,0.000449130838811637,61922
beautiful,506,0.0004482449791690105,61922
having,506,0.0004482449791690105,61922
original,500,0.00044292982131325146,61922
least,500,0.00044292982131325146,61922
la,498,0.0004411581020279985,61922
gets,497,0.000440272242385372,61922
anything,497,0.000440272242385372,61922
series,497,0.000440272242385372,61922
fucking,492,0.00043584294417223945,61922
come,489,0.00043318536524436,61922
family,486,0.00043052778631648045,61922
since,485,0.00042964192667385395,61922
3,480,0.0004252126284607214,61922
entertaining,477,0.00042255504953284193,61922
full,476,0.0004216691898902154,61922
favorite,476,0.0004216691898902154,61922
making,473,0.0004190116109623359,61922
felt,472,0.0004181257513197094,61922
cgi,469,0.00041546817239182987,61922
find,467,0.0004136964531065769,61922
own,467,0.0004136964531065769,61922
definitely,462,0.00040926715489344437,61922
ein,460,0.00040749543560819135,61922
5,460,0.00040749543560819135,61922
maybe,459,0.00040660957596556484,61922
spoilers,451,0.00039952269882455283,61922
den,449,0.0003977509795392998,61922
without,447,0.00039597926025404685,61922
live,446,0.00039509340061142035,61922
handle,445,0.00039420754096879384,61922
ich,441,0.0003906641023982878,61922
screen,440,0.0003897782427556613,61922
give,439,0.0003888923831130348,61922
es,439,0.0003888923831130348,61922
contain,438,0.0003880065234704083,61922
said,436,0.0003862348041851553,61922
saw,429,0.00038003378668676976,61922
might,429,0.00038003378668676976,61922
show,429,0.00038003378668676976,61922
looks,429,0.00038003378668676976,61922
second,428,0.00037914792704414325,61922
wasn,427,0.00037826206740151675,61922
1,426,0.0003773762077588903,61922
absolutely,426,0.0003773762077588903,61922
sense,425,0.0003764903481162638,61922
point,423,0.00037471862883101077,61922
classic,420,0.00037206104990313124,61922
zu,415,0.00036763175168999876,61922
perfect,415,0.00036763175168999876,61922
remember,414,0.00036674589204737225,61922
e,413,0.00036586003240474574,61922
let,409,0.0003623165938342397,61922
mit,409,0.0003623165938342397,61922
place,406,0.0003596590149063602,61922
acting,406,0.0003596590149063602,61922
need,404,0.0003578872956211072,61922
fuck,402,0.0003561155763358542,61922
god,401,0.0003552297166932277,61922
space,400,0.0003543438570506012,61922
takes,397,0.00035168627812272166,61922
three,395,0.00034991455883746865,61922
production,395,0.00034991455883746865,61922
everyone,394,0.0003490286991948422,61922
looking,394,0.0003490286991948422,61922
once,393,0.0003481428395522157,61922
fight,392,0.0003472569799095892,61922
top,392,0.0003472569799095892,61922
men,391,0.00034637112026696267,61922
fact,391,0.00034637112026696267,61922
10,390,0.00034548526062433616,61922
fi,388,0.00034371354133908315,61922
o,387,0.00034282768169645664,61922
version,387,0.00034282768169645664,61922
amazing,387,0.00034282768169645664,61922
sci,386,0.00034194182205383013,61922
high,386,0.00034194182205383013,61922
loved,386,0.00034194182205383013,61922
epic,386,0.00034194182205383013,61922
stars,384,0.00034017010276857717,61922
pei,383,0.00033928424312595066,61922
put,382,0.00033839838348332415,61922
disney,382,0.00033839838348332415,61922
especially,379,0.0003357408045554446,61922
together,379,0.0003357408045554446,61922
seems,378,0.0003348549449128181,61922
directed,376,0.0003330832256275651,61922
true,375,0.0003321973659849386,61922
less,375,0.0003321973659849386,61922
moments,373,0.00033042564669968563,61922
genre,372,0.0003295397870570591,61922
special,372,0.0003295397870570591,61922
en,369,0.0003268822081291796,61922
enjoyed,369,0.0003268822081291796,61922
different,369,0.0003268822081291796,61922
oh,368,0.0003259963484865531,61922
sequel,367,0.0003251104888439266,61922
budget,367,0.0003251104888439266,61922
shot,366,0.0003242246292013001,61922
nicht,366,0.0003242246292013001,61922
von,365,0.00032333876955867357,61922
entire,364,0.00032245290991604706,61922
young,362,0.0003206811906307941,61922
trying,362,0.0003206811906307941,61922
goes,362,0.0003206811906307941,61922
weird,361,0.0003197953309881676,61922
however,359,0.00031802361170291457,61922
y,357,0.00031625189241766156,61922
un,356,0.00031536603277503505,61922
performances,356,0.00031536603277503505,61922
actors,355,0.00031448017313240854,61922
seeing,355,0.00031448017313240854,61922
instead,354,0.00031359431348978203,61922
during,353,0.0003127084538471555,61922
boring,349,0.00030916501527664955,61922
found,349,0.00030916501527664955,61922
score,348,0.00030827915563402304,61922
performance,347,0.00030739329599139653,61922
hell,347,0.00030739329599139653,61922
fantasy,346,0.00030650743634877,61922
shaw,345,0.0003056215767061435,61922
nice,344,0.000304735717063517,61922
liked,343,0.0003038498574208905,61922
based,339,0.0003003064188503845,61922
heart,339,0.0003003064188503845,61922
stuff,339,0.0003003064188503845,61922
must,336,0.000297648839922505,61922
um,336,0.000297648839922505,61922
honestly,335,0.0002967629802798785,61922
role,335,0.0002967629802798785,61922
worst,335,0.0002967629802798785,61922
next,335,0.0002967629802798785,61922
solid,334,0.000295877120637252,61922
tell,330,0.000292333682066746,61922
came,327,0.0002896761031388665,61922
doing,326,0.00028879024349623997,61922
western,326,0.00028879024349623997,61922
lost,325,0.00028790438385361346,61922
american,325,0.00028790438385361346,61922
mean,323,0.00028613266456836044,61922
king,323,0.00028613266456836044,61922
idea,320,0.00028347508564048097,61922
each,320,0.00028347508564048097,61922
yes,319,0.00028258922599785446,61922
silly,317,0.00028081750671260145,61922
despite,317,0.00028081750671260145,61922
kids,317,0.00028081750671260145,61922
believe,316,0.00027993164706997494,61922
rather,315,0.00027904578742734843,61922
done,314,0.0002781599277847219,61922
away,313,0.0002772740681420954,61922
getting,313,0.0002772740681420954,61922
game,310,0.00027461648921421595,61922
start,310,0.00027461648921421595,61922
completely,309,0.00027373062957158944,61922
death,308,0.00027284476992896293,61922
truly,307,0.0002719589102863364,61922
style,306,0.0002710730506437099,61922
boy,306,0.0002710730506437099,61922
horror,306,0.0002710730506437099,61922
stop,305,0.0002701871910010834,61922
auf,305,0.0002701871910010834,61922
final,305,0.0002701871910010834,61922
white,305,0.0002701871910010834,61922
literally,302,0.0002675296120732039,61922
enjoyable,302,0.0002675296120732039,61922
tv,302,0.0002675296120732039,61922
trek,302,0.0002675296120732039,61922
used,302,0.0002675296120732039,61922
earth,301,0.00026664375243057737,61922
comes,299,0.0002648720331453244,61922
wanted,299,0.0002648720331453244,61922
fan,298,0.0002639861735026979,61922
yeah,297,0.0002631003138600714,61922
until,296,0.0002622144542174449,61922
course,294,0.00026044273493219187,61922
kinda,294,0.00026044273493219187,61922
hour,293,0.00025955687528956536,61922
women,293,0.00025955687528956536,61922
experience,293,0.00025955687528956536,61922
ass,292,0.00025867101564693885,61922
robert,291,0.00025778515600431235,61922
early,290,0.00025689929636168584,61922
itself,290,0.00025689929636168584,61922
home,290,0.00025689929636168584,61922
mostly,290,0.00025689929636168584,61922
dem,289,0.0002560134367190594,61922
peter,289,0.0002560134367190594,61922
black,288,0.0002551275770764329,61922
super,287,0.00025424171743380637,61922
today,285,0.00025246999814855335,61922
franchise,285,0.00025246999814855335,61922
script,284,0.00025158413850592684,61922
plays,283,0.00025069827886330033,61922
played,283,0.00025069827886330033,61922
playing,283,0.00025069827886330033,61922
ending,281,0.0002489265595780473,61922
eine,279,0.0002471548402927943,61922
design,279,0.0002471548402927943,61922
book,279,0.0002471548402927943,61922
michael,279,0.0002471548402927943,61922
wish,278,0.00024626898065016785,61922
music,278,0.00024626898065016785,61922
someone,278,0.00024626898065016785,61922
name,277,0.00024538312100754134,61922
fantastic,276,0.00024449726136491483,61922
face,276,0.00024449726136491483,61922
hate,274,0.00024272554207966182,61922
rock,274,0.00024272554207966182,61922
mind,273,0.0002418396824370353,61922
sequences,273,0.0002418396824370353,61922
auch,273,0.0002418396824370353,61922
main,273,0.0002418396824370353,61922
piece,273,0.0002418396824370353,61922
decent,273,0.0002418396824370353,61922
villain,273,0.0002418396824370353,61922
terrible,272,0.0002409538227944088,61922
went,272,0.0002409538227944088,61922
sets,272,0.0002409538227944088,61922
sich,271,0.00024006796315178232,61922
tale,270,0.0002391821035091558,61922
dialogue,270,0.0002391821035091558,61922
power,269,0.0002382962438665293,61922
use,269,0.0002382962438665293,61922
level,268,0.0002374103842239028,61922
works,267,0.00023652452458127629,61922
im,266,0.00023563866493864978,61922
cinematography,266,0.00023563866493864978,61922
4,266,0.00023563866493864978,61922
against,265,0.0002347528052960233,61922
stupid,265,0.0002347528052960233,61922
history,265,0.0002347528052960233,61922
monster,264,0.0002338669456533968,61922
damn,264,0.0002338669456533968,61922
b,264,0.0002338669456533968,61922
cinematic,263,0.00023298108601077028,61922
head,263,0.00023298108601077028,61922
incredible,262,0.00023209522636814377,61922
else,262,0.00023209522636814377,61922
sometimes,262,0.00023209522636814377,61922
along,261,0.00023120936672551726,61922
wrong,261,0.00023120936672551726,61922
enjoy,259,0.00022943764744026428,61922
da,259,0.00022943764744026428,61922
als,258,0.00022855178779763777,61922
ranked,257,0.00022766592815501126,61922
el,257,0.00022766592815501126,61922
des,257,0.00022766592815501126,61922
later,257,0.00022766592815501126,61922
hat,256,0.00022678006851238475,61922
human,256,0.00022678006851238475,61922
giant,255,0.00022589420886975827,61922
opening,254,0.00022500834922713176,61922
lead,254,0.00022500834922713176,61922
brothers,253,0.00022412248958450525,61922
era,252,0.00022323662994187875,61922
aber,251,0.00022235077029925224,61922
woman,250,0.00022146491065662573,61922
basically,250,0.00022146491065662573,61922
worth,250,0.00022146491065662573,61922
reason,249,0.00022057905101399925,61922
jungle,249,0.00022057905101399925,61922
hollywood,248,0.00021969319137137274,61922
rest,247,0.00021880733172874623,61922
either,247,0.00021880733172874623,61922
children,245,0.00021703561244349322,61922
finally,245,0.00021703561244349322,61922
le,243,0.00021526389315824023,61922
filme,243,0.00021526389315824023,61922
red,242,0.00021437803351561372,61922
drama,242,0.00021437803351561372,61922
late,241,0.0002134921738729872,61922
kevin,241,0.0002134921738729872,61922
couldn,241,0.0002134921738729872,61922
evil,241,0.0002134921738729872,61922
girl,240,0.0002126063142303607,61922
guys,240,0.0002126063142303607,61922
baby,240,0.0002126063142303607,61922
title,239,0.00021172045458773422,61922
fine,239,0.00021172045458773422,61922
strong,239,0.00021172045458773422,61922
greatest,237,0.0002099487353024812,61922
anyone,236,0.0002090628756598547,61922
flick,236,0.0002090628756598547,61922
tom,236,0.0002090628756598547,61922
gonna,235,0.0002081770160172282,61922
awesome,235,0.0002081770160172282,61922
moment,235,0.0002081770160172282,61922
hours,235,0.0002081770160172282,61922
night,234,0.0002072911563746017,61922
hot,234,0.0002072911563746017,61922
play,233,0.0002064052967319752,61922
jones,232,0.0002055194370893487,61922
act,232,0.0002055194370893487,61922
actor,232,0.0002055194370893487,61922
guess,231,0.00020463357744672218,61922
age,231,0.00020463357744672218,61922
past,231,0.00020463357744672218,61922
90s,231,0.00020463357744672218,61922
already,231,0.00020463357744672218,61922
low,231,0.00020463357744672218,61922
ago,230,0.00020374771780409568,61922
overall,229,0.00020286185816146917,61922
connery,229,0.00020286185816146917,61922
exactly,228,0.00020197599851884269,61922
narrative,228,0.00020197599851884269,61922
keep,227,0.00020109013887621618,61922
myself,227,0.00020109013887621618,61922
group,227,0.00020109013887621618,61922
lee,227,0.00020109013887621618,61922
child,227,0.00020109013887621618,61922
dumb,226,0.00020020427923358967,61922
okay,226,0.00020020427923358967,61922
try,225,0.00019931841959096316,61922
left,224,0.00019843255994833665,61922
took,224,0.00019843255994833665,61922
crazy,223,0.00019754670030571017,61922
wonder,222,0.00019666084066308366,61922
care,222,0.00019666084066308366,61922
com,222,0.00019666084066308366,61922
l,222,0.00019666084066308366,61922
school,222,0.00019666084066308366,61922
certainly,221,0.00019577498102045716,61922
sword,221,0.00019577498102045716,61922
started,221,0.00019577498102045716,61922
single,221,0.00019577498102045716,61922
actual,220,0.00019488912137783065,61922
100,219,0.00019400326173520414,61922
cut,219,0.00019400326173520414,61922
sort,219,0.00019400326173520414,61922
help,219,0.00019400326173520414,61922
understand,218,0.00019311740209257766,61922
friends,217,0.00019223154244995115,61922
knew,217,0.00019223154244995115,61922
list,216,0.00019134568280732464,61922
howard,216,0.00019134568280732464,61922
although,216,0.00019134568280732464,61922
line,216,0.00019134568280732464,61922
c,215,0.00019045982316469814,61922
happy,215,0.00019045982316469814,61922
20,215,0.00019045982316469814,61922
coming,214,0.00018957396352207163,61922
dark,213,0.00018868810387944515,61922
couple,213,0.00018868810387944515,61922
third,212,0.00018780224423681864,61922
days,212,0.00018780224423681864,61922
für,212,0.00018780224423681864,61922
feeling,212,0.00018780224423681864,61922
david,212,0.00018780224423681864,61922
hero,210,0.00018603052495156562,61922
gave,209,0.0001851446653089391,61922
wie,209,0.0001851446653089391,61922
masterpiece,209,0.0001851446653089391,61922
video,209,0.0001851446653089391,61922
rewatch,208,0.0001842588056663126,61922
insane,207,0.00018337294602368612,61922
throughout,207,0.00018337294602368612,61922
given,207,0.00018337294602368612,61922
expected,206,0.00018248708638105962,61922
dragon,206,0.00018248708638105962,61922
job,204,0.0001807153670958066,61922
somehow,203,0.0001798295074531801,61922
slow,202,0.0001789436478105536,61922
nature,202,0.0001789436478105536,61922
chris,202,0.0001789436478105536,61922
turn,202,0.0001789436478105536,61922
land,202,0.0001789436478105536,61922
robin,202,0.0001789436478105536,61922
kill,201,0.0001780577881679271,61922
wouldn,201,0.0001780577881679271,61922
aus,201,0.0001780577881679271,61922
short,201,0.0001780577881679271,61922
direction,200,0.0001771719285253006,61922
haven,200,0.0001771719285253006,61922
alone,200,0.0001771719285253006,61922
plus,200,0.0001771719285253006,61922
straight,200,0.0001771719285253006,61922
journey,200,0.0001771719285253006,61922
battle,200,0.0001771719285253006,61922
light,199,0.00017628606888267409,61922
seriously,199,0.00017628606888267409,61922
feature,199,0.00017628606888267409,61922
self,199,0.00017628606888267409,61922
est,198,0.00017540020924004758,61922
run,198,0.00017540020924004758,61922
often,198,0.00017540020924004758,61922
ray,198,0.00017540020924004758,61922
wuxia,198,0.00017540020924004758,61922
comic,197,0.0001745143495974211,61922
planet,197,0.0001745143495974211,61922
seem,197,0.0001745143495974211,61922
five,196,0.0001736284899547946,61922
elements,196,0.0001736284899547946,61922
thinking,196,0.0001736284899547946,61922
pieces,196,0.0001736284899547946,61922
genuinely,196,0.0001736284899547946,61922
visual,196,0.0001736284899547946,61922
adaptation,195,0.00017274263031216808,61922
team,195,0.00017274263031216808,61922
er,195,0.00017274263031216808,61922
80s,195,0.00017274263031216808,61922
middle,195,0.00017274263031216808,61922
surprisingly,195,0.00017274263031216808,61922
simply,194,0.00017185677066954157,61922
science,194,0.00017185677066954157,61922
under,194,0.00017185677066954157,61922
father,193,0.00017097091102691506,61922
read,193,0.00017097091102691506,61922
hit,192,0.00017008505138428858,61922
eyes,192,0.00017008505138428858,61922
charming,192,0.00017008505138428858,61922
excellent,192,0.00017008505138428858,61922
behind,191,0.00016919919174166208,61922
side,191,0.00016919919174166208,61922
blockbuster,191,0.00016919919174166208,61922
become,189,0.00016742747245640906,61922
indiana,189,0.00016742747245640906,61922
episode,189,0.00016742747245640906,61922
ridiculous,189,0.00016742747245640906,61922
shows,189,0.00016742747245640906,61922
cheesy,189,0.00016742747245640906,61922
impressive,189,0.00016742747245640906,61922
written,188,0.00016654161281378255,61922
worse,188,0.00016654161281378255,61922
humor,188,0.00016654161281378255,61922
released,187,0.00016565575317115604,61922
expect,187,0.00016565575317115604,61922
emotional,187,0.00016565575317115604,61922
himself,186,0.00016476989352852956,61922
son,186,0.00016476989352852956,61922
hand,186,0.00016476989352852956,61922
turns,186,0.00016476989352852956,61922
sound,186,0.00016476989352852956,61922
