types,counts,probs,total_unique
actually,76,0.0008015271200919647,11073
through,76,0.0008015271200919647,11073
character,76,0.0008015271200919647,11073
2,75,0.0007909807106170704,11073
die,75,0.0007909807106170704,11073
years,74,0.0007804343011421762,11073
re,74,0.0007804343011421762,11073
part,73,0.0007698878916672819,11073
old,73,0.0007698878916672819,11073
piece,73,0.0007698878916672819,11073
want,73,0.0007698878916672819,11073
going,73,0.0007698878916672819,11073
ll,72,0.0007593414821923877,11073
though,72,0.0007593414821923877,11073
such,72,0.0007593414821923877,11073
song,71,0.0007487950727174933,11073
over,71,0.0007487950727174933,11073
where,69,0.0007277022537677048,11073
d,69,0.0007277022537677048,11073
lot,69,0.0007277022537677048,11073
family,69,0.0007277022537677048,11073
show,68,0.0007171558442928105,11073
should,68,0.0007171558442928105,11073
songs,68,0.0007171558442928105,11073
bad,68,0.0007171558442928105,11073
review,67,0.0007066094348179162,11073
day,66,0.000696063025343022,11073
real,66,0.000696063025343022,11073
man,65,0.0006855166158681277,11073
always,65,0.0006855166158681277,11073
these,65,0.0006855166158681277,11073
makes,65,0.0006855166158681277,11073
off,64,0.0006749702063932334,11073
children,64,0.0006749702063932334,11073
looney,64,0.0006749702063932334,11073
those,64,0.0006749702063932334,11073
few,63,0.0006644237969183392,11073
und,63,0.0006644237969183392,11073
y,63,0.0006644237969183392,11073
porky,63,0.0006644237969183392,11073
sure,62,0.0006538773874434449,11073
take,62,0.0006538773874434449,11073
any,61,0.0006433309779685507,11073
end,61,0.0006433309779685507,11073
10,60,0.0006327845684936563,11073
new,60,0.0006327845684936563,11073
music,59,0.000622238159018762,11073
him,59,0.000622238159018762,11073
squad,59,0.000622238159018762,11073
thought,59,0.000622238159018762,11073
christmas,59,0.000622238159018762,11073
does,58,0.0006116917495438678,11073
yet,58,0.0006116917495438678,11073
amazing,58,0.0006116917495438678,11073
tunes,58,0.0006116917495438678,11073
version,58,0.0006116917495438678,11073
anime,58,0.0006116917495438678,11073
before,58,0.0006116917495438678,11073
since,58,0.0006116917495438678,11073
doesn,58,0.0006116917495438678,11073
voice,57,0.0006011453400689735,11073
dragon,57,0.0006011453400689735,11073
year,57,0.0006011453400689735,11073
find,56,0.0005905989305940792,11073
look,56,0.0005905989305940792,11073
dark,56,0.0005905989305940792,11073
kid,56,0.0005905989305940792,11073
everything,55,0.000580052521119185,11073
us,54,0.0005695061116442907,11073
come,54,0.0005695061116442907,11073
der,54,0.0005695061116442907,11073
notre,54,0.0005695061116442907,11073
again,53,0.0005589597021693965,11073
down,53,0.0005589597021693965,11073
bit,53,0.0005589597021693965,11073
fucking,53,0.0005589597021693965,11073
felt,53,0.0005589597021693965,11073
cast,53,0.0005589597021693965,11073
may,52,0.0005484132926945022,11073
definitely,52,0.0005484132926945022,11073
times,52,0.0005484132926945022,11073
classic,52,0.0005484132926945022,11073
same,51,0.0005378668832196079,11073
5,51,0.0005378668832196079,11073
fuck,51,0.0005378668832196079,11073
loved,51,0.0005378668832196079,11073
maybe,50,0.0005273204737447137,11073
absolutely,50,0.0005273204737447137,11073
es,50,0.0005273204737447137,11073
greatest,49,0.0005167740642698193,11073
scenes,49,0.0005167740642698193,11073
around,48,0.000506227654794925,11073
suicide,48,0.000506227654794925,11073
series,48,0.000506227654794925,11073
isn,48,0.000506227654794925,11073
feels,48,0.000506227654794925,11073
anything,48,0.000506227654794925,11073
without,48,0.000506227654794925,11073
big,47,0.0004956812453200308,11073
am,47,0.0004956812453200308,11073
cartoon,47,0.0004956812453200308,11073
animal,46,0.0004851348358451365,11073
o,46,0.0004851348358451365,11073
american,46,0.0004851348358451365,11073
oh,46,0.0004851348358451365,11073
musical,46,0.0004851348358451365,11073
another,45,0.00047458842637024224,11073
1,45,0.00047458842637024224,11073
probably,45,0.00047458842637024224,11073
stop,45,0.00047458842637024224,11073
minutes,45,0.00047458842637024224,11073
once,44,0.000464042016895348,11073
daffy,44,0.000464042016895348,11073
full,43,0.0004534956074204537,11073
pete,43,0.0004534956074204537,11073
stuff,43,0.0004534956074204537,11073
second,43,0.0004534956074204537,11073
things,43,0.0004534956074204537,11073
making,43,0.0004534956074204537,11073
motion,43,0.0004534956074204537,11073
truly,43,0.0004534956074204537,11073
short,43,0.0004534956074204537,11073
hunchback,42,0.00044294919794555946,11073
heart,42,0.00044294919794555946,11073
last,42,0.00044294919794555946,11073
our,42,0.00044294919794555946,11073
everyone,42,0.00044294919794555946,11073
favorite,42,0.00044294919794555946,11073
e,42,0.00044294919794555946,11073
said,42,0.00044294919794555946,11073
original,42,0.00044294919794555946,11073
dame,42,0.00044294919794555946,11073
between,42,0.00044294919794555946,11073
whole,42,0.00044294919794555946,11073
el,41,0.00043240278847066514,11073
place,41,0.00043240278847066514,11073
tell,41,0.00043240278847066514,11073
need,41,0.00043240278847066514,11073
both,41,0.00043240278847066514,11073
scene,41,0.00043240278847066514,11073
cool,41,0.00043240278847066514,11073
enough,41,0.00043240278847066514,11073
jim,41,0.00043240278847066514,11073
remember,40,0.0004218563789957709,11073
una,40,0.0004218563789957709,11073
bluth,40,0.0004218563789957709,11073
let,40,0.0004218563789957709,11073
boy,40,0.0004218563789957709,11073
masterpiece,40,0.0004218563789957709,11073
yes,40,0.0004218563789957709,11073
un,40,0.0004218563789957709,11073
long,40,0.0004218563789957709,11073
god,39,0.0004113099695208766,11073
she,39,0.0004113099695208766,11073
hard,39,0.0004113099695208766,11073
saw,39,0.0004113099695208766,11073
score,39,0.0004113099695208766,11073
kind,39,0.0004113099695208766,11073
kubo,39,0.0004113099695208766,11073
perfect,39,0.0004113099695208766,11073
seeing,39,0.0004113099695208766,11073
hayao,39,0.0004113099695208766,11073
looks,38,0.00040076356004598235,11073
person,38,0.00040076356004598235,11073
um,38,0.00040076356004598235,11073
stars,38,0.00040076356004598235,11073
myself,37,0.0003902171505710881,11073
themes,37,0.0003902171505710881,11073
nothing,37,0.0003902171505710881,11073
3,37,0.0003902171505710881,11073
history,37,0.0003902171505710881,11073
funny,37,0.0003902171505710881,11073
duck,37,0.0003902171505710881,11073
put,37,0.0003902171505710881,11073
quite,37,0.0003902171505710881,11073
course,37,0.0003902171505710881,11073
give,37,0.0003902171505710881,11073
moments,37,0.0003902171505710881,11073
entire,36,0.00037967074109619383,11073
done,36,0.00037967074109619383,11073
gets,36,0.00037967074109619383,11073
her,36,0.00037967074109619383,11073
child,36,0.00037967074109619383,11073
carrey,36,0.00037967074109619383,11073
experience,35,0.0003691243316212995,11073
least,35,0.0003691243316212995,11073
shit,35,0.0003691243316212995,11073
enjoyed,35,0.0003691243316212995,11073
peter,35,0.0003691243316212995,11073
mind,35,0.0003691243316212995,11073
wish,35,0.0003691243316212995,11073
someone,35,0.0003691243316212995,11073
arkham,35,0.0003691243316212995,11073
crackers,35,0.0003691243316212995,11073
den,35,0.0003691243316212995,11073
literally,35,0.0003691243316212995,11073
must,35,0.0003691243316212995,11073
se,34,0.00035857792214640525,11073
wasn,34,0.00035857792214640525,11073
half,34,0.00035857792214640525,11073
incredible,34,0.00035857792214640525,11073
especially,34,0.00035857792214640525,11073
own,34,0.00035857792214640525,11073
style,34,0.00035857792214640525,11073
past,34,0.00035857792214640525,11073
episode,33,0.000348031512671511,11073
fact,33,0.000348031512671511,11073
works,33,0.000348031512671511,11073
en,33,0.000348031512671511,11073
adaptation,33,0.000348031512671511,11073
wanted,33,0.000348031512671511,11073
hell,33,0.000348031512671511,11073
roger,33,0.000348031512671511,11073
three,33,0.000348031512671511,11073
dante,33,0.000348031512671511,11073
james,32,0.0003374851031966167,11073
wow,32,0.0003374851031966167,11073
different,32,0.0003374851031966167,11073
set,32,0.0003374851031966167,11073
laika,32,0.0003374851031966167,11073
studio,32,0.0003374851031966167,11073
nice,32,0.0003374851031966167,11073
adult,32,0.0003374851031966167,11073
head,32,0.0003374851031966167,11073
gonna,32,0.0003374851031966167,11073
came,31,0.00032693869372172246,11073
might,31,0.00032693869372172246,11073
genndy,31,0.00032693869372172246,11073
ranked,31,0.00032693869372172246,11073
interesting,31,0.00032693869372172246,11073
during,31,0.00032693869372172246,11073
okay,31,0.00032693869372172246,11073
violence,31,0.00032693869372172246,11073
completely,31,0.00032693869372172246,11073
far,30,0.00031639228424682814,11073
sense,30,0.00031639228424682814,11073
adventure,30,0.00031639228424682814,11073
against,30,0.00031639228424682814,11073
goes,30,0.00031639228424682814,11073
yeah,30,0.00031639228424682814,11073
despite,30,0.00031639228424682814,11073
stories,30,0.00031639228424682814,11073
das,30,0.00031639228424682814,11073
truth,30,0.00031639228424682814,11073
primal,30,0.00031639228424682814,11073
plot,30,0.00031639228424682814,11073
trying,30,0.00031639228424682814,11073
video,30,0.00031639228424682814,11073
feature,30,0.00031639228424682814,11073
idea,29,0.0003058458747719339,11073
im,29,0.0003058458747719339,11073
finally,29,0.0003058458747719339,11073
handle,29,0.0003058458747719339,11073
black,29,0.0003058458747719339,11073
instead,29,0.0003058458747719339,11073
guess,29,0.0003058458747719339,11073
doing,29,0.0003058458747719339,11073
spoilers,29,0.0003058458747719339,11073
storytelling,29,0.0003058458747719339,11073
temporada,29,0.0003058458747719339,11073
main,29,0.0003058458747719339,11073
cute,29,0.0003058458747719339,11073
war,29,0.0003058458747719339,11073
mean,29,0.0003058458747719339,11073
zemeckis,29,0.0003058458747719339,11073
used,28,0.0002952994652970396,11073
left,28,0.0002952994652970396,11073
mature,28,0.0002952994652970396,11073
takes,28,0.0002952994652970396,11073
almost,28,0.0002952994652970396,11073
kinda,28,0.0002952994652970396,11073
each,28,0.0002952994652970396,11073
rated,28,0.0002952994652970396,11073
sexual,28,0.0002952994652970396,11073
space,28,0.0002952994652970396,11073
era,28,0.0002952994652970396,11073
sometimes,28,0.0002952994652970396,11073
tartakovsky,28,0.0002952994652970396,11073
racist,28,0.0002952994652970396,11073
