types,counts,probs,total_unique
any,1702,0.0007600582681567739,96955
going,1693,0.0007560391586306804,96955
though,1692,0.000755592590905559,96955
back,1656,0.0007395161528011854,96955
die,1610,0.0007189740374455969,96955
feel,1600,0.000714508360194382,96955
makes,1595,0.0007122755215687746,96955
go,1566,0.0006993250575402514,96955
such,1564,0.0006984319220900084,96955
bit,1564,0.0006984319220900084,96955
through,1557,0.000695305948014158,96955
may,1556,0.0006948593802890365,96955
la,1555,0.000694412812563915,96955
doesn,1553,0.0006935196771136721,96955
does,1551,0.0006926265416634291,96955
und,1544,0.0006895005675875786,96955
these,1543,0.0006890539998624572,96955
scene,1536,0.0006859280257866067,96955
old,1528,0.0006823554839856348,96955
work,1513,0.0006756569681088125,96955
new,1485,0.0006631530718054108,96955
kind,1484,0.0006627065040802893,96955
want,1472,0.0006573476913788314,96955
before,1464,0.0006537751495778595,96955
those,1445,0.0006452903628005513,96955
plot,1419,0.0006336796019473925,96955
part,1405,0.0006274276537956917,96955
around,1401,0.0006256413828952057,96955
enough,1397,0.0006238551119947198,96955
review,1395,0.0006229619765444768,96955
end,1385,0.0006184962992932619,96955
right,1379,0.000615816892942533,96955
long,1378,0.0006153703252174114,96955
times,1376,0.0006144771897671686,96955
last,1373,0.0006131374865918041,96955
world,1365,0.0006095649447908321,96955
horror,1362,0.0006082252416154676,96955
day,1358,0.0006064389707149818,96955
quite,1346,0.0006010801580135239,96955
same,1316,0.0005876831262598792,96955
big,1307,0.0005836640167337858,96955
year,1290,0.0005760723654067205,96955
real,1286,0.0005742860945062346,96955
ll,1281,0.0005720532558806271,96955
der,1281,0.0005720532558806271,96955
isn,1277,0.0005702669849801411,96955
things,1275,0.0005693738495298981,96955
should,1273,0.0005684807140796552,96955
thought,1260,0.0005626753336530759,96955
feels,1245,0.0005559768177762535,96955
sure,1228,0.0005483851664491882,96955
both,1224,0.0005465988955487023,96955
minutes,1222,0.0005457057600984593,96955
action,1220,0.0005448126246482163,96955
down,1218,0.0005439194891979733,96955
everything,1211,0.0005407935151221228,96955
few,1206,0.0005385606764965155,96955
probably,1203,0.0005372209733211509,96955
whole,1190,0.0005314155928945716,96955
between,1178,0.0005260567801931138,96955
gets,1164,0.0005198048320414129,96955
john,1164,0.0005198048320414129,96955
2,1156,0.000516232290240441,96955
am,1149,0.0005131063161645905,96955
star,1136,0.0005073009357380112,96955
take,1132,0.0005055146648375253,96955
another,1120,0.0005001558521360674,96955
look,1117,0.000498816148960703,96955
nothing,1114,0.0004974764457853385,96955
o,1112,0.0004965833103350955,96955
loved,1108,0.0004947970394346095,96955
again,1097,0.0004898847944582731,96955
own,1092,0.0004876519558326657,96955
moments,1083,0.0004836328463065723,96955
favorite,1079,0.00048184657540608635,96955
fucking,1074,0.0004796137367804789,96955
half,1069,0.00047738089815487145,96955
family,1053,0.00047023581455292766,96955
scenes,1048,0.0004680029759273202,96955
find,1046,0.0004671098404770772,96955
shit,1044,0.00046621670502683426,96955
hard,1042,0.00046532356957659126,96955
director,1040,0.0004644304341263483,96955
perfect,1040,0.0004644304341263483,96955
