types,counts,probs,total_unique
didn,1064,0.0007668794564958078,70771
back,1063,0.0007661587051269207,70771
say,1057,0.0007618341969135985,70771
watching,1053,0.0007589511914380503,70771
does,1050,0.0007567889373313893,70771
though,1038,0.0007481399209047448,70771
any,1036,0.0007466984181669707,70771
go,1034,0.0007452569154291967,70771
d,1032,0.0007438154126914226,70771
doesn,1031,0.0007430946613225355,70771
years,1024,0.0007380494017403263,70771
did,1023,0.0007373286503714392,70771
through,1019,0.000734445644895891,70771
work,1009,0.0007272381312070207,70771
makes,992,0.0007149853579359411,70771
director,981,0.0007070570928781836,70771
bit,978,0.0007048948387715226,70771
thing,966,0.0006962458223448781,70771
review,954,0.0006875968059182337,70771
why,934,0.0006731817785404929,70771
down,931,0.0006710195244338318,70771
those,921,0.0006638120107449614,70771
performance,920,0.0006630912593760744,70771
before,919,0.0006623705080071873,70771
such,919,0.0006623705080071873,70771
last,909,0.000655162994318317,70771
new,903,0.0006508384861049947,70771
watched,895,0.0006450724751538984,70771
feel,888,0.0006400272155716891,70771
quite,886,0.000638585712833915,70771
long,884,0.000637144210096141,70771
end,863,0.0006220084313495132,70771
feels,861,0.0006205669286117392,70771
right,858,0.000618404674505078,70771
scenes,851,0.0006133594149228688,70771
these,851,0.0006133594149228688,70771
old,849,0.0006119179121850947,70771
kind,848,0.0006111971608162076,70771
la,846,0.0006097556580784336,70771
real,845,0.0006090349067095466,70771
enough,843,0.0006075934039717725,70771
around,843,0.0006075934039717725,70771
world,841,0.0006061519012339984,70771
guy,833,0.0006003858902829021,70771
o,828,0.0005967821334384669,70771
hard,827,0.0005960613820695799,70771
both,827,0.0005960613820695799,70771
john,821,0.0005917368738562577,70771
things,808,0.0005823671060607261,70771
actually,803,0.000578763349216291,70771
times,798,0.0005751595923718558,70771
funny,797,0.0005744388410029688,70771
between,789,0.0005686728300518725,70771
performances,788,0.0005679520786829854,70771
gets,787,0.0005672313273140984,70771
another,764,0.0005506540458296965,70771
few,760,0.0005477710403541484,70771
take,758,0.0005463295376163743,70771
same,752,0.0005420050294030521,70771
big,752,0.0005420050294030521,70771
minutes,744,0.0005362390184519558,70771
part,741,0.0005340767643452947,70771
interesting,736,0.0005304730075008595,70771
should,727,0.0005239862451808762,70771
isn,724,0.000521823991074215,70771
almost,715,0.0005153372287542317,70771
set,704,0.0005074089636964743,70771
everything,701,0.0005052467095898132,70771
sure,700,0.0005045259582209261,70771
want,697,0.0005023637041142651,70771
cop,695,0.000500922201376491,70771
cinema,693,0.0004994806986387169,70771
own,691,0.0004980391959009429,70771
cool,684,0.0004929939363187335,70771
nothing,678,0.0004886694281054113,70771
genre,677,0.0004879486767365243,70771
ist,677,0.0004879486767365243,70771
day,676,0.00048722792536763724,70771
look,671,0.00048362416852320206,70771
top,657,0.00047353364935878354,70771
style,656,0.0004728128979898965,70771
ll,654,0.0004713713952521224,70771
thought,651,0.0004692091411454613,70771
truth,651,0.0004692091411454613,70771
half,650,0.0004684883897765743,70771
yet,640,0.0004612808760877039,70771
shit,635,0.0004576771192432687,70771
probably,635,0.0004576771192432687,70771
whole,634,0.0004569563678743817,70771
year,632,0.0004555148651366076,70771
far,618,0.0004454243459721891,70771
full,618,0.0004454243459721891,70771
anything,616,0.000443982843234415,70771
fucking,610,0.0004396583350210928,70771
2,607,0.0004374960809144317,70771
spoilers,604,0.00043533382680777056,70771
point,604,0.00043533382680777056,70771
handle,603,0.00043461307543888353,70771
killer,602,0.0004338923240699965,70771
dark,601,0.00043317157270110945,70771
us,598,0.00043100931859444834,70771
drama,596,0.00042956781585667427,70771
entertaining,596,0.00042956781585667427,70771
am,594,0.0004281263131189002,70771
again,592,0.0004266848103811261,70771
lee,591,0.0004259640590122391,70771
es,580,0.00041803579395448167,70771
american,579,0.00041731504258559464,70771
violence,579,0.00041731504258559464,70771
acting,577,0.00041587353984782056,70771
second,575,0.0004144320371100465,70771
contain,574,0.00041371128574115945,70771
wasn,571,0.00041154903163449834,70771
black,570,0.0004108282802656113,70771
star,570,0.0004108282802656113,70771
without,569,0.00041010752889672426,70771
absolutely,568,0.0004093867775278372,70771
murder,565,0.0004072245234211761,70771
e,561,0.00040434151794562797,70771
ein,560,0.00040362076657674093,70771
shot,559,0.0004029000152078539,70771
solid,559,0.0004029000152078539,70771
directed,558,0.00040217926383896685,70771
least,557,0.0004014585124700798,70771
might,556,0.0004007377611011928,70771
perfect,552,0.00039785475562564463,70771
gangster,551,0.0003971340042567576,70771
y,548,0.0003949717501500965,70771
young,541,0.0003899264905678872,70771
give,540,0.0003892057391990002,70771
role,538,0.0003877642364612261,70771
definitely,538,0.0003877642364612261,70771
once,535,0.000385601982354565,70771
plays,534,0.00038488123098567796,70771
night,530,0.0003819982255101298,70771
put,530,0.0003819982255101298,70771
making,529,0.0003812774741412428,70771
especially,528,0.00038055672277235574,70771
das,525,0.00037839446866569463,70771
maybe,522,0.0003762322145590335,70771
since,519,0.0003740699604523724,70771
come,518,0.00037334920908348537,70771
script,517,0.00037262845771459833,70771
hollywood,514,0.0003704662036079372,70771
seems,513,0.0003697454522390502,70771
von,513,0.0003697454522390502,70771
horror,512,0.00036902470087016314,70771
police,511,0.0003683039495012761,70771
takes,510,0.00036758319813238907,70771
having,509,0.00036686244676350203,70771
together,508,0.000366141695394615,70771
early,506,0.0003647001926568409,70771
5,504,0.00036325868991906685,70771
different,503,0.0003625379385501798,70771
goes,503,0.0003625379385501798,70771
classic,503,0.0003625379385501798,70771
moments,499,0.00035965493307463166,70771
everyone,495,0.0003567719275990835,70771
den,494,0.0003560511762301965,70771
away,494,0.0003560511762301965,70771
loved,492,0.0003546096734924224,70771
show,492,0.0003546096734924224,70771
let,490,0.0003531681707546483,70771
found,488,0.00035172666801687425,70771
fuck,488,0.00035172666801687425,70771
felt,487,0.0003510059166479872,70771
place,484,0.0003488436625413261,70771
find,481,0.000346681408434665,70771
favorite,480,0.00034596065706577795,70771
robert,479,0.0003452399056968909,70771
screen,479,0.0003452399056968909,70771
true,477,0.00034379840295911684,70771
zu,477,0.00034379840295911684,70771
ending,474,0.00034163614885245573,70771
um,471,0.0003394738947457946,70771
trying,470,0.0003387531433769076,70771
ich,467,0.00033659088927024647,70771
fact,467,0.00033659088927024647,70771
mean,465,0.0003351493865324724,70771
mit,464,0.00033442863516358536,70771
un,464,0.00033442863516358536,70771
each,462,0.0003329871324258113,70771
need,460,0.0003315456296880372,70771
sense,459,0.0003308248783191502,70771
someone,459,0.0003308248783191502,70771
prison,457,0.0003293833755813761,70771
our,455,0.000327941872843602,70771
en,454,0.00032722112147471493,70771
stars,452,0.00032577961873694086,70771
white,451,0.0003250588673680538,70771
men,448,0.0003228966132613927,70771
three,447,0.0003221758618925057,70771
3,445,0.0003207343591547316,70771
dialogue,445,0.0003207343591547316,70771
said,445,0.0003207343591547316,70771
car,442,0.0003185721050480705,70771
hell,441,0.00031785135367918345,70771
women,439,0.0003164098509414094,70771
job,435,0.00031352684546586123,70771
less,434,0.0003128060940969742,70771
saw,433,0.00031208534272808715,70771
woman,432,0.0003113645913592001,70771
family,431,0.0003106438399903131,70771
however,427,0.00030776083451476493,70771
comes,424,0.0003055985804081038,70771
high,422,0.00030415707767032974,70771
original,421,0.0003034363263014427,70771
completely,419,0.00030199482356366863,70771
final,416,0.0002998325694570075,70771
works,416,0.0002998325694570075,70771
lead,416,0.0002998325694570075,70771
until,415,0.0002991118180881205,70771
looks,414,0.00029839106671923345,70771
doing,414,0.00029839106671923345,70771
nicht,413,0.0002976703153503464,70771
based,413,0.0002976703153503464,70771
mystery,412,0.00029694956398145937,70771
nice,412,0.00029694956398145937,70771
amazing,411,0.00029622881261257234,70771
